gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	Norin61_tgt_strand	Norin61_tgt_midpoint	Norin61_coverage	Norin61_identity
gene:TraesCS3B03G0005100	Chr3B	2229591	2231019	+	2230305	Chr3B	1033341	1034769	-	1034055	1.0	0.999
gene:TraesCS3B03G0005200	Chr3B	2238754	2241107	-	2239930	Chr3B	1023253	1025606	+	1024429	1.0	1.0
gene:TraesCS3B03G0005300	Chr3B	2251630	2253405	-	2252517	Chr3B	1010947	1012722	+	1011834	1.0	0.997
gene:TraesCS3B03G0005600	Chr3B	2279997	2282921	-	2281459	Chr3B	825455	828379	-	826917	1.0	0.971
gene:TraesCS3B03G0005700	Chr3B	2296800	2299629	-	2298214	Chr3B	857748	860580	-	859164	1.0	0.969
gene:TraesCS3B03G0005800	Chr3B	2305509	2308573	-	2307041	Chr3B	870065	873177	-	871621	0.996	0.908
gene:TraesCS3B03G0006100	Chr3B	2390285	2392680	-	2391482	Chr3B	937325	939721	-	938523	1.0	0.994
gene:TraesCS3B03G0006400	Chr3B	2414282	2422889	+	2418585	Chr3B	956959	965704	+	961331	0.995	0.959
gene:TraesCS3B03G0006500	Chr3B	2431101	2434170	+	2432635	Chr3B	973652	976722	+	975187	1.0	0.997
gene:TraesCS3B03G0006600	Chr3B	2442622	2445483	+	2444052	Chr3B	984854	987711	+	986282	0.995	0.991
gene:TraesCS3B03G0006700	Chr3B	2457176	2459341	+	2458258	Chr3B	999342	1001505	+	1000423	1.0	0.992
gene:TraesCS3B03G0007900	Chr3B	2607986	2611253	+	2609619	Chr3B	741076	744759	-	742917	1.0	0.983
gene:TraesCS3B03G0008000	Chr3B	2618273	2621910	+	2620091	Chr3B	730345	733990	-	732167	1.0	0.992
gene:TraesCS3B03G0008200	Chr3B	2625685	2627229	+	2626457	Chr3B	724454	726002	-	725228	1.0	0.983
gene:TraesCS3B03G0008300	Chr3B	2637952	2639202	+	2638577	Chr3B	720882	722132	-	721507	1.0	0.967
gene:TraesCS3B03G0008500	Chr3B	2644992	2648624	+	2646808	Chr3B	655480	658908	-	657194	0.919	0.901
gene:TraesCS3B03G0008900	Chr3B	3142976	3145283	+	3144129	Chr3B	413300	415486	-	414393	0.983	0.902
gene:TraesCS3B03G0010000	Chr3B	3288829	3291388	-	3290108	Chr3B	304906	307465	+	306185	1.0	0.997
gene:TraesCS3B03G0010400	Chr3B	3319309	3319678	-	3319493	Chr3B	275701	276070	+	275885	1.0	1.0
gene:TraesCS3B03G0010500	Chr3B	3329965	3331410	-	3330687	Chr3B	263968	265413	+	264690	1.0	1.0
gene:TraesCS3B03G0010600	Chr3B	3343534	3343869	-	3343701	Chr3B	251799	252134	+	251966	1.0	1.0
gene:TraesCS3B03G0010700	Chr3B	3351732	3352420	+	3352076	Chr3B	243255	243943	-	243599	1.0	0.992
gene:TraesCS3B03G0011100	Chr3B	3390928	3392733	-	3391830	Chr3B	188557	190361	+	189459	1.0	0.997
gene:TraesCS3B03G0011200	Chr3B	3456099	3457541	+	3456820	Chr3B	122089	123575	-	122832	0.999	0.954
gene:TraesCS3B03G0011700	Chr3B	3476475	3479401	+	3477938	Chr3B	95207	97774	-	96490	0.995	0.99
gene:TraesCS3B03G0011800	Chr3B	3481462	3493401	+	3487431	Chr3B	81187	93142	-	87164	0.999	0.988
gene:TraesCS3B03G0011900	Chr3B	3509554	3512426	-	3510990	Chr3B	27231	30103	+	28667	1.0	0.996
gene:TraesCS3B03G0012000	Chr3B	3519251	3522305	+	3520778	Chr3B	17384	20432	-	18908	0.998	0.995
gene:TraesCS3B03G0012100	Chr3B	3524408	3531567	-	3527987	Chr3B	8113	15252	+	11682	0.967	0.963
gene:TraesCS3B03G0012700	Chr3B	3750107	3752530	+	3751318	Chr3B	3325440	3327863	+	3326651	1.0	1.0
gene:TraesCS3B03G0012800	Chr3B	3758382	3758978	-	3758680	Chr3B	3333715	3334311	-	3334013	1.0	1.0
gene:TraesCS3B03G0012900	Chr3B	3760385	3761643	-	3761014	Chr3B	3335718	3336976	-	3336347	1.0	1.0
gene:TraesCS3B03G0013100	Chr3B	3792617	3799581	-	3796099	Chr3B	3366158	3373116	-	3369637	1.0	1.0
gene:TraesCS3B03G0013400	Chr3B	3821480	3821881	+	3821680	Chr3B	3395044	3395445	+	3395244	1.0	1.0
gene:TraesCS3B03G0013500	Chr3B	3852505	3853085	+	3852795	Chr3B	3426066	3426646	+	3426356	1.0	1.0
gene:TraesCS3B03G0013600	Chr3B	3877659	3878072	+	3877865	Chr3B	3451303	3451716	+	3451509	1.0	1.0
gene:TraesCS3B03G0013700	Chr3B	3890065	3890949	+	3890507	Chr3B	3463707	3464591	+	3464149	1.0	1.0
gene:TraesCS3B03G0013800	Chr3B	3892768	3893685	+	3893226	Chr3B	3466410	3467327	+	3466868	1.0	1.0
gene:TraesCS3B03G0014100	Chr3B	3975265	3975989	+	3975627	Chr3B	3550804	3551528	+	3551166	1.0	1.0
gene:TraesCS3B03G0014200	Chr3B	3977457	3977904	+	3977680	Chr3B	3552995	3553442	+	3553218	1.0	1.0
gene:TraesCS3B03G0014300	Chr3B	3978061	3982097	+	3980079	Chr3B	3553599	3557635	+	3555617	1.0	1.0
gene:TraesCS3B03G0014400	Chr3B	3982981	3987045	-	3985013	Chr3B	3558522	3562587	-	3560554	1.0	0.999
gene:TraesCS3B03G0014500	Chr3B	4042103	4049664	+	4045883	Chr3B	3616056	3623316	+	3619686	0.999	0.999
gene:TraesCS3B03G0014700	Chr3B	4088058	4088845	-	4088451	Chr3B	3661663	3662450	-	3662056	1.0	1.0
gene:TraesCS3B03G0014800	Chr3B	4094363	4094890	-	4094626	Chr3B	3667968	3668495	-	3668231	1.0	1.0
gene:TraesCS3B03G0014900	Chr3B	4102252	4103050	+	4102651	Chr3B	3674824	3675622	+	3675223	1.0	1.0
gene:TraesCS3B03G0015000	Chr3B	4129338	4130978	-	4130158	Chr3B	3700491	3702131	-	3701311	1.0	1.0
gene:TraesCS3B03G0015500	Chr3B	4396775	4398430	+	4397602	Chr3B	3961902	3963557	+	3962729	1.0	1.0
gene:TraesCS3B03G0015700	Chr3B	4408492	4410230	-	4409361	Chr3B	3973618	3975356	-	3974487	1.0	1.0
gene:TraesCS3B03G0015800	Chr3B	4412479	4415438	-	4413958	Chr3B	3977605	3980564	-	3979084	1.0	1.0
gene:TraesCS3B03G0015900	Chr3B	4428801	4430849	+	4429825	Chr3B	3993925	3995973	+	3994949	1.0	1.0
gene:TraesCS3B03G0016000	Chr3B	4440305	4445340	+	4442822	Chr3B	4005415	4010304	+	4007859	1.0	0.979
gene:TraesCS3B03G0016300	Chr3B	4501021	4504396	-	4502708	Chr3B	4066555	4069930	-	4068242	1.0	1.0
gene:TraesCS3B03G0016800	Chr3B	4642661	4644619	+	4643640	Chr3B	4211784	4213742	+	4212763	1.0	1.0
gene:TraesCS3B03G0016900	Chr3B	4645981	4646856	+	4646418	Chr3B	4215104	4215979	+	4215541	1.0	1.0
gene:TraesCS3B03G0017100	Chr3B	4647867	4648654	+	4648260	Chr3B	4216990	4217777	+	4217383	1.0	0.998
gene:TraesCS3B03G0017200	Chr3B	4672356	4674432	+	4673394	Chr3B	4241502	4243495	+	4242498	1.0	0.998
gene:TraesCS3B03G0017300	Chr3B	4680357	4681117	+	4680737	Chr3B	4249555	4250315	+	4249935	1.0	1.0
gene:TraesCS3B03G0017600	Chr3B	4701822	4707580	-	4704701	Chr3B	4272209	4277636	-	4274922	1.0	0.999
gene:TraesCS3B03G0018000	Chr3B	4894499	4896037	+	4895268	Chr3B	4474700	4476238	+	4475469	1.0	1.0
gene:TraesCS3B03G0018100	Chr3B	4897488	4899528	-	4898508	Chr3B	4477689	4479729	-	4478709	1.0	1.0
gene:TraesCS3B03G0018200	Chr3B	4994718	4995101	+	4994909	Chr3B	4575130	4575513	+	4575321	1.0	1.0
gene:TraesCS3B03G0018300	Chr3B	4996692	4997971	+	4997331	Chr3B	4577104	4578383	+	4577743	1.0	0.999
gene:TraesCS3B03G0018800	Chr3B	5416010	5420829	-	5418419	Chr3B	4948694	4953513	-	4951103	1.0	0.998
gene:TraesCS3B03G0019600	Chr3B	5706385	5712424	+	5709404	Chr3B	5472808	5478566	+	5475687	1.0	0.985
gene:TraesCS3B03G0019700	Chr3B	5714448	5715228	+	5714838	Chr3B	5480656	5481436	+	5481046	1.0	0.997
gene:TraesCS3B03G0022700	Chr3B	6063054	6064845	+	6063949	Chr3B	5670290	5672081	-	5671185	1.0	0.988
gene:TraesCS3B03G0022800	Chr3B	6073695	6077105	+	6075400	Chr3B	5656732	5660142	-	5658437	1.0	0.997
gene:TraesCS3B03G0022900	Chr3B	6077386	6080144	-	6078765	Chr3B	5653697	5656452	+	5655074	0.998	0.995
gene:TraesCS3B03G0026300	Chr3B	6210118	6210479	+	6210298	Chr3B	5765175	5765539	+	5765357	1.0	0.95
gene:TraesCS3B03G0026700	Chr3B	6220771	6222888	-	6221829	Chr3B	5774495	5776619	-	5775557	1.0	0.978
gene:TraesCS3B03G0026800	Chr3B	6220941	6222881	-	6221911	Chr3B	5774667	5776612	-	5775639	1.0	0.979
gene:TraesCS3B03G0026900	Chr3B	6239266	6239636	+	6239451	Chr3B	5786789	5787159	+	5786974	1.0	0.98
gene:TraesCS3B03G0027000	Chr3B	6242148	6243598	+	6242873	Chr3B	5789670	5791080	+	5790375	0.961	0.957
gene:TraesCS3B03G0027100	Chr3B	6250940	6252156	+	6251548	Chr3B	5798419	5799642	+	5799030	1.0	0.986
gene:TraesCS3B03G0027300	Chr3B	6302591	6303316	-	6302953	Chr3B	5839780	5840505	-	5840142	1.0	1.0
gene:TraesCS3B03G0027400	Chr3B	6305961	6306274	+	6306117	Chr3B	5843149	5843462	+	5843305	1.0	1.0
gene:TraesCS3B03G0027600	Chr3B	6344582	6345667	-	6345124	Chr3B	5881229	5882314	-	5881771	1.0	1.0
gene:TraesCS3B03G0027700	Chr3B	6358750	6366458	+	6362604	Chr3B	5899408	5907160	+	5903284	1.0	1.0
gene:TraesCS3B03G0028100	Chr3B	6375001	6378109	-	6376555	Chr3B	5916848	5919956	-	5918402	1.0	1.0
gene:TraesCS3B03G0028200	Chr3B	6418690	6428060	+	6423375	Chr3B	5960903	5970226	+	5965564	0.995	0.994
gene:TraesCS3B03G0028300	Chr3B	6423173	6427989	+	6425581	Chr3B	5965383	5970155	+	5967769	0.996	0.995
gene:TraesCS3B03G0028500	Chr3B	6432085	6434317	-	6433201	Chr3B	5974341	5976573	-	5975457	1.0	0.999
gene:TraesCS3B03G0028600	Chr3B	6461524	6462461	+	6461992	Chr3B	6003782	6004718	+	6004250	1.0	0.99
gene:TraesCS3B03G0029000	Chr3B	6503456	6505642	-	6504549	Chr3B	6045681	6047867	-	6046774	1.0	0.999
gene:TraesCS3B03G0029200	Chr3B	6514905	6517931	-	6516418	Chr3B	6060306	6063332	-	6061819	1.0	1.0
gene:TraesCS3B03G0029100	Chr3B	6514300	6520754	+	6517527	Chr3B	6059701	6066155	+	6062928	1.0	1.0
gene:TraesCS3B03G0029300	Chr3B	6530621	6531791	+	6531206	Chr3B	6078232	6079402	+	6078817	1.0	0.998
gene:TraesCS3B03G0029700	Chr3B	6593184	6594729	+	6593956	Chr3B	6148267	6149813	+	6149040	1.0	1.0
gene:TraesCS3B03G0029800	Chr3B	6659713	6660813	+	6660263	Chr3B	6214794	6215894	+	6215344	1.0	0.998
gene:TraesCS3B03G0029900	Chr3B	6671564	6673567	+	6672565	Chr3B	6228032	6230035	+	6229033	1.0	0.999
gene:TraesCS3B03G0030000	Chr3B	6681490	6685614	+	6683552	Chr3B	6237959	6242083	+	6240021	1.0	0.998
gene:TraesCS3B03G0030900	Chr3B	6792313	6794111	-	6793212	Chr3B	6311230	6313028	-	6312129	1.0	0.996
gene:TraesCS3B03G0031100	Chr3B	6796809	6799701	-	6798255	Chr3B	6316316	6319211	-	6317763	1.0	0.997
gene:TraesCS3B03G0031200	Chr3B	6803638	6807916	+	6805777	Chr3B	6323148	6327422	+	6325285	1.0	0.996
gene:TraesCS3B03G0031400	Chr3B	10011961	10013468	-	10012714	Chr3B	9271218	9272726	-	9271972	1.0	0.993
gene:TraesCS3B03G0031700	Chr3B	10462654	10466557	+	10464605	Chr3B	9715432	9719369	+	9717400	1.0	0.995
gene:TraesCS3B03G0031800	Chr3B	10972258	10977458	-	10974858	Chr3B	10219432	10224626	-	10222029	1.0	0.995
gene:TraesCS3B03G0037900	Chr3B	11947904	11950970	+	11949437	Chr3B	10318132	10321179	+	10319655	1.0	0.996
gene:TraesCS3B03G0038000	Chr3B	11951308	11954850	-	11953079	Chr3B	10321517	10325088	-	10323302	0.998	0.996
gene:TraesCS3B03G0038200	Chr3B	11956531	11958854	-	11957692	Chr3B	10326825	10328868	-	10327846	0.948	0.933
gene:TraesCS3B03G0038500	Chr3B	11961737	11963712	-	11962724	Chr3B	10331840	10333815	-	10332827	1.0	0.995
gene:TraesCS3B03G0038800	Chr3B	12071707	12079854	+	12075780	Chr3B	10421184	10429200	+	10425192	1.0	0.996
gene:TraesCS3B03G0038900	Chr3B	12176373	12178583	+	12177478	Chr3B	10519666	10521809	+	10520737	1.0	0.983
gene:TraesCS3B03G0039100	Chr3B	12184132	12185097	+	12184614	Chr3B	10527518	10528483	+	10528000	1.0	0.994
gene:TraesCS3B03G0039200	Chr3B	12185415	12189726	-	12187570	Chr3B	10528801	10533119	-	10530960	1.0	0.992
gene:TraesCS3B03G0039400	Chr3B	12225935	12226465	-	12226200	Chr3B	10591142	10591672	-	10591407	1.0	0.99
gene:TraesCS3B03G0040300	Chr3B	12365034	12368968	+	12367001	Chr3B	10705127	10709062	+	10707094	1.0	0.995
gene:TraesCS3B03G0040400	Chr3B	12369257	12370173	+	12369715	Chr3B	10709351	10710255	+	10709803	0.986	0.983
gene:TraesCS3B03G0040500	Chr3B	12371609	12375309	-	12373459	Chr3B	10711688	10715388	-	10713538	1.0	0.997
gene:TraesCS3B03G0041000	Chr3B	12477307	12481295	-	12479301	Chr3B	10819626	10823613	-	10821619	0.999	0.995
gene:TraesCS3B03G0041100	Chr3B	12485475	12491384	+	12488429	Chr3B	10827793	10833736	+	10830764	0.999	0.995
gene:TraesCS3B03G0041200	Chr3B	12585694	12587050	-	12586372	Chr3B	10986136	10987492	-	10986814	1.0	0.995
gene:TraesCS3B03G0041300	Chr3B	12590773	12592281	+	12591527	Chr3B	10991215	10992723	+	10991969	1.0	0.993
gene:TraesCS3B03G0041400	Chr3B	12595610	12597051	-	12596330	Chr3B	10996053	10997495	-	10996774	1.0	0.997
gene:TraesCS3B03G0041500	Chr3B	12601924	12602601	-	12602262	Chr3B	11003226	11003903	-	11003564	1.0	1.0
gene:TraesCS3B03G0041600	Chr3B	12608171	12608647	-	12608409	Chr3B	11009531	11010007	-	11009769	1.0	1.0
gene:TraesCS3B03G0041800	Chr3B	13120457	13120807	-	13120632	Chr3B	11447152	11447502	-	11447327	1.0	0.985
gene:TraesCS3B03G0042000	Chr3B	13140448	13146598	+	13143523	Chr3B	11472280	11478413	+	11475346	1.0	0.995
gene:TraesCS3B03G0042100	Chr3B	13150614	13151953	+	13151283	Chr3B	11482075	11483414	+	11482744	1.0	0.996
gene:TraesCS3B03G0042200	Chr3B	13155850	13159257	+	13157553	Chr3B	11487307	11490704	+	11489005	0.997	0.992
gene:TraesCS3B03G0042400	Chr3B	13188801	13190896	+	13189848	Chr3B	11532642	11534755	+	11533698	0.996	0.987
gene:TraesCS3B03G0042500	Chr3B	13244270	13247808	+	13246039	Chr3B	11594250	11597774	+	11596012	0.994	0.99
gene:TraesCS3B03G0042700	Chr3B	13247846	13251928	-	13249887	Chr3B	11597812	11601876	-	11599844	1.0	1.0
gene:TraesCS3B03G0043500	Chr3B	13267715	13268552	-	13268133	Chr3B	11605275	11606112	-	11605693	1.0	0.992
gene:TraesCS3B03G0044100	Chr3B	13452540	13459855	+	13456197	Chr3B	11780685	11788026	+	11784355	1.0	0.999
gene:TraesCS3B03G0044600	Chr3B	13624135	13625145	+	13624640	Chr3B	12004870	12005838	+	12005354	0.958	0.914
gene:TraesCS3B03G0045000	Chr3B	13638687	13641490	+	13640088	Chr3B	12024778	12026952	+	12025865	0.969	0.902
gene:TraesCS3B03G0046200	Chr3B	13794541	13796737	-	13795639	Chr3B	12228175	12230352	-	12229263	0.978	0.933
gene:TraesCS3B03G0046600	Chr3B	13842867	13847314	+	13845090	Chr3B	12233665	12239067	+	12236366	0.999	0.961
gene:TraesCS3B03G0047200	Chr3B	13900782	13902099	+	13901440	Chr3B	12276833	12278123	+	12277478	0.967	0.925
gene:TraesCS3B03G0047500	Chr3B	13908853	13909704	-	13909278	Chr3B	12291978	12292823	-	12292400	0.992	0.957
gene:TraesCS3B03G0047600	Chr3B	13912323	13919989	+	13916156	Chr3B	12296048	12303986	+	12300017	1.0	0.981
gene:TraesCS3B03G0047700	Chr3B	13920909	13922384	+	13921646	Chr3B	12304907	12306382	+	12305644	1.0	0.998
gene:TraesCS3B03G0047800	Chr3B	13924243	13934714	-	13929478	Chr3B	12308242	12318711	-	12313476	1.0	0.997
gene:TraesCS3B03G0048000	Chr3B	13954460	13967646	-	13961053	Chr3B	12338456	12351644	-	12345050	1.0	1.0
gene:TraesCS3B03G0049200	Chr3B	14197012	14200919	+	14198965	Chr3B	12582022	12585929	+	12583975	1.0	1.0
gene:TraesCS3B03G0049300	Chr3B	14204526	14205980	-	14205253	Chr3B	12589537	12590989	-	12590263	1.0	1.0
gene:TraesCS3B03G0049400	Chr3B	14272431	14284305	-	14278368	Chr3B	12650996	12662675	-	12656835	0.997	0.996
gene:TraesCS3B03G0050500	Chr3B	14456299	14456661	-	14456480	Chr3B	12822522	12822884	-	12822703	1.0	0.98
gene:TraesCS3B03G0050900	Chr3B	14518868	14523037	+	14520952	Chr3B	12877368	12881541	+	12879454	1.0	0.996
gene:TraesCS3B03G0051000	Chr3B	14526596	14531005	+	14528800	Chr3B	12884657	12889078	+	12886867	1.0	0.994
gene:TraesCS3B03G0051100	Chr3B	14539683	14542511	-	14541097	Chr3B	12905079	12907907	-	12906493	1.0	0.996
gene:TraesCS3B03G0051200	Chr3B	14549103	14549399	-	14549251	Chr3B	12912902	12913198	-	12913050	0.989	0.97
gene:TraesCS3B03G0051500	Chr3B	14560796	14563932	+	14562364	Chr3B	12931795	12934964	+	12933379	0.99	0.957
gene:TraesCS3B03G0052000	Chr3B	14897747	14904386	+	14901066	Chr3B	12943323	12950446	+	12946884	0.997	0.958
gene:TraesCS3B03G0052400	Chr3B	15034510	15038343	+	15036426	Chr3B	13027262	13032549	+	13029905	0.999	0.964
gene:TraesCS3B03G0052500	Chr3B	15043587	15043985	-	15043786	Chr3B	13038042	13038440	-	13038241	1.0	0.994
gene:TraesCS3B03G0052700	Chr3B	15050859	15051645	-	15051252	Chr3B	13046301	13047086	-	13046693	1.0	0.992
gene:TraesCS3B03G0052800	Chr3B	15051800	15059713	-	15055756	Chr3B	13047241	13055152	-	13051196	1.0	0.997
gene:TraesCS3B03G0053000	Chr3B	15128456	15129483	+	15128969	Chr3B	13128894	13129921	+	13129407	1.0	0.996
gene:TraesCS3B03G0053100	Chr3B	15160153	15163258	+	15161705	Chr3B	13162077	13165180	+	13163628	0.999	0.997
gene:TraesCS3B03G0053200	Chr3B	15164778	15165608	-	15165193	Chr3B	13166473	13167303	-	13166888	1.0	0.99
gene:TraesCS3B03G0053700	Chr3B	15311739	15315173	-	15313456	Chr3B	13341725	13345161	-	13343443	1.0	0.997
gene:TraesCS3B03G0053800	Chr3B	15334364	15335548	+	15334956	Chr3B	13365697	13366881	+	13366289	1.0	0.999
gene:TraesCS3B03G0053900	Chr3B	15344103	15347794	+	15345948	Chr3B	13375444	13379138	+	13377291	1.0	0.993
gene:TraesCS3B03G0054200	Chr3B	15361834	15364625	-	15363229	Chr3B	13393363	13396166	-	13394764	1.0	0.981
gene:TraesCS3B03G0054900	Chr3B	15413768	15421229	-	15417498	Chr3B	13610688	13618171	-	13614429	0.999	0.978
gene:TraesCS3B03G0056000	Chr3B	15737539	15742920	-	15740229	Chr3B	13667335	13672700	-	13670017	1.0	0.998
gene:TraesCS3B03G0056300	Chr3B	15774884	15775192	-	15775038	Chr3B	13704119	13704427	-	13704273	1.0	0.993
gene:TraesCS3B03G0056500	Chr3B	15817353	15827081	-	15822217	Chr3B	13751636	13761395	-	13756515	0.999	0.961
gene:TraesCS3B03G0057200	Chr3B	16030592	16032356	+	16031474	Chr3B	13975045	13976809	+	13975927	1.0	0.997
gene:TraesCS3B03G0057500	Chr3B	16061723	16065343	+	16063533	Chr3B	14004714	14008334	+	14006524	1.0	0.999
gene:TraesCS3B03G0057600	Chr3B	16069780	16071754	-	16070767	Chr3B	14012854	14014828	-	14013841	1.0	0.998
gene:TraesCS3B03G0057700	Chr3B	16116348	16118134	-	16117241	Chr3B	14059475	14061261	-	14060368	1.0	1.0
gene:TraesCS3B03G0057800	Chr3B	16172883	16174668	-	16173775	Chr3B	14116179	14117942	-	14117060	0.987	0.987
gene:TraesCS3B03G0058000	Chr3B	16194029	16197637	-	16195833	Chr3B	14137376	14140984	-	14139180	1.0	1.0
gene:TraesCS3B03G0058200	Chr3B	16220505	16234337	-	16227421	Chr3B	14163920	14177790	-	14170855	1.0	1.0
gene:TraesCS3B03G0058300	Chr3B	16234949	16236097	+	16235523	Chr3B	14178402	14179550	+	14178976	1.0	1.0
gene:TraesCS3B03G0058500	Chr3B	16294338	16311959	-	16303148	Chr3B	14237131	14254299	-	14245715	1.0	1.0
gene:TraesCS3B03G0058800	Chr3B	16336336	16337294	-	16336815	Chr3B	14278404	14279362	-	14278883	1.0	1.0
gene:TraesCS3B03G0058900	Chr3B	16337986	16339408	+	16338697	Chr3B	14280054	14281476	+	14280765	1.0	1.0
gene:TraesCS3B03G0059100	Chr3B	16346206	16348027	+	16347116	Chr3B	14288129	14289950	+	14289039	1.0	1.0
gene:TraesCS3B03G0059900	Chr3B	16595969	16597796	+	16596882	Chr3B	14529929	14531756	+	14530842	1.0	1.0
gene:TraesCS3B03G0060000	Chr3B	16599118	16600593	+	16599855	Chr3B	14533078	14534553	+	14533815	1.0	1.0
gene:TraesCS3B03G0060100	Chr3B	16639543	16641393	+	16640468	Chr3B	14573680	14575530	+	14574605	1.0	1.0
gene:TraesCS3B03G0060600	Chr3B	16689738	16691550	+	16690644	Chr3B	14624321	14626133	+	14625227	1.0	1.0
gene:TraesCS3B03G0060700	Chr3B	16729361	16731316	+	16730338	Chr3B	14662874	14664829	+	14663851	1.0	1.0
gene:TraesCS3B03G0060900	Chr3B	16780490	16785416	+	16782953	Chr3B	14714157	14719083	+	14716620	1.0	1.0
gene:TraesCS3B03G0061000	Chr3B	16786385	16787808	-	16787096	Chr3B	14720052	14721475	-	14720763	1.0	1.0
gene:TraesCS3B03G0061200	Chr3B	16791104	16792637	+	16791870	Chr3B	14726553	14728086	+	14727319	1.0	1.0
gene:TraesCS3B03G0061300	Chr3B	16822626	16823847	+	16823236	Chr3B	14753202	14754423	+	14753812	1.0	1.0
gene:TraesCS3B03G0061500	Chr3B	17008884	17010546	+	17009715	Chr3B	14939351	14941013	+	14940182	1.0	1.0
gene:TraesCS3B03G0061600	Chr3B	17034518	17035625	+	17035071	Chr3B	14964983	14966090	+	14965536	1.0	1.0
gene:TraesCS3B03G0061700	Chr3B	17050106	17051521	+	17050813	Chr3B	14980619	14982034	+	14981326	1.0	1.0
gene:TraesCS3B03G0061800	Chr3B	17053569	17054760	+	17054164	Chr3B	14984083	14985274	+	14984678	1.0	1.0
gene:TraesCS3B03G0062200	Chr3B	17068676	17069813	-	17069244	Chr3B	14999248	15000385	-	14999816	1.0	1.0
gene:TraesCS3B03G0062500	Chr3B	17152120	17160125	-	17156122	Chr3B	15082654	15090925	-	15086789	1.0	1.0
gene:TraesCS3B03G0063100	Chr3B	17216773	17218407	-	17217590	Chr3B	15142631	15144265	-	15143448	1.0	0.993
gene:TraesCS3B03G0063200	Chr3B	17230424	17233961	-	17232192	Chr3B	15156433	15160070	-	15158251	1.0	0.999
gene:TraesCS3B03G0063300	Chr3B	17237828	17239182	-	17238505	Chr3B	15163936	15165290	-	15164613	1.0	0.998
gene:TraesCS3B03G0063400	Chr3B	17250518	17252886	+	17251702	Chr3B	15176624	15179156	+	15177890	1.0	1.0
gene:TraesCS3B03G0063700	Chr3B	17487044	17487576	+	17487310	Chr3B	15225617	15226149	+	15225883	1.0	1.0
gene:TraesCS3B03G0063800	Chr3B	17493655	17495049	+	17494352	Chr3B	15232228	15233622	+	15232925	1.0	1.0
gene:TraesCS3B03G0064000	Chr3B	17525110	17526615	-	17525862	Chr3B	15263658	15265045	-	15264351	0.914	0.914
gene:TraesCS3B03G0064400	Chr3B	17646958	17649498	-	17648228	Chr3B	15385819	15388427	-	15387123	1.0	1.0
gene:TraesCS3B03G0064500	Chr3B	17653463	17653684	+	17653573	Chr3B	15392392	15392613	+	15392502	1.0	1.0
gene:TraesCS3B03G0064600	Chr3B	17661266	17665293	+	17663279	Chr3B	15400195	15404222	+	15402208	1.0	1.0
gene:TraesCS3B03G0064900	Chr3B	17743154	17744549	-	17743851	Chr3B	15479003	15480398	-	15479700	1.0	1.0
gene:TraesCS3B03G0065000	Chr3B	17747202	17752045	+	17749623	Chr3B	15483051	15487894	+	15485472	1.0	1.0
gene:TraesCS3B03G0065200	Chr3B	17814510	17818105	+	17816307	Chr3B	15550647	15554242	+	15552444	1.0	1.0
