gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	MOV_tgt_strand	MOV_tgt_midpoint	MOV_coverage	MOV_identity
gene:TraesCS5A03G0006400	Chr5A	3312509	3313435	+	3312972	Chr5A	3338781	3339707	+	3339244	1.0	0.992
gene:TraesCS5A03G0006500	Chr5A	3315802	3317881	-	3316841	Chr5A	3341917	3343935	-	3342926	0.992	0.991
gene:TraesCS5A03G0006600	Chr5A	3318157	3321929	-	3320043	Chr5A	3344211	3347997	-	3346104	0.991	0.972
gene:TraesCS5A03G0006700	Chr5A	3323908	3324402	+	3324155	Chr5A	3349967	3350461	+	3350214	1.0	0.997
gene:TraesCS5A03G0006800	Chr5A	3330540	3332847	+	3331693	Chr5A	3353892	3356195	+	3355043	1.0	0.999
gene:TraesCS5A03G0007000	Chr5A	3335666	3337315	-	3336490	Chr5A	3359003	3360639	-	3359821	0.992	0.986
gene:TraesCS5A03G0007500	Chr5A	3522415	3524184	-	3523299	Chr5A	3399053	3400820	-	3399936	0.998	0.988
gene:TraesCS5A03G0007700	Chr5A	3551523	3556494	-	3554008	Chr5A	3427032	3432003	-	3429517	1.0	0.999
gene:TraesCS5A03G0007900	Chr5A	3632961	3634579	+	3633770	Chr5A	3515007	3516590	+	3515798	0.971	0.95
gene:TraesCS5A03G0008000	Chr5A	3769384	3773677	+	3771530	Chr5A	3629956	3634248	+	3632102	1.0	0.998
gene:TraesCS5A03G0008100	Chr5A	3774296	3777820	-	3776058	Chr5A	3634867	3638402	-	3636634	1.0	0.997
gene:TraesCS5A03G0008300	Chr5A	3796488	3802877	-	3799682	Chr5A	3656095	3662436	-	3659265	0.985	0.985
gene:TraesCS5A03G0008600	Chr5A	3869700	3875455	-	3872577	Chr5A	3721003	3726758	-	3723880	1.0	1.0
gene:TraesCS5A03G0008900	Chr5A	3992185	3995626	+	3993905	Chr5A	3836911	3840343	+	3838627	0.994	0.99
gene:TraesCS5A03G0009200	Chr5A	4072714	4080157	+	4076435	Chr5A	3914224	3921669	+	3917946	1.0	1.0
gene:TraesCS5A03G0009300	Chr5A	4081207	4083626	+	4082416	Chr5A	3922717	3925136	+	3923926	1.0	1.0
gene:TraesCS5A03G0009400	Chr5A	4100653	4103564	-	4102108	Chr5A	3942181	3945090	-	3943635	1.0	1.0
gene:TraesCS5A03G0009500	Chr5A	4120412	4124180	-	4122296	Chr5A	3961936	3965704	-	3963820	1.0	1.0
gene:TraesCS5A03G0009700	Chr5A	4186460	4199135	+	4192797	Chr5A	4045503	4058178	+	4051840	1.0	1.0
gene:TraesCS5A03G0009900	Chr5A	4216771	4219824	+	4218297	Chr5A	4075812	4078865	+	4077338	1.0	1.0
gene:TraesCS5A03G0010100	Chr5A	4264649	4265629	-	4265139	Chr5A	4123744	4124724	-	4124234	1.0	0.998
gene:TraesCS5A03G0010300	Chr5A	4274826	4278699	-	4276762	Chr5A	4133922	4137795	-	4135858	1.0	1.0
gene:TraesCS5A03G0010400	Chr5A	4289135	4289901	+	4289518	Chr5A	4148231	4148997	+	4148614	1.0	1.0
gene:TraesCS5A03G0010500	Chr5A	4295044	4309997	+	4302520	Chr5A	4154141	4169106	+	4161623	1.0	1.0
gene:TraesCS5A03G0010800	Chr5A	4324864	4327830	-	4326347	Chr5A	4180513	4183616	-	4182064	0.931	0.92
gene:TraesCS5A03G0010900	Chr5A	4334824	4335825	-	4335324	Chr5A	4262393	4263394	-	4262893	1.0	0.994
gene:TraesCS5A03G0011000	Chr5A	4338873	4349382	+	4344127	Chr5A	4267106	4277608	+	4272357	1.0	0.996
gene:TraesCS5A03G0011300	Chr5A	4421557	4424972	+	4423264	Chr5A	4348726	4352142	+	4350434	1.0	0.999
gene:TraesCS5A03G0011400	Chr5A	4427274	4431603	+	4429438	Chr5A	4353895	4358222	+	4356058	1.0	0.998
gene:TraesCS5A03G0011500	Chr5A	4458508	4461918	+	4460213	Chr5A	4368030	4371456	+	4369743	1.0	0.995
gene:TraesCS5A03G0013200	Chr5A	4919883	4925344	+	4922613	Chr5A	4777921	4783377	+	4780649	1.0	0.993
gene:TraesCS5A03G0013300	Chr5A	4930158	4933157	-	4931657	Chr5A	4817085	4819195	-	4818140	1.0	0.994
gene:TraesCS5A03G0013900	Chr5A	4955513	4957493	+	4956503	Chr5A	4841851	4843832	+	4842841	1.0	0.992
gene:TraesCS5A03G0014100	Chr5A	4985496	4986139	-	4985817	Chr5A	4855480	4856123	-	4855801	1.0	0.981
gene:TraesCS5A03G0015400	Chr5A	5201460	5203706	+	5202583	Chr5A	5063643	5065889	+	5064766	1.0	0.999
gene:TraesCS5A03G0015700	Chr5A	5513746	5517685	+	5515715	Chr5A	5935778	5939718	+	5937748	1.0	0.999
gene:TraesCS5A03G0016200	Chr5A	5595617	5601458	+	5598537	Chr5A	6000736	6006436	+	6003586	1.0	0.998
gene:TraesCS5A03G0017300	Chr5A	5963526	5964147	-	5963836	Chr5A	6163435	6164055	-	6163745	0.998	0.996
gene:TraesCS5A03G0017400	Chr5A	5969124	5969789	-	5969456	Chr5A	6169046	6169711	-	6169378	1.0	0.996
gene:TraesCS5A03G0017500	Chr5A	6014157	6019058	-	6016607	Chr5A	6214079	6218946	-	6216512	0.987	0.986
gene:TraesCS5A03G0017800	Chr5A	6121420	6125041	-	6123230	Chr5A	6339011	6342635	-	6340823	1.0	0.993
gene:TraesCS5A03G0018600	Chr5A	6449947	6462537	+	6456242	Chr5A	6738844	6751432	+	6745138	1.0	0.997
gene:TraesCS5A03G0018900	Chr5A	6859842	6878845	+	6869343	Chr5A	7147161	7166568	+	7156864	1.0	0.997
gene:TraesCS5A03G0019200	Chr5A	7127244	7130490	-	7128867	Chr5A	7399723	7402990	-	7401356	1.0	0.988
gene:TraesCS5A03G0019300	Chr5A	7146913	7157001	+	7151957	Chr5A	7419410	7429604	+	7424507	0.993	0.97
gene:TraesCS5A03G0019500	Chr5A	7302024	7303817	+	7302920	Chr5A	7618790	7620583	+	7619686	1.0	0.995
gene:TraesCS5A03G0019600	Chr5A	7304442	7323297	+	7313869	Chr5A	7621208	7634902	+	7628055	0.997	0.995
gene:TraesCS5A03G0020600	Chr5A	7409534	7412849	+	7411191	Chr5A	7769977	7773238	+	7771607	0.964	0.954
gene:TraesCS5A03G0020700	Chr5A	7443708	7446821	-	7445264	Chr5A	7803424	7806418	-	7804921	1.0	0.995
gene:TraesCS5A03G0020800	Chr5A	7567427	7569538	+	7568482	Chr5A	7935579	7937690	+	7936634	1.0	0.997
gene:TraesCS5A03G0020900	Chr5A	7578368	7580621	+	7579494	Chr5A	7946461	7948714	+	7947587	1.0	0.996
gene:TraesCS5A03G0021000	Chr5A	7595016	7596460	-	7595738	Chr5A	7965252	7966696	-	7965974	1.0	0.991
gene:TraesCS5A03G0021600	Chr5A	7658120	7662278	-	7660199	Chr5A	7995184	7999341	-	7997262	1.0	0.997
gene:TraesCS5A03G0021800	Chr5A	7691295	7692095	+	7691695	Chr5A	8012844	8013644	+	8013244	1.0	0.996
gene:TraesCS5A03G0022100	Chr5A	7735086	7738589	+	7736837	Chr5A	8059325	8062836	+	8061080	0.999	0.989
gene:TraesCS5A03G0022200	Chr5A	7767606	7779699	+	7773652	Chr5A	8100449	8112382	+	8106415	0.995	0.983
gene:TraesCS5A03G0022300	Chr5A	7782872	7788336	+	7785604	Chr5A	8115502	8120964	+	8118233	0.994	0.987
gene:TraesCS5A03G0022400	Chr5A	7789487	7796081	-	7792784	Chr5A	8121763	8128304	-	8125033	1.0	0.986
gene:TraesCS5A03G0023300	Chr5A	7870862	7882905	-	7876883	Chr5A	8209836	8221861	-	8215848	0.995	0.994
gene:TraesCS5A03G0023800	Chr5A	7940806	7941798	-	7941302	Chr5A	8273341	8274333	-	8273837	1.0	0.988
gene:TraesCS5A03G0023900	Chr5A	7965573	7966784	-	7966178	Chr5A	8461327	8462528	-	8461927	0.991	0.986
gene:TraesCS5A03G0024600	Chr5A	8147370	8148388	+	8147879	Chr5A	8634067	8635061	+	8634564	1.0	0.986
gene:TraesCS5A03G0024900	Chr5A	8268730	8270961	-	8269845	Chr5A	8758816	8761037	-	8759926	1.0	0.994
gene:TraesCS5A03G0025000	Chr5A	8330560	8331320	+	8330940	Chr5A	8809409	8810171	+	8809790	1.0	0.994
gene:TraesCS5A03G0025200	Chr5A	8352960	8358898	+	8355929	Chr5A	8839228	8845164	+	8842196	1.0	0.996
gene:TraesCS5A03G0025300	Chr5A	8522478	8524641	+	8523559	Chr5A	8980747	8982911	+	8981829	1.0	0.999
gene:TraesCS5A03G0025400	Chr5A	8524711	8528863	-	8526787	Chr5A	8982981	8987133	-	8985057	1.0	0.998
gene:TraesCS5A03G0025800	Chr5A	8648473	8649403	+	8648938	Chr5A	9037962	9038892	+	9038427	1.0	0.997
gene:TraesCS5A03G0026000	Chr5A	8656475	8657504	+	8656989	Chr5A	9045543	9046572	+	9046057	1.0	0.997
gene:TraesCS5A03G0026200	Chr5A	8665908	8667736	-	8666822	Chr5A	9055299	9057127	-	9056213	1.0	0.997
gene:TraesCS5A03G0026600	Chr5A	8730184	8733043	+	8731613	Chr5A	9119404	9122267	+	9120835	1.0	0.998
gene:TraesCS5A03G0026700	Chr5A	8778276	8780216	+	8779246	Chr5A	9143528	9145468	+	9144498	1.0	0.996
gene:TraesCS5A03G0026900	Chr5A	8814105	8814896	-	8814500	Chr5A	9179217	9180008	-	9179612	1.0	0.997
gene:TraesCS5A03G0027000	Chr5A	8838964	8840127	+	8839545	Chr5A	9204084	9205247	+	9204665	1.0	0.999
gene:TraesCS5A03G0027900	Chr5A	9677168	9677338	+	9677253	Chr5A	10058795	10058965	+	10058880	1.0	1.0
gene:TraesCS5A03G0028100	Chr5A	9690224	9692901	+	9691562	Chr5A	10070587	10073258	+	10071922	1.0	0.995
gene:TraesCS5A03G0028700	Chr5A	9851187	9857576	+	9854381	Chr5A	10240307	10246692	+	10243499	0.998	0.995
gene:TraesCS5A03G0028800	Chr5A	9858552	9864529	+	9861540	Chr5A	10247710	10253698	+	10250704	1.0	0.997
gene:TraesCS5A03G0029100	Chr5A	10114295	10114744	+	10114519	Chr5A	10454180	10454629	+	10454404	1.0	0.995
gene:TraesCS5A03G0029300	Chr5A	10262014	10262538	+	10262276	Chr5A	10622769	10623293	+	10623031	1.0	1.0
gene:TraesCS5A03G0029400	Chr5A	10265922	10267417	+	10266669	Chr5A	10626639	10628135	+	10627387	1.0	0.996
gene:TraesCS5A03G0029500	Chr5A	10317335	10318175	+	10317755	Chr5A	10676804	10677626	+	10677215	0.976	0.974
gene:TraesCS5A03G0030000	Chr5A	10511368	10514727	-	10513047	Chr5A	10878991	10882350	-	10880670	1.0	0.999
gene:TraesCS5A03G0030200	Chr5A	10524836	10525171	-	10525003	Chr5A	10892475	10892810	-	10892642	1.0	0.991
gene:TraesCS5A03G0030600	Chr5A	10930049	10933487	+	10931768	Chr5A	11286384	11289822	+	11288103	1.0	0.997
gene:TraesCS5A03G0030900	Chr5A	10943282	10944054	-	10943668	Chr5A	11299543	11300315	-	11299929	1.0	0.984
gene:TraesCS5A03G0031000	Chr5A	10991585	10992190	-	10991887	Chr5A	11347020	11347625	-	11347322	1.0	0.993
gene:TraesCS5A03G0031500	Chr5A	11231581	11233719	+	11232650	Chr5A	11549686	11551824	+	11550755	1.0	0.995
gene:TraesCS5A03G0031600	Chr5A	11271216	11275164	-	11273190	Chr5A	11605076	11609024	-	11607050	1.0	1.0
gene:TraesCS5A03G0031700	Chr5A	11298923	11300029	-	11299476	Chr5A	11636798	11637904	-	11637351	1.0	0.99
gene:TraesCS5A03G0031800	Chr5A	11321692	11323002	-	11322347	Chr5A	11657698	11659008	-	11658353	1.0	0.996
gene:TraesCS5A03G0031900	Chr5A	11441009	11444083	-	11442546	Chr5A	11784402	11787456	-	11785929	0.993	0.99
gene:TraesCS5A03G0032100	Chr5A	11514200	11515345	-	11514772	Chr5A	11871413	11872558	-	11871985	1.0	0.997
gene:TraesCS5A03G0032200	Chr5A	11537699	11539038	-	11538368	Chr5A	11894699	11896044	-	11895371	1.0	0.998
gene:TraesCS5A03G0032300	Chr5A	11553471	11554906	-	11554188	Chr5A	11910471	11911906	-	11911188	1.0	0.998
gene:TraesCS5A03G0032700	Chr5A	11654193	11660814	-	11657503	Chr5A	12025549	12032168	-	12028858	1.0	0.998
gene:TraesCS5A03G0033000	Chr5A	11694348	11698751	+	11696549	Chr5A	12077010	12081495	+	12079252	0.983	0.977
gene:TraesCS5A03G0033100	Chr5A	11699005	11703374	+	11701189	Chr5A	12081806	12086187	+	12083996	0.994	0.991
gene:TraesCS5A03G0033200	Chr5A	11715248	11715721	-	11715484	Chr5A	12089325	12089798	-	12089561	1.0	1.0
gene:TraesCS5A03G0033500	Chr5A	11715248	11715721	-	11715484	Chr5A	12089325	12089798	-	12089561	1.0	1.0
gene:TraesCS5A03G0033800	Chr5A	11715248	11715721	-	11715484	Chr5A	12089325	12089798	-	12089561	1.0	1.0
gene:TraesCS5A03G0033600	Chr5A	11715248	11715721	-	11715484	Chr5A	12089325	12089798	-	12089561	1.0	1.0
gene:TraesCS5A03G0034000	Chr5A	11715248	11715721	-	11715484	Chr5A	12089325	12089798	-	12089561	1.0	1.0
gene:TraesCS5A03G0033400	Chr5A	11715248	11715721	-	11715484	Chr5A	12089325	12089798	-	12089561	1.0	1.0
gene:TraesCS5A03G0033700	Chr5A	11715248	11715721	-	11715484	Chr5A	12089325	12089798	-	12089561	1.0	1.0
gene:TraesCS5A03G0033900	Chr5A	11715248	11715721	-	11715484	Chr5A	12089325	12089798	-	12089561	1.0	1.0
gene:TraesCS5A03G0033300	Chr5A	11715248	11715721	-	11715484	Chr5A	12089325	12089798	-	12089561	1.0	1.0
gene:TraesCS5A03G0034100	Chr5A	11885871	11890851	+	11888361	Chr5A	12259960	12264939	+	12262449	1.0	1.0
gene:TraesCS5A03G0034200	Chr5A	11895860	11910107	-	11902983	Chr5A	12269663	12283917	-	12276790	1.0	0.998
gene:TraesCS5A03G0034700	Chr5A	12251749	12256420	-	12254084	Chr5A	12646607	12651404	-	12649005	1.0	0.965
gene:TraesCS5A03G0035400	Chr5A	12529770	12533605	+	12531687	Chr5A	12904819	12908791	+	12906805	0.96	0.926
gene:TraesCS5A03G0035500	Chr5A	12533757	12534928	-	12534342	Chr5A	12908961	12910128	-	12909544	0.988	0.976
gene:TraesCS5A03G0035600	Chr5A	12594684	12599889	+	12597286	Chr5A	12962441	12967676	+	12965058	1.0	1.0
gene:TraesCS5A03G0036100	Chr5A	12887867	12889818	-	12888842	Chr5A	13254449	13256400	-	13255424	1.0	0.998
gene:TraesCS5A03G0036600	Chr5A	12978984	12986405	-	12982694	Chr5A	13345578	13352997	-	13349287	1.0	0.997
gene:TraesCS5A03G0036700	Chr5A	13070935	13074950	+	13072942	Chr5A	13437584	13441599	+	13439591	1.0	1.0
gene:TraesCS5A03G0036800	Chr5A	13077346	13078411	-	13077878	Chr5A	13443995	13445060	-	13444527	1.0	1.0
gene:TraesCS5A03G0037100	Chr5A	13103154	13118433	-	13110793	Chr5A	13468538	13483841	-	13476189	0.995	0.995
gene:TraesCS5A03G0037600	Chr5A	13181189	13183029	-	13182109	Chr5A	13546587	13548427	-	13547507	1.0	1.0
gene:TraesCS5A03G0037900	Chr5A	13554097	13557049	+	13555573	Chr5A	13917418	13920370	+	13918894	1.0	1.0
gene:TraesCS5A03G0038100	Chr5A	13557667	13559988	-	13558827	Chr5A	13920988	13923309	-	13922148	1.0	1.0
gene:TraesCS5A03G0038900	Chr5A	13945951	13947357	-	13946654	Chr5A	14353697	14355103	-	14354400	1.0	1.0
gene:TraesCS5A03G0039100	Chr5A	13973695	13981306	+	13977500	Chr5A	14381443	14389054	+	14385248	1.0	1.0
gene:TraesCS5A03G0039300	Chr5A	14003438	14007677	+	14005557	Chr5A	14411180	14415419	+	14413299	1.0	1.0
gene:TraesCS5A03G0039700	Chr5A	14169905	14170834	-	14170369	Chr5A	14638477	14639406	-	14638941	1.0	1.0
gene:TraesCS5A03G0039800	Chr5A	14170921	14172486	-	14171703	Chr5A	14639493	14641058	-	14640275	1.0	1.0
gene:TraesCS5A03G0040100	Chr5A	14385600	14392560	+	14389080	Chr5A	14855039	14862000	+	14858519	1.0	1.0
gene:TraesCS5A03G0040500	Chr5A	14533373	14537750	+	14535561	Chr5A	15001238	15005615	+	15003426	1.0	1.0
gene:TraesCS5A03G0041100	Chr5A	14654769	14654966	-	14654867	Chr5A	15121717	15121914	-	15121815	1.0	0.994
gene:TraesCS5A03G0041300	Chr5A	14794669	14797167	-	14795918	Chr5A	15259985	15262483	-	15261234	1.0	1.0
gene:TraesCS5A03G0042000	Chr5A	15061413	15062058	-	15061735	Chr5A	15527126	15527770	-	15527448	0.998	0.995
gene:TraesCS5A03G0042100	Chr5A	15065943	15066625	-	15066284	Chr5A	15530175	15530856	-	15530515	0.998	0.998
gene:TraesCS5A03G0042400	Chr5A	15111999	15112510	-	15112254	Chr5A	15576208	15576719	-	15576463	1.0	1.0
gene:TraesCS5A03G0042800	Chr5A	15369639	15373889	-	15371764	Chr5A	15833322	15837583	-	15835452	1.0	0.999
gene:TraesCS5A03G0042900	Chr5A	15376024	15377704	-	15376864	Chr5A	15839718	15841398	-	15840558	1.0	1.0
gene:TraesCS5A03G0043300	Chr5A	16082731	16086382	+	16084556	Chr5A	16542898	16546549	+	16544723	1.0	1.0
gene:TraesCS5A03G0043600	Chr5A	16133993	16134541	-	16134267	Chr5A	16594142	16594690	-	16594416	1.0	1.0
gene:TraesCS5A03G0043700	Chr5A	16141514	16142455	-	16141984	Chr5A	16601671	16602612	-	16602141	1.0	1.0
gene:TraesCS5A03G0043900	Chr5A	16174078	16175132	-	16174605	Chr5A	16634247	16635301	-	16634774	1.0	1.0
gene:TraesCS5A03G0044100	Chr5A	16201077	16201881	-	16201479	Chr5A	16661246	16662050	-	16661648	1.0	1.0
gene:TraesCS5A03G0044200	Chr5A	16212920	16213650	-	16213285	Chr5A	16673093	16673823	-	16673458	1.0	1.0
gene:TraesCS5A03G0044500	Chr5A	16362866	16363541	+	16363203	Chr5A	16781148	16781823	+	16781485	1.0	0.993
gene:TraesCS5A03G0044600	Chr5A	16432509	16433288	+	16432898	Chr5A	16865042	16865821	+	16865431	1.0	0.996
gene:TraesCS5A03G0044800	Chr5A	16442984	16443526	+	16443255	Chr5A	16869880	16870422	+	16870151	1.0	0.985
gene:TraesCS5A03G0045500	Chr5A	16789187	16791889	-	16790538	Chr5A	17237978	17240681	-	17239329	1.0	0.993
gene:TraesCS5A03G0045900	Chr5A	16866872	16868390	-	16867631	Chr5A	17326450	17327958	-	17327204	0.986	0.972
gene:TraesCS5A03G0046800	Chr5A	17790269	17795607	+	17792938	Chr5A	18234697	18240274	+	18237485	1.0	0.997
gene:TraesCS5A03G0046900	Chr5A	17809557	17813693	-	17811625	Chr5A	18254216	18258353	-	18256284	1.0	0.996
gene:TraesCS5A03G0047100	Chr5A	18352947	18355076	-	18354011	Chr5A	18849913	18852042	-	18850977	1.0	0.999
gene:TraesCS5A03G0050500	Chr5A	18910099	18913086	+	18911592	Chr5A	19395725	19398609	+	19397167	0.964	0.962
gene:TraesCS5A03G0050700	Chr5A	18916182	18923705	-	18919943	Chr5A	19401705	19409229	-	19405467	1.0	1.0
gene:TraesCS5A03G0051400	Chr5A	19168016	19170950	-	19169483	Chr5A	19837087	19840009	-	19838548	0.993	0.992
gene:TraesCS5A03G0051900	Chr5A	19226402	19228090	+	19227246	Chr5A	19897660	19899351	+	19898505	1.0	0.992
gene:TraesCS5A03G0053100	Chr5A	19462990	19464886	-	19463938	Chr5A	20100577	20102458	-	20101517	1.0	0.995
gene:TraesCS5A03G0053200	Chr5A	19472218	19473316	+	19472767	Chr5A	20109669	20110765	+	20110217	0.995	0.989
gene:TraesCS5A03G0053400	Chr5A	19513811	19514992	+	19514401	Chr5A	20155268	20156449	+	20155858	1.0	0.998
gene:TraesCS5A03G0053700	Chr5A	19568441	19570112	+	19569276	Chr5A	20211423	20213094	+	20212258	1.0	1.0
gene:TraesCS5A03G0053800	Chr5A	19571726	19572774	+	19572250	Chr5A	20214709	20215757	+	20215233	1.0	0.996
gene:TraesCS5A03G0054100	Chr5A	19617367	19622081	-	19619724	Chr5A	20260341	20265055	-	20262698	1.0	1.0
gene:TraesCS5A03G0054500	Chr5A	19766788	19770491	+	19768639	Chr5A	20409504	20413207	+	20411355	1.0	0.999
gene:TraesCS5A03G0054600	Chr5A	19772527	19775655	+	19774091	Chr5A	20415242	20418370	+	20416806	1.0	1.0
gene:TraesCS5A03G0054700	Chr5A	19778401	19782788	-	19780594	Chr5A	20421116	20425507	-	20423311	1.0	0.998
gene:TraesCS5A03G0055000	Chr5A	20328995	20329780	-	20329387	Chr5A	21113696	21114481	-	21114088	1.0	0.998
gene:TraesCS5A03G0055100	Chr5A	20334747	20336643	+	20335695	Chr5A	21119387	21121284	+	21120335	0.999	0.992
gene:TraesCS5A03G0055300	Chr5A	20514042	20515965	+	20515003	Chr5A	21275384	21277311	+	21276347	0.998	0.993
gene:TraesCS5A03G0055400	Chr5A	20575354	20577091	-	20576222	Chr5A	21339831	21341568	-	21340699	1.0	0.996
gene:TraesCS5A03G0055500	Chr5A	20599716	20601776	-	20600746	Chr5A	21446914	21448974	-	21447944	1.0	0.997
gene:TraesCS5A03G0055600	Chr5A	20606418	20609919	+	20608168	Chr5A	21453630	21457131	+	21455380	1.0	0.998
gene:TraesCS5A03G0055700	Chr5A	20611015	20614386	-	20612700	Chr5A	21458217	21461586	-	21459901	0.999	0.994
gene:TraesCS5A03G0055800	Chr5A	20616397	20619451	+	20617924	Chr5A	21463140	21466194	+	21464667	1.0	0.992
gene:TraesCS5A03G0056600	Chr5A	20700291	20701685	+	20700988	Chr5A	21546720	21548114	+	21547417	1.0	1.0
gene:TraesCS5A03G0056700	Chr5A	20702351	20704621	+	20703486	Chr5A	21548780	21551050	+	21549915	1.0	1.0
gene:TraesCS5A03G0057000	Chr5A	20710659	20715240	-	20712949	Chr5A	21557088	21561503	-	21559295	1.0	1.0
gene:TraesCS5A03G0057100	Chr5A	20727287	20729485	+	20728386	Chr5A	21573554	21575752	+	21574653	1.0	1.0
gene:TraesCS5A03G0057300	Chr5A	20732882	20735140	+	20734011	Chr5A	21579149	21581407	+	21580278	1.0	0.998
gene:TraesCS5A03G0057500	Chr5A	20750309	20754701	-	20752505	Chr5A	21596567	21600959	-	21598763	1.0	1.0
gene:TraesCS5A03G0057600	Chr5A	20794666	20796281	+	20795473	Chr5A	21640861	21642476	+	21641668	1.0	1.0
gene:TraesCS5A03G0058100	Chr5A	20841287	20851033	-	20846160	Chr5A	21689751	21698143	-	21693947	0.999	0.996
gene:TraesCS5A03G0058200	Chr5A	20856434	20857896	-	20857165	Chr5A	21703565	21704979	-	21704272	0.943	0.934
gene:TraesCS5A03G0058300	Chr5A	20885980	20887325	-	20886652	Chr5A	21737903	21739243	-	21738573	0.996	0.993
gene:TraesCS5A03G0058400	Chr5A	20887907	20888664	+	20888285	Chr5A	21739826	21740583	+	21740204	1.0	0.982
gene:TraesCS5A03G0058500	Chr5A	21002079	21004310	+	21003194	Chr5A	21903539	21905777	+	21904658	0.995	0.987
gene:TraesCS5A03G0058900	Chr5A	21040081	21043244	+	21041662	Chr5A	21939510	21942673	+	21941091	1.0	0.994
gene:TraesCS5A03G0059600	Chr5A	21156613	21161181	+	21158897	Chr5A	22034890	22039458	+	22037174	1.0	0.998
gene:TraesCS5A03G0059700	Chr5A	21162743	21166518	+	21164630	Chr5A	22041069	22044846	+	22042957	1.0	0.997
gene:TraesCS5A03G0059800	Chr5A	21168150	21168749	-	21168449	Chr5A	22046478	22047077	-	22046777	1.0	0.995
gene:TraesCS5A03G0060600	Chr5A	21187379	21188974	+	21188176	Chr5A	22057455	22059041	+	22058248	1.0	0.997
gene:TraesCS5A03G0060700	Chr5A	21201520	21207239	-	21204379	Chr5A	22071375	22077090	-	22074232	1.0	0.998
gene:TraesCS5A03G0060800	Chr5A	21472978	21475235	-	21474106	Chr5A	22370533	22372790	-	22371661	1.0	1.0
gene:TraesCS5A03G0061200	Chr5A	21589956	21594154	+	21592055	Chr5A	22598822	22603021	+	22600921	1.0	0.996
gene:TraesCS5A03G0061300	Chr5A	21597723	21600479	+	21599101	Chr5A	22606936	22609616	+	22608276	0.937	0.934
gene:TraesCS5A03G0061900	Chr5A	21839966	21842671	+	21841318	Chr5A	22852352	22855059	+	22853705	1.0	0.999
gene:TraesCS5A03G0062000	Chr5A	21904387	21908249	+	21906318	Chr5A	22904734	22908595	+	22906664	1.0	1.0
gene:TraesCS5A03G0062100	Chr5A	21908882	21911764	-	21910323	Chr5A	22909228	22912105	-	22910666	1.0	0.998
gene:TraesCS5A03G0062600	Chr5A	22725464	22726125	+	22725794	Chr5A	24553522	24554183	+	24553852	1.0	1.0
