gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	MOV_tgt_strand	MOV_tgt_midpoint	MOV_coverage	MOV_identity
gene:TraesCS2B03G0003100	Chr2B	463843	465375	-	464609	Chr2B	578976	580508	-	579742	1.0	1.0
gene:TraesCS2B03G0003300	Chr2B	517984	518190	-	518087	Chr2B	633085	633291	-	633188	1.0	1.0
gene:TraesCS2B03G0003600	Chr2B	568597	573759	-	571178	Chr2B	683691	688853	-	686272	1.0	1.0
gene:TraesCS2B03G0004000	Chr2B	587902	591459	-	589680	Chr2B	702987	706544	-	704765	1.0	1.0
gene:TraesCS2B03G0004100	Chr2B	593205	600260	+	596732	Chr2B	708292	715345	+	711818	1.0	0.999
gene:TraesCS2B03G0005000	Chr2B	794419	800602	-	797510	Chr2B	909602	915785	-	912693	1.0	1.0
gene:TraesCS2B03G0005300	Chr2B	815240	815533	-	815386	Chr2B	930425	930718	-	930571	1.0	1.0
gene:TraesCS2B03G0005500	Chr2B	823285	827294	-	825289	Chr2B	938475	942484	-	940479	1.0	1.0
gene:TraesCS2B03G0005700	Chr2B	963404	964372	+	963888	Chr2B	1078469	1079437	+	1078953	1.0	1.0
gene:TraesCS2B03G0005800	Chr2B	976395	977051	+	976723	Chr2B	1091461	1092117	+	1091789	1.0	1.0
gene:TraesCS2B03G0005900	Chr2B	993279	993881	+	993580	Chr2B	1108423	1109025	+	1108724	1.0	1.0
gene:TraesCS2B03G0006000	Chr2B	1002722	1009665	+	1006193	Chr2B	1117866	1124809	+	1121337	1.0	1.0
gene:TraesCS2B03G0006500	Chr2B	1091608	1092561	-	1092084	Chr2B	1206760	1207713	-	1207236	1.0	1.0
gene:TraesCS2B03G0006600	Chr2B	1094148	1094755	-	1094451	Chr2B	1209300	1209907	-	1209603	1.0	1.0
gene:TraesCS2B03G0006800	Chr2B	1102968	1104198	+	1103583	Chr2B	1218122	1219352	+	1218737	1.0	1.0
gene:TraesCS2B03G0006900	Chr2B	1108051	1109094	-	1108572	Chr2B	1223205	1224248	-	1223726	1.0	1.0
gene:TraesCS2B03G0008300	Chr2B	1951546	1953088	-	1952317	Chr2B	1336170	1337715	-	1336942	0.997	0.976
gene:TraesCS2B03G0008500	Chr2B	1958192	1967818	-	1963005	Chr2B	1342826	1352450	-	1347638	1.0	0.998
gene:TraesCS2B03G0009700	Chr2B	2520260	2520661	-	2520460	Chr2B	1753367	1753770	-	1753568	1.0	1.0
gene:TraesCS2B03G0009900	Chr2B	2672857	2674541	-	2673699	Chr2B	1937394	1939075	-	1938234	0.998	0.994
gene:TraesCS2B03G0010000	Chr2B	2678638	2681094	-	2679866	Chr2B	1943173	1945629	-	1944401	1.0	0.998
gene:TraesCS2B03G0010300	Chr2B	2698016	2703512	+	2700764	Chr2B	1962816	1968322	+	1965569	0.999	0.996
gene:TraesCS2B03G0010400	Chr2B	2717986	2718723	-	2718354	Chr2B	1982800	1983537	-	1983168	1.0	0.991
gene:TraesCS2B03G0010800	Chr2B	2882010	2883720	-	2882865	Chr2B	2189511	2191225	-	2190368	1.0	0.993
gene:TraesCS2B03G0010900	Chr2B	2892074	2894736	+	2893405	Chr2B	2210151	2213168	+	2211659	1.0	0.984
gene:TraesCS2B03G0011000	Chr2B	2916973	2932515	-	2924744	Chr2B	2218166	2228829	-	2223497	0.976	0.968
gene:TraesCS2B03G0011300	Chr2B	2962930	2963370	+	2963150	Chr2B	2250349	2250789	+	2250569	1.0	1.0
gene:TraesCS2B03G0011700	Chr2B	3194437	3195324	-	3194880	Chr2B	4899110	4899997	-	4899553	1.0	0.99
gene:TraesCS2B03G0011900	Chr2B	3212333	3217189	-	3214761	Chr2B	3836103	3840962	+	3838532	0.997	0.991
gene:TraesCS2B03G0014300	Chr2B	4031007	4035278	-	4033142	Chr2B	4630967	4635238	-	4633102	1.0	1.0
gene:TraesCS2B03G0014500	Chr2B	4057416	4065064	-	4061240	Chr2B	4657365	4665007	-	4661186	1.0	0.999
gene:TraesCS2B03G0015000	Chr2B	4111148	4113262	-	4112205	Chr2B	4717816	4719930	-	4718873	1.0	1.0
gene:TraesCS2B03G0015300	Chr2B	4921039	4922226	-	4921632	Chr2B	4987200	4988387	-	4987793	1.0	0.994
gene:TraesCS2B03G0016000	Chr2B	5016726	5020169	+	5018447	Chr2B	5081793	5085236	+	5083514	1.0	1.0
gene:TraesCS2B03G0016200	Chr2B	5031749	5033515	-	5032632	Chr2B	5096817	5098583	-	5097700	1.0	1.0
gene:TraesCS2B03G0016300	Chr2B	5034478	5034879	-	5034678	Chr2B	5099546	5099947	-	5099746	1.0	1.0
gene:TraesCS2B03G0016400	Chr2B	5035649	5037309	-	5036479	Chr2B	5102077	5103737	-	5102907	1.0	0.999
gene:TraesCS2B03G0016700	Chr2B	5058158	5060304	+	5059231	Chr2B	5124616	5126762	+	5125689	1.0	0.999
gene:TraesCS2B03G0016900	Chr2B	5071624	5076306	+	5073965	Chr2B	5138075	5142757	+	5140416	1.0	0.998
gene:TraesCS2B03G0017200	Chr2B	5133457	5135141	-	5134299	Chr2B	5197582	5199266	-	5198424	1.0	0.999
gene:TraesCS2B03G0017300	Chr2B	5224896	5229545	+	5227220	Chr2B	5289027	5293682	+	5291354	1.0	0.998
gene:TraesCS2B03G0017500	Chr2B	5236031	5237507	+	5236769	Chr2B	5300152	5301628	+	5300890	1.0	1.0
gene:TraesCS2B03G0017600	Chr2B	5295192	5296900	-	5296046	Chr2B	5358795	5360503	-	5359649	1.0	1.0
gene:TraesCS2B03G0017700	Chr2B	5393429	5393683	+	5393556	Chr2B	5458827	5459081	+	5458954	1.0	1.0
gene:TraesCS2B03G0018100	Chr2B	5448721	5450259	+	5449490	Chr2B	5514139	5515677	+	5514908	1.0	1.0
gene:TraesCS2B03G0018300	Chr2B	5465459	5467015	-	5466237	Chr2B	5530875	5532431	-	5531653	1.0	1.0
gene:TraesCS2B03G0018400	Chr2B	5488231	5490367	+	5489299	Chr2B	5553649	5555785	+	5554717	1.0	0.998
gene:TraesCS2B03G0018500	Chr2B	5500410	5504869	+	5502639	Chr2B	5565828	5570287	+	5568057	1.0	0.999
gene:TraesCS2B03G0018600	Chr2B	5525526	5527171	-	5526348	Chr2B	5590947	5592592	-	5591769	1.0	1.0
gene:TraesCS2B03G0018700	Chr2B	5530391	5532332	+	5531361	Chr2B	5595813	5597754	+	5596783	1.0	1.0
gene:TraesCS2B03G0018800	Chr2B	5613315	5614067	-	5613691	Chr2B	5678756	5679508	-	5679132	1.0	1.0
gene:TraesCS2B03G0018900	Chr2B	5619058	5620657	+	5619857	Chr2B	5684499	5686098	+	5685298	1.0	1.0
gene:TraesCS2B03G0019000	Chr2B	5640833	5641228	+	5641030	Chr2B	5706226	5706621	+	5706423	1.0	1.0
gene:TraesCS2B03G0019100	Chr2B	5644403	5648377	-	5646390	Chr2B	5709796	5713769	-	5711782	0.999	0.999
gene:TraesCS2B03G0019200	Chr2B	5654103	5657492	+	5655797	Chr2B	5719503	5722892	+	5721197	1.0	1.0
gene:TraesCS2B03G0019300	Chr2B	5657715	5659851	-	5658783	Chr2B	5723115	5725251	-	5724183	1.0	0.999
gene:TraesCS2B03G0019800	Chr2B	5722565	5736933	-	5729749	Chr2B	5787934	5802302	-	5795118	1.0	1.0
gene:TraesCS2B03G0019900	Chr2B	5841563	5854226	+	5847894	Chr2B	5906470	5919131	+	5912800	1.0	1.0
gene:TraesCS2B03G0020000	Chr2B	5857938	5873315	-	5865626	Chr2B	5922853	5938160	-	5930506	1.0	1.0
gene:TraesCS2B03G0020600	Chr2B	6113325	6116343	-	6114834	Chr2B	6186081	6189099	-	6187590	1.0	1.0
gene:TraesCS2B03G0021300	Chr2B	6161766	6163667	-	6162716	Chr2B	6233909	6235873	-	6234891	1.0	0.999
gene:TraesCS2B03G0021600	Chr2B	6188607	6190076	-	6189341	Chr2B	6270561	6272030	-	6271295	1.0	1.0
gene:TraesCS2B03G0022100	Chr2B	6245944	6247230	+	6246587	Chr2B	6327141	6328427	+	6327784	1.0	1.0
gene:TraesCS2B03G0022200	Chr2B	6269901	6271154	+	6270527	Chr2B	6350895	6352148	+	6351521	1.0	0.999
gene:TraesCS2B03G0022400	Chr2B	6456104	6457096	-	6456600	Chr2B	6537152	6538144	-	6537648	1.0	1.0
gene:TraesCS2B03G0022500	Chr2B	6468597	6470870	+	6469733	Chr2B	6549640	6551913	+	6550776	1.0	0.998
gene:TraesCS2B03G0022800	Chr2B	6498923	6502372	+	6500647	Chr2B	6806368	6809835	+	6808101	1.0	1.0
gene:TraesCS2B03G0022900	Chr2B	6504862	6505866	-	6505364	Chr2B	6812325	6813329	-	6812827	1.0	1.0
gene:TraesCS2B03G0023000	Chr2B	6532801	6533683	+	6533242	Chr2B	6798561	6799444	+	6799002	1.0	0.992
gene:TraesCS2B03G0023200	Chr2B	6545063	6548072	-	6546567	Chr2B	6853327	6856351	-	6854839	1.0	0.989
gene:TraesCS2B03G0023300	Chr2B	6570795	6571658	+	6571226	Chr2B	6840387	6841250	+	6840818	1.0	0.998
gene:TraesCS2B03G0023700	Chr2B	6627192	6628976	+	6628084	Chr2B	6895262	6897046	+	6896154	1.0	1.0
gene:TraesCS2B03G0023900	Chr2B	6655874	6658393	+	6657133	Chr2B	6923646	6926165	+	6924905	1.0	1.0
gene:TraesCS2B03G0024000	Chr2B	6699896	6701597	+	6700746	Chr2B	7055487	7057187	+	7056337	0.999	0.995
gene:TraesCS2B03G0024200	Chr2B	6713306	6714708	+	6714007	Chr2B	6979114	6980516	+	6979815	1.0	0.999
gene:TraesCS2B03G0024500	Chr2B	6787357	6789121	+	6788239	Chr2B	6965689	6967453	+	6966571	1.0	1.0
gene:TraesCS2B03G0024700	Chr2B	6821447	6822965	-	6822206	Chr2B	6999206	7000724	-	6999965	1.0	1.0
gene:TraesCS2B03G0024800	Chr2B	6835359	6837114	+	6836236	Chr2B	7013154	7014909	+	7014031	1.0	1.0
gene:TraesCS2B03G0025100	Chr2B	6863809	6865292	-	6864550	Chr2B	7041555	7043038	-	7042296	1.0	0.999
gene:TraesCS2B03G0025300	Chr2B	6882347	6883870	+	6883108	Chr2B	7102461	7103984	+	7103222	1.0	1.0
gene:TraesCS2B03G0025500	Chr2B	6886209	6888033	+	6887121	Chr2B	7106068	7107892	+	7106980	1.0	1.0
gene:TraesCS2B03G0025600	Chr2B	6894552	6896489	-	6895520	Chr2B	7114412	7116349	-	7115380	1.0	0.998
gene:TraesCS2B03G0025700	Chr2B	6898563	6903761	-	6901162	Chr2B	7118423	7123621	-	7121022	1.0	0.999
gene:TraesCS2B03G0027300	Chr2B	7423234	7427119	-	7425176	Chr2B	7540251	7544083	-	7542167	0.996	0.969
gene:TraesCS2B03G0027500	Chr2B	7457794	7474452	+	7466123	Chr2B	7565703	7571575	+	7568639	0.909	0.905
gene:TraesCS2B03G0027600	Chr2B	7480197	7485085	+	7482641	Chr2B	7580746	7585631	+	7583188	1.0	0.993
gene:TraesCS2B03G0027700	Chr2B	7488542	7503846	+	7496194	Chr2B	7589099	7602420	+	7595759	1.0	0.995
gene:TraesCS2B03G0027800	Chr2B	7503853	7505322	-	7504587	Chr2B	7602427	7603896	-	7603161	1.0	0.995
gene:TraesCS2B03G0028100	Chr2B	7550450	7550846	-	7550648	Chr2B	7667322	7667718	-	7667520	1.0	0.971
gene:TraesCS2B03G0028400	Chr2B	7623099	7624529	+	7623814	Chr2B	7637118	7638548	+	7637833	1.0	0.993
gene:TraesCS2B03G0028700	Chr2B	7643082	7646942	+	7645012	Chr2B	7658160	7662018	+	7660089	1.0	0.998
gene:TraesCS2B03G0028900	Chr2B	7658092	7659718	-	7658905	Chr2B	7673168	7674821	-	7673994	1.0	0.973
gene:TraesCS2B03G0029200	Chr2B	7868819	7869526	+	7869172	Chr2B	7714307	7715014	-	7714660	1.0	1.0
gene:TraesCS2B03G0029300	Chr2B	7872274	7875518	-	7873896	Chr2B	7708371	7711507	+	7709939	1.0	0.996
gene:TraesCS2B03G0029600	Chr2B	7890473	7900384	-	7895428	Chr2B	7904709	7914645	-	7909677	1.0	0.985
gene:TraesCS2B03G0029700	Chr2B	7911010	7912109	+	7911559	Chr2B	7932385	7933493	+	7932939	1.0	0.982
gene:TraesCS2B03G0030200	Chr2B	7977648	7979453	+	7978550	Chr2B	7999795	8001601	+	8000698	1.0	0.998
gene:TraesCS2B03G0030300	Chr2B	8006235	8010811	+	8008523	Chr2B	8028635	8033205	+	8030920	1.0	1.0
gene:TraesCS2B03G0030400	Chr2B	8013387	8018171	-	8015779	Chr2B	8054285	8059069	-	8056677	1.0	1.0
gene:TraesCS2B03G0030500	Chr2B	8021978	8025987	+	8023982	Chr2B	8062877	8066886	+	8064881	1.0	1.0
gene:TraesCS2B03G0030600	Chr2B	8028120	8034668	-	8031394	Chr2B	8069019	8075568	-	8072293	1.0	1.0
gene:TraesCS2B03G0030700	Chr2B	8065103	8066982	-	8066042	Chr2B	8098994	8100864	-	8099929	0.991	0.983
gene:TraesCS2B03G0031000	Chr2B	8098223	8098723	+	8098473	Chr2B	8184069	8184569	+	8184319	1.0	0.975
gene:TraesCS2B03G0031100	Chr2B	8101793	8102553	+	8102173	Chr2B	8207697	8208455	+	8208076	1.0	0.965
gene:TraesCS2B03G0033000	Chr2B	8645459	8647142	+	8646300	Chr2B	8542309	8543871	+	8543090	1.0	0.975
gene:TraesCS2B03G0033300	Chr2B	8677011	8677322	+	8677166	Chr2B	8591094	8591405	+	8591249	1.0	0.971
gene:TraesCS2B03G0033400	Chr2B	8696627	8703483	-	8700055	Chr2B	8642057	8649317	-	8645687	1.0	0.984
gene:TraesCS2B03G0033700	Chr2B	8763728	8764291	+	8764009	Chr2B	8718717	8719280	+	8718998	1.0	0.987
gene:TraesCS2B03G0033900	Chr2B	8800833	8804126	-	8802479	Chr2B	8755852	8759145	-	8757498	1.0	0.998
gene:TraesCS2B03G0034000	Chr2B	9042175	9042552	+	9042363	Chr2B	8924615	8924998	+	8924806	1.0	0.911
gene:TraesCS2B03G0034400	Chr2B	9162506	9163054	+	9162780	Chr2B	8872067	8872614	+	8872340	0.997	0.968
gene:TraesCS2B03G0034800	Chr2B	9231046	9234494	+	9232770	Chr2B	8973561	8977012	+	8975286	0.999	0.985
gene:TraesCS2B03G0036800	Chr2B	9689277	9694655	+	9691966	Chr2B	9144360	9149648	+	9147004	1.0	0.985
gene:TraesCS2B03G0036900	Chr2B	9696616	9701784	+	9699200	Chr2B	9151687	9156623	+	9154155	1.0	0.996
gene:TraesCS2B03G0037000	Chr2B	9708622	9713131	-	9710876	Chr2B	9164503	9169017	-	9166760	0.996	0.962
gene:TraesCS2B03G0037600	Chr2B	10352360	10355723	+	10354041	Chr2B	9419096	9422461	+	9420778	1.0	0.995
gene:TraesCS2B03G0037900	Chr2B	10428959	10429546	+	10429252	Chr2B	10157563	10158150	-	10157856	1.0	0.954
gene:TraesCS2B03G0038100	Chr2B	10491592	10494176	+	10492884	Chr2B	10101444	10104028	-	10102736	1.0	0.99
gene:TraesCS2B03G0038200	Chr2B	10588029	10591331	+	10589680	Chr2B	10002602	10005923	-	10004262	1.0	0.998
gene:TraesCS2B03G0038400	Chr2B	10647577	10651198	+	10649387	Chr2B	9929346	9933276	-	9931311	0.993	0.941
gene:TraesCS2B03G0038500	Chr2B	10659178	10659779	-	10659478	Chr2B	9877087	9877688	+	9877387	1.0	0.988
gene:TraesCS2B03G0039900	Chr2B	10878933	10879520	-	10879226	Chr2B	9551100	9551684	+	9551392	0.994	0.948
gene:TraesCS2B03G0040000	Chr2B	10882178	10886156	+	10884167	Chr2B	10161804	10165783	+	10163793	1.0	0.998
gene:TraesCS2B03G0040100	Chr2B	10886848	10888396	-	10887622	Chr2B	10166475	10168023	-	10167249	1.0	1.0
gene:TraesCS2B03G0040200	Chr2B	10903928	10905735	-	10904831	Chr2B	10183564	10185371	-	10184467	1.0	1.0
gene:TraesCS2B03G0040300	Chr2B	10906588	10908620	-	10907604	Chr2B	10186224	10188256	-	10187240	1.0	1.0
gene:TraesCS2B03G0041400	Chr2B	11227892	11229787	-	11228839	Chr2B	10459192	10461087	-	10460139	1.0	0.998
gene:TraesCS2B03G0041600	Chr2B	11261441	11263050	+	11262245	Chr2B	10500043	10501652	+	10500847	1.0	1.0
gene:TraesCS2B03G0041700	Chr2B	11266726	11269064	-	11267895	Chr2B	10505327	10507665	-	10506496	1.0	1.0
gene:TraesCS2B03G0041900	Chr2B	11286708	11288360	+	11287534	Chr2B	10524872	10526524	+	10525698	1.0	0.998
gene:TraesCS2B03G0042000	Chr2B	11291128	11293476	-	11292302	Chr2B	10529292	10531640	-	10530466	1.0	1.0
gene:TraesCS2B03G0042400	Chr2B	11310962	11311999	-	11311480	Chr2B	10533792	10534829	-	10534310	1.0	0.998
gene:TraesCS2B03G0042500	Chr2B	11354501	11355306	-	11354903	Chr2B	10576837	10577642	-	10577239	1.0	1.0
gene:TraesCS2B03G0042700	Chr2B	11421745	11422468	+	11422106	Chr2B	10643675	10644398	+	10644036	1.0	0.998
gene:TraesCS2B03G0043200	Chr2B	11539698	11543017	-	11541357	Chr2B	10852786	10856106	-	10854446	1.0	0.998
gene:TraesCS2B03G0043300	Chr2B	11562536	11562888	+	11562712	Chr2B	10879002	10879353	+	10879177	0.996	0.992
gene:TraesCS2B03G0043800	Chr2B	11608498	11608872	+	11608685	Chr2B	10925145	10925519	+	10925332	1.0	0.994
gene:TraesCS2B03G0044000	Chr2B	11664482	11675152	+	11669817	Chr2B	10981162	10991834	+	10986498	1.0	0.996
gene:TraesCS2B03G0044200	Chr2B	11698264	11711290	-	11704777	Chr2B	11009024	11022056	-	11015540	1.0	0.995
gene:TraesCS2B03G0044500	Chr2B	11728100	11729813	-	11728956	Chr2B	11027565	11029278	-	11028421	1.0	0.998
gene:TraesCS2B03G0044900	Chr2B	11886292	11888004	-	11887148	Chr2B	11110786	11112499	-	11111642	1.0	0.996
gene:TraesCS2B03G0045000	Chr2B	11901573	11904269	+	11902921	Chr2B	11125782	11128478	+	11127130	1.0	0.999
gene:TraesCS2B03G0045200	Chr2B	11908629	11909914	-	11909271	Chr2B	11132933	11134218	-	11133575	1.0	0.997
gene:TraesCS2B03G0045500	Chr2B	11953152	11954641	+	11953896	Chr2B	11471760	11473249	+	11472504	1.0	0.997
gene:TraesCS2B03G0046000	Chr2B	12127147	12129575	+	12128361	Chr2B	11352717	11355146	+	11353931	1.0	0.998
gene:TraesCS2B03G0046100	Chr2B	12230579	12231627	-	12231103	Chr2B	11089039	11090087	-	11089563	1.0	0.994
gene:TraesCS2B03G0046400	Chr2B	12245084	12246319	+	12245701	Chr2B	11181591	11182826	+	11182208	1.0	0.998
gene:TraesCS2B03G0046300	Chr2B	12245024	12246636	+	12245830	Chr2B	11181531	11183143	+	11182337	1.0	0.998
gene:TraesCS2B03G0046600	Chr2B	12298712	12301127	+	12299919	Chr2B	11525648	11528063	+	11526855	1.0	0.997
gene:TraesCS2B03G0046700	Chr2B	12396725	12399054	+	12397889	Chr2B	11622646	11624976	+	11623811	1.0	0.998
gene:TraesCS2B03G0047000	Chr2B	12537971	12540326	+	12539148	Chr2B	11719176	11721530	+	11720353	1.0	0.998
gene:TraesCS2B03G0047100	Chr2B	12584834	12585947	-	12585390	Chr2B	11803708	11804814	-	11804261	1.0	0.994
gene:TraesCS2B03G0047200	Chr2B	12595123	12596934	+	12596028	Chr2B	11814001	11815812	+	11814906	1.0	0.998
gene:TraesCS2B03G0047300	Chr2B	12606495	12608204	+	12607349	Chr2B	11825370	11827085	+	11826227	1.0	0.994
gene:TraesCS2B03G0047400	Chr2B	12616252	12628595	+	12622423	Chr2B	11836099	11848434	+	11842266	1.0	1.0
gene:TraesCS2B03G0047600	Chr2B	12734549	12737361	+	12735955	Chr2B	11954382	11957198	+	11955790	1.0	1.0
gene:TraesCS2B03G0047700	Chr2B	12772668	12777056	+	12774862	Chr2B	11978751	11983139	+	11980945	1.0	1.0
gene:TraesCS2B03G0047800	Chr2B	12781702	12782631	+	12782166	Chr2B	11987784	11988713	+	11988248	1.0	1.0
gene:TraesCS2B03G0047900	Chr2B	12783163	12784476	+	12783819	Chr2B	11989245	11990558	+	11989901	1.0	1.0
gene:TraesCS2B03G0048000	Chr2B	12785502	12793555	-	12789528	Chr2B	11991584	11999637	-	11995610	1.0	1.0
gene:TraesCS2B03G0048100	Chr2B	12795192	12804217	+	12799704	Chr2B	12001274	12010279	+	12005776	1.0	0.999
gene:TraesCS2B03G0048200	Chr2B	12852446	12853800	+	12853123	Chr2B	12058512	12059866	+	12059189	1.0	1.0
gene:TraesCS2B03G0048300	Chr2B	12858646	12859579	+	12859112	Chr2B	12064721	12065654	+	12065187	1.0	1.0
gene:TraesCS2B03G0048400	Chr2B	12864616	12866219	+	12865417	Chr2B	12070689	12072292	+	12071490	1.0	1.0
gene:TraesCS2B03G0048500	Chr2B	12877573	12878121	+	12877847	Chr2B	12085752	12086300	+	12086026	1.0	0.995
gene:TraesCS2B03G0048600	Chr2B	12888956	12891430	-	12890193	Chr2B	12097137	12099614	-	12098375	1.0	0.996
gene:TraesCS2B03G0048700	Chr2B	12902737	12907993	-	12905365	Chr2B	12112076	12117330	-	12114703	0.999	0.996
gene:TraesCS2B03G0048800	Chr2B	12926381	12930952	-	12928666	Chr2B	12133636	12137988	-	12135812	0.98	0.978
gene:TraesCS2B03G0049400	Chr2B	12981259	12981576	+	12981417	Chr2B	12357647	12357964	+	12357805	1.0	0.987
gene:TraesCS2B03G0049600	Chr2B	13071865	13080320	-	13076092	Chr2B	12435317	12443417	-	12439367	1.0	1.0
gene:TraesCS2B03G0050200	Chr2B	13099079	13103584	-	13101331	Chr2B	12462084	12466191	-	12464137	0.999	0.998
gene:TraesCS2B03G0050400	Chr2B	13120432	13121992	-	13121212	Chr2B	12493317	12494883	-	12494100	1.0	0.974
gene:TraesCS2B03G0050600	Chr2B	13132669	13133442	+	13133055	Chr2B	12505759	12506532	+	12506145	1.0	0.997
gene:TraesCS2B03G0050700	Chr2B	13182204	13189613	-	13185908	Chr2B	12552260	12559446	-	12555853	1.0	0.996
gene:TraesCS2B03G0051000	Chr2B	13253976	13259260	-	13256618	Chr2B	12637237	12642799	-	12640018	1.0	0.999
gene:TraesCS2B03G0051100	Chr2B	13285094	13286551	+	13285822	Chr2B	12666319	12667780	+	12667049	1.0	0.945
gene:TraesCS2B03G0051300	Chr2B	13296175	13297080	+	13296627	Chr2B	12683432	12684336	+	12683884	1.0	0.992
gene:TraesCS2B03G0053200	Chr2B	13732514	13733128	-	13732821	Chr2B	12976330	12976944	+	12976637	1.0	0.998
gene:TraesCS2B03G0053300	Chr2B	13909547	13910761	-	13910154	Chr2B	12868325	12869539	+	12868932	1.0	0.994
gene:TraesCS2B03G0053400	Chr2B	13912472	13913471	+	13912971	Chr2B	12865720	12866719	-	12866219	1.0	0.998
gene:TraesCS2B03G0054400	Chr2B	14028498	14030981	-	14029739	Chr2B	13633406	13635887	-	13634646	1.0	0.997
gene:TraesCS2B03G0054500	Chr2B	14079067	14081658	-	14080362	Chr2B	13663600	13666191	-	13664895	1.0	0.998
gene:TraesCS2B03G0058900	Chr2B	15164970	15165835	-	15165402	Chr2B	14028678	14029519	-	14029098	0.968	0.952
gene:TraesCS2B03G0059100	Chr2B	15181002	15185195	+	15183098	Chr2B	13949262	13953468	+	13951365	1.0	0.987
gene:TraesCS2B03G0059200	Chr2B	15183375	15183677	+	15183526	Chr2B	13951648	13951950	+	13951799	1.0	0.993
gene:TraesCS2B03G0059400	Chr2B	15202297	15203277	+	15202787	Chr2B	13970651	13971631	+	13971141	1.0	0.989
gene:TraesCS2B03G0059500	Chr2B	15206589	15220051	+	15213320	Chr2B	13974955	13987414	+	13981184	1.0	0.985
gene:TraesCS2B03G0059700	Chr2B	15236750	15237704	-	15237227	Chr2B	14019686	14020636	-	14020161	0.995	0.987
gene:TraesCS2B03G0059800	Chr2B	15312884	15314326	-	15313605	Chr2B	14941389	14942833	-	14942111	1.0	0.99
gene:TraesCS2B03G0060000	Chr2B	15336749	15339104	+	15337926	Chr2B	13901563	13903928	+	13902745	0.998	0.943
gene:TraesCS2B03G0060700	Chr2B	15391038	15392507	+	15391772	Chr2B	14984290	14985759	+	14985024	1.0	0.996
gene:TraesCS2B03G0060800	Chr2B	15400720	15402557	+	15401638	Chr2B	15013685	15015522	+	15014603	1.0	1.0
gene:TraesCS2B03G0060900	Chr2B	15417072	15419414	-	15418243	Chr2B	15038310	15040646	-	15039478	0.997	0.997
gene:TraesCS2B03G0061000	Chr2B	15476370	15477194	-	15476782	Chr2B	15097332	15098156	-	15097744	1.0	1.0
gene:TraesCS2B03G0061200	Chr2B	15488914	15492486	-	15490700	Chr2B	15109880	15113452	-	15111666	1.0	1.0
gene:TraesCS2B03G0061300	Chr2B	15493665	15495325	-	15494495	Chr2B	15114631	15116291	-	15115461	1.0	1.0
gene:TraesCS2B03G0061500	Chr2B	15502335	15504197	-	15503266	Chr2B	15123302	15125164	-	15124233	1.0	1.0
gene:TraesCS2B03G0061600	Chr2B	15691603	15693102	+	15692352	Chr2B	15312694	15314193	+	15313443	1.0	1.0
gene:TraesCS2B03G0061700	Chr2B	15705799	15711751	+	15708775	Chr2B	15326892	15332839	+	15329865	1.0	1.0
gene:TraesCS2B03G0061800	Chr2B	15714189	15715772	-	15714980	Chr2B	15335278	15336861	-	15336069	1.0	1.0
gene:TraesCS2B03G0061900	Chr2B	15715800	15719528	-	15717664	Chr2B	15336889	15340617	-	15338753	1.0	0.999
