gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Cadenza_v2_tgt_chr	Cadenza_v2_tgt_start	Cadenza_v2_tgt_end	Cadenza_v2_tgt_strand	Cadenza_v2_tgt_midpoint	Cadenza_v2_coverage	Cadenza_v2_identity
gene:TraesCS2D03G0011800	Chr2D	3197099	3201360	-	3199229	Chr2D	4565031	4569292	-	4567161	1.0	1.0
gene:TraesCS2D03G0011900	Chr2D	3232730	3235889	+	3234309	Chr2D	4600662	4603821	+	4602241	1.0	1.0
gene:TraesCS2D03G0012200	Chr2D	3369355	3371216	-	3370285	Chr2D	4737289	4739150	-	4738219	1.0	1.0
gene:TraesCS2D03G0012800	Chr2D	3895658	3906170	+	3900914	Chr2D	5272331	5282843	+	5277587	1.0	1.0
gene:TraesCS2D03G0013000	Chr2D	3919356	3935917	-	3927636	Chr2D	5295458	5311564	-	5303511	0.957	0.957
gene:TraesCS2D03G0013300	Chr2D	4109808	4114155	-	4111981	Chr2D	5481874	5486221	-	5484047	1.0	0.999
gene:TraesCS2D03G0013800	Chr2D	4166648	4170990	-	4168819	Chr2D	5538557	5542899	-	5540728	1.0	0.998
gene:TraesCS2D03G0013900	Chr2D	4172256	4174273	+	4173264	Chr2D	5544165	5546182	+	5545173	1.0	1.0
gene:TraesCS2D03G0014000	Chr2D	4179944	4184680	+	4182312	Chr2D	5551853	5556586	+	5554219	1.0	1.0
gene:TraesCS2D03G0014100	Chr2D	4243317	4245051	-	4244184	Chr2D	5615235	5616969	-	5616102	1.0	0.999
gene:TraesCS2D03G0014200	Chr2D	4250619	4254195	-	4252407	Chr2D	5622537	5626113	-	5624325	1.0	1.0
gene:TraesCS2D03G0014300	Chr2D	4328200	4329737	+	4328968	Chr2D	5699542	5701079	+	5700310	1.0	1.0
gene:TraesCS2D03G0014700	Chr2D	4492798	4494856	+	4493827	Chr2D	5869459	5871517	+	5870488	1.0	1.0
gene:TraesCS2D03G0015000	Chr2D	4524318	4526340	+	4525329	Chr2D	5899988	5902010	+	5900999	1.0	1.0
gene:TraesCS2D03G0015200	Chr2D	4596216	4598522	-	4597369	Chr2D	5969692	5971998	-	5970845	1.0	1.0
gene:TraesCS2D03G0015300	Chr2D	4599137	4603767	-	4601452	Chr2D	5972613	5977243	-	5974928	1.0	1.0
gene:TraesCS2D03G0015600	Chr2D	4734305	4735695	-	4735000	Chr2D	6092274	6093664	-	6092969	1.0	0.999
gene:TraesCS2D03G0016000	Chr2D	4809320	4809583	-	4809451	Chr2D	6167187	6167450	-	6167318	1.0	1.0
gene:TraesCS2D03G0016200	Chr2D	4823399	4823803	-	4823601	Chr2D	6181103	6181507	-	6181305	1.0	1.0
gene:TraesCS2D03G0016100	Chr2D	4823061	4829071	-	4826066	Chr2D	6180765	6186693	-	6183729	1.0	0.999
gene:TraesCS2D03G0016300	Chr2D	4843466	4849235	-	4846350	Chr2D	6200840	6206635	-	6203737	1.0	1.0
gene:TraesCS2D03G0016500	Chr2D	4911154	4954649	+	4932901	Chr2D	6267656	6310176	+	6288916	1.0	1.0
gene:TraesCS2D03G0016700	Chr2D	5299121	5301121	+	5300121	Chr2D	6596287	6598287	+	6597287	1.0	1.0
gene:TraesCS2D03G0016800	Chr2D	5306442	5309418	-	5307930	Chr2D	6603608	6606586	-	6605097	1.0	0.999
gene:TraesCS2D03G0017000	Chr2D	5317537	5320348	-	5318942	Chr2D	6614704	6617515	-	6616109	1.0	1.0
gene:TraesCS2D03G0017100	Chr2D	5336121	5337314	+	5336717	Chr2D	6632779	6633972	+	6633375	1.0	1.0
gene:TraesCS2D03G0017200	Chr2D	5338281	5338646	-	5338463	Chr2D	6634939	6635304	-	6635121	1.0	1.0
gene:TraesCS2D03G0017700	Chr2D	5370754	5371234	-	5370994	Chr2D	6667416	6667896	-	6667656	1.0	1.0
gene:TraesCS2D03G0017800	Chr2D	5378053	5383627	+	5380840	Chr2D	6674715	6680289	+	6677502	1.0	0.999
gene:TraesCS2D03G0017900	Chr2D	5384334	5386356	-	5385345	Chr2D	6680997	6683019	-	6682008	1.0	1.0
gene:TraesCS2D03G0018000	Chr2D	5393682	5394353	+	5394017	Chr2D	6690350	6691021	+	6690685	1.0	1.0
gene:TraesCS2D03G0018200	Chr2D	5395959	5397491	-	5396725	Chr2D	6692627	6694159	-	6693393	1.0	1.0
gene:TraesCS2D03G0018300	Chr2D	5398923	5403947	-	5401435	Chr2D	6695591	6700618	-	6698104	1.0	1.0
gene:TraesCS2D03G0018400	Chr2D	5409881	5411556	-	5410718	Chr2D	6706553	6708228	-	6707390	1.0	1.0
gene:TraesCS2D03G0018600	Chr2D	5448384	5451246	+	5449815	Chr2D	6745073	6747935	+	6746504	1.0	0.999
gene:TraesCS2D03G0018700	Chr2D	5451607	5454771	-	5453189	Chr2D	6748296	6751460	-	6749878	1.0	1.0
gene:TraesCS2D03G0019000	Chr2D	5498066	5508787	-	5503426	Chr2D	6794755	6805483	-	6800119	1.0	1.0
gene:TraesCS2D03G0019100	Chr2D	5512669	5527505	-	5520087	Chr2D	6809364	6824199	-	6816781	1.0	1.0
gene:TraesCS2D03G0019200	Chr2D	5533600	5534335	+	5533967	Chr2D	6830294	6831029	+	6830661	1.0	1.0
gene:TraesCS2D03G0019300	Chr2D	5538783	5542500	+	5540641	Chr2D	6835477	6839194	+	6837335	1.0	1.0
gene:TraesCS2D03G0019400	Chr2D	5543921	5547104	-	5545512	Chr2D	6840615	6843798	-	6842206	1.0	0.999
gene:TraesCS2D03G0019500	Chr2D	5606740	5610279	+	5608509	Chr2D	6903437	6906976	+	6905206	1.0	1.0
gene:TraesCS2D03G0020100	Chr2D	5637453	5638947	+	5638200	Chr2D	6934157	6935651	+	6934904	1.0	1.0
gene:TraesCS2D03G0020200	Chr2D	5641197	5642366	-	5641781	Chr2D	6937901	6939070	-	6938485	1.0	1.0
gene:TraesCS2D03G0020300	Chr2D	5651827	5657640	+	5654733	Chr2D	6948512	6954325	+	6951418	1.0	1.0
gene:TraesCS2D03G0020500	Chr2D	5796717	5798322	-	5797519	Chr2D	7083540	7085145	-	7084342	1.0	1.0
gene:TraesCS2D03G0020600	Chr2D	5800176	5803002	+	5801589	Chr2D	7086999	7089825	+	7088412	1.0	1.0
gene:TraesCS2D03G0020800	Chr2D	5829699	5830322	-	5830010	Chr2D	7116876	7117499	-	7117187	1.0	1.0
gene:TraesCS2D03G0021200	Chr2D	5856192	5856611	-	5856401	Chr2D	7143373	7143792	-	7143582	1.0	1.0
gene:TraesCS2D03G0021400	Chr2D	5882001	5887060	+	5884530	Chr2D	7169187	7174235	+	7171711	1.0	1.0
gene:TraesCS2D03G0021500	Chr2D	5893759	5898807	-	5896283	Chr2D	7180930	7185978	-	7183454	1.0	1.0
gene:TraesCS2D03G0021600	Chr2D	5901903	5903808	+	5902855	Chr2D	7189074	7190958	+	7190016	0.988	0.984
gene:TraesCS2D03G0022000	Chr2D	5940840	5945135	+	5942987	Chr2D	7227659	7231955	+	7229807	1.0	1.0
gene:TraesCS2D03G0022100	Chr2D	5960082	5961948	+	5961015	Chr2D	7246908	7248774	+	7247841	1.0	1.0
gene:TraesCS2D03G0022200	Chr2D	5974338	5981406	+	5977872	Chr2D	7261164	7268232	+	7264698	1.0	1.0
gene:TraesCS2D03G0022500	Chr2D	6088431	6089039	-	6088735	Chr2D	7375305	7375913	-	7375609	1.0	1.0
gene:TraesCS2D03G0022600	Chr2D	6094171	6094876	+	6094523	Chr2D	7381045	7381750	+	7381397	1.0	1.0
gene:TraesCS2D03G0022800	Chr2D	6109221	6109928	+	6109574	Chr2D	7396106	7396813	+	7396459	1.0	1.0
gene:TraesCS2D03G0023000	Chr2D	6132790	6133436	+	6133113	Chr2D	7419675	7420321	+	7419998	1.0	1.0
gene:TraesCS2D03G0023100	Chr2D	6135778	6136523	+	6136150	Chr2D	7422662	7423407	+	7423034	1.0	1.0
gene:TraesCS2D03G0023900	Chr2D	6414298	6417163	+	6415730	Chr2D	7700349	7703214	+	7701781	1.0	1.0
gene:TraesCS2D03G0024400	Chr2D	6632578	6639770	-	6636174	Chr2D	7918503	7925695	-	7922099	1.0	1.0
gene:TraesCS2D03G0024700	Chr2D	6714610	6716551	+	6715580	Chr2D	8000563	8002504	+	8001533	1.0	1.0
gene:TraesCS2D03G0024800	Chr2D	6729129	6732626	+	6730877	Chr2D	8015098	8018595	+	8016846	1.0	1.0
gene:TraesCS2D03G0025100	Chr2D	6799868	6803674	+	6801771	Chr2D	8085894	8089700	+	8087797	1.0	0.996
gene:TraesCS2D03G0025200	Chr2D	6805875	6809559	+	6807717	Chr2D	8091900	8095584	+	8093742	1.0	1.0
gene:TraesCS2D03G0025700	Chr2D	6841213	6849674	-	6845443	Chr2D	8127233	8135671	-	8131452	1.0	0.986
gene:TraesCS2D03G0026100	Chr2D	6864392	6870222	+	6867307	Chr2D	8150387	8156217	+	8153302	1.0	1.0
gene:TraesCS2D03G0026200	Chr2D	6870573	6877556	+	6874064	Chr2D	8156568	8163549	+	8160058	1.0	1.0
gene:TraesCS2D03G0026500	Chr2D	6909158	6910618	-	6909888	Chr2D	8195025	8196485	-	8195755	1.0	1.0
gene:TraesCS2D03G0026400	Chr2D	6907843	6912185	+	6910014	Chr2D	8193714	8198052	+	8195883	0.998	0.998
gene:TraesCS2D03G0026900	Chr2D	7031556	7033022	-	7032289	Chr2D	8317839	8319305	-	8318572	1.0	1.0
gene:TraesCS2D03G0027100	Chr2D	7101625	7102485	-	7102055	Chr2D	8386304	8387164	-	8386734	1.0	1.0
gene:TraesCS2D03G0027200	Chr2D	7105740	7108299	-	7107019	Chr2D	8390242	8392801	-	8391521	1.0	1.0
gene:TraesCS2D03G0027500	Chr2D	7201869	7205584	+	7203726	Chr2D	8486456	8490171	+	8488313	1.0	1.0
gene:TraesCS2D03G0027600	Chr2D	7251969	7253899	+	7252934	Chr2D	8536575	8538505	+	8537540	1.0	1.0
gene:TraesCS2D03G0027700	Chr2D	7263382	7267488	+	7265435	Chr2D	8547988	8552094	+	8550041	1.0	1.0
gene:TraesCS2D03G0027800	Chr2D	7272717	7275277	-	7273997	Chr2D	8557323	8559885	-	8558604	1.0	0.999
gene:TraesCS2D03G0028000	Chr2D	7285820	7288487	-	7287153	Chr2D	8570430	8573097	-	8571763	1.0	1.0
gene:TraesCS2D03G0028100	Chr2D	7289911	7293329	-	7291620	Chr2D	8574515	8577933	-	8576224	1.0	1.0
gene:TraesCS2D03G0028200	Chr2D	7347583	7351762	+	7349672	Chr2D	8632238	8636417	+	8634327	1.0	1.0
gene:TraesCS2D03G0028400	Chr2D	7366138	7369068	+	7367603	Chr2D	8650794	8653724	+	8652259	1.0	1.0
gene:TraesCS2D03G0028500	Chr2D	7396463	7399033	-	7397748	Chr2D	8681103	8683672	-	8682387	0.999	0.999
gene:TraesCS2D03G0028600	Chr2D	7400814	7402150	-	7401482	Chr2D	8684262	8685598	-	8684930	1.0	1.0
gene:TraesCS2D03G0028700	Chr2D	7425485	7426330	-	7425907	Chr2D	8708943	8709788	-	8709365	1.0	1.0
gene:TraesCS2D03G0028800	Chr2D	7437076	7437874	-	7437475	Chr2D	8720536	8721334	-	8720935	1.0	1.0
gene:TraesCS2D03G0029200	Chr2D	7719358	7720682	-	7720020	Chr2D	9000036	9001360	-	9000698	1.0	0.998
gene:TraesCS2D03G0029300	Chr2D	7721116	7723894	-	7722505	Chr2D	9001794	9004572	-	9003183	1.0	1.0
gene:TraesCS2D03G0029400	Chr2D	7781817	7783372	-	7782594	Chr2D	9061718	9063273	-	9062495	1.0	0.998
gene:TraesCS2D03G0029500	Chr2D	7838509	7840832	-	7839670	Chr2D	9118395	9120718	-	9119556	1.0	1.0
gene:TraesCS2D03G0029700	Chr2D	7859966	7860990	-	7860478	Chr2D	9139842	9140866	-	9140354	1.0	1.0
gene:TraesCS2D03G0029900	Chr2D	7889041	7890652	+	7889846	Chr2D	9168916	9170527	+	9169721	1.0	1.0
gene:TraesCS2D03G0030700	Chr2D	8158483	8162726	+	8160604	Chr2D	9261027	9265270	+	9263148	1.0	1.0
gene:TraesCS2D03G0030800	Chr2D	8163605	8165722	-	8164663	Chr2D	9266149	9268266	-	9267207	1.0	1.0
gene:TraesCS2D03G0031100	Chr2D	8185145	8186923	-	8186034	Chr2D	9287688	9289466	-	9288577	1.0	1.0
gene:TraesCS2D03G0031600	Chr2D	8357241	8362457	+	8359849	Chr2D	9459816	9465032	+	9462424	1.0	1.0
gene:TraesCS2D03G0031700	Chr2D	8410031	8414492	+	8412261	Chr2D	9512614	9517075	+	9514844	1.0	1.0
gene:TraesCS2D03G0031900	Chr2D	8470510	8478428	-	8474469	Chr2D	9573097	9581015	-	9577056	1.0	1.0
gene:TraesCS2D03G0032000	Chr2D	8479292	8486593	+	8482942	Chr2D	9581879	9589180	+	9585529	1.0	1.0
gene:TraesCS2D03G0032100	Chr2D	8490113	8491258	+	8490685	Chr2D	9592701	9593846	+	9593273	1.0	1.0
gene:TraesCS2D03G0032200	Chr2D	8516246	8516506	+	8516376	Chr2D	9618830	9619090	+	9618960	1.0	1.0
gene:TraesCS2D03G0032300	Chr2D	8525474	8527518	+	8526496	Chr2D	9628065	9630109	+	9629087	1.0	1.0
gene:TraesCS2D03G0032400	Chr2D	8534095	8537131	-	8535613	Chr2D	9636685	9639721	-	9638203	1.0	0.999
gene:TraesCS2D03G0032600	Chr2D	8565304	8566825	-	8566064	Chr2D	9667884	9669405	-	9668644	1.0	0.999
gene:TraesCS2D03G0033000	Chr2D	8601873	8606771	-	8604322	Chr2D	9704460	9709358	-	9706909	1.0	0.999
gene:TraesCS2D03G0033600	Chr2D	8659658	8660806	-	8660232	Chr2D	9762253	9763401	-	9762827	1.0	1.0
gene:TraesCS2D03G0033700	Chr2D	8667786	8668577	+	8668181	Chr2D	9770382	9771173	+	9770777	1.0	1.0
gene:TraesCS2D03G0033800	Chr2D	8676450	8683655	-	8680052	Chr2D	9779569	9786776	-	9783172	1.0	0.997
gene:TraesCS2D03G0034000	Chr2D	8747170	8753100	-	8750135	Chr2D	9865564	9871484	-	9868524	1.0	1.0
gene:TraesCS2D03G0034400	Chr2D	8843539	8845264	+	8844401	Chr2D	9963080	9964805	+	9963942	1.0	1.0
gene:TraesCS2D03G0034500	Chr2D	8849983	8850835	+	8850409	Chr2D	9969524	9970376	+	9969950	1.0	1.0
gene:TraesCS2D03G0034800	Chr2D	8854271	8855941	+	8855106	Chr2D	9973812	9975482	+	9974647	1.0	1.0
gene:TraesCS2D03G0035300	Chr2D	8869866	8870537	+	8870201	Chr2D	9989425	9990096	+	9989760	1.0	1.0
gene:TraesCS2D03G0035500	Chr2D	8879365	8880543	+	8879954	Chr2D	9998928	10000106	+	9999517	1.0	1.0
gene:TraesCS2D03G0035600	Chr2D	8899155	8901666	+	8900410	Chr2D	10018717	10021228	+	10019972	1.0	0.998
gene:TraesCS2D03G0035700	Chr2D	8951451	8962051	-	8956751	Chr2D	10071027	10081601	-	10076314	1.0	1.0
gene:TraesCS2D03G0036000	Chr2D	9070785	9073543	+	9072164	Chr2D	10189845	10192603	+	10191224	1.0	1.0
gene:TraesCS2D03G0036600	Chr2D	9155668	9159173	+	9157420	Chr2D	10274745	10278250	+	10276497	1.0	0.999
gene:TraesCS2D03G0036700	Chr2D	9161054	9162385	-	9161719	Chr2D	10280131	10281462	-	10280796	1.0	1.0
gene:TraesCS2D03G0036800	Chr2D	9188083	9189411	+	9188747	Chr2D	10307159	10308487	+	10307823	1.0	1.0
gene:TraesCS2D03G0036900	Chr2D	9258485	9259538	+	9259011	Chr2D	10377576	10378629	+	10378102	1.0	1.0
gene:TraesCS2D03G0038300	Chr2D	9539575	9541245	+	9540410	Chr2D	10658744	10660414	+	10659579	1.0	1.0
gene:TraesCS2D03G0038400	Chr2D	9548546	9550006	+	9549276	Chr2D	10667715	10669175	+	10668445	1.0	1.0
gene:TraesCS2D03G0038500	Chr2D	9560490	9570556	+	9565523	Chr2D	10679659	10689731	+	10684695	1.0	1.0
gene:TraesCS2D03G0038700	Chr2D	9669862	9670584	+	9670223	Chr2D	10789038	10789760	+	10789399	1.0	1.0
gene:TraesCS2D03G0038900	Chr2D	9740013	9743019	+	9741516	Chr2D	10859212	10862218	+	10860715	1.0	1.0
gene:TraesCS2D03G0039200	Chr2D	9754263	9755835	+	9755049	Chr2D	10873464	10875036	+	10874250	1.0	1.0
gene:TraesCS2D03G0039300	Chr2D	9770715	9772196	+	9771455	Chr2D	10889915	10891396	+	10890655	1.0	1.0
gene:TraesCS2D03G0039500	Chr2D	9791865	9794992	-	9793428	Chr2D	10911066	10914202	-	10912634	1.0	1.0
gene:TraesCS2D03G0039600	Chr2D	9800909	9805270	+	9803089	Chr2D	10920117	10924478	+	10922297	1.0	1.0
gene:TraesCS2D03G0039700	Chr2D	9808522	9810012	+	9809267	Chr2D	10927730	10929220	+	10928475	1.0	1.0
gene:TraesCS2D03G0039900	Chr2D	9828802	9830274	-	9829538	Chr2D	10948003	10949475	-	10948739	1.0	1.0
gene:TraesCS2D03G0040100	Chr2D	9902575	9903054	+	9902814	Chr2D	11021826	11022305	+	11022065	1.0	1.0
gene:TraesCS2D03G0040300	Chr2D	9914901	9916447	-	9915674	Chr2D	11034160	11035706	-	11034933	1.0	1.0
gene:TraesCS2D03G0040400	Chr2D	9920142	9921557	-	9920849	Chr2D	11039396	11040811	-	11040103	1.0	1.0
gene:TraesCS2D03G0040500	Chr2D	9948356	9948550	+	9948453	Chr2D	11067610	11067804	+	11067707	1.0	1.0
gene:TraesCS2D03G0040600	Chr2D	9948941	9949051	+	9948996	Chr2D	11068195	11068305	+	11068250	1.0	1.0
gene:TraesCS2D03G0040800	Chr2D	9950121	9951434	+	9950777	Chr2D	11069375	11070688	+	11070031	1.0	1.0
gene:TraesCS2D03G0041000	Chr2D	10019303	10021756	+	10020529	Chr2D	11138573	11141026	+	11139799	1.0	0.999
gene:TraesCS2D03G0041100	Chr2D	10025412	10032959	-	10029185	Chr2D	11144682	11152228	-	11148455	1.0	0.999
gene:TraesCS2D03G0041500	Chr2D	10035956	10037437	+	10036696	Chr2D	11155225	11156706	+	11155965	1.0	1.0
gene:TraesCS2D03G0041600	Chr2D	10040939	10041987	-	10041463	Chr2D	11160208	11161256	-	11160732	1.0	1.0
gene:TraesCS2D03G0041800	Chr2D	10045408	10047305	-	10046356	Chr2D	11164676	11166515	-	11165595	0.965	0.965
gene:TraesCS2D03G0041900	Chr2D	10062398	10064247	+	10063322	Chr2D	11181626	11183475	+	11182550	1.0	1.0
gene:TraesCS2D03G0042000	Chr2D	10074431	10075015	-	10074723	Chr2D	11193666	11194250	-	11193958	1.0	1.0
gene:TraesCS2D03G0043100	Chr2D	10184508	10186580	-	10185544	Chr2D	11305196	11307268	-	11306232	1.0	1.0
gene:TraesCS2D03G0043400	Chr2D	10232327	10234011	+	10233169	Chr2D	11352525	11354209	+	11353367	1.0	1.0
gene:TraesCS2D03G0043600	Chr2D	10257769	10260897	+	10259333	Chr2D	11378009	11381160	+	11379584	1.0	0.999
gene:TraesCS2D03G0043900	Chr2D	10321207	10321701	-	10321454	Chr2D	11439017	11439511	-	11439264	1.0	1.0
gene:TraesCS2D03G0044000	Chr2D	10324672	10327048	-	10325860	Chr2D	11442481	11444857	-	11443669	1.0	1.0
gene:TraesCS2D03G0044200	Chr2D	10336379	10339396	-	10337887	Chr2D	11454233	11457250	-	11455741	1.0	1.0
gene:TraesCS2D03G0044500	Chr2D	10380553	10382346	-	10381449	Chr2D	11497842	11499635	-	11498738	1.0	1.0
gene:TraesCS2D03G0044900	Chr2D	10518384	10519343	+	10518863	Chr2D	11637867	11638826	+	11638346	1.0	1.0
gene:TraesCS2D03G0045000	Chr2D	10519482	10520088	+	10519785	Chr2D	11638965	11639571	+	11639268	1.0	1.0
gene:TraesCS2D03G0045100	Chr2D	10534333	10536045	+	10535189	Chr2D	11653816	11655528	+	11654672	1.0	1.0
gene:TraesCS2D03G0045300	Chr2D	10543043	10548560	+	10545801	Chr2D	11662525	11668042	+	11665283	1.0	1.0
gene:TraesCS2D03G0045400	Chr2D	10556150	10562044	-	10559097	Chr2D	11675457	11681352	-	11678404	1.0	1.0
gene:TraesCS2D03G0045900	Chr2D	10650928	10654216	+	10652572	Chr2D	11769265	11772553	+	11770909	1.0	1.0
gene:TraesCS2D03G0046000	Chr2D	10656825	10659437	-	10658131	Chr2D	11775162	11777774	-	11776468	1.0	1.0
gene:TraesCS2D03G0046200	Chr2D	10717147	10735746	-	10726446	Chr2D	11833491	11849430	-	11841460	1.0	1.0
gene:TraesCS2D03G0046300	Chr2D	10741442	10744271	+	10742856	Chr2D	11855177	11858005	+	11856591	1.0	1.0
gene:TraesCS2D03G0046400	Chr2D	10747881	10749631	+	10748756	Chr2D	11861615	11863365	+	11862490	1.0	1.0
gene:TraesCS2D03G0046500	Chr2D	10753206	10755979	-	10754592	Chr2D	11866881	11869654	-	11868267	1.0	0.999
gene:TraesCS2D03G0046600	Chr2D	10901167	10904686	+	10902926	Chr2D	12094640	12098175	+	12096407	1.0	1.0
gene:TraesCS2D03G0046800	Chr2D	10954892	10957246	+	10956069	Chr2D	12147999	12150353	+	12149176	1.0	1.0
gene:TraesCS2D03G0046900	Chr2D	10962855	10966314	-	10964584	Chr2D	12155962	12159421	-	12157691	1.0	1.0
gene:TraesCS2D03G0047200	Chr2D	10987964	10988266	+	10988115	Chr2D	12181071	12181373	+	12181222	1.0	1.0
gene:TraesCS2D03G0047300	Chr2D	10989327	10991613	-	10990470	Chr2D	12182174	12184458	-	12183316	0.999	0.999
gene:TraesCS2D03G0047400	Chr2D	11039468	11041205	-	11040336	Chr2D	12232071	12233808	-	12232939	1.0	1.0
gene:TraesCS2D03G0047500	Chr2D	11057729	11060001	-	11058865	Chr2D	12250349	12252621	-	12251485	1.0	1.0
gene:TraesCS2D03G0047600	Chr2D	11068046	11071786	-	11069916	Chr2D	12260666	12264406	-	12262536	1.0	1.0
gene:TraesCS2D03G0047700	Chr2D	11072394	11076083	-	11074238	Chr2D	12265014	12268702	-	12266858	1.0	1.0
gene:TraesCS2D03G0047800	Chr2D	11108672	11113493	+	11111082	Chr2D	12301290	12306111	+	12303700	1.0	1.0
gene:TraesCS2D03G0048200	Chr2D	11133776	11142746	-	11138261	Chr2D	12326394	12335373	-	12330883	1.0	1.0
gene:TraesCS2D03G0048300	Chr2D	11146313	11147628	-	11146970	Chr2D	12338940	12340255	-	12339597	1.0	1.0
gene:TraesCS2D03G0048400	Chr2D	11155833	11157797	+	11156815	Chr2D	12348464	12350428	+	12349446	1.0	1.0
