gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Landmark_tgt_chr	Landmark_tgt_start	Landmark_tgt_end	Landmark_tgt_strand	Landmark_tgt_midpoint	Landmark_coverage	Landmark_identity
gene:TraesCS7D03G0007000	Chr7D	2228806	2234143	+	2231474	Chr7D	2217282	2222619	+	2219950	1.0	1.0
gene:TraesCS7D03G0007200	Chr7D	2250873	2256744	+	2253808	Chr7D	2239724	2245595	+	2242659	1.0	1.0
gene:TraesCS7D03G0007300	Chr7D	2256864	2262070	-	2259467	Chr7D	2245715	2250921	-	2248318	1.0	1.0
gene:TraesCS7D03G0007400	Chr7D	2264975	2273161	+	2269068	Chr7D	2253826	2262012	+	2257919	1.0	0.999
gene:TraesCS7D03G0007600	Chr7D	2278478	2284668	-	2281573	Chr7D	2267329	2273701	-	2270515	1.0	1.0
gene:TraesCS7D03G0007800	Chr7D	2290415	2291827	-	2291121	Chr7D	2279256	2280668	-	2279962	1.0	1.0
gene:TraesCS7D03G0007900	Chr7D	2327893	2330761	-	2329327	Chr7D	2318514	2321414	-	2319964	1.0	0.988
gene:TraesCS7D03G0008100	Chr7D	2339553	2341226	-	2340389	Chr7D	2330371	2332044	-	2331207	1.0	1.0
gene:TraesCS7D03G0008300	Chr7D	2344023	2345195	+	2344609	Chr7D	2334841	2336013	+	2335427	1.0	1.0
gene:TraesCS7D03G0008400	Chr7D	2379429	2390488	-	2384958	Chr7D	2370309	2381325	-	2375817	1.0	1.0
gene:TraesCS7D03G0008800	Chr7D	2434315	2435737	+	2435026	Chr7D	2424446	2425868	+	2425157	1.0	1.0
gene:TraesCS7D03G0009200	Chr7D	2527421	2532947	-	2530184	Chr7D	2515019	2520545	-	2517782	1.0	0.999
gene:TraesCS7D03G0009300	Chr7D	2533886	2537181	-	2535533	Chr7D	2521484	2524779	-	2523131	1.0	1.0
gene:TraesCS7D03G0009400	Chr7D	2540503	2541469	+	2540986	Chr7D	2528028	2528994	+	2528511	1.0	1.0
gene:TraesCS7D03G0009500	Chr7D	2542055	2546243	-	2544149	Chr7D	2529580	2533768	-	2531674	1.0	1.0
gene:TraesCS7D03G0009700	Chr7D	2616995	2622421	+	2619708	Chr7D	2607168	2612594	+	2609881	1.0	1.0
gene:TraesCS7D03G0010000	Chr7D	2635314	2645413	+	2640363	Chr7D	2625487	2635586	+	2630536	1.0	1.0
gene:TraesCS7D03G0010100	Chr7D	2645699	2651710	-	2648704	Chr7D	2635872	2641883	-	2638877	1.0	0.999
gene:TraesCS7D03G0010300	Chr7D	2699940	2703571	+	2701755	Chr7D	2690074	2693723	+	2691898	1.0	0.994
gene:TraesCS7D03G0010400	Chr7D	2719052	2723210	+	2721131	Chr7D	2709271	2713429	+	2711350	1.0	0.999
gene:TraesCS7D03G0010500	Chr7D	2732001	2735374	-	2733687	Chr7D	2722153	2725526	-	2723839	1.0	0.999
gene:TraesCS7D03G0011000	Chr7D	2812476	2817119	-	2814797	Chr7D	2774499	2779142	-	2776820	1.0	1.0
gene:TraesCS7D03G0011100	Chr7D	2820284	2820931	-	2820607	Chr7D	2782307	2782954	-	2782630	1.0	0.983
gene:TraesCS7D03G0011300	Chr7D	2839717	2842723	-	2841220	Chr7D	2801182	2804188	-	2802685	1.0	1.0
gene:TraesCS7D03G0011700	Chr7D	2886179	2887647	-	2886913	Chr7D	2847582	2849050	-	2848316	1.0	1.0
gene:TraesCS7D03G0011900	Chr7D	2926331	2932062	-	2929196	Chr7D	2887758	2893489	-	2890623	1.0	0.999
gene:TraesCS7D03G0012000	Chr7D	2970217	2974321	+	2972269	Chr7D	2931522	2935626	+	2933574	1.0	1.0
gene:TraesCS7D03G0012900	Chr7D	3139649	3146957	+	3143303	Chr7D	3104201	3111509	+	3107855	1.0	1.0
gene:TraesCS7D03G0013000	Chr7D	3150713	3153119	+	3151916	Chr7D	3115543	3117949	+	3116746	1.0	1.0
gene:TraesCS7D03G0013200	Chr7D	3185961	3190001	+	3187981	Chr7D	3150473	3154513	+	3152493	1.0	0.999
gene:TraesCS7D03G0013400	Chr7D	3203082	3205448	-	3204265	Chr7D	3173093	3174818	-	3173955	0.993	0.919
gene:TraesCS7D03G0015500	Chr7D	3814265	3821334	+	3817799	Chr7D	3297685	3304671	+	3301178	0.999	0.993
gene:TraesCS7D03G0015700	Chr7D	3924287	3927124	-	3925705	Chr7D	3429858	3432694	-	3431276	1.0	0.998
gene:TraesCS7D03G0018000	Chr7D	4152973	4155247	+	4154110	Chr7D	3691761	3694002	+	3692881	1.0	0.989
gene:TraesCS7D03G0018100	Chr7D	4155984	4167183	-	4161583	Chr7D	3694736	3705965	-	3700350	0.996	0.938
gene:TraesCS7D03G0018600	Chr7D	4227872	4231741	-	4229806	Chr7D	3835012	3838860	-	3836936	0.994	0.981
gene:TraesCS7D03G0019300	Chr7D	4373494	4379132	-	4376313	Chr7D	4039504	4045554	-	4042529	0.991	0.904
gene:TraesCS7D03G0019500	Chr7D	4380371	4385812	-	4383091	Chr7D	4046728	4052169	-	4049448	1.0	1.0
gene:TraesCS7D03G0019600	Chr7D	4385864	4387865	+	4386864	Chr7D	4052221	4054222	+	4053221	1.0	1.0
gene:TraesCS7D03G0019800	Chr7D	4393431	4397150	-	4395290	Chr7D	4059691	4063410	-	4061550	1.0	1.0
gene:TraesCS7D03G0020000	Chr7D	4439657	4444783	-	4442220	Chr7D	4105957	4111083	-	4108520	1.0	1.0
gene:TraesCS7D03G0020100	Chr7D	4565258	4568974	-	4567116	Chr7D	4232239	4235954	-	4234096	0.999	0.999
gene:TraesCS7D03G0020400	Chr7D	4634138	4637358	-	4635748	Chr7D	4301511	4304731	-	4303121	1.0	0.999
gene:TraesCS7D03G0020600	Chr7D	4654978	4659334	-	4657156	Chr7D	4323189	4327545	-	4325367	1.0	0.999
gene:TraesCS7D03G0020900	Chr7D	4730087	4731728	+	4730907	Chr7D	4398137	4399778	+	4398957	1.0	1.0
gene:TraesCS7D03G0021000	Chr7D	4776548	4779729	-	4778138	Chr7D	4444647	4447828	-	4446237	1.0	1.0
gene:TraesCS7D03G0021200	Chr7D	4787934	4791139	-	4789536	Chr7D	4456038	4459243	-	4457640	1.0	0.997
gene:TraesCS7D03G0021400	Chr7D	4865746	4867669	-	4866707	Chr7D	4534181	4536104	-	4535142	1.0	0.997
gene:TraesCS7D03G0021600	Chr7D	4879511	4883149	-	4881330	Chr7D	4547946	4551584	-	4549765	1.0	0.999
gene:TraesCS7D03G0021700	Chr7D	4993157	4993798	+	4993477	Chr7D	4661766	4662407	+	4662086	1.0	0.982
gene:TraesCS7D03G0021800	Chr7D	4995759	5006435	-	5001097	Chr7D	4664374	4675604	-	4669989	0.999	0.995
gene:TraesCS7D03G0022200	Chr7D	5069037	5070965	-	5070001	Chr7D	4739317	4741245	-	4740281	1.0	1.0
gene:TraesCS7D03G0022300	Chr7D	5080642	5082005	-	5081323	Chr7D	4750812	4752175	-	4751493	1.0	1.0
gene:TraesCS7D03G0022500	Chr7D	5156361	5160719	+	5158540	Chr7D	4826281	4831019	+	4828650	1.0	0.999
gene:TraesCS7D03G0023000	Chr7D	5173670	5184406	-	5179038	Chr7D	4843832	4854528	-	4849180	1.0	0.998
gene:TraesCS7D03G0023900	Chr7D	5240086	5241924	+	5241005	Chr7D	4902530	4904368	+	4903449	1.0	0.999
gene:TraesCS7D03G0024000	Chr7D	5257696	5260720	-	5259208	Chr7D	4911344	4914057	-	4912700	0.912	0.91
gene:TraesCS7D03G0024300	Chr7D	5350832	5357886	+	5354359	Chr7D	4980573	4987659	+	4984116	0.999	0.99
gene:TraesCS7D03G0024500	Chr7D	5358011	5359163	-	5358587	Chr7D	4987783	4989160	-	4988471	1.0	0.998
gene:TraesCS7D03G0024600	Chr7D	5370394	5375528	+	5372961	Chr7D	5072500	5077570	+	5075035	0.995	0.963
gene:TraesCS7D03G0024700	Chr7D	5379726	5380734	+	5380230	Chr7D	5081625	5082630	+	5082127	0.996	0.981
gene:TraesCS7D03G0025200	Chr7D	5441521	5445663	-	5443592	Chr7D	5124208	5128350	-	5126279	1.0	0.999
gene:TraesCS7D03G0025300	Chr7D	5447418	5450587	+	5449002	Chr7D	5130105	5133274	+	5131689	1.0	1.0
gene:TraesCS7D03G0025400	Chr7D	5453391	5454989	-	5454190	Chr7D	5136078	5137676	-	5136877	1.0	1.0
gene:TraesCS7D03G0025800	Chr7D	5525637	5531073	-	5528355	Chr7D	5209243	5214679	-	5211961	1.0	1.0
gene:TraesCS7D03G0025900	Chr7D	5533462	5539159	+	5536310	Chr7D	5217400	5223736	+	5220568	1.0	1.0
gene:TraesCS7D03G0026100	Chr7D	5539351	5546645	-	5542998	Chr7D	5223928	5231222	-	5227575	1.0	1.0
gene:TraesCS7D03G0026200	Chr7D	5548227	5549057	+	5548642	Chr7D	5232804	5233634	+	5233219	1.0	1.0
gene:TraesCS7D03G0026500	Chr7D	5558765	5567731	-	5563248	Chr7D	5243343	5252309	-	5247826	1.0	1.0
gene:TraesCS7D03G0026600	Chr7D	5660265	5660726	+	5660495	Chr7D	5351985	5352446	+	5352215	1.0	1.0
gene:TraesCS7D03G0026800	Chr7D	5667198	5670487	+	5668842	Chr7D	5358900	5362189	+	5360544	1.0	1.0
gene:TraesCS7D03G0027100	Chr7D	5684817	5685430	-	5685123	Chr7D	5376515	5377128	-	5376821	1.0	1.0
gene:TraesCS7D03G0027200	Chr7D	5689945	5696449	+	5693197	Chr7D	5381643	5388142	+	5384892	0.999	0.999
gene:TraesCS7D03G0027500	Chr7D	5709595	5711772	-	5710683	Chr7D	5400804	5402981	-	5401892	1.0	0.999
gene:TraesCS7D03G0027700	Chr7D	5736459	5739951	-	5738205	Chr7D	5428362	5431854	-	5430108	1.0	1.0
gene:TraesCS7D03G0027800	Chr7D	5745166	5749744	+	5747455	Chr7D	5437260	5441838	+	5439549	1.0	0.998
gene:TraesCS7D03G0028000	Chr7D	5782905	5784707	+	5783806	Chr7D	5475194	5476996	+	5476095	1.0	1.0
gene:TraesCS7D03G0028100	Chr7D	5801719	5806704	-	5804211	Chr7D	5494598	5499583	-	5497090	1.0	1.0
gene:TraesCS7D03G0028400	Chr7D	5816108	5821345	-	5818726	Chr7D	5508988	5514225	-	5511606	1.0	1.0
gene:TraesCS7D03G0028700	Chr7D	5839445	5843405	-	5841425	Chr7D	5532464	5536424	-	5534444	1.0	1.0
gene:TraesCS7D03G0028800	Chr7D	5866173	5874086	-	5870129	Chr7D	5559131	5567358	-	5563244	1.0	1.0
gene:TraesCS7D03G0029200	Chr7D	5989386	5992001	-	5990693	Chr7D	5684481	5687096	-	5685788	1.0	1.0
gene:TraesCS7D03G0029400	Chr7D	6001014	6003809	-	6002411	Chr7D	5696296	5699091	-	5697693	1.0	1.0
gene:TraesCS7D03G0029700	Chr7D	6091786	6093056	-	6092421	Chr7D	5787205	5788475	-	5787840	1.0	1.0
gene:TraesCS7D03G0030000	Chr7D	6139297	6143157	-	6141227	Chr7D	5834701	5838561	-	5836631	1.0	0.999
gene:TraesCS7D03G0030400	Chr7D	6188468	6190301	+	6189384	Chr7D	5884889	5886722	+	5885805	1.0	1.0
gene:TraesCS7D03G0030500	Chr7D	6333691	6333933	+	6333812	Chr7D	6033170	6033412	+	6033291	1.0	1.0
gene:TraesCS7D03G0030700	Chr7D	6363587	6369866	+	6366726	Chr7D	6063775	6069965	+	6066870	1.0	1.0
gene:TraesCS7D03G0031700	Chr7D	6451280	6455354	+	6453317	Chr7D	6152356	6156431	+	6154393	1.0	1.0
gene:TraesCS7D03G0032100	Chr7D	6702669	6703635	-	6703152	Chr7D	6406698	6407664	-	6407181	1.0	1.0
gene:TraesCS7D03G0032200	Chr7D	6725910	6728735	-	6727322	Chr7D	6430307	6433132	-	6431719	1.0	1.0
gene:TraesCS7D03G0032300	Chr7D	6737403	6739639	-	6738521	Chr7D	6441812	6444048	-	6442930	1.0	1.0
gene:TraesCS7D03G0032400	Chr7D	6749327	6749848	-	6749587	Chr7D	6454154	6454675	-	6454414	1.0	1.0
gene:TraesCS7D03G0032500	Chr7D	6786659	6787027	-	6786843	Chr7D	6492027	6492395	-	6492211	1.0	1.0
gene:TraesCS7D03G0032700	Chr7D	6794039	6794913	+	6794476	Chr7D	6499407	6500281	+	6499844	1.0	1.0
gene:TraesCS7D03G0032800	Chr7D	6818107	6820183	-	6819145	Chr7D	6524828	6526904	-	6525866	1.0	1.0
gene:TraesCS7D03G0032900	Chr7D	6820544	6827092	-	6823818	Chr7D	6527265	6533813	-	6530539	1.0	1.0
gene:TraesCS7D03G0033000	Chr7D	6827271	6831540	+	6829405	Chr7D	6533992	6538261	+	6536126	1.0	1.0
gene:TraesCS7D03G0033100	Chr7D	6831774	6834717	+	6833245	Chr7D	6538495	6541438	+	6539966	1.0	1.0
gene:TraesCS7D03G0033200	Chr7D	6839604	6841430	+	6840517	Chr7D	6546325	6548151	+	6547238	1.0	1.0
gene:TraesCS7D03G0033300	Chr7D	6930735	6932599	+	6931667	Chr7D	6634384	6636248	+	6635316	1.0	1.0
gene:TraesCS7D03G0033400	Chr7D	7042530	7045480	-	7044005	Chr7D	6746490	6749440	-	6747965	1.0	1.0
gene:TraesCS7D03G0033800	Chr7D	7097584	7102366	+	7099975	Chr7D	6802178	6806963	+	6804570	1.0	1.0
gene:TraesCS7D03G0033900	Chr7D	7115748	7119106	-	7117427	Chr7D	6820909	6824652	-	6822780	1.0	0.999
gene:TraesCS7D03G0034000	Chr7D	7126208	7129321	+	7127764	Chr7D	6831561	6834674	+	6833117	1.0	1.0
gene:TraesCS7D03G0034400	Chr7D	7139322	7141221	-	7140271	Chr7D	6844415	6846314	-	6845364	1.0	1.0
gene:TraesCS7D03G0034500	Chr7D	7165452	7165685	+	7165568	Chr7D	6871013	6871246	+	6871129	1.0	1.0
gene:TraesCS7D03G0034900	Chr7D	7429924	7430103	+	7430013	Chr7D	7129376	7129555	+	7129465	1.0	0.994
gene:TraesCS7D03G0035100	Chr7D	7432081	7432269	+	7432175	Chr7D	7131533	7131721	+	7131627	1.0	1.0
gene:TraesCS7D03G0035000	Chr7D	7431827	7434698	-	7433262	Chr7D	7131279	7134150	-	7132714	1.0	1.0
gene:TraesCS7D03G0035200	Chr7D	7436717	7439176	+	7437946	Chr7D	7136169	7138628	+	7137398	1.0	1.0
gene:TraesCS7D03G0035800	Chr7D	7530208	7532630	+	7531419	Chr7D	7229832	7232254	+	7231043	1.0	1.0
gene:TraesCS7D03G0036200	Chr7D	7651162	7658087	-	7654624	Chr7D	7352875	7359800	-	7356337	1.0	1.0
gene:TraesCS7D03G0036300	Chr7D	7658537	7660780	-	7659658	Chr7D	7360250	7362493	-	7361371	1.0	1.0
gene:TraesCS7D03G0036400	Chr7D	7661478	7665197	-	7663337	Chr7D	7363191	7366910	-	7365050	1.0	1.0
gene:TraesCS7D03G0036500	Chr7D	7801942	7803310	+	7802626	Chr7D	7504991	7506359	+	7505675	1.0	0.994
gene:TraesCS7D03G0036600	Chr7D	7803635	7806911	-	7805273	Chr7D	7506684	7509635	-	7508159	0.998	0.989
gene:TraesCS7D03G0036700	Chr7D	7811025	7813078	+	7812051	Chr7D	7513951	7515995	+	7514973	1.0	1.0
gene:TraesCS7D03G0037000	Chr7D	7822729	7823382	-	7823055	Chr7D	7525703	7526356	-	7526029	1.0	0.987
gene:TraesCS7D03G0037200	Chr7D	7851372	7852928	+	7852150	Chr7D	7554277	7555833	+	7555055	1.0	0.995
gene:TraesCS7D03G0037300	Chr7D	7891420	7892988	-	7892204	Chr7D	7592500	7594068	-	7593284	1.0	0.992
gene:TraesCS7D03G0037500	Chr7D	7904938	7907145	+	7906041	Chr7D	7603335	7605542	+	7604438	1.0	0.985
gene:TraesCS7D03G0037600	Chr7D	7917704	7919634	+	7918669	Chr7D	7615898	7617828	+	7616863	1.0	0.997
gene:TraesCS7D03G0040100	Chr7D	8527061	8529751	+	8528406	Chr7D	7780371	7783058	+	7781714	0.998	0.982
gene:TraesCS7D03G0041200	Chr7D	8600205	8601566	+	8600885	Chr7D	7984116	7985509	+	7984812	0.998	0.964
gene:TraesCS7D03G0041300	Chr7D	8602069	8606311	-	8604190	Chr7D	7986014	7990255	-	7988134	0.999	0.996
gene:TraesCS7D03G0041500	Chr7D	8641641	8683479	-	8662560	Chr7D	8003125	8038696	-	8020910	0.936	0.933
gene:TraesCS7D03G0041600	Chr7D	8692848	8697378	-	8695113	Chr7D	8056270	8060800	-	8058535	1.0	0.998
gene:TraesCS7D03G0041900	Chr7D	8703393	8706360	+	8704876	Chr7D	8066834	8069802	+	8068318	1.0	0.997
gene:TraesCS7D03G0042200	Chr7D	8729323	8731074	-	8730198	Chr7D	8171709	8173442	-	8172575	0.98	0.922
gene:TraesCS7D03G0042400	Chr7D	8764448	8772792	-	8768620	Chr7D	8136153	8144494	-	8140323	1.0	0.998
gene:TraesCS7D03G0042500	Chr7D	8780335	8781278	-	8780806	Chr7D	8151823	8152770	-	8152296	1.0	0.991
gene:TraesCS7D03G0042600	Chr7D	8783760	8784387	+	8784073	Chr7D	8155544	8156171	+	8155857	1.0	1.0
gene:TraesCS7D03G0043000	Chr7D	8809130	8810609	-	8809869	Chr7D	8181327	8182806	-	8182066	1.0	0.998
gene:TraesCS7D03G0043100	Chr7D	8812269	8816111	-	8814190	Chr7D	8183670	8187518	-	8185594	1.0	0.987
gene:TraesCS7D03G0043600	Chr7D	8906542	8908571	-	8907556	Chr7D	8278787	8280818	-	8279802	1.0	0.992
gene:TraesCS7D03G0043700	Chr7D	8945922	8946350	-	8946136	Chr7D	8333356	8333784	-	8333570	1.0	0.979
gene:TraesCS7D03G0043800	Chr7D	8989832	8990007	-	8989919	Chr7D	8388542	8388717	-	8388629	1.0	0.994
gene:TraesCS7D03G0044000	Chr7D	9007678	9008118	-	9007898	Chr7D	8430819	8431259	-	8431039	1.0	0.99
gene:TraesCS7D03G0044200	Chr7D	9015869	9016030	-	9015949	Chr7D	8457619	8457780	+	8457699	1.0	0.993
gene:TraesCS7D03G0044400	Chr7D	9038079	9038555	-	9038317	Chr7D	8395713	8396189	-	8395951	1.0	0.983
gene:TraesCS7D03G0044500	Chr7D	9082285	9083856	+	9083070	Chr7D	8467569	8469140	+	8468354	1.0	0.994
gene:TraesCS7D03G0045300	Chr7D	9368185	9368706	-	9368445	Chr7D	8624612	8625133	-	8624872	1.0	0.994
gene:TraesCS7D03G0047000	Chr7D	9636820	9641884	-	9639352	Chr7D	8701623	8706690	-	8704156	1.0	0.994
gene:TraesCS7D03G0047100	Chr7D	9642348	9647312	+	9644830	Chr7D	8707156	8712119	+	8709637	0.999	0.995
gene:TraesCS7D03G0047400	Chr7D	9709899	9711626	+	9710762	Chr7D	8774287	8776012	+	8775149	0.998	0.988
gene:TraesCS7D03G0047800	Chr7D	9730707	9731413	+	9731060	Chr7D	8814720	8815429	+	8815074	1.0	0.991
gene:TraesCS7D03G0049400	Chr7D	10356124	10358772	+	10357448	Chr7D	9093493	9096131	+	9094812	1.0	0.995
gene:TraesCS7D03G0050200	Chr7D	10377049	10378124	+	10377586	Chr7D	9101920	9102995	+	9102457	1.0	0.995
gene:TraesCS7D03G0050400	Chr7D	10405468	10406646	-	10406057	Chr7D	9162206	9163384	-	9162795	1.0	0.995
gene:TraesCS7D03G0052000	Chr7D	10866500	10871299	-	10868899	Chr7D	9188417	9193872	-	9191144	0.998	0.966
gene:TraesCS7D03G0052300	Chr7D	10902680	10904162	-	10903421	Chr7D	9223005	9224490	-	9223747	0.995	0.983
gene:TraesCS7D03G0052500	Chr7D	11019985	11021994	+	11020989	Chr7D	9274875	9276879	+	9275877	0.989	0.975
gene:TraesCS7D03G0052600	Chr7D	11022566	11024797	+	11023681	Chr7D	9277451	9279687	+	9278569	1.0	0.99
gene:TraesCS7D03G0052700	Chr7D	11024983	11025588	+	11025285	Chr7D	9279873	9280478	+	9280175	1.0	0.996
gene:TraesCS7D03G0052800	Chr7D	11111603	11112606	+	11112104	Chr7D	9353926	9354887	+	9354406	0.954	0.9
gene:TraesCS7D03G0052900	Chr7D	11117544	11119073	+	11118308	Chr7D	9365822	9367363	+	9366592	1.0	0.981
gene:TraesCS7D03G0053900	Chr7D	11323512	11328407	+	11325959	Chr7D	9595394	9600289	+	9597841	1.0	0.999
gene:TraesCS7D03G0054000	Chr7D	11376382	11377575	+	11376978	Chr7D	9638827	9640020	+	9639423	1.0	0.998
gene:TraesCS7D03G0054100	Chr7D	11379695	11382219	-	11380957	Chr7D	9642141	9644665	-	9643403	1.0	1.0
gene:TraesCS7D03G0054200	Chr7D	11435436	11436531	-	11435983	Chr7D	9698032	9699139	-	9698585	1.0	1.0
gene:TraesCS7D03G0054500	Chr7D	11569127	11570200	+	11569663	Chr7D	9831903	9832976	+	9832439	1.0	0.998
gene:TraesCS7D03G0055000	Chr7D	11627497	11634848	-	11631172	Chr7D	9888782	9896010	-	9892396	1.0	1.0
gene:TraesCS7D03G0055600	Chr7D	11725501	11727900	-	11726700	Chr7D	9974384	9976831	-	9975607	1.0	0.997
gene:TraesCS7D03G0055700	Chr7D	11728834	11730683	-	11729758	Chr7D	9977782	9979631	-	9978706	1.0	0.991
gene:TraesCS7D03G0055800	Chr7D	11731280	11736454	-	11733867	Chr7D	9980228	9985386	-	9982807	0.993	0.992
gene:TraesCS7D03G0055900	Chr7D	11787653	11788291	-	11787972	Chr7D	10027204	10027842	-	10027523	1.0	0.996
gene:TraesCS7D03G0056600	Chr7D	11905937	11909595	-	11907766	Chr7D	10110180	10113839	-	10112009	1.0	0.999
gene:TraesCS7D03G0056700	Chr7D	11934965	11938985	+	11936975	Chr7D	10139006	10143026	+	10141016	1.0	0.999
gene:TraesCS7D03G0056800	Chr7D	11942273	11943273	+	11942773	Chr7D	10146342	10147342	+	10146842	1.0	0.996
gene:TraesCS7D03G0057000	Chr7D	11963187	11972341	+	11967764	Chr7D	10167756	10176910	+	10172333	1.0	0.999
gene:TraesCS7D03G0057100	Chr7D	11973144	11977583	-	11975363	Chr7D	10177713	10182551	-	10180132	1.0	1.0
gene:TraesCS7D03G0057300	Chr7D	12005583	12006702	-	12006142	Chr7D	10210797	10211913	-	10211355	0.997	0.997
gene:TraesCS7D03G0057700	Chr7D	12026251	12027868	-	12027059	Chr7D	10230868	10232485	-	10231676	1.0	0.997
gene:TraesCS7D03G0058400	Chr7D	12593304	12594041	+	12593672	Chr7D	10635790	10636527	+	10636158	1.0	0.998
gene:TraesCS7D03G0058500	Chr7D	12649083	12649933	+	12649508	Chr7D	10691125	10691975	+	10691550	1.0	0.998
gene:TraesCS7D03G0059000	Chr7D	12710910	12711648	-	12711279	Chr7D	10751063	10751801	-	10751432	1.0	1.0
gene:TraesCS7D03G0059200	Chr7D	12901630	12902444	-	12902037	Chr7D	10942534	10943348	-	10942941	1.0	1.0
gene:TraesCS7D03G0059300	Chr7D	12909879	12910644	+	12910261	Chr7D	10951041	10951806	+	10951423	1.0	0.998
gene:TraesCS7D03G0059500	Chr7D	12942927	12943142	+	12943034	Chr7D	10984263	10984478	+	10984370	1.0	0.995
gene:TraesCS7D03G0059600	Chr7D	12978199	12982834	+	12980516	Chr7D	11038188	11042829	+	11040508	1.0	0.999
gene:TraesCS7D03G0059700	Chr7D	12987771	12991920	+	12989845	Chr7D	11047730	11051828	+	11049779	0.999	0.965
gene:TraesCS7D03G0059800	Chr7D	12996913	12997734	+	12997323	Chr7D	11060447	11061285	+	11060866	0.998	0.919
gene:TraesCS7D03G0060000	Chr7D	13067066	13067768	-	13067417	Chr7D	11383107	11383806	+	11383456	0.994	0.974
gene:TraesCS7D03G0060100	Chr7D	13069834	13070181	-	13070007	Chr7D	11380679	11381022	+	11380850	0.988	0.977
gene:TraesCS7D03G0060500	Chr7D	13254494	13256627	-	13255560	Chr7D	11179318	11181401	+	11180359	0.977	0.954
gene:TraesCS7D03G0060600	Chr7D	13398536	13421367	+	13409951	Chr7D	11630223	11654763	+	11642493	1.0	0.998
gene:TraesCS7D03G0060700	Chr7D	13427069	13428880	-	13427974	Chr7D	11660509	11662320	-	11661414	1.0	0.997
gene:TraesCS7D03G0060900	Chr7D	13463966	13465927	-	13464946	Chr7D	11688383	11690252	-	11689317	0.932	0.93
gene:TraesCS7D03G0061000	Chr7D	13494314	13495965	-	13495139	Chr7D	11721646	11723294	-	11722470	0.997	0.997
