assembly	cs_chr	Jagger_tgt_chr	n_anchors	Jagger_mean_anchor_gap_Mb	Jagger_interp_type	n_segments	Jagger_mean_anchor_fraction	Lancer_tgt_chr	Lancer_mean_anchor_gap_Mb	Lancer_interp_type	Lancer_mean_anchor_fraction	ArinaLrFor_tgt_chr	ArinaLrFor_mean_anchor_gap_Mb	ArinaLrFor_interp_type	ArinaLrFor_mean_anchor_fraction	Stanley_tgt_chr	Stanley_mean_anchor_gap_Mb	Stanley_interp_type	Stanley_mean_anchor_fraction	Spelt_tgt_chr	Spelt_mean_anchor_gap_Mb	Spelt_interp_type	Spelt_mean_anchor_fraction	Mace_tgt_chr	Mace_mean_anchor_gap_Mb	Mace_interp_type	Mace_mean_anchor_fraction	SY_Mattis_tgt_chr	SY_Mattis_mean_anchor_gap_Mb	SY_Mattis_interp_type	SY_Mattis_mean_anchor_fraction	Julius_tgt_chr	Julius_mean_anchor_gap_Mb	Julius_interp_type	Julius_mean_anchor_fraction	Landmark_tgt_chr	Landmark_mean_anchor_gap_Mb	Landmark_interp_type	Landmark_mean_anchor_fraction	Norin61_tgt_chr	Norin61_mean_anchor_gap_Mb	Norin61_interp_type	Norin61_mean_anchor_fraction	Aikang58_tgt_chr	Aikang58_mean_anchor_gap_Mb	Aikang58_interp_type	Aikang58_mean_anchor_fraction	Chuanmai104_tgt_chr	Chuanmai104_mean_anchor_gap_Mb	Chuanmai104_interp_type	Chuanmai104_mean_anchor_fraction	CS_IAAS_tgt_chr	CS_IAAS_mean_anchor_gap_Mb	CS_IAAS_interp_type	CS_IAAS_mean_anchor_fraction	CS_CAU_tgt_chr	CS_CAU_mean_anchor_gap_Mb	CS_CAU_interp_type	CS_CAU_mean_anchor_fraction	Sumai3_tgt_chr	Sumai3_mean_anchor_gap_Mb	Sumai3_interp_type	Sumai3_mean_anchor_fraction	JIN50_tgt_chr	JIN50_mean_anchor_gap_Mb	JIN50_interp_type	JIN50_mean_anchor_fraction	MOV_tgt_chr	MOV_mean_anchor_gap_Mb	MOV_interp_type	MOV_mean_anchor_fraction	CS_v1_tgt_chr	CS_v1_mean_anchor_gap_Mb	CS_v1_interp_type	CS_v1_mean_anchor_fraction	Fielder_tgt_chr	Fielder_mean_anchor_gap_Mb	Fielder_interp_type	Fielder_mean_anchor_fraction	Kariega_tgt_chr	Kariega_mean_anchor_gap_Mb	Kariega_interp_type	Kariega_mean_anchor_fraction	Attraktion_tgt_chr	Attraktion_mean_anchor_gap_Mb	Attraktion_interp_type	Attraktion_mean_anchor_fraction	Renan_v2_tgt_chr	Renan_v2_mean_anchor_gap_Mb	Renan_v2_interp_type	Renan_v2_mean_anchor_fraction	Paragon_v3_tgt_chr	Paragon_v3_mean_anchor_gap_Mb	Paragon_v3_interp_type	Paragon_v3_mean_anchor_fraction	Cadenza_v2_tgt_chr	Cadenza_v2_mean_anchor_gap_Mb	Cadenza_v2_interp_type	Cadenza_v2_mean_anchor_fraction
Lancer	Chr6D		3565			1		Chr6D	0.137	linear	0.919																																																																																								
Lancer	Chr7A		4724			1		Chr7A	0.156	linear	0.906																																																																																								
Lancer	Chr7B		4117			1		Chr7B	0.185	linear	0.822																																																																																								
Lancer	Chr7D		5195			1		Chr7D	0.123	linear	0.97																																																																																								
ArinaLrFor	Chr1A		3649			1						Chr1A	0.164	linear	0.906																																																																																				
ArinaLrFor	Chr1B		4176			1						Chr1B	0.167	linear	0.914																																																																																				
ArinaLrFor	Chr1D		4326			1						Chr1D	0.115	linear	0.968																																																																																				
ArinaLrFor	Chr2A		5433			1						Chr2A	0.145	linear	0.895																																																																																				
ArinaLrFor	Chr2B		5187			1						Chr2B	0.156	linear	0.836																																																																																				
ArinaLrFor	Chr2D		5030			1						Chr2D	0.128	linear	0.914																																																																																				
ArinaLrFor	Chr3A		4773			1						Chr3A	0.157	linear	0.938																																																																																				
ArinaLrFor	Chr3B		5164			1						Chr3B	0.165	linear	0.876																																																																																				
ArinaLrFor	Chr3D		4683			1						Chr3D	0.127	linear	0.95																																																																																				
ArinaLrFor	Chr4A		4053			1						Chr4A	0.186	linear	0.806																																																																																				
ArinaLrFor	Chr4B		3529			1						Chr4B	0.19	linear	0.796																																																																																				
ArinaLrFor	Chr4D		3447			1						Chr4D	0.147	linear	0.964																																																																																				
ArinaLrFor	Chr5A		5011			1						Chr5A	0.142	linear	0.879																																																																																				
ArinaLrFor	Chr5B		4801			2						Chr5B+Chr7B	0.155	linear+linear	0.843																																																																																				
ArinaLrFor	Chr5D		5361			1						Chr5D	0.106	linear	0.973																																																																																				
ArinaLrFor	Chr6A		3730			1						Chr6A	0.166	linear	0.952																																																																																				
ArinaLrFor	Chr6B		3700			1						Chr6B	0.198	linear	0.714																																																																																				
ArinaLrFor	Chr6D		3831			1						Chr6D	0.129	linear	0.959																																																																																				
ArinaLrFor	Chr7A		4795			1						Chr7A	0.155	linear	0.908																																																																																				
ArinaLrFor	Chr7B		4351			2						Chr5B+Chr7B	0.177	linear+linear	0.893																																																																																				
ArinaLrFor	Chr7D		5244			1						Chr7D	0.123	linear	0.974																																																																																				
Stanley	Chr1A		3915			1										Chr1A	0.151	linear	0.927																																																																																
Stanley	Chr1B		4193			1										Chr1B	0.165	linear	0.91																																																																																
Stanley	Chr1D		4259			1										Chr1D	0.117	linear	0.954																																																																																
Stanley	Chr2A		4977			1										Chr2A	0.158	linear	0.854																																																																																
Stanley	Chr2B		5392			1										Chr2B	0.15	linear	0.889																																																																																
Stanley	Chr2D		5647			1										Chr2D	0.116	linear	0.969																																																																																
Stanley	Chr3A		4915			1										Chr3A	0.153	linear	0.962																																																																																
Stanley	Chr3B		5063			1										Chr3B	0.168	linear	0.839																																																																																
Stanley	Chr3D		4150			1										Chr3D	0.147	linear	0.849																																																																																
Stanley	Chr4A		3913			1										Chr4A	0.193	linear	0.789																																																																																
Stanley	Chr4B		3503			1										Chr4B	0.192	linear	0.789																																																																																
Stanley	Chr4D		3294			1										Chr4D	0.151	linear	0.945																																																																																
Stanley	Chr5A		5142			1										Chr5A	0.139	linear	0.938																																																																																
Stanley	Chr5B		4942			1										Chr5B	0.144	linear	0.865																																																																																
Stanley	Chr5D		5432			1										Chr5D	0.105	linear	0.979																																																																																
Stanley	Chr6A		3682			1										Chr6A	0.169	linear	0.912																																																																																
Stanley	Chr6B		3754			1										Chr6B	0.195	linear	0.753																																																																																
Stanley	Chr6D		3701			1										Chr6D	0.133	linear	0.929																																																																																
Stanley	Chr7A		4547			1										Chr7A	0.164	linear	0.863																																																																																
Stanley	Chr7B		4112			1										Chr7B	0.184	linear	0.871																																																																																
Stanley	Chr7D		5218			1										Chr7D	0.123	linear	0.968																																																																																
Spelt	Chr1A		4057			1														Chr1A	0.148	linear	0.922																																																																												
Spelt	Chr1B		4141			1														Chr1B	0.169	linear	0.873																																																																												
Spelt	Chr1D		4356			1														Chr1D	0.114	linear	0.972																																																																												
Spelt	Chr2A		5149			1														Chr2A	0.153	linear	0.892																																																																												
Spelt	Chr2B		5307			1														Chr2B	0.153	linear	0.902																																																																												
Spelt	Chr2D		5626			1														Chr2D	0.116	linear	0.968																																																																												
Spelt	Chr3A		4853			1														Chr3A	0.154	linear	0.94																																																																												
Spelt	Chr3B		5289			1														Chr3B	0.161	linear	0.911																																																																												
Spelt	Chr3D		4714			1														Chr3D	0.13	linear	0.95																																																																												
Spelt	Chr4A		3750			1														Chr4A	0.201	linear	0.737																																																																												
Spelt	Chr4B		3517			1														Chr4B	0.191	linear	0.785																																																																												
Spelt	Chr4D		3517			1														Chr4D	0.146	linear	0.984																																																																												
Spelt	Chr5A		5120			1														Chr5A	0.139	linear	0.923																																																																												
Spelt	Chr5B		4966			1														Chr5B	0.143	linear	0.871																																																																												
Spelt	Chr5D		5390			1														Chr5D	0.105	linear	0.977																																																																												
Spelt	Chr6A		2636			1														Chr6A	0.196	linear	0.799																																																																												
Spelt	Chr6B		3668			1														Chr6B	0.199	linear	0.726																																																																												
Spelt	Chr6D		3162			1														Chr6D	0.14	linear	0.87																																																																												
Spelt	Chr7A		4846			1														Chr7A	0.153	linear	0.911																																																																												
Spelt	Chr7B		4136			1														Chr7B	0.183	linear	0.848																																																																												
Spelt	Chr7D		5206			1														Chr7D	0.123	linear	0.971																																																																												
Mace	Chr1A		3756			1																		Chr1A	0.159	linear	0.915																																																																								
Mace	Chr1B		3801			1																		Chr1B	0.184	linear	0.823																																																																								
Mace	Chr1D		4303			1																		Chr1D	0.116	linear	0.967																																																																								
Mace	Chr2A		5003			1																		Chr2A	0.157	linear	0.858																																																																								
Mace	Chr2B		5238			1																		Chr2B	0.154	linear	0.883																																																																								
Mace	Chr2D		5684			1																		Chr2D	0.115	linear	0.972																																																																								
Mace	Chr3A		4725			1																		Chr3A	0.158	linear	0.942																																																																								
Mace	Chr3B		5221			1																		Chr3B	0.163	linear	0.911																																																																								
Mace	Chr3D		4997			1																		Chr3D	0.123	linear	0.969																																																																								
Mace	Chr4A		3992			1																		Chr4A	0.189	linear	0.799																																																																								
Mace	Chr4B		3503			1																		Chr4B	0.192	linear	0.77																																																																								
Mace	Chr4D		3438			1																		Chr4D	0.147	linear	0.962																																																																								
Mace	Chr5A		5209			1																		Chr5A	0.137	linear	0.949																																																																								
Mace	Chr5B		4881			1																		Chr5B	0.146	linear	0.875																																																																								
Mace	Chr5D		5433			1																		Chr5D	0.105	linear	0.981																																																																								
Mace	Chr6A		3662			1																		Chr6A	0.17	linear	0.913																																																																								
Mace	Chr6B		3769			1																		Chr6B	0.194	linear	0.769																																																																								
Mace	Chr6D		3760			1																		Chr6D	0.132	linear	0.951																																																																								
Mace	Chr7A		4879			1																		Chr7A	0.152	linear	0.901																																																																								
Mace	Chr7B		4129			1																		Chr7B	0.183	linear	0.849																																																																								
Mace	Chr7D		5236			1																		Chr7D	0.123	linear	0.971																																																																								
SY_Mattis	Chr1A		3735			1																						Chr1A	0.16	linear	0.917																																																																				
SY_Mattis	Chr1B		4184			1																						Chr1B	0.167	linear	0.912																																																																				
SY_Mattis	Chr1D		4318			1																						Chr1D	0.115	linear	0.967																																																																				
SY_Mattis	Chr2A		5018			1																						Chr2A	0.157	linear	0.871																																																																				
SY_Mattis	Chr2B		5258			1																						Chr2B	0.154	linear	0.889																																																																				
SY_Mattis	Chr2D		5444			1																						Chr2D	0.121	linear	0.948																																																																				
SY_Mattis	Chr3A		4920			1																						Chr3A	0.153	linear	0.96																																																																				
SY_Mattis	Chr3B		5341			1																						Chr3B	0.16	linear	0.906																																																																				
SY_Mattis	Chr3D		4758			1																						Chr3D	0.13	linear	0.95																																																																				
SY_Mattis	Chr4A		3987			1																						Chr4A	0.189	linear	0.799																																																																				
SY_Mattis	Chr4B		3599			1																						Chr4B	0.186	linear	0.937																																																																				
SY_Mattis	Chr4D		3437			1																						Chr4D	0.147	linear	0.964																																																																				
SY_Mattis	Chr5A		5120			1																						Chr5A	0.139	linear	0.939																																																																				
SY_Mattis	Chr5B		4650			2																						Chr5B+Chr7B	0.157	linear+linear	0.82																																																																				
SY_Mattis	Chr5D		5382			1																						Chr5D	0.106	linear	0.976																																																																				
SY_Mattis	Chr6A		3792			1																						Chr6A	0.164	linear	0.956																																																																				
SY_Mattis	Chr6B		3412			1																						Chr6B	0.214	linear	0.692																																																																				
SY_Mattis	Chr6D		3731			1																						Chr6D	0.132	linear	0.952																																																																				
SY_Mattis	Chr7A		4920			1																						Chr7A	0.151	linear	0.921																																																																				
SY_Mattis	Chr7B		4353			2																						Chr5B+Chr7B	0.177	linear+linear	0.894																																																																				
SY_Mattis	Chr7D		5185			1																						Chr7D	0.124	linear	0.968																																																																				
Julius	Chr1A		3759			1																										Chr1A	0.157	linear	0.907																																																																
Julius	Chr1B		4266			1																										Chr1B	0.164	linear	0.926																																																																
Julius	Chr1D		4340			1																										Chr1D	0.115	linear	0.97																																																																
Julius	Chr2A		5342			1																										Chr2A	0.147	linear	0.877																																																																
Julius	Chr2B		5191			1																										Chr2B	0.157	linear	0.889																																																																
Julius	Chr2D		5293			1																										Chr2D	0.123	linear	0.934																																																																
Julius	Chr3A		4945			1																										Chr3A	0.152	linear	0.962																																																																
Julius	Chr3B		5318			1																										Chr3B	0.159	linear	0.902																																																																
Julius	Chr3D		5036			1																										Chr3D	0.123	linear	0.973																																																																
Julius	Chr4A		3895			1																										Chr4A	0.194	linear	0.78																																																																
Julius	Chr4B		3405			1																										Chr4B	0.196	linear	0.747																																																																
Julius	Chr4D		3424			1																										Chr4D	0.148	linear	0.959																																																																
Julius	Chr5A		5103			1																										Chr5A	0.14	linear	0.933																																																																
Julius	Chr5B		4915			1																										Chr5B	0.145	linear	0.858																																																																
Julius	Chr5D		5384			1																										Chr5D	0.106	linear	0.972																																																																
Julius	Chr6A		3479			1																										Chr6A	0.175	linear	0.893																																																																
Julius	Chr6B		3525			1																										Chr6B	0.207	linear	0.725																																																																
Julius	Chr6D		3689			1																										Chr6D	0.132	linear	0.944																																																																
Julius	Chr7A		4753			1																										Chr7A	0.155	linear	0.905																																																																
Julius	Chr7B		4232			1																										Chr7B	0.179	linear	0.873																																																																
Julius	Chr7D		5263			1																										Chr7D	0.122	linear	0.975																																																																
Landmark	Chr1A		3908			1																														Chr1A	0.153	linear	0.923																																																												
Landmark	Chr1B		4215			1																														Chr1B	0.165	linear	0.889																																																												
Landmark	Chr1D		4244			1																														Chr1D	0.118	linear	0.955																																																												
Landmark	Chr2A		5380			1																														Chr2A	0.146	linear	0.882																																																												
Landmark	Chr2B		5322			1																														Chr2B	0.151	linear	0.897																																																												
Landmark	Chr2D		5665			1																														Chr2D	0.116	linear	0.968																																																												
Landmark	Chr3A		4823			1																														Chr3A	0.156	linear	0.938																																																												
Landmark	Chr3B		5242			1																														Chr3B	0.162	linear	0.9																																																												
Landmark	Chr3D		4433			1																														Chr3D	0.14	linear	0.867																																																												
Landmark	Chr4A		3892			1																														Chr4A	0.194	linear	0.778																																																												
Landmark	Chr4B		3552			1																														Chr4B	0.19	linear	0.793																																																												
Landmark	Chr4D		3409			1																														Chr4D	0.148	linear	0.958																																																												
Landmark	Chr5A		5011			1																														Chr5A	0.142	linear	0.92																																																												
Landmark	Chr5B		5068			1																														Chr5B	0.141	linear	0.873																																																												
Landmark	Chr5D		5309			1																														Chr5D	0.107	linear	0.964																																																												
Landmark	Chr6A		3627			1																														Chr6A	0.172	linear	0.899																																																												
Landmark	Chr6B		3675			1																														Chr6B	0.199	linear	0.738																																																												
Landmark	Chr6D		3810			1																														Chr6D	0.13	linear	0.957																																																												
Landmark	Chr7A		5071			1																														Chr7A	0.147	linear	0.94																																																												
Landmark	Chr7B		4316			1																														Chr7B	0.176	linear	0.889																																																												
Landmark	Chr7D		5162			1																														Chr7D	0.124	linear	0.964																																																												
Norin61	Chr1A		4042			1																																		Chr1A	0.148	linear	0.954																																																								
Norin61	Chr1B		4287			1																																		Chr1B	0.162	linear	0.907																																																								
Norin61	Chr1D		4341			1																																		Chr1D	0.115	linear	0.97																																																								
Norin61	Chr2A		5485			1																																		Chr2A	0.143	linear	0.956																																																								
Norin61	Chr2B		5706			1																																		Chr2B	0.142	linear	0.938																																																								
Norin61	Chr2D		5552			1																																		Chr2D	0.117	linear	0.967																																																								
Norin61	Chr3A		5065			1																																		Chr3A	0.149	linear	0.978																																																								
Norin61	Chr3B		5041			1																																		Chr3B	0.168	linear	0.81																																																								
Norin61	Chr3D		5200			1																																		Chr3D	0.119	linear	0.983																																																								
Norin61	Chr4A		4151			1																																		Chr4A	0.182	linear	0.826																																																								
Norin61	Chr4B		3698			1																																		Chr4B	0.182	linear	0.963																																																								
Norin61	Chr4D		3457			1																																		Chr4D	0.147	linear	0.966																																																								
Norin61	Chr5A		5343			1																																		Chr5A	0.133	linear	0.985																																																								
Norin61	Chr5B		5182			1																																		Chr5B	0.138	linear	0.934																																																								
Norin61	Chr5D		5253			1																																		Chr5D	0.107	linear	0.957																																																								
Norin61	Chr6A		3931			1																																		Chr6A	0.158	linear	0.969																																																								
Norin61	Chr6B		3943			1																																		Chr6B	0.185	linear	0.833																																																								
Norin61	Chr6D		3703			1																																		Chr6D	0.134	linear	0.957																																																								
Norin61	Chr7A		5163			1																																		Chr7A	0.143	linear	0.962																																																								
Norin61	Chr7B		4229			1																																		Chr7B	0.179	linear	0.877																																																								
Norin61	Chr7D		5205			1																																		Chr7D	0.123	linear	0.975																																																								
Aikang58	Chr1A		3767			1																																						Chr1A	0.159	linear	0.918																																																				
Aikang58	Chr1B		3337			1																																						Chr1B	0.21	linear	0.691																																																				
Aikang58	Chr1D		4337			1																																						Chr1D	0.115	linear	0.971																																																				
Aikang58	Chr2A		5056			1																																						Chr2A	0.155	linear	0.896																																																				
Aikang58	Chr2B		5163			1																																						Chr2B	0.157	linear	0.854																																																				
Aikang58	Chr2D		5421			1																																						Chr2D	0.119	linear	0.951																																																				
Aikang58	Chr3A		4853			1																																						Chr3A	0.155	linear	0.947																																																				
Aikang58	Chr3B		5376			1																																						Chr3B	0.158	linear	0.914																																																				
Aikang58	Chr3D		5077			1																																						Chr3D	0.122	linear	0.952																																																				
Aikang58	Chr4A		4112			1																																						Chr4A	0.181	linear	0.825																																																				
Aikang58	Chr4B		3662			1																																						Chr4B	0.184	linear	0.901																																																				
Aikang58	Chr4D		3510			1																																						Chr4D	0.146	linear	0.976																																																				
Aikang58	Chr5A		4962			1																																						Chr5A	0.144	linear	0.909																																																				
Aikang58	Chr5B		4925			1																																						Chr5B	0.145	linear	0.891																																																				
Aikang58	Chr5D		5340			1																																						Chr5D	0.107	linear	0.966																																																				
Aikang58	Chr6A		3726			1																																						Chr6A	0.167	linear	0.953																																																				
Aikang58	Chr6B		3907			1																																						Chr6B	0.187	linear	0.802																																																				
Aikang58	Chr6D		3826			1																																						Chr6D	0.129	linear	0.975																																																				
Aikang58	Chr7A		4767			1																																						Chr7A	0.156	linear	0.898																																																				
Aikang58	Chr7B		3745			1																																						Chr7B	0.203	linear	0.692																																																				
Aikang58	Chr7D		5139			1																																						Chr7D	0.124	linear	0.966																																																				
Chuanmai104	Chr1A		3712			1																																										Chr1A	0.16	linear	0.916																																																
Chuanmai104	Chr1B		4223			1																																										Chr1B	0.166	linear	0.917																																																
Chuanmai104	Chr1D		4331			1																																										Chr1D	0.115	linear	0.972																																																
Chuanmai104	Chr2A		5370			1																																										Chr2A	0.146	linear	0.89																																																
Chuanmai104	Chr2B		5540			1																																										Chr2B	0.146	linear	0.912																																																
Chuanmai104	Chr2D		5723			1																																										Chr2D	0.115	linear	0.977																																																
Chuanmai104	Chr3A		5019			1																																										Chr3A	0.15	linear	0.973																																																
Chuanmai104	Chr3B		5173			1																																										Chr3B	0.165	linear	0.86																																																
Chuanmai104	Chr3D		4862			1																																										Chr3D	0.127	linear	0.953																																																
Chuanmai104	Chr4A		3293			1																																										Chr4A	0.228	linear	0.717																																																
Chuanmai104	Chr4B		3591			1																																										Chr4B	0.188	linear	0.798																																																
Chuanmai104	Chr4D		3540			1																																										Chr4D	0.145	linear	0.988																																																
Chuanmai104	Chr5A		5201			1																																										Chr5A	0.137	linear	0.948																																																
Chuanmai104	Chr5B		5151			1																																										Chr5B	0.139	linear	0.94																																																
Chuanmai104	Chr5D		5422			1																																										Chr5D	0.105	linear	0.982																																																
Chuanmai104	Chr6A		3780			1																																										Chr6A	0.164	linear	0.925																																																
Chuanmai104	Chr6B		3866			1																																										Chr6B	0.189	linear	0.751																																																
Chuanmai104	Chr6D		3908			1																																										Chr6D	0.127	linear	0.982																																																
Chuanmai104	Chr7A		4990			1																																										Chr7A	0.149	linear	0.927																																																
Chuanmai104	Chr7B		4315			1																																										Chr7B	0.177	linear	0.821																																																
Chuanmai104	Chr7D		5067			1																																										Chr7D	0.124	linear	0.962																																																
CS_IAAS	Chr1A		4333			1																																														Chr1A	0.138	linear	0.993																																												
CS_IAAS	Chr1B		4636			1																																														Chr1B	0.149	linear	0.984																																												
CS_IAAS	Chr1D		4417			1																																														Chr1D	0.113	linear	0.985																																												
CS_IAAS	Chr2A		5723			1																																														Chr2A	0.137	linear	0.979																																												
CS_IAAS	Chr2B		6103			1																																														Chr2B	0.133	linear	0.977																																												
CS_IAAS	Chr2D		5854			1																																														Chr2D	0.112	pchip	0.991																																												
CS_IAAS	Chr3A		5209			1																																														Chr3A	0.145	linear	0.996																																												
CS_IAAS	Chr3B		5854			1																																														Chr3B	0.146	linear	0.977																																												
CS_IAAS	Chr3D		4791			1																																														Chr3D	0.125	linear	0.963																																												
CS_IAAS	Chr4A		4713			1																																														Chr4A	0.16	linear	0.888																																												
CS_IAAS	Chr4B		3852			1																																														Chr4B	0.175	linear	0.993																																												
CS_IAAS	Chr4D		3564			1																																														Chr4D	0.144	pchip	0.993																																												
CS_IAAS	Chr5A		5425			1																																														Chr5A	0.132	linear	0.996																																												
CS_IAAS	Chr5B		5520			1																																														Chr5B	0.129	linear	0.988																																												
CS_IAAS	Chr5D		5500			1																																														Chr5D	0.104	linear	0.989																																												
CS_IAAS	Chr6A		4124			1																																														Chr6A	0.151	pchip	0.995																																												
CS_IAAS	Chr6B		4595			1																																														Chr6B	0.159	linear	0.988																																												
CS_IAAS	Chr6D		3998			1																																														Chr6D	0.124	linear	0.998																																												
CS_IAAS	Chr7A		5518			1																																														Chr7A	0.135	linear	0.993																																												
CS_IAAS	Chr7B		4772			1																																														Chr7B	0.16	linear	0.943																																												
CS_IAAS	Chr7D		5177			1																																														Chr7D	0.122	linear	0.977																																												
CS_CAU	Chr1A		4326			1																																																		Chr1A	0.138	pchip	0.99																																								
CS_CAU	Chr1B		4606			1																																																		Chr1B	0.152	linear	0.96																																								
CS_CAU	Chr1D		4426			1																																																		Chr1D	0.113	linear	0.984																																								
CS_CAU	Chr2A		5785			1																																																		Chr2A	0.136	linear	0.983																																								
CS_CAU	Chr2B		6087			1																																																		Chr2B	0.134	linear	0.98																																								
