gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	JIN50_tgt_chr	JIN50_tgt_start	JIN50_tgt_end	JIN50_tgt_strand	JIN50_tgt_midpoint	JIN50_coverage	JIN50_identity
gene:TraesCS2D03G0015300	Chr2D	4599137	4603767	-	4601452	Chr2D	6553754	6558384	-	6556069	1.0	1.0
gene:TraesCS2D03G0015600	Chr2D	4734305	4735695	-	4735000	Chr2D	6720740	6722130	-	6721435	1.0	0.998
gene:TraesCS2D03G0016000	Chr2D	4809320	4809583	-	4809451	Chr2D	6795655	6795918	-	6795786	1.0	1.0
gene:TraesCS2D03G0016200	Chr2D	4823399	4823803	-	4823601	Chr2D	6809547	6809951	-	6809749	1.0	1.0
gene:TraesCS2D03G0016100	Chr2D	4823061	4829071	-	4826066	Chr2D	6809209	6815141	-	6812175	1.0	0.999
gene:TraesCS2D03G0016300	Chr2D	4843466	4849235	-	4846350	Chr2D	6829288	6835089	-	6832188	1.0	1.0
gene:TraesCS2D03G0016500	Chr2D	4911154	4954649	+	4932901	Chr2D	6946616	6989120	+	6967868	1.0	1.0
gene:TraesCS2D03G0016700	Chr2D	5299121	5301121	+	5300121	Chr2D	7275190	7277190	+	7276190	1.0	1.0
gene:TraesCS2D03G0016800	Chr2D	5306442	5309418	-	5307930	Chr2D	7282511	7285509	-	7284010	1.0	0.994
gene:TraesCS2D03G0017000	Chr2D	5317537	5320348	-	5318942	Chr2D	7293627	7296438	-	7295032	1.0	1.0
gene:TraesCS2D03G0017100	Chr2D	5336121	5337314	+	5336717	Chr2D	7311738	7312931	+	7312334	1.0	1.0
gene:TraesCS2D03G0017200	Chr2D	5338281	5338646	-	5338463	Chr2D	7313898	7314263	-	7314080	1.0	1.0
gene:TraesCS2D03G0017700	Chr2D	5370754	5371234	-	5370994	Chr2D	7346404	7346884	-	7346644	1.0	1.0
gene:TraesCS2D03G0017800	Chr2D	5378053	5383627	+	5380840	Chr2D	7353703	7359277	+	7356490	1.0	1.0
gene:TraesCS2D03G0017900	Chr2D	5384334	5386356	-	5385345	Chr2D	7359985	7362007	-	7360996	1.0	1.0
gene:TraesCS2D03G0018000	Chr2D	5393682	5394353	+	5394017	Chr2D	7369331	7370002	+	7369666	1.0	1.0
gene:TraesCS2D03G0018200	Chr2D	5395959	5397491	-	5396725	Chr2D	7371608	7373140	-	7372374	1.0	1.0
gene:TraesCS2D03G0018300	Chr2D	5398923	5403947	-	5401435	Chr2D	7374572	7379599	-	7377085	1.0	1.0
gene:TraesCS2D03G0018400	Chr2D	5409881	5411556	-	5410718	Chr2D	7385533	7387208	-	7386370	1.0	1.0
gene:TraesCS2D03G0018600	Chr2D	5448384	5451246	+	5449815	Chr2D	7424040	7426902	+	7425471	1.0	1.0
gene:TraesCS2D03G0018700	Chr2D	5451607	5454771	-	5453189	Chr2D	7427263	7430427	-	7428845	1.0	1.0
gene:TraesCS2D03G0019000	Chr2D	5498066	5508787	-	5503426	Chr2D	7473733	7484460	-	7479096	1.0	1.0
gene:TraesCS2D03G0019100	Chr2D	5512669	5527505	-	5520087	Chr2D	7488341	7503176	-	7495758	1.0	1.0
gene:TraesCS2D03G0019200	Chr2D	5533600	5534335	+	5533967	Chr2D	7509271	7510006	+	7509638	1.0	1.0
gene:TraesCS2D03G0019300	Chr2D	5538783	5542500	+	5540641	Chr2D	7514454	7518171	+	7516312	1.0	1.0
gene:TraesCS2D03G0019400	Chr2D	5543921	5547104	-	5545512	Chr2D	7519592	7522775	-	7521183	1.0	1.0
gene:TraesCS2D03G0019500	Chr2D	5606740	5610279	+	5608509	Chr2D	7582417	7585956	+	7584186	1.0	1.0
gene:TraesCS2D03G0020100	Chr2D	5637453	5638947	+	5638200	Chr2D	7612112	7613606	+	7612859	1.0	1.0
gene:TraesCS2D03G0020200	Chr2D	5641197	5642366	-	5641781	Chr2D	7615856	7617025	-	7616440	1.0	1.0
gene:TraesCS2D03G0020300	Chr2D	5651827	5657640	+	5654733	Chr2D	7626473	7632286	+	7629379	1.0	1.0
gene:TraesCS2D03G0020500	Chr2D	5796717	5798322	-	5797519	Chr2D	7761239	7762844	-	7762041	1.0	1.0
gene:TraesCS2D03G0020600	Chr2D	5800176	5803002	+	5801589	Chr2D	7764698	7767524	+	7766111	1.0	1.0
gene:TraesCS2D03G0020800	Chr2D	5829699	5830322	-	5830010	Chr2D	7794577	7795200	-	7794888	1.0	1.0
gene:TraesCS2D03G0021200	Chr2D	5856192	5856611	-	5856401	Chr2D	7821100	7821519	-	7821309	1.0	1.0
gene:TraesCS2D03G0021400	Chr2D	5882001	5887060	+	5884530	Chr2D	7846923	7851968	+	7849445	1.0	1.0
gene:TraesCS2D03G0021500	Chr2D	5893759	5898807	-	5896283	Chr2D	7858663	7863711	-	7861187	1.0	1.0
gene:TraesCS2D03G0021600	Chr2D	5901903	5903808	+	5902855	Chr2D	7866807	7868691	+	7867749	0.988	0.984
gene:TraesCS2D03G0022000	Chr2D	5940840	5945135	+	5942987	Chr2D	7905389	7909684	+	7907536	1.0	1.0
gene:TraesCS2D03G0022100	Chr2D	5960082	5961948	+	5961015	Chr2D	7924642	7926507	+	7925574	0.999	0.999
gene:TraesCS2D03G0022200	Chr2D	5974338	5981406	+	5977872	Chr2D	7938897	7945965	+	7942431	1.0	1.0
gene:TraesCS2D03G0022500	Chr2D	6088431	6089039	-	6088735	Chr2D	8053023	8053631	-	8053327	1.0	1.0
gene:TraesCS2D03G0022600	Chr2D	6094171	6094876	+	6094523	Chr2D	8058763	8059468	+	8059115	1.0	1.0
gene:TraesCS2D03G0022800	Chr2D	6109221	6109928	+	6109574	Chr2D	8073818	8074525	+	8074171	1.0	1.0
gene:TraesCS2D03G0023000	Chr2D	6132790	6133436	+	6133113	Chr2D	8097387	8098033	+	8097710	1.0	1.0
gene:TraesCS2D03G0023100	Chr2D	6135778	6136523	+	6136150	Chr2D	8100374	8101119	+	8100746	1.0	1.0
gene:TraesCS2D03G0023900	Chr2D	6414298	6417163	+	6415730	Chr2D	8378032	8380897	+	8379464	1.0	1.0
gene:TraesCS2D03G0024400	Chr2D	6632578	6639770	-	6636174	Chr2D	8596186	8603378	-	8599782	1.0	1.0
gene:TraesCS2D03G0024700	Chr2D	6714610	6716551	+	6715580	Chr2D	8678236	8680177	+	8679206	1.0	1.0
gene:TraesCS2D03G0024800	Chr2D	6729129	6732626	+	6730877	Chr2D	8692765	8696262	+	8694513	1.0	1.0
gene:TraesCS2D03G0025100	Chr2D	6799868	6803674	+	6801771	Chr2D	8763560	8767366	+	8765463	1.0	0.996
gene:TraesCS2D03G0025200	Chr2D	6805875	6809559	+	6807717	Chr2D	8769566	8773250	+	8771408	1.0	1.0
gene:TraesCS2D03G0025700	Chr2D	6841213	6849674	-	6845443	Chr2D	8804895	8813333	-	8809114	1.0	0.986
gene:TraesCS2D03G0026100	Chr2D	6864392	6870222	+	6867307	Chr2D	8828051	8833881	+	8830966	1.0	1.0
gene:TraesCS2D03G0026200	Chr2D	6870573	6877556	+	6874064	Chr2D	8834232	8841213	+	8837722	1.0	1.0
gene:TraesCS2D03G0026500	Chr2D	6909158	6910618	-	6909888	Chr2D	8872688	8874148	-	8873418	1.0	1.0
gene:TraesCS2D03G0026400	Chr2D	6907843	6912185	+	6910014	Chr2D	8871377	8875715	+	8873546	0.998	0.998
gene:TraesCS2D03G0026900	Chr2D	7031556	7033022	-	7032289	Chr2D	8995503	8996969	-	8996236	1.0	1.0
gene:TraesCS2D03G0027100	Chr2D	7101625	7102485	-	7102055	Chr2D	9063970	9064830	-	9064400	1.0	1.0
gene:TraesCS2D03G0027200	Chr2D	7105740	7108299	-	7107019	Chr2D	9067916	9070475	-	9069195	1.0	0.999
gene:TraesCS2D03G0027500	Chr2D	7201869	7205584	+	7203726	Chr2D	9164147	9167862	+	9166004	1.0	1.0
gene:TraesCS2D03G0027600	Chr2D	7251969	7253899	+	7252934	Chr2D	9214267	9216197	+	9215232	1.0	1.0
gene:TraesCS2D03G0027700	Chr2D	7263382	7267488	+	7265435	Chr2D	9225680	9229786	+	9227733	1.0	1.0
gene:TraesCS2D03G0027800	Chr2D	7272717	7275277	-	7273997	Chr2D	9235015	9237575	-	9236295	1.0	1.0
gene:TraesCS2D03G0028000	Chr2D	7285820	7288487	-	7287153	Chr2D	9248124	9250791	-	9249457	1.0	1.0
gene:TraesCS2D03G0028100	Chr2D	7289911	7293329	-	7291620	Chr2D	9252209	9255627	-	9253918	1.0	1.0
gene:TraesCS2D03G0028200	Chr2D	7347583	7351762	+	7349672	Chr2D	9310008	9314187	+	9312097	1.0	1.0
gene:TraesCS2D03G0028400	Chr2D	7366138	7369068	+	7367603	Chr2D	9328563	9331493	+	9330028	1.0	1.0
gene:TraesCS2D03G0028500	Chr2D	7396463	7399033	-	7397748	Chr2D	9358872	9361442	-	9360157	1.0	1.0
gene:TraesCS2D03G0028600	Chr2D	7400814	7402150	-	7401482	Chr2D	9363231	9364567	-	9363899	1.0	1.0
gene:TraesCS2D03G0028700	Chr2D	7425485	7426330	-	7425907	Chr2D	9415050	9415895	-	9415472	1.0	1.0
gene:TraesCS2D03G0028800	Chr2D	7437076	7437874	-	7437475	Chr2D	9426649	9427447	-	9427048	1.0	1.0
gene:TraesCS2D03G0029200	Chr2D	7719358	7720682	-	7720020	Chr2D	9706222	9707546	-	9706884	1.0	0.998
gene:TraesCS2D03G0029300	Chr2D	7721116	7723894	-	7722505	Chr2D	9707980	9710758	-	9709369	1.0	1.0
gene:TraesCS2D03G0029400	Chr2D	7781817	7783372	-	7782594	Chr2D	9767900	9769455	-	9768677	1.0	0.999
gene:TraesCS2D03G0029500	Chr2D	7838509	7840832	-	7839670	Chr2D	9824562	9826885	-	9825723	1.0	1.0
gene:TraesCS2D03G0029700	Chr2D	7859966	7860990	-	7860478	Chr2D	9846018	9847042	-	9846530	1.0	1.0
gene:TraesCS2D03G0029900	Chr2D	7889041	7890652	+	7889846	Chr2D	9875092	9876703	+	9875897	1.0	1.0
gene:TraesCS2D03G0030000	Chr2D	7992252	7993622	-	7992937	Chr2D	9978273	9979643	-	9978958	1.0	0.999
gene:TraesCS2D03G0030300	Chr2D	8025468	8027834	+	8026651	Chr2D	10011547	10013913	+	10012730	1.0	1.0
gene:TraesCS2D03G0030400	Chr2D	8031338	8032874	-	8032106	Chr2D	10017417	10018953	-	10018185	1.0	1.0
gene:TraesCS2D03G0030500	Chr2D	8068712	8081589	+	8075150	Chr2D	10054787	10067671	+	10061229	1.0	1.0
gene:TraesCS2D03G0030700	Chr2D	8158483	8162726	+	8160604	Chr2D	10144656	10148899	+	10146777	1.0	1.0
gene:TraesCS2D03G0030800	Chr2D	8163605	8165722	-	8164663	Chr2D	10149778	10151895	-	10150836	1.0	1.0
gene:TraesCS2D03G0031100	Chr2D	8185145	8186923	-	8186034	Chr2D	10171308	10173086	-	10172197	1.0	1.0
gene:TraesCS2D03G0031600	Chr2D	8357241	8362457	+	8359849	Chr2D	10345397	10350613	+	10348005	1.0	1.0
gene:TraesCS2D03G0031700	Chr2D	8410031	8414492	+	8412261	Chr2D	10398194	10402655	+	10400424	1.0	1.0
gene:TraesCS2D03G0031900	Chr2D	8470510	8478428	-	8474469	Chr2D	10458684	10466602	-	10462643	1.0	1.0
gene:TraesCS2D03G0032000	Chr2D	8479292	8486593	+	8482942	Chr2D	10467466	10474767	+	10471116	1.0	1.0
gene:TraesCS2D03G0032100	Chr2D	8490113	8491258	+	8490685	Chr2D	10478290	10479435	+	10478862	1.0	1.0
gene:TraesCS2D03G0032200	Chr2D	8516246	8516506	+	8516376	Chr2D	10504418	10504678	+	10504548	1.0	1.0
gene:TraesCS2D03G0032300	Chr2D	8525474	8527518	+	8526496	Chr2D	10513649	10515693	+	10514671	1.0	1.0
gene:TraesCS2D03G0032400	Chr2D	8534095	8537131	-	8535613	Chr2D	10522270	10525306	-	10523788	1.0	0.999
gene:TraesCS2D03G0032600	Chr2D	8565304	8566825	-	8566064	Chr2D	10553477	10554998	-	10554237	1.0	0.999
gene:TraesCS2D03G0033000	Chr2D	8601873	8606771	-	8604322	Chr2D	10590049	10594947	-	10592498	1.0	0.999
gene:TraesCS2D03G0033600	Chr2D	8659658	8660806	-	8660232	Chr2D	10647840	10648988	-	10648414	1.0	1.0
gene:TraesCS2D03G0033700	Chr2D	8667786	8668577	+	8668181	Chr2D	10655967	10656758	+	10656362	1.0	1.0
gene:TraesCS2D03G0033800	Chr2D	8676450	8683655	-	8680052	Chr2D	10665155	10672362	-	10668758	1.0	0.997
gene:TraesCS2D03G0034000	Chr2D	8747170	8753100	-	8750135	Chr2D	10751149	10757083	-	10754116	1.0	0.999
gene:TraesCS2D03G0034400	Chr2D	8843539	8845264	+	8844401	Chr2D	10847555	10849280	+	10848417	1.0	1.0
gene:TraesCS2D03G0034500	Chr2D	8849983	8850835	+	8850409	Chr2D	10853999	10854851	+	10854425	1.0	1.0
gene:TraesCS2D03G0034800	Chr2D	8854271	8855941	+	8855106	Chr2D	10858287	10859957	+	10859122	1.0	1.0
gene:TraesCS2D03G0035300	Chr2D	8869866	8870537	+	8870201	Chr2D	10873917	10874588	+	10874252	1.0	1.0
gene:TraesCS2D03G0035500	Chr2D	8879365	8880543	+	8879954	Chr2D	10883420	10884598	+	10884009	1.0	1.0
gene:TraesCS2D03G0035600	Chr2D	8899155	8901666	+	8900410	Chr2D	10903212	10905723	+	10904467	1.0	0.999
gene:TraesCS2D03G0035700	Chr2D	8951451	8962051	-	8956751	Chr2D	11149952	11160555	-	11155253	1.0	1.0
gene:TraesCS2D03G0036000	Chr2D	9070785	9073543	+	9072164	Chr2D	11268781	11271539	+	11270160	1.0	0.998
gene:TraesCS2D03G0036600	Chr2D	9155668	9159173	+	9157420	Chr2D	11375618	11379123	+	11377370	1.0	0.999
gene:TraesCS2D03G0036700	Chr2D	9161054	9162385	-	9161719	Chr2D	11379845	11381176	-	11380510	1.0	0.996
gene:TraesCS2D03G0036800	Chr2D	9188083	9189411	+	9188747	Chr2D	11406879	11408207	+	11407543	1.0	1.0
gene:TraesCS2D03G0036900	Chr2D	9258485	9259538	+	9259011	Chr2D	11477291	11478344	+	11477817	1.0	1.0
gene:TraesCS2D03G0038300	Chr2D	9539575	9541245	+	9540410	Chr2D	11758233	11759903	+	11759068	1.0	1.0
gene:TraesCS2D03G0038400	Chr2D	9548546	9550006	+	9549276	Chr2D	11767204	11768664	+	11767934	1.0	1.0
gene:TraesCS2D03G0038500	Chr2D	9560490	9570556	+	9565523	Chr2D	11779148	11789225	+	11784186	1.0	1.0
gene:TraesCS2D03G0038700	Chr2D	9669862	9670584	+	9670223	Chr2D	11888548	11889270	+	11888909	1.0	1.0
gene:TraesCS2D03G0038900	Chr2D	9740013	9743019	+	9741516	Chr2D	11958718	11961724	+	11960221	1.0	1.0
gene:TraesCS2D03G0039200	Chr2D	9754263	9755835	+	9755049	Chr2D	11972966	11974538	+	11973752	1.0	1.0
gene:TraesCS2D03G0039300	Chr2D	9770715	9772196	+	9771455	Chr2D	11989423	11990904	+	11990163	1.0	1.0
gene:TraesCS2D03G0039500	Chr2D	9791865	9794992	-	9793428	Chr2D	12010574	12013706	-	12012140	1.0	0.999
gene:TraesCS2D03G0039600	Chr2D	9800909	9805270	+	9803089	Chr2D	12019621	12023981	+	12021801	1.0	1.0
gene:TraesCS2D03G0039700	Chr2D	9808522	9810012	+	9809267	Chr2D	12027233	12028723	+	12027978	1.0	0.999
gene:TraesCS2D03G0039900	Chr2D	9828802	9830274	-	9829538	Chr2D	12047501	12048973	-	12048237	1.0	1.0
gene:TraesCS2D03G0040100	Chr2D	9902575	9903054	+	9902814	Chr2D	12121302	12121781	+	12121541	1.0	1.0
gene:TraesCS2D03G0040300	Chr2D	9914901	9916447	-	9915674	Chr2D	12133632	12135178	-	12134405	1.0	1.0
gene:TraesCS2D03G0040400	Chr2D	9920142	9921557	-	9920849	Chr2D	12138873	12140288	-	12139580	1.0	1.0
gene:TraesCS2D03G0040500	Chr2D	9948356	9948550	+	9948453	Chr2D	12167086	12167280	+	12167183	1.0	1.0
gene:TraesCS2D03G0040800	Chr2D	9950121	9951434	+	9950777	Chr2D	12168851	12170164	+	12169507	1.0	1.0
gene:TraesCS2D03G0041000	Chr2D	10019303	10021756	+	10020529	Chr2D	12238058	12240511	+	12239284	1.0	0.999
gene:TraesCS2D03G0041100	Chr2D	10025412	10032959	-	10029185	Chr2D	12244167	12251714	-	12247940	1.0	0.998
gene:TraesCS2D03G0041500	Chr2D	10035956	10037437	+	10036696	Chr2D	12254711	12256192	+	12255451	1.0	1.0
gene:TraesCS2D03G0041600	Chr2D	10040939	10041987	-	10041463	Chr2D	12259694	12260742	-	12260218	1.0	1.0
gene:TraesCS2D03G0041800	Chr2D	10045408	10047305	-	10046356	Chr2D	12264163	12266060	-	12265111	1.0	1.0
gene:TraesCS2D03G0041900	Chr2D	10062398	10064247	+	10063322	Chr2D	12284555	12286404	+	12285479	1.0	0.999
gene:TraesCS2D03G0042000	Chr2D	10074431	10075015	-	10074723	Chr2D	12296586	12297170	-	12296878	1.0	1.0
gene:TraesCS2D03G0043100	Chr2D	10184508	10186580	-	10185544	Chr2D	12408105	12410177	-	12409141	1.0	1.0
gene:TraesCS2D03G0043400	Chr2D	10232327	10234011	+	10233169	Chr2D	12455429	12457113	+	12456271	1.0	1.0
gene:TraesCS2D03G0043600	Chr2D	10257769	10260897	+	10259333	Chr2D	12480869	12483997	+	12482433	1.0	1.0
