cs_chr	tgt_chr	n_anchors	mean_anchor_gap_Mb	interp_type	n_segments	mean_anchor_fraction
ArinaLrFor	Chr7B	Chr5B+Chr7B	4351	0.177	linear+linear	2	0.893
ArinaLrFor	Chr7D	Chr7D	5244	0.123	linear	1	0.974
Attraktion	Chr1A	Chr1A	3414	0.168	linear	1	0.887
Attraktion	Chr1B	Chr1B	3965	0.175	linear	1	0.878
Attraktion	Chr1D	Chr1D	4314	0.116	linear	1	0.965
Attraktion	Chr2A	Chr2A	5316	0.148	linear	1	0.891
Attraktion	Chr2B	Chr2B	5170	0.157	linear	1	0.885
Attraktion	Chr2D	Chr2D	5425	0.121	linear	1	0.943
Attraktion	Chr3A	Chr3A	4993	0.151	linear	1	0.966
Attraktion	Chr3B	Chr3B	5249	0.162	linear	1	0.894
Attraktion	Chr3D	Chr3D	5106	0.121	linear	1	0.974
Attraktion	Chr4A	Chr4A	3936	0.19	linear	1	0.805
Attraktion	Chr4B	Chr4B	3341	0.199	linear	1	0.775
Attraktion	Chr4D	Chr4D	3461	0.147	linear	1	0.967
Attraktion	Chr5A	Chr5A	5175	0.137	linear	1	0.948
Attraktion	Chr5B	Chr5B	4803	0.149	linear	1	0.839
Attraktion	Chr5D	Chr5D	5323	0.107	linear	1	0.968
Attraktion	Chr6A	Chr6A	3655	0.169	linear	1	0.945
Attraktion	Chr6B	Chr6B	3471	0.211	linear	1	0.728
Attraktion	Chr6D	Chr6D	3783	0.131	linear	1	0.958
Attraktion	Chr7A	Chr7A	4908	0.152	linear	1	0.929
Attraktion	Chr7B	Chr7B	4242	0.18	linear	1	0.82
Attraktion	Chr7D	Chr7D	5191	0.124	linear	1	0.966
CS_CAU	Chr1A	Chr1A	4326	0.138	pchip	1	0.99
CS_CAU	Chr1B	Chr1B	4606	0.152	linear	1	0.96
CS_CAU	Chr1D	Chr1D	4426	0.113	linear	1	0.984
CS_CAU	Chr2A	Chr2A	5785	0.136	linear	1	0.983
CS_CAU	Chr2B	Chr2B	6087	0.134	linear	1	0.98
CS_CAU	Chr2D	Chr2D	5847	0.112	linear	1	0.991
CS_CAU	Chr3A	Chr3A	5200	0.145	linear	1	0.994
CS_CAU	Chr3B	Chr3B	5876	0.145	linear	1	0.987
CS_CAU	Chr3D	Chr3D	4786	0.125	linear	1	0.962
CS_CAU	Chr4A	Chr4A	4284	0.176	linear	1	0.826
CS_CAU	Chr4B	Chr4B	3846	0.175	linear	1	0.992
CS_CAU	Chr4D	Chr4D	3559	0.145	pchip	1	0.992
CS_CAU	Chr5A	Chr5A	5415	0.131	linear	1	0.994
CS_CAU	Chr5B	Chr5B	5468	0.131	linear	1	0.956
CS_CAU	Chr5D	Chr5D	5526	0.103	linear	1	0.991
CS_CAU	Chr6A	Chr6A	4118	0.151	pchip	1	0.992
CS_CAU	Chr6B	Chr6B	4468	0.164	linear	1	0.889
CS_CAU	Chr6D	Chr6D	3962	0.125	linear	1	0.992
CS_CAU	Chr7A	Chr7A	5521	0.135	linear	1	0.992
CS_CAU	Chr7B	Chr7B	4773	0.16	linear	1	0.942
CS_CAU	Chr7D	Chr7D	5372	0.12	linear	1	0.991
CS_IAAS	Chr1A	Chr1A	4333	0.138	linear	1	0.993
CS_IAAS	Chr1B	Chr1B	4636	0.149	linear	1	0.984
CS_IAAS	Chr1D	Chr1D	4417	0.113	linear	1	0.985
CS_IAAS	Chr2A	Chr2A	5723	0.137	linear	1	0.979
CS_IAAS	Chr2B	Chr2B	6103	0.133	linear	1	0.977
CS_IAAS	Chr2D	Chr2D	5854	0.112	pchip	1	0.991
CS_IAAS	Chr3A	Chr3A	5209	0.145	linear	1	0.996
CS_IAAS	Chr3B	Chr3B	5854	0.146	linear	1	0.977
CS_IAAS	Chr3D	Chr3D	4791	0.125	linear	1	0.963
CS_IAAS	Chr4A	Chr4A	4713	0.16	linear	1	0.888
CS_IAAS	Chr4B	Chr4B	3852	0.175	linear	1	0.993
CS_IAAS	Chr4D	Chr4D	3564	0.144	pchip	1	0.993
CS_IAAS	Chr5A	Chr5A	5425	0.132	linear	1	0.996
CS_IAAS	Chr5B	Chr5B	5520	0.129	linear	1	0.988
CS_IAAS	Chr5D	Chr5D	5501	0.104	linear	1	0.99
CS_IAAS	Chr6A	Chr6A	4124	0.151	pchip	1	0.995
CS_IAAS	Chr6B	Chr6B	4595	0.159	linear	1	0.988
CS_IAAS	Chr6D	Chr6D	3998	0.124	linear	1	0.998
CS_IAAS	Chr7A	Chr7A	5518	0.135	linear	1	0.993
CS_IAAS	Chr7B	Chr7B	4772	0.16	linear	1	0.943
CS_IAAS	Chr7D	Chr7D	5177	0.122	linear	1	0.977
CS_v1	Chr1A	Chr1A	4307	0.139	linear	1	0.989
CS_v1	Chr1B	Chr1B	4685	0.149	linear	1	0.993
CS_v1	Chr1D	Chr1D	4444	0.112	linear	1	0.987
CS_v1	Chr2A	Chr2A	5286	0.147	linear	1	0.915
CS_v1	Chr2B	Chr2B	5727	0.141	linear	1	0.847
CS_v1	Chr2D	Chr2D	5615	0.116	linear	1	0.973
CS_v1	Chr3A	Chr3A	5124	0.147	linear	1	0.981
CS_v1	Chr3B	Chr3B	5664	0.148	linear	1	0.963
CS_v1	Chr3D	Chr3D	5175	0.12	linear	1	0.965
CS_v1	Chr4A	Chr4A	4691	0.161	linear	1	0.887
CS_v1	Chr4B	Chr4B	3848	0.175	linear	1	0.992
CS_v1	Chr4D	Chr4D	3528	0.144	linear	1	0.977
CS_v1	Chr5A	Chr5A	5312	0.134	linear	1	0.974
CS_v1	Chr5B	Chr5B	5451	0.131	linear	1	0.986
CS_v1	Chr5D	Chr5D	5499	0.104	linear	1	0.99
CS_v1	Chr6A	Chr6A	4092	0.152	linear	1	0.989
CS_v1	Chr6B	Chr6B	4531	0.161	linear	1	0.976
CS_v1	Chr6D	Chr6D	3953	0.125	linear	1	0.987
CS_v1	Chr7A	Chr7A	5486	0.136	linear	1	0.987
CS_v1	Chr7B	Chr7B	4138	0.184	linear	1	0.749
CS_v1	Chr7D	Chr7D	5315	0.121	linear	1	0.987
Cadenza_v2	Chr1A	Chr1A	3821	0.157	linear	1	0.928
Cadenza_v2	Chr1B	Chr1B	4198	0.166	linear	1	0.903
Cadenza_v2	Chr1D	Chr1D	4194	0.119	linear	1	0.953
Cadenza_v2	Chr2A	Chr2A	5507	0.143	linear	1	0.916
Cadenza_v2	Chr2B	Chr2B	5414	0.15	linear	1	0.908
Cadenza_v2	Chr2D	Chr2D	5444	0.12	linear	1	0.948
Cadenza_v2	Chr3A	Chr3A	5008	0.151	linear	1	0.973
Cadenza_v2	Chr3B	Chr3B	5410	0.157	linear	1	0.928
Cadenza_v2	Chr3D	Chr3D	4740	0.126	linear	1	0.956
Cadenza_v2	Chr4A	Chr4A	3336	0.226	linear	1	0.719
Cadenza_v2	Chr4B	Chr4B	3628	0.186	linear	1	0.811
Cadenza_v2	Chr4D	Chr4D	3554	0.145	linear	1	0.99
Cadenza_v2	Chr5A	Chr5A	5229	0.136	linear	1	0.953
Cadenza_v2	Chr5B	Chr5B	5035	0.142	linear	1	0.874
Cadenza_v2	Chr5D	Chr5D	5423	0.105	linear	1	0.978
Cadenza_v2	Chr6A	Chr6A	3924	0.159	linear	1	0.973
Cadenza_v2	Chr6B	Chr6B	3777	0.194	linear	1	0.728
Cadenza_v2	Chr6D	Chr6D	3868	0.128	linear	1	0.983
Cadenza_v2	Chr7A	Chr7A	4948	0.15	linear	1	0.925
Cadenza_v2	Chr7B	Chr7B	4413	0.173	linear	1	0.895
Cadenza_v2	Chr7D	Chr7D	5224	0.123	linear	1	0.973
Chuanmai104	Chr1A	Chr1A	3712	0.16	linear	1	0.916
Chuanmai104	Chr1B	Chr1B	4223	0.166	linear	1	0.917
Chuanmai104	Chr1D	Chr1D	4331	0.115	linear	1	0.972
Chuanmai104	Chr2A	Chr2A	5370	0.146	linear	1	0.89
Chuanmai104	Chr2B	Chr2B	5540	0.146	linear	1	0.912
Chuanmai104	Chr2D	Chr2D	5723	0.115	linear	1	0.977
Chuanmai104	Chr3A	Chr3A	5019	0.15	linear	1	0.973
Chuanmai104	Chr3B	Chr3B	5173	0.165	linear	1	0.86
Chuanmai104	Chr3D	Chr3D	4862	0.127	linear	1	0.953
Chuanmai104	Chr4A	Chr4A	3293	0.228	linear	1	0.717
Chuanmai104	Chr4B	Chr4B	3591	0.188	linear	1	0.798
Chuanmai104	Chr4D	Chr4D	3540	0.145	linear	1	0.988
Chuanmai104	Chr5A	Chr5A	5201	0.137	linear	1	0.948
Chuanmai104	Chr5B	Chr5B	5151	0.139	linear	1	0.94
Chuanmai104	Chr5D	Chr5D	5422	0.105	linear	1	0.982
Chuanmai104	Chr6A	Chr6A	3780	0.164	linear	1	0.925
Chuanmai104	Chr6B	Chr6B	3866	0.189	linear	1	0.751
Chuanmai104	Chr6D	Chr6D	3908	0.127	linear	1	0.982
Chuanmai104	Chr7A	Chr7A	4990	0.149	linear	1	0.927
Chuanmai104	Chr7B	Chr7B	4315	0.177	linear	1	0.821
Chuanmai104	Chr7D	Chr7D	5067	0.124	linear	1	0.962
Fielder	Chr1A	Chr1A	4084	0.147	linear	1	0.957
Fielder	Chr1B	Chr1B	4276	0.164	linear	1	0.932
Fielder	Chr1D	Chr1D	4074	0.12	linear	1	0.942
Fielder	Chr2A	Chr2A	5247	0.148	linear	1	0.881
Fielder	Chr2B	Chr2B	5393	0.15	linear	1	0.909
Fielder	Chr2D	Chr2D	5181	0.123	linear	1	0.929
Fielder	Chr3A	Chr3A	4552	0.164	linear	1	0.927
Fielder	Chr3B	Chr3B	5091	0.167	linear	1	0.849
Fielder	Chr3D	Chr3D	4199	0.147	linear	1	0.862
Fielder	Chr4A	Chr4A	3480	0.216	linear	1	0.746
Fielder	Chr4B	Chr4B	3684	0.183	linear	1	0.959
Fielder	Chr4D	Chr4D	3540	0.145	linear	1	0.99
Fielder	Chr5A	Chr5A	5230	0.136	linear	1	0.951
Fielder	Chr5B	Chr5B	5083	0.141	linear	1	0.906
Fielder	Chr5D	Chr5D	5257	0.108	linear	1	0.952
Fielder	Chr6A	Chr6A	3665	0.169	linear	1	0.95
Fielder	Chr6B	Chr6B	3630	0.201	linear	1	0.722
Fielder	Chr6D	Chr6D	3528	0.139	linear	1	0.948
Fielder	Chr7A	Chr7A	4931	0.151	linear	1	0.923
Fielder	Chr7B	Chr7B	4113	0.185	linear	1	0.788
Fielder	Chr7D	Chr7D	5240	0.123	linear	1	0.972
JIN50	Chr1A	Chr1A	4018	0.148	linear	1	0.952
JIN50	Chr1B	Chr1B	4157	0.168	linear	1	0.855
JIN50	Chr1D	Chr1D	4356	0.114	linear	1	0.973
JIN50	Chr2A	Chr2A	4918	0.156	linear	1	0.876
JIN50	Chr2B	Chr2B	5602	0.145	linear	1	0.923
JIN50	Chr2D	Chr2D	5743	0.114	linear	1	0.978
JIN50	Chr3A	Chr3A	4990	0.15	linear	1	0.971
JIN50	Chr3B	Chr3B	4506	0.189	linear	1	0.727
JIN50	Chr3D	Chr3D	4724	0.13	linear	1	0.954
JIN50	Chr4A	Chr4A	3388	0.219	linear	1	0.725
JIN50	Chr4B	Chr4B	3587	0.188	linear	1	0.787
JIN50	Chr4D	Chr4D	3547	0.145	linear	1	0.989
JIN50	Chr5A	Chr5A	5219	0.137	linear	1	0.952
JIN50	Chr5B	Chr5B	4982	0.143	linear	1	0.895
JIN50	Chr5D	Chr5D	4367	0.098	linear	1	0.74
JIN50	Chr6A	Chr6A	3728	0.166	linear	1	0.955
JIN50	Chr6B	Chr6B	3553	0.205	linear	1	0.713
JIN50	Chr6D	Chr6D	3732	0.132	linear	1	0.967
JIN50	Chr7A	Chr7A	5118	0.145	linear	1	0.944
JIN50	Chr7B	Chr7B	4395	0.174	linear	1	0.881
JIN50	Chr7D	Chr7D	5144	0.123	linear	1	0.969
Jagger	Chr1A	Chr1A	4021	0.149	linear	1	0.931
Jagger	Chr1B	Chr1B	4157	0.168	linear	1	0.907
Jagger	Chr1D	Chr1D	4150	0.12	linear	1	0.943
Jagger	Chr2A	Chr2A	4924	0.159	linear	1	0.908
Jagger	Chr2B	Chr2B	5237	0.155	linear	1	0.883
Jagger	Chr2D	Chr2D	5255	0.125	linear	1	0.927
Jagger	Chr3A	Chr3A	4894	0.154	linear	1	0.924
Jagger	Chr3B	Chr3B	4492	0.189	linear	1	0.718
Jagger	Chr3D	Chr3D	4980	0.124	linear	1	0.937
Jagger	Chr4A	Chr4A	3948	0.191	linear	1	0.776
Jagger	Chr4B	Chr4B	3640	0.185	linear	1	0.94
Jagger	Chr4D	Chr4D	3419	0.149	linear	1	0.957
Jagger	Chr5A	Chr5A	5071	0.141	linear	1	0.925
Jagger	Chr5B	Chr5B	4998	0.143	linear	1	0.874
Jagger	Chr5D	Chr5D	5127	0.111	linear	1	0.915
Jagger	Chr6A	Chr6A	3566	0.175	linear	1	0.913
Jagger	Chr6B	Chr6B	3739	0.195	linear	1	0.769
Jagger	Chr6D	Chr6D	3589	0.138	linear	1	0.909
Jagger	Chr7A	Chr7A	4661	0.158	linear	1	0.894
Jagger	Chr7B	Chr7B	4225	0.179	linear	1	0.844
Jagger	Chr7D	Chr7D	5207	0.123	linear	1	0.966
Julius	Chr1A	Chr1A	3759	0.157	linear	1	0.907
Julius	Chr1B	Chr1B	4266	0.164	linear	1	0.926
Julius	Chr1D	Chr1D	4340	0.115	linear	1	0.97
Julius	Chr2A	Chr2A	5342	0.147	linear	1	0.877
Julius	Chr2B	Chr2B	5191	0.157	linear	1	0.889
Julius	Chr2D	Chr2D	5293	0.123	linear	1	0.934
Julius	Chr3A	Chr3A	4945	0.152	linear	1	0.962
Julius	Chr3B	Chr3B	5318	0.159	linear	1	0.902
Julius	Chr3D	Chr3D	5036	0.123	linear	1	0.973
Julius	Chr4A	Chr4A	3895	0.194	linear	1	0.78
Julius	Chr4B	Chr4B	3405	0.196	linear	1	0.747
Julius	Chr4D	Chr4D	3424	0.148	linear	1	0.959
Julius	Chr5A	Chr5A	5103	0.14	linear	1	0.933
Julius	Chr5B	Chr5B	4915	0.145	linear	1	0.858
Julius	Chr5D	Chr5D	5384	0.106	linear	1	0.972
Julius	Chr6A	Chr6A	3479	0.175	linear	1	0.893
Julius	Chr6B	Chr6B	3525	0.207	linear	1	0.725
Julius	Chr6D	Chr6D	3689	0.132	linear	1	0.944
Julius	Chr7A	Chr7A	4753	0.155	linear	1	0.905
Julius	Chr7B	Chr7B	4232	0.179	linear	1	0.873
Julius	Chr7D	Chr7D	5263	0.122	linear	1	0.975
Kariega	Chr1A	Chr1A	3747	0.159	linear	1	0.923
Kariega	Chr1B	Chr1B	3962	0.177	linear	1	0.81
Kariega	Chr1D	Chr1D	4378	0.114	linear	1	0.977
Kariega	Chr2A	Chr2A	5400	0.146	linear	1	0.889
Kariega	Chr2B	Chr2B	5609	0.145	linear	1	0.935
Kariega	Chr2D	Chr2D	5727	0.115	linear	1	0.977
Kariega	Chr3A	Chr3A	4783	0.158	linear	1	0.945
Kariega	Chr3B	Chr3B	5396	0.158	linear	1	0.922
Kariega	Chr3D	Chr3D	4832	0.128	linear	1	0.952
Kariega	Chr4A	Chr4A	3309	0.213	linear	1	0.72
Kariega	Chr4B	Chr4B	3765	0.179	linear	1	0.97
Kariega	Chr4D	Chr4D	3549	0.145	linear	1	0.99
Kariega	Chr5A	Chr5A	5237	0.136	linear	1	0.951
Kariega	Chr5B	Chr5B	5062	0.141	linear	1	0.9
Kariega	Chr5D	Chr5D	5193	0.11	linear	1	0.947
Kariega	Chr6A	Chr6A	3799	0.164	linear	1	0.962
Kariega	Chr6B	Chr6B	3464	0.211	linear	1	0.662
Kariega	Chr6D	Chr6D	3848	0.129	linear	1	0.979
Kariega	Chr7A	Chr7A	4672	0.159	linear	1	0.875
Kariega	Chr7B	Chr7B	4356	0.175	linear	1	0.897
Kariega	Chr7D	Chr7D	5302	0.121	linear	1	0.98
Lancer	Chr1A	Chr1A	3905	0.153	linear	1	0.934
Lancer	Chr1B	Chr1B	4250	0.165	linear	1	0.915
Lancer	Chr1D	Chr1D	4283	0.116	linear	1	0.962
Lancer	Chr2A	Chr2A	5226	0.149	linear	1	0.872
Lancer	Chr2B	Chr2B	4516	0.18	linear	1	0.732
Lancer	Chr2D	Chr2D	5378	0.119	linear	1	0.949
Lancer	Chr3A	Chr3A	4905	0.153	linear	1	0.959
Lancer	Chr3B	Chr3B	5147	0.164	linear	1	0.899
Lancer	Chr3D	Chr3D	4847	0.124	linear	1	0.951
Lancer	Chr4A	Chr4A	3607	0.209	linear	1	0.751
Lancer	Chr4B	Chr4B	3561	0.189	linear	1	0.798
Lancer	Chr4D	Chr4D	3428	0.147	linear	1	0.964
Lancer	Chr5A	Chr5A	5112	0.139	linear	1	0.937
Lancer	Chr5B	Chr5B	5123	0.14	linear	1	0.897
Lancer	Chr5D	Chr5D	5395	0.106	linear	1	0.974
Lancer	Chr6A	Chr6A	3809	0.163	linear	1	0.961
Lancer	Chr6B	Chr6B	3652	0.199	linear	1	0.748
Lancer	Chr6D	Chr6D	3565	0.137	linear	1	0.919
Lancer	Chr7A	Chr7A	4724	0.156	linear	1	0.906
Lancer	Chr7B	Chr7B	4148	0.183	linear	1	0.83
Lancer	Chr7D	Chr7D	5195	0.123	linear	1	0.97
Landmark	Chr1A	Chr1A	3908	0.153	linear	1	0.923
Landmark	Chr1B	Chr1B	4215	0.165	linear	1	0.889
Landmark	Chr1D	Chr1D	4244	0.118	linear	1	0.955
Landmark	Chr2A	Chr2A	5380	0.146	linear	1	0.882
Landmark	Chr2B	Chr2B	5322	0.151	linear	1	0.897
Landmark	Chr2D	Chr2D	5665	0.116	linear	1	0.968
Landmark	Chr3A	Chr3A	4823	0.156	linear	1	0.938
Landmark	Chr3B	Chr3B	5242	0.162	linear	1	0.9
Landmark	Chr3D	Chr3D	4433	0.14	linear	1	0.867
Landmark	Chr4A	Chr4A	3893	0.194	linear	1	0.778
Landmark	Chr4B	Chr4B	3552	0.19	linear	1	0.793
Landmark	Chr4D	Chr4D	3409	0.148	linear	1	0.958
Landmark	Chr5A	Chr5A	5011	0.142	linear	1	0.92
Landmark	Chr5B	Chr5B	5068	0.141	linear	1	0.873
Landmark	Chr5D	Chr5D	5309	0.107	linear	1	0.964
Landmark	Chr6A	Chr6A	3627	0.172	linear	1	0.899
Landmark	Chr6B	Chr6B	3675	0.199	linear	1	0.738
Landmark	Chr6D	Chr6D	3810	0.13	linear	1	0.957
Landmark	Chr7A	Chr7A	5071	0.147	linear	1	0.94
Landmark	Chr7B	Chr7B	4316	0.176	linear	1	0.889
Landmark	Chr7D	Chr7D	5162	0.124	linear	1	0.964
MOV	Chr1A	Chr1A	3849	0.155	linear	1	0.92
MOV	Chr1B	Chr1B	3609	0.193	linear	1	0.773
MOV	Chr1D	Chr1D	2980	0.163	linear	1	0.688
MOV	Chr2A	Chr2A	5047	0.156	linear	1	0.782
MOV	Chr2B	Chr2B	4646	0.173	linear	1	0.765
MOV	Chr2D	Chr2D	5078	0.128	linear	1	0.762
MOV	Chr3A	Chr3A	4698	0.161	linear	1	0.879
MOV	Chr3B	Chr3B	4558	0.187	linear	1	0.752
MOV	Chr3D	Chr3D	4253	0.143	linear	1	0.785
MOV	Chr4A	Chr4A	3759	0.199	linear	1	0.753
MOV	Chr4B	Chr4B	3103	0.217	linear	1	0.739
MOV	Chr4D	Chr4D	3159	0.163	linear	1	0.713
MOV	Chr5A	Chr5A	4957	0.143	linear	1	0.904
MOV	Chr5B	Chr5B	3886	0.184	linear	1	0.708
MOV	Chr5D	Chr5D	4719	0.12	linear	1	0.83
MOV	Chr6A	Chr6A	3308	0.188	linear	1	0.814
MOV	Chr6B	Chr6B	3099	0.236	linear	1	0.606
MOV	Chr6D	Chr6D	3309	0.149	linear	1	0.83
MOV	Chr7A	Chr7A	4516	0.165	linear	1	0.858
MOV	Chr7B	Chr7B	3934	0.194	linear	1	0.843
MOV	Chr7D	Chr7D	4732	0.136	pchip	1	0.765
Mace	Chr1A	Chr1A	3756	0.159	linear	1	0.915
Mace	Chr1B	Chr1B	3801	0.184	linear	1	0.823
Mace	Chr1D	Chr1D	4303	0.116	linear	1	0.967
Mace	Chr2A	Chr2A	5003	0.157	linear	1	0.858
Mace	Chr2B	Chr2B	5238	0.154	linear	1	0.883
Mace	Chr2D	Chr2D	5684	0.115	linear	1	0.972
Mace	Chr3A	Chr3A	4725	0.158	linear	1	0.942
Mace	Chr3B	Chr3B	5221	0.163	linear	1	0.911
Mace	Chr3D	Chr3D	4997	0.123	linear	1	0.969
Mace	Chr4A	Chr4A	3992	0.189	linear	1	0.799
Mace	Chr4B	Chr4B	3503	0.192	linear	1	0.77
Mace	Chr4D	Chr4D	3438	0.147	linear	1	0.962
Mace	Chr5A	Chr5A	5209	0.137	linear	1	0.949
Mace	Chr5B	Chr5B	4881	0.146	linear	1	0.875
Mace	Chr5D	Chr5D	5433	0.105	linear	1	0.981
Mace	Chr6A	Chr6A	3662	0.17	linear	1	0.913
Mace	Chr6B	Chr6B	3769	0.194	linear	1	0.769
Mace	Chr6D	Chr6D	3760	0.132	linear	1	0.951
Mace	Chr7A	Chr7A	4879	0.152	linear	1	0.901
Mace	Chr7B	Chr7B	4129	0.183	linear	1	0.849
Mace	Chr7D	Chr7D	5236	0.123	linear	1	0.971
Norin61	Chr1A	Chr1A	4042	0.148	linear	1	0.954
Norin61	Chr1B	Chr1B	4287	0.162	linear	1	0.907
Norin61	Chr1D	Chr1D	4341	0.115	linear	1	0.97
Norin61	Chr2A	Chr2A	5485	0.143	linear	1	0.956
Norin61	Chr2B	Chr2B	5706	0.142	linear	1	0.938
Norin61	Chr2D	Chr2D	5552	0.117	linear	1	0.967
Norin61	Chr3A	Chr3A	5065	0.149	linear	1	0.978
Norin61	Chr3B	Chr3B	5041	0.168	linear	1	0.81
Norin61	Chr3D	Chr3D	5200	0.119	linear	1	0.983
Norin61	Chr4A	Chr4A	4151	0.182	linear	1	0.826
Norin61	Chr4B	Chr4B	3698	0.182	linear	1	0.963
Norin61	Chr4D	Chr4D	3457	0.147	linear	1	0.966
Norin61	Chr5A	Chr5A	5343	0.133	linear	1	0.985
Norin61	Chr5B	Chr5B	5182	0.138	linear	1	0.934
Norin61	Chr5D	Chr5D	5253	0.107	linear	1	0.957
Norin61	Chr6A	Chr6A	3931	0.158	linear	1	0.969
Norin61	Chr6B	Chr6B	3943	0.185	linear	1	0.833
Norin61	Chr6D	Chr6D	3703	0.134	linear	1	0.957
Norin61	Chr7A	Chr7A	5163	0.143	linear	1	0.962
Norin61	Chr7B	Chr7B	4229	0.179	linear	1	0.877
Norin61	Chr7D	Chr7D	5205	0.123	linear	1	0.975
Paragon_v3	Chr1A	Chr1A	3813	0.157	linear	1	0.925
Paragon_v3	Chr1B	Chr1B	4197	0.165	linear	1	0.908
Paragon_v3	Chr1D	Chr1D	4321	0.115	linear	1	0.971
Paragon_v3	Chr2A	Chr2A	5416	0.145	linear	1	0.907
Paragon_v3	Chr2B	Chr2B	5477	0.148	linear	1	0.915
Paragon_v3	Chr2D	Chr2D	5588	0.117	linear	1	0.967
Paragon_v3	Chr3A	Chr3A	4982	0.151	linear	1	0.972
Paragon_v3	Chr3B	Chr3B	5455	0.156	linear	1	0.932
Paragon_v3	Chr3D	Chr3D	4737	0.126	linear	1	0.955
Paragon_v3	Chr4A	Chr4A	3465	0.218	linear	1	0.736
Paragon_v3	Chr4B	Chr4B	3533	0.191	linear	1	0.769
Paragon_v3	Chr4D	Chr4D	3530	0.146	linear	1	0.988
Paragon_v3	Chr5A	Chr5A	5228	0.136	linear	1	0.951
Paragon_v3	Chr5B	Chr5B	4998	0.141	linear	1	0.89
Paragon_v3	Chr5D	Chr5D	5421	0.105	linear	1	0.979
Paragon_v3	Chr6A	Chr6A	3897	0.16	linear	1	0.971
Paragon_v3	Chr6B	Chr6B	3733	0.196	linear	1	0.716
Paragon_v3	Chr6D	Chr6D	3882	0.128	linear	1	0.983
Paragon_v3	Chr7A	Chr7A	4971	0.15	linear	1	0.924
Paragon_v3	Chr7B	Chr7B	4434	0.172	linear	1	0.897
Paragon_v3	Chr7D	Chr7D	5312	0.121	linear	1	0.982
Renan_v2	Chr1A	Chr1A	3735	0.16	linear	1	0.842
Renan_v2	Chr1B	Chr1B	3888	0.18	linear	1	0.848
Renan_v2	Chr1D	Chr1D	3947	0.126	linear	1	0.88
Renan_v2	Chr2A	Chr2A	4729	0.166	linear	1	0.814
Renan_v2	Chr2B	Chr2B	5101	0.159	linear	1	0.854
Renan_v2	Chr2D	Chr2D	4472	0.143	linear	1	0.832
Renan_v2	Chr3A	Chr3A	4374	0.172	linear	1	0.868
Renan_v2	Chr3B	Chr3B	5068	0.168	linear	1	0.861
