gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Mace_tgt_chr	Mace_tgt_start	Mace_tgt_end	Mace_tgt_strand	Mace_tgt_midpoint	Mace_coverage	Mace_identity
gene:TraesCS4B03G0006400	Chr4B	2318788	2320128	-	2319458	Chr4B	2655045	2656385	-	2655715	1.0	1.0
gene:TraesCS4B03G0006600	Chr4B	2361690	2362465	-	2362077	Chr4B	2705207	2705982	-	2705594	1.0	0.998
gene:TraesCS4B03G0007000	Chr4B	2416943	2418089	+	2417516	Chr4B	2760457	2761603	+	2761030	1.0	0.999
gene:TraesCS4B03G0007500	Chr4B	2443066	2488821	+	2465943	Chr4B	2786553	2832504	+	2809528	1.0	1.0
gene:TraesCS4B03G0007800	Chr4B	3611489	3612627	+	3612058	Chr4B	4541160	4542298	-	4541729	1.0	0.997
gene:TraesCS4B03G0008000	Chr4B	3629912	3630922	-	3630417	Chr4B	4523102	4524112	+	4523607	1.0	1.0
gene:TraesCS4B03G0008500	Chr4B	3739290	3747740	+	3743515	Chr4B	3689073	3693120	+	3691096	1.0	0.996
gene:TraesCS4B03G0008700	Chr4B	3827314	3833721	+	3830517	Chr4B	3874599	3881006	+	3877802	1.0	0.999
gene:TraesCS4B03G0008800	Chr4B	3842707	3849034	+	3845870	Chr4B	3890180	3896507	+	3893343	1.0	1.0
gene:TraesCS4B03G0009100	Chr4B	3859442	3864519	+	3861980	Chr4B	3906724	3911702	+	3909213	1.0	0.995
gene:TraesCS4B03G0009200	Chr4B	3875185	3875885	+	3875535	Chr4B	3922368	3923068	+	3922718	1.0	0.998
gene:TraesCS4B03G0009300	Chr4B	3880766	3883099	+	3881932	Chr4B	3928050	3930228	+	3929139	1.0	1.0
gene:TraesCS4B03G0009600	Chr4B	4394789	4395654	-	4395221	Chr4B	4459355	4460220	-	4459787	1.0	1.0
gene:TraesCS4B03G0010100	Chr4B	4628508	4631877	-	4630192	Chr4B	4766808	4770177	-	4768492	1.0	1.0
gene:TraesCS4B03G0010200	Chr4B	4649709	4654096	+	4651902	Chr4B	4788027	4792414	+	4790220	1.0	1.0
gene:TraesCS4B03G0010400	Chr4B	4694467	4701478	+	4697972	Chr4B	4832792	4839816	+	4836304	1.0	1.0
gene:TraesCS4B03G0010500	Chr4B	4702115	4703499	+	4702807	Chr4B	4840453	4841837	+	4841145	1.0	0.999
gene:TraesCS4B03G0010600	Chr4B	4704103	4704905	+	4704504	Chr4B	4842441	4843243	+	4842842	1.0	1.0
gene:TraesCS4B03G0010700	Chr4B	4748349	4751329	-	4749839	Chr4B	4529011	4531985	-	4530498	0.989	0.954
gene:TraesCS4B03G0010800	Chr4B	4757354	4758546	-	4757950	Chr4B	4894639	4895831	-	4895235	1.0	1.0
gene:TraesCS4B03G0011200	Chr4B	5005176	5006735	+	5005955	Chr4B	4951020	4952579	+	4951799	1.0	1.0
gene:TraesCS4B03G0011300	Chr4B	5013958	5015724	-	5014841	Chr4B	4959803	4961569	-	4960686	1.0	0.999
gene:TraesCS4B03G0011400	Chr4B	5016147	5018598	+	5017372	Chr4B	4961992	4964443	+	4963217	1.0	0.999
gene:TraesCS4B03G0011500	Chr4B	5038625	5040507	-	5039566	Chr4B	4984331	4986058	-	4985194	1.0	1.0
gene:TraesCS4B03G0011700	Chr4B	5043923	5045938	+	5044930	Chr4B	4989474	4991489	+	4990481	1.0	1.0
gene:TraesCS4B03G0011800	Chr4B	5050011	5052020	-	5051015	Chr4B	4995524	4997533	-	4996528	1.0	1.0
gene:TraesCS4B03G0012100	Chr4B	5077523	5082200	+	5079861	Chr4B	5022375	5027052	+	5024713	1.0	1.0
gene:TraesCS4B03G0012200	Chr4B	5087164	5091352	-	5089258	Chr4B	5032016	5036204	-	5034110	1.0	1.0
gene:TraesCS4B03G0012400	Chr4B	5318530	5319996	-	5319263	Chr4B	5256194	5257660	-	5256927	1.0	1.0
gene:TraesCS4B03G0012500	Chr4B	5320101	5321234	-	5320667	Chr4B	5257765	5258898	-	5258331	1.0	1.0
gene:TraesCS4B03G0013100	Chr4B	5665779	5670020	-	5667899	Chr4B	7246810	7251051	+	7248930	1.0	1.0
gene:TraesCS4B03G0013200	Chr4B	5674268	5676260	-	5675264	Chr4B	7240804	7242796	+	7241800	1.0	1.0
gene:TraesCS4B03G0013300	Chr4B	5730119	5731654	-	5730886	Chr4B	7185316	7186851	+	7186083	1.0	1.0
gene:TraesCS4B03G0013400	Chr4B	5753494	5754438	-	5753966	Chr4B	7162334	7163278	+	7162806	1.0	1.0
gene:TraesCS4B03G0013500	Chr4B	5772706	5776139	-	5774422	Chr4B	7140633	7144066	+	7142349	1.0	1.0
gene:TraesCS4B03G0013600	Chr4B	5779687	5781436	-	5780561	Chr4B	7135336	7137085	+	7136210	1.0	1.0
gene:TraesCS4B03G0013700	Chr4B	5784701	5785668	-	5785184	Chr4B	7131104	7132071	+	7131587	1.0	1.0
gene:TraesCS4B03G0013900	Chr4B	5803248	5807228	-	5805238	Chr4B	7109544	7113524	+	7111534	1.0	1.0
gene:TraesCS4B03G0014100	Chr4B	5878408	5881448	+	5879928	Chr4B	7035450	7038490	-	7036970	1.0	1.0
gene:TraesCS4B03G0014600	Chr4B	6029853	6032274	+	6031063	Chr4B	6884919	6887339	-	6886129	1.0	1.0
gene:TraesCS4B03G0015000	Chr4B	6269662	6271092	+	6270377	Chr4B	6645964	6647394	-	6646679	1.0	1.0
gene:TraesCS4B03G0015100	Chr4B	6272493	6273128	+	6272810	Chr4B	6643928	6644563	-	6644245	1.0	1.0
gene:TraesCS4B03G0015200	Chr4B	6274207	6274850	-	6274528	Chr4B	6642206	6642849	+	6642527	1.0	1.0
gene:TraesCS4B03G0015300	Chr4B	6276095	6276960	+	6276527	Chr4B	6640096	6640961	-	6640528	1.0	1.0
gene:TraesCS4B03G0015500	Chr4B	6283520	6284166	-	6283843	Chr4B	6632874	6633520	+	6633197	1.0	1.0
gene:TraesCS4B03G0015700	Chr4B	6338082	6340667	-	6339374	Chr4B	6578634	6581219	+	6579926	1.0	1.0
gene:TraesCS4B03G0015800	Chr4B	6346102	6348397	+	6347249	Chr4B	6570904	6573199	-	6572051	1.0	1.0
gene:TraesCS4B03G0015900	Chr4B	6349266	6350916	-	6350091	Chr4B	6568385	6570035	+	6569210	1.0	1.0
gene:TraesCS4B03G0016000	Chr4B	6396293	6400437	-	6398365	Chr4B	6518778	6522922	+	6520850	1.0	1.0
gene:TraesCS4B03G0016200	Chr4B	6438288	6442488	-	6440388	Chr4B	6476871	6481118	+	6478994	1.0	1.0
gene:TraesCS4B03G0016500	Chr4B	6542399	6542847	+	6542623	Chr4B	6377322	6377770	-	6377546	1.0	1.0
gene:TraesCS4B03G0016700	Chr4B	6603474	6606350	+	6604912	Chr4B	6315011	6317887	-	6316449	1.0	1.0
gene:TraesCS4B03G0016800	Chr4B	6622209	6624334	+	6623271	Chr4B	6297519	6299644	-	6298581	1.0	1.0
gene:TraesCS4B03G0017400	Chr4B	6779772	6782952	+	6781362	Chr4B	6137900	6141080	-	6139490	1.0	1.0
gene:TraesCS4B03G0017700	Chr4B	6802311	6806219	-	6804265	Chr4B	6114815	6118723	+	6116769	1.0	1.0
gene:TraesCS4B03G0017800	Chr4B	6841063	6845077	+	6843070	Chr4B	6075799	6079813	-	6077806	1.0	1.0
gene:TraesCS4B03G0017900	Chr4B	6898433	6901748	-	6900090	Chr4B	6019073	6022388	+	6020730	1.0	1.0
gene:TraesCS4B03G0018000	Chr4B	6902643	6905948	-	6904295	Chr4B	6014873	6018178	+	6016525	1.0	1.0
gene:TraesCS4B03G0018100	Chr4B	6943116	6947537	-	6945326	Chr4B	5973397	5977818	+	5975607	1.0	0.999
gene:TraesCS4B03G0018300	Chr4B	7074978	7077800	-	7076389	Chr4B	5825923	5828745	+	5827334	1.0	0.998
gene:TraesCS4B03G0018400	Chr4B	7084337	7087845	+	7086091	Chr4B	5815878	5819386	-	5817632	1.0	1.0
gene:TraesCS4B03G0019500	Chr4B	7253579	7257515	+	7255547	Chr4B	5646416	5650352	-	5648384	1.0	1.0
gene:TraesCS4B03G0019600	Chr4B	7266869	7273008	+	7269938	Chr4B	5630710	5636838	-	5633774	0.996	0.996
gene:TraesCS4B03G0019900	Chr4B	7276002	7276726	-	7276364	Chr4B	5626992	5627716	+	5627354	1.0	1.0
gene:TraesCS4B03G0020000	Chr4B	7459008	7461775	+	7460391	Chr4B	5444629	5447396	-	5446012	1.0	1.0
gene:TraesCS4B03G0020500	Chr4B	7857196	7862596	-	7859896	Chr4B	7632752	7638146	-	7635449	1.0	1.0
gene:TraesCS4B03G0020700	Chr4B	7957320	7962746	-	7960033	Chr4B	7732866	7738292	-	7735579	1.0	1.0
gene:TraesCS4B03G0020900	Chr4B	8273296	8276777	-	8275036	Chr4B	8047200	8050681	-	8048940	1.0	1.0
gene:TraesCS4B03G0021100	Chr4B	8349077	8352483	-	8350780	Chr4B	8122821	8126243	-	8124532	1.0	0.983
gene:TraesCS4B03G0021200	Chr4B	8354847	8360894	-	8357870	Chr4B	8128465	8134588	-	8131526	1.0	0.995
gene:TraesCS4B03G0021300	Chr4B	8360912	8364647	-	8362779	Chr4B	8134606	8138345	-	8136475	1.0	1.0
gene:TraesCS4B03G0021400	Chr4B	8419281	8420199	+	8419740	Chr4B	8192295	8193213	+	8192754	1.0	1.0
gene:TraesCS4B03G0021500	Chr4B	8487556	8490533	+	8489044	Chr4B	8259925	8262899	+	8261412	0.997	0.997
gene:TraesCS4B03G0021600	Chr4B	8534247	8537334	+	8535790	Chr4B	8292801	8295888	+	8294344	1.0	1.0
gene:TraesCS4B03G0021800	Chr4B	8623962	8626909	+	8625435	Chr4B	8375839	8378786	+	8377312	1.0	1.0
gene:TraesCS4B03G0021900	Chr4B	8668879	8671759	+	8670319	Chr4B	8420137	8423017	+	8421577	1.0	1.0
gene:TraesCS4B03G0022000	Chr4B	8690949	8694149	+	8692549	Chr4B	8441284	8444484	+	8442884	1.0	1.0
gene:TraesCS4B03G0022100	Chr4B	8696794	8699786	+	8698290	Chr4B	8447129	8450121	+	8448625	1.0	1.0
gene:TraesCS4B03G0022200	Chr4B	8713800	8721462	+	8717631	Chr4B	8464135	8471572	+	8467853	0.988	0.988
gene:TraesCS4B03G0022300	Chr4B	8778184	8781081	+	8779632	Chr4B	8588706	8591603	+	8590154	1.0	1.0
gene:TraesCS4B03G0022400	Chr4B	8928149	8930990	+	8929569	Chr4B	8605693	8608534	+	8607113	1.0	1.0
gene:TraesCS4B03G0022600	Chr4B	8969015	8972206	+	8970610	Chr4B	8646662	8649852	+	8648257	1.0	1.0
gene:TraesCS4B03G0022900	Chr4B	9188963	9190624	+	9189793	Chr4B	8864732	8866393	+	8865562	1.0	0.998
gene:TraesCS4B03G0023000	Chr4B	9197152	9202090	+	9199621	Chr4B	8872920	8876076	+	8874498	0.998	0.996
gene:TraesCS4B03G0023200	Chr4B	9235129	9243483	-	9239306	Chr4B	8909117	8917561	-	8913339	1.0	1.0
gene:TraesCS4B03G0023300	Chr4B	9242541	9249609	-	9246075	Chr4B	8916619	8923687	-	8920153	1.0	1.0
gene:TraesCS4B03G0023500	Chr4B	9257978	9259039	-	9258508	Chr4B	8932056	8933117	-	8932586	1.0	1.0
gene:TraesCS4B03G0023700	Chr4B	9284155	9286184	+	9285169	Chr4B	8958101	8960130	+	8959115	1.0	1.0
gene:TraesCS4B03G0024000	Chr4B	9312201	9316723	-	9314462	Chr4B	8986257	8990788	-	8988522	1.0	1.0
gene:TraesCS4B03G0024100	Chr4B	9321836	9323497	-	9322666	Chr4B	8995910	8997571	-	8996740	1.0	0.999
gene:TraesCS4B03G0024400	Chr4B	9542136	9544219	+	9543177	Chr4B	9206430	9208513	+	9207471	1.0	1.0
gene:TraesCS4B03G0024500	Chr4B	9631181	9633297	+	9632239	Chr4B	9294950	9297066	+	9296008	1.0	1.0
gene:TraesCS4B03G0024800	Chr4B	9790333	9792797	+	9791565	Chr4B	9457201	9459665	+	9458433	1.0	1.0
gene:TraesCS4B03G0024900	Chr4B	9842957	9847003	-	9844980	Chr4B	9509341	9513380	-	9511360	0.995	0.991
gene:TraesCS4B03G0025600	Chr4B	10400582	10403964	-	10402273	Chr4B	10057017	10060417	-	10058717	1.0	1.0
gene:TraesCS4B03G0026100	Chr4B	10803185	10805569	+	10804377	Chr4B	10438644	10441028	+	10439836	1.0	1.0
gene:TraesCS4B03G0026600	Chr4B	10847041	10851294	+	10849167	Chr4B	10482803	10487056	+	10484929	1.0	1.0
gene:TraesCS4B03G0027200	Chr4B	10931857	10935497	-	10933677	Chr4B	10569920	10573560	-	10571740	1.0	0.999
gene:TraesCS4B03G0027400	Chr4B	11093025	11100708	+	11096866	Chr4B	10728100	10735802	+	10731951	1.0	1.0
gene:TraesCS4B03G0027500	Chr4B	11107511	11109226	+	11108368	Chr4B	10742605	10744320	+	10743462	1.0	1.0
gene:TraesCS4B03G0027600	Chr4B	11111048	11113357	+	11112202	Chr4B	10746142	10748451	+	10747296	1.0	1.0
gene:TraesCS4B03G0027900	Chr4B	11120139	11124482	-	11122310	Chr4B	10755283	10759631	-	10757457	1.0	1.0
gene:TraesCS4B03G0028100	Chr4B	11668860	11670629	-	11669744	Chr4B	11243010	11244779	-	11243894	1.0	1.0
gene:TraesCS4B03G0028200	Chr4B	11672668	11675712	-	11674190	Chr4B	11248079	11251122	-	11249600	0.999	0.999
gene:TraesCS4B03G0028300	Chr4B	11677119	11681241	+	11679180	Chr4B	11252529	11256650	+	11254589	1.0	1.0
gene:TraesCS4B03G0028500	Chr4B	12157687	12158558	+	12158122	Chr4B	11726297	11727168	+	11726732	1.0	1.0
gene:TraesCS4B03G0029700	Chr4B	12236367	12238738	+	12237552	Chr4B	11804537	11806908	+	11805722	1.0	1.0
gene:TraesCS4B03G0029800	Chr4B	12242993	12245251	-	12244122	Chr4B	11811256	11813514	-	11812385	1.0	1.0
gene:TraesCS4B03G0030000	Chr4B	12307140	12311868	+	12309504	Chr4B	11877048	11881776	+	11879412	1.0	1.0
gene:TraesCS4B03G0030100	Chr4B	12311772	12313549	-	12312660	Chr4B	11882007	11883291	-	11882649	0.921	0.921
gene:TraesCS4B03G0030200	Chr4B	12327262	12328629	-	12327945	Chr4B	11896925	11898292	-	11897608	1.0	1.0
gene:TraesCS4B03G0030300	Chr4B	12329369	12332339	-	12330854	Chr4B	11899032	11902002	-	11900517	1.0	1.0
gene:TraesCS4B03G0031300	Chr4B	13064511	13066817	-	13065664	Chr4B	12528220	12530531	-	12529375	1.0	0.997
gene:TraesCS4B03G0031400	Chr4B	13150070	13152283	+	13151176	Chr4B	12614639	12616852	+	12615745	1.0	1.0
gene:TraesCS4B03G0031700	Chr4B	13283883	13286103	+	13284993	Chr4B	12710891	12713111	+	12712001	1.0	1.0
gene:TraesCS4B03G0032100	Chr4B	13326019	13326527	+	13326273	Chr4B	12753048	12753556	+	12753302	1.0	1.0
gene:TraesCS4B03G0032200	Chr4B	13371547	13375209	-	13373378	Chr4B	12798678	12802340	-	12800509	1.0	1.0
gene:TraesCS4B03G0032300	Chr4B	13387538	13391363	+	13389450	Chr4B	12814780	12818605	+	12816692	1.0	1.0
gene:TraesCS4B03G0032400	Chr4B	13425673	13430257	+	13427965	Chr4B	12852905	12857489	+	12855197	1.0	1.0
gene:TraesCS4B03G0032700	Chr4B	13449724	13450466	+	13450095	Chr4B	12876993	12877735	+	12877364	1.0	1.0
gene:TraesCS4B03G0032800	Chr4B	13450549	13454028	-	13452288	Chr4B	12877818	12881297	-	12879557	1.0	1.0
gene:TraesCS4B03G0032900	Chr4B	13455718	13461325	-	13458521	Chr4B	12882987	12888595	-	12885791	1.0	1.0
gene:TraesCS4B03G0033000	Chr4B	13464420	13467636	+	13466028	Chr4B	12891670	12894886	+	12893278	1.0	1.0
gene:TraesCS4B03G0033100	Chr4B	13613526	13625103	-	13619314	Chr4B	13033441	13045010	-	13039225	1.0	1.0
gene:TraesCS4B03G0033200	Chr4B	13619936	13622133	+	13621034	Chr4B	13039851	13042040	+	13040945	0.994	0.988
gene:TraesCS4B03G0033300	Chr4B	13627329	13635247	-	13631288	Chr4B	13047296	13055292	-	13051294	1.0	1.0
gene:TraesCS4B03G0033400	Chr4B	13643817	13644143	-	13643980	Chr4B	13063147	13063473	-	13063310	1.0	0.996
gene:TraesCS4B03G0033600	Chr4B	13731974	13732261	+	13732117	Chr4B	13116889	13117173	+	13117031	0.989	0.965
gene:TraesCS4B03G0033700	Chr4B	13767289	13767576	+	13767432	Chr4B	13154763	13155050	+	13154906	1.0	0.993
gene:TraesCS4B03G0034700	Chr4B	13857744	13859586	-	13858665	Chr4B	13257815	13259615	-	13258715	0.968	0.962
gene:TraesCS4B03G0034900	Chr4B	13970511	13974126	+	13972318	Chr4B	13349305	13352922	+	13351113	1.0	0.998
gene:TraesCS4B03G0035200	Chr4B	13994176	13995863	+	13995019	Chr4B	13372216	13373903	+	13373059	1.0	0.999
gene:TraesCS4B03G0035600	Chr4B	14269259	14273323	+	14271291	Chr4B	13552364	13556431	+	13554397	1.0	0.996
gene:TraesCS4B03G0036600	Chr4B	14793756	14795965	-	14794860	Chr4B	14061731	14063942	-	14062836	1.0	0.995
gene:TraesCS4B03G0037000	Chr4B	14819047	14821688	+	14820367	Chr4B	14086725	14089785	+	14088255	1.0	0.996
gene:TraesCS4B03G0037100	Chr4B	14829643	14834893	+	14832268	Chr4B	14097378	14102627	+	14100002	0.999	0.998
gene:TraesCS4B03G0037200	Chr4B	14835047	14839810	+	14837428	Chr4B	14102781	14107545	+	14105163	1.0	0.998
gene:TraesCS4B03G0037300	Chr4B	14866669	14868524	-	14867596	Chr4B	14114748	14116601	-	14115674	1.0	0.998
gene:TraesCS4B03G0037700	Chr4B	15018264	15019321	+	15018792	Chr4B	14275329	14276394	+	14275861	1.0	0.99
gene:TraesCS4B03G0037800	Chr4B	15020905	15022023	+	15021464	Chr4B	14277978	14279119	+	14278548	1.0	0.998
gene:TraesCS4B03G0037900	Chr4B	15022046	15026127	-	15024086	Chr4B	14279142	14283028	-	14281085	1.0	0.998
gene:TraesCS4B03G0038100	Chr4B	15040448	15043277	-	15041862	Chr4B	14302905	14305733	-	14304319	1.0	0.995
gene:TraesCS4B03G0038200	Chr4B	15136397	15136759	+	15136578	Chr4B	14411411	14411773	+	14411592	1.0	1.0
gene:TraesCS4B03G0038300	Chr4B	15149172	15152263	+	15150717	Chr4B	14424186	14427277	+	14425731	1.0	1.0
gene:TraesCS4B03G0038400	Chr4B	15156746	15162716	+	15159731	Chr4B	14431758	14437731	+	14434744	1.0	0.999
gene:TraesCS4B03G0038500	Chr4B	15162926	15167293	-	15165109	Chr4B	14437941	14442308	-	14440124	1.0	1.0
gene:TraesCS4B03G0038900	Chr4B	15684259	15687307	+	15685783	Chr4B	14938032	14941080	+	14939556	1.0	0.995
gene:TraesCS4B03G0039100	Chr4B	15712104	15715791	+	15713947	Chr4B	14956008	14959697	+	14957852	1.0	0.994
gene:TraesCS4B03G0039300	Chr4B	15716043	15720952	-	15718497	Chr4B	14959949	14964895	-	14962422	1.0	0.947
gene:TraesCS4B03G0039400	Chr4B	15732613	15734448	-	15733530	Chr4B	14977209	14979038	-	14978123	0.994	0.985
gene:TraesCS4B03G0039500	Chr4B	15737018	15740036	-	15738527	Chr4B	14981603	14984337	-	14982970	0.994	0.993
gene:TraesCS4B03G0039700	Chr4B	15751071	15753626	+	15752348	Chr4B	14995230	14997785	+	14996507	1.0	0.998
gene:TraesCS4B03G0040200	Chr4B	15766863	15767150	-	15767006	Chr4B	15005831	15006118	-	15005974	1.0	0.989
gene:TraesCS4B03G0040700	Chr4B	15792986	15794572	+	15793779	Chr4B	15041315	15042899	+	15042107	0.998	0.994
gene:TraesCS4B03G0040800	Chr4B	15841975	15845957	+	15843966	Chr4B	15074089	15077811	+	15075950	1.0	0.998
gene:TraesCS4B03G0040900	Chr4B	15846816	15848032	+	15847424	Chr4B	15078982	15080176	+	15079579	0.974	0.944
gene:TraesCS4B03G0041000	Chr4B	15848203	15853551	-	15850877	Chr4B	15080347	15085693	-	15083020	1.0	0.997
gene:TraesCS4B03G0041100	Chr4B	15855377	15863470	-	15859423	Chr4B	15087285	15095267	-	15091276	0.968	0.955
gene:TraesCS4B03G0041200	Chr4B	16001794	16004653	+	16003223	Chr4B	15221562	15224399	+	15222980	0.999	0.993
gene:TraesCS4B03G0041300	Chr4B	16006143	16010111	+	16008127	Chr4B	15225889	15229857	+	15227873	1.0	1.0
gene:TraesCS4B03G0041500	Chr4B	16124182	16125149	+	16124665	Chr4B	15338759	15339726	+	15339242	1.0	0.998
gene:TraesCS4B03G0041600	Chr4B	16127192	16132169	+	16129680	Chr4B	15341769	15346748	+	15344258	1.0	0.997
gene:TraesCS4B03G0041700	Chr4B	16219932	16223106	+	16221519	Chr4B	15697583	15701015	-	15699299	0.995	0.944
gene:TraesCS4B03G0043300	Chr4B	16946042	16949083	+	16947562	Chr4B	15423834	15426876	-	15425355	1.0	0.996
gene:TraesCS4B03G0043800	Chr4B	17141319	17146978	+	17144148	Chr4B	15936243	15941675	+	15938959	1.0	0.993
gene:TraesCS4B03G0043900	Chr4B	17148921	17154014	-	17151467	Chr4B	15943634	15948717	-	15946175	0.996	0.994
gene:TraesCS4B03G0044000	Chr4B	17159796	17164440	-	17162118	Chr4B	15954700	15959518	-	15957109	1.0	1.0
gene:TraesCS4B03G0044900	Chr4B	17328711	17330355	-	17329533	Chr4B	16134420	16136064	-	16135242	1.0	0.995
gene:TraesCS4B03G0045000	Chr4B	17373898	17374391	-	17374144	Chr4B	16170602	16171095	-	16170848	1.0	1.0
gene:TraesCS4B03G0045300	Chr4B	17485639	17488430	+	17487034	Chr4B	16279261	16282074	+	16280667	1.0	0.993
gene:TraesCS4B03G0045400	Chr4B	17494069	17503649	-	17498859	Chr4B	16287778	16297353	-	16292565	1.0	0.999
gene:TraesCS4B03G0045500	Chr4B	17654480	17659108	-	17656794	Chr4B	16448269	16452897	-	16450583	1.0	1.0
gene:TraesCS4B03G0046200	Chr4B	17787230	17788021	+	17787625	Chr4B	16629007	16629798	+	16629402	1.0	1.0
gene:TraesCS4B03G0046300	Chr4B	17789225	17795793	-	17792509	Chr4B	16631002	16637570	-	16634286	1.0	0.999
gene:TraesCS4B03G0046500	Chr4B	17819946	17826018	+	17822982	Chr4B	16661593	16667665	+	16664629	1.0	1.0
gene:TraesCS4B03G0046900	Chr4B	18230904	18231356	+	18231130	Chr4B	17074641	17075093	+	17074867	1.0	1.0
gene:TraesCS4B03G0047700	Chr4B	18406414	18410974	+	18408694	Chr4B	17249063	17253623	+	17251343	1.0	1.0
gene:TraesCS4B03G0048600	Chr4B	18510959	18511369	+	18511164	Chr4B	17358605	17359015	+	17358810	1.0	1.0
gene:TraesCS4B03G0048900	Chr4B	18522191	18523400	+	18522795	Chr4B	17369434	17370644	+	17370039	1.0	0.998
gene:TraesCS4B03G0049000	Chr4B	18538665	18540367	-	18539516	Chr4B	17385641	17387343	-	17386492	1.0	1.0
gene:TraesCS4B03G0049100	Chr4B	18596908	18597706	-	18597307	Chr4B	17442519	17443317	-	17442918	1.0	1.0
gene:TraesCS4B03G0049200	Chr4B	18603320	18603745	-	18603532	Chr4B	17448929	17449354	-	17449141	1.0	1.0
gene:TraesCS4B03G0049500	Chr4B	18617577	18617909	-	18617743	Chr4B	17462564	17462896	-	17462730	1.0	1.0
gene:TraesCS4B03G0049600	Chr4B	18739231	18741247	+	18740239	Chr4B	17583662	17585678	+	17584670	1.0	1.0
