gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	Paragon_v3_tgt_strand	Paragon_v3_tgt_midpoint	Paragon_v3_coverage	Paragon_v3_identity
gene:TraesCS5D03G0011500	Chr5D	4657637	4660576	+	4659106	Chr5D	4975848	4978787	+	4977317	1.0	1.0
gene:TraesCS5D03G0011600	Chr5D	4661997	4662533	+	4662265	Chr5D	4980202	4980738	+	4980470	1.0	1.0
gene:TraesCS5D03G0011700	Chr5D	4662688	4663563	+	4663125	Chr5D	4980893	4981768	+	4981330	1.0	0.998
gene:TraesCS5D03G0011800	Chr5D	4685322	4688315	-	4686818	Chr5D	5003524	5006519	-	5005021	1.0	1.0
gene:TraesCS5D03G0012000	Chr5D	4692650	4697978	-	4695314	Chr5D	5010856	5016184	-	5013520	1.0	1.0
gene:TraesCS5D03G0012500	Chr5D	4781972	4785327	+	4783649	Chr5D	5108156	5111511	+	5109833	1.0	1.0
gene:TraesCS5D03G0012700	Chr5D	4872332	4872634	+	4872483	Chr5D	5197442	5197744	+	5197593	1.0	1.0
gene:TraesCS5D03G0013000	Chr5D	4874080	4874303	-	4874191	Chr5D	5199190	5199413	-	5199301	1.0	1.0
gene:TraesCS5D03G0014100	Chr5D	4882647	4883390	+	4883018	Chr5D	5206722	5207465	+	5207093	1.0	0.998
gene:TraesCS5D03G0014300	Chr5D	4884121	4884294	-	4884207	Chr5D	5208196	5208369	-	5208282	1.0	1.0
gene:TraesCS5D03G0014400	Chr5D	4884966	4885211	+	4885088	Chr5D	5209045	5209290	+	5209167	1.0	1.0
gene:TraesCS5D03G0014500	Chr5D	4886766	4887029	+	4886897	Chr5D	5210845	5211108	+	5210976	1.0	1.0
gene:TraesCS5D03G0014600	Chr5D	4887121	4888287	+	4887704	Chr5D	5211200	5212366	+	5211783	1.0	0.999
gene:TraesCS5D03G0014800	Chr5D	4891913	4894165	-	4893039	Chr5D	5215992	5218244	-	5217118	1.0	0.999
gene:TraesCS5D03G0015100	Chr5D	4897812	4898401	-	4898106	Chr5D	5221891	5222480	-	5222185	1.0	1.0
gene:TraesCS5D03G0015300	Chr5D	4901060	4901539	-	4901299	Chr5D	5225140	5225619	-	5225379	1.0	1.0
gene:TraesCS5D03G0015400	Chr5D	4901640	4902071	-	4901855	Chr5D	5225720	5226151	-	5225935	1.0	1.0
gene:TraesCS5D03G0015500	Chr5D	4902366	4902728	-	4902547	Chr5D	5226446	5226808	-	5226627	1.0	1.0
gene:TraesCS5D03G0015700	Chr5D	4904704	4905117	-	4904910	Chr5D	5228784	5229197	-	5228990	1.0	0.997
gene:TraesCS5D03G0016000	Chr5D	4919446	4920810	+	4920128	Chr5D	5243517	5244881	+	5244199	1.0	1.0
gene:TraesCS5D03G0016300	Chr5D	4925161	4925271	-	4925216	Chr5D	5245562	5245672	+	5245617	1.0	1.0
gene:TraesCS5D03G0016400	Chr5D	4925715	4926272	+	4925993	Chr5D	5246003	5246560	+	5246281	1.0	0.998
gene:TraesCS5D03G0016800	Chr5D	4929412	4929555	-	4929483	Chr5D	5249700	5249843	-	5249771	1.0	1.0
gene:TraesCS5D03G0016900	Chr5D	4929660	4929776	-	4929718	Chr5D	5249948	5250064	-	5250006	1.0	1.0
gene:TraesCS5D03G0017300	Chr5D	4931465	4931578	+	4931521	Chr5D	5251753	5251866	+	5251809	1.0	1.0
gene:TraesCS5D03G0017400	Chr5D	4932349	4932477	+	4932413	Chr5D	5252637	5252765	+	5252701	1.0	1.0
gene:TraesCS5D03G0017500	Chr5D	4932918	4933118	+	4933018	Chr5D	5253206	5253406	+	5253306	1.0	1.0
gene:TraesCS5D03G0018000	Chr5D	4935300	4936013	-	4935656	Chr5D	5255589	5256302	-	5255945	1.0	1.0
gene:TraesCS5D03G0018400	Chr5D	4938361	4938492	-	4938426	Chr5D	5258650	5258781	-	5258715	1.0	1.0
gene:TraesCS5D03G0018500	Chr5D	4938596	4938832	+	4938714	Chr5D	5258885	5259121	+	5259003	1.0	1.0
gene:TraesCS5D03G0018700	Chr5D	4939644	4939925	+	4939784	Chr5D	5259933	5260214	+	5260073	1.0	1.0
gene:TraesCS5D03G0019200	Chr5D	4943192	4945435	+	4944313	Chr5D	5263483	5265726	+	5264604	1.0	1.0
gene:TraesCS5D03G0019300	Chr5D	4945761	4945971	+	4945866	Chr5D	5266052	5266262	+	5266157	1.0	1.0
gene:TraesCS5D03G0019800	Chr5D	4948993	4949154	-	4949073	Chr5D	5269284	5269445	-	5269364	1.0	1.0
gene:TraesCS5D03G0020000	Chr5D	4949293	4950393	-	4949843	Chr5D	5269584	5270684	-	5270134	1.0	0.998
gene:TraesCS5D03G0020100	Chr5D	4950002	4950451	+	4950226	Chr5D	5270293	5270742	+	5270517	1.0	1.0
gene:TraesCS5D03G0020300	Chr5D	4950827	4951042	+	4950934	Chr5D	5271118	5271333	+	5271225	1.0	1.0
gene:TraesCS5D03G0020400	Chr5D	4951153	4952147	-	4951650	Chr5D	5271444	5272438	-	5271941	1.0	1.0
gene:TraesCS5D03G0020800	Chr5D	4955589	4956654	-	4956121	Chr5D	5275880	5276945	-	5276412	1.0	1.0
gene:TraesCS5D03G0021000	Chr5D	4957788	4957982	+	4957885	Chr5D	5278079	5278273	+	5278176	1.0	1.0
gene:TraesCS5D03G0021100	Chr5D	4958384	4958494	+	4958439	Chr5D	5278675	5278785	+	5278730	1.0	1.0
gene:TraesCS5D03G0021400	Chr5D	4960287	4960754	+	4960520	Chr5D	5280578	5281045	+	5280811	1.0	1.0
gene:TraesCS5D03G0021800	Chr5D	4962707	4962894	+	4962800	Chr5D	5282998	5283185	+	5283091	1.0	1.0
gene:TraesCS5D03G0022300	Chr5D	4967601	4967705	+	4967653	Chr5D	5287890	5287994	+	5287942	1.0	1.0
gene:TraesCS5D03G0022700	Chr5D	4973102	4973800	+	4973451	Chr5D	5293397	5294095	+	5293746	1.0	1.0
gene:TraesCS5D03G0023300	Chr5D	5013765	5020319	-	5017042	Chr5D	5334061	5340615	-	5337338	1.0	1.0
gene:TraesCS5D03G0023600	Chr5D	5033927	5038681	+	5036304	Chr5D	5354226	5358980	+	5356603	1.0	0.999
gene:TraesCS5D03G0024000	Chr5D	5126830	5130716	-	5128773	Chr5D	5446621	5450507	-	5448564	1.0	0.999
gene:TraesCS5D03G0024200	Chr5D	5310399	5319110	+	5314754	Chr5D	5630210	5638896	+	5634553	1.0	1.0
gene:TraesCS5D03G0024300	Chr5D	5323991	5339694	+	5331842	Chr5D	5643791	5659494	+	5651642	1.0	1.0
gene:TraesCS5D03G0024400	Chr5D	5339945	5343217	-	5341581	Chr5D	5659745	5663017	-	5661381	1.0	1.0
gene:TraesCS5D03G0024600	Chr5D	5501293	5503036	+	5502164	Chr5D	5821106	5822849	+	5821977	1.0	1.0
gene:TraesCS5D03G0024700	Chr5D	5534695	5546126	+	5540410	Chr5D	5854510	5865939	+	5860224	1.0	0.999
gene:TraesCS5D03G0024800	Chr5D	5567761	5575868	-	5571814	Chr5D	5888486	5896593	-	5892539	1.0	0.999
gene:TraesCS5D03G0024900	Chr5D	5706212	5708783	-	5707497	Chr5D	6026939	6029510	-	6028224	1.0	0.999
gene:TraesCS5D03G0025100	Chr5D	5762415	5764094	-	5763254	Chr5D	6083141	6084820	-	6083980	1.0	1.0
gene:TraesCS5D03G0025200	Chr5D	5772359	5775824	-	5774091	Chr5D	6093085	6096550	-	6094817	1.0	1.0
gene:TraesCS5D03G0025300	Chr5D	5853737	5856897	+	5855317	Chr5D	6174484	6177645	+	6176064	1.0	0.998
gene:TraesCS5D03G0025400	Chr5D	5906666	5910254	+	5908460	Chr5D	6227436	6231024	+	6229230	1.0	1.0
gene:TraesCS5D03G0025500	Chr5D	5943007	5947183	+	5945095	Chr5D	6263795	6267971	+	6265883	1.0	1.0
gene:TraesCS5D03G0025600	Chr5D	5953081	5963542	+	5958311	Chr5D	6273867	6284335	+	6279101	1.0	1.0
gene:TraesCS5D03G0025800	Chr5D	6012640	6017851	+	6015245	Chr5D	6335438	6340649	+	6338043	1.0	1.0
gene:TraesCS5D03G0026800	Chr5D	6773112	6787820	-	6780466	Chr5D	6792080	6806788	-	6799434	1.0	1.0
gene:TraesCS5D03G0026900	Chr5D	6799651	6803622	+	6801636	Chr5D	6818177	6822148	+	6820162	1.0	1.0
gene:TraesCS5D03G0027000	Chr5D	6841065	6847662	+	6844363	Chr5D	6859614	6866218	+	6862916	1.0	0.998
gene:TraesCS5D03G0027100	Chr5D	6850565	6862517	+	6856541	Chr5D	6869121	6881085	+	6875103	1.0	1.0
gene:TraesCS5D03G0027200	Chr5D	7052743	7068887	+	7060815	Chr5D	7069799	7085241	+	7077520	1.0	1.0
gene:TraesCS5D03G0028000	Chr5D	7176715	7179793	+	7178254	Chr5D	7193076	7196154	+	7194615	1.0	1.0
gene:TraesCS5D03G0028200	Chr5D	7225425	7226098	-	7225761	Chr5D	7241823	7242496	-	7242159	1.0	0.998
gene:TraesCS5D03G0028300	Chr5D	7225573	7226071	-	7225822	Chr5D	7241971	7242469	-	7242220	1.0	0.997
gene:TraesCS5D03G0028400	Chr5D	7249912	7250434	-	7250173	Chr5D	7266354	7266876	-	7266615	1.0	1.0
gene:TraesCS5D03G0028600	Chr5D	7542108	7547074	-	7544591	Chr5D	7547294	7552277	-	7549785	1.0	0.999
gene:TraesCS5D03G0028900	Chr5D	7632009	7635649	-	7633829	Chr5D	7637474	7641114	-	7639294	1.0	1.0
gene:TraesCS5D03G0029100	Chr5D	7690081	7698179	+	7694130	Chr5D	7844128	7852226	+	7848177	1.0	1.0
gene:TraesCS5D03G0029200	Chr5D	7717853	7730573	-	7724213	Chr5D	7871901	7884718	-	7878309	1.0	1.0
gene:TraesCS5D03G0029700	Chr5D	7759289	7761729	-	7760509	Chr5D	7913444	7915884	-	7914664	1.0	1.0
gene:TraesCS5D03G0029900	Chr5D	7860986	7877389	-	7869187	Chr5D	8013637	8029193	-	8021415	0.9	0.9
gene:TraesCS5D03G0030400	Chr5D	8051479	8054654	+	8053066	Chr5D	8203641	8206814	+	8205227	1.0	1.0
gene:TraesCS5D03G0030600	Chr5D	8086114	8088828	-	8087471	Chr5D	8237954	8240668	-	8239311	1.0	1.0
gene:TraesCS5D03G0030800	Chr5D	8141689	8143688	+	8142688	Chr5D	8293563	8295562	+	8294562	1.0	1.0
gene:TraesCS5D03G0030900	Chr5D	8154875	8157233	+	8156054	Chr5D	8306749	8309107	+	8307928	1.0	1.0
gene:TraesCS5D03G0031100	Chr5D	8169523	8175293	-	8172408	Chr5D	8321396	8327166	-	8324281	1.0	1.0
gene:TraesCS5D03G0031300	Chr5D	8354136	8383522	+	8368829	Chr5D	8505869	8535196	+	8520532	1.0	1.0
gene:TraesCS5D03G0032500	Chr5D	8526442	8532020	+	8529231	Chr5D	8677619	8683197	+	8680408	1.0	1.0
gene:TraesCS5D03G0032700	Chr5D	8534121	8540085	-	8537103	Chr5D	8685300	8691264	-	8688282	1.0	1.0
gene:TraesCS5D03G0032800	Chr5D	8611516	8614138	-	8612827	Chr5D	8762711	8765333	-	8764022	1.0	1.0
gene:TraesCS5D03G0032900	Chr5D	8614789	8615043	-	8614916	Chr5D	8765984	8766238	-	8766111	1.0	1.0
gene:TraesCS5D03G0033000	Chr5D	8649559	8663338	-	8656448	Chr5D	8800755	8814534	-	8807644	1.0	1.0
gene:TraesCS5D03G0033100	Chr5D	8665040	8668025	-	8666532	Chr5D	8816044	8819029	-	8817536	1.0	1.0
gene:TraesCS5D03G0033700	Chr5D	8760580	8761485	-	8761032	Chr5D	8910377	8911282	-	8910829	1.0	1.0
gene:TraesCS5D03G0033600	Chr5D	8760550	8761728	+	8761139	Chr5D	8910347	8911525	+	8910936	1.0	1.0
gene:TraesCS5D03G0034100	Chr5D	9055345	9056199	+	9055772	Chr5D	9205193	9206047	+	9205620	1.0	1.0
gene:TraesCS5D03G0034200	Chr5D	9072954	9076493	+	9074723	Chr5D	9222801	9226354	+	9224577	1.0	1.0
gene:TraesCS5D03G0034500	Chr5D	9130463	9132648	-	9131555	Chr5D	9280355	9282540	-	9281447	1.0	1.0
gene:TraesCS5D03G0034800	Chr5D	9185614	9186012	+	9185813	Chr5D	9335520	9335918	+	9335719	1.0	1.0
gene:TraesCS5D03G0035100	Chr5D	9225900	9231687	+	9228793	Chr5D	9375844	9381630	+	9378737	1.0	1.0
gene:TraesCS5D03G0035300	Chr5D	9235784	9237983	+	9236883	Chr5D	9385727	9387926	+	9386826	1.0	1.0
gene:TraesCS5D03G0035400	Chr5D	9238099	9242366	-	9240232	Chr5D	9388042	9392309	-	9390175	1.0	1.0
gene:TraesCS5D03G0035600	Chr5D	9333018	9343813	-	9338415	Chr5D	9486370	9497172	-	9491771	1.0	1.0
gene:TraesCS5D03G0035800	Chr5D	9395161	9395820	+	9395490	Chr5D	9548521	9549180	+	9548850	1.0	1.0
gene:TraesCS5D03G0035900	Chr5D	9406057	9407312	+	9406684	Chr5D	9558551	9559806	+	9559178	1.0	1.0
gene:TraesCS5D03G0036100	Chr5D	9446443	9447447	+	9446945	Chr5D	9598055	9599059	+	9598557	1.0	1.0
gene:TraesCS5D03G0036200	Chr5D	9499846	9501662	-	9500754	Chr5D	9651521	9653337	-	9652429	1.0	1.0
gene:TraesCS5D03G0036300	Chr5D	9515824	9518741	-	9517282	Chr5D	9667506	9670423	-	9668964	1.0	0.999
gene:TraesCS5D03G0036400	Chr5D	9583881	9585814	+	9584847	Chr5D	9735556	9737489	+	9736522	1.0	1.0
gene:TraesCS5D03G0036600	Chr5D	9639722	9640204	-	9639963	Chr5D	9791510	9791992	-	9791751	1.0	1.0
gene:TraesCS5D03G0036700	Chr5D	9660913	9661794	+	9661353	Chr5D	9812704	9813585	+	9813144	1.0	1.0
gene:TraesCS5D03G0037100	Chr5D	9688115	9689533	-	9688824	Chr5D	9839907	9841325	-	9840616	1.0	0.999
gene:TraesCS5D03G0037600	Chr5D	9835169	9837618	-	9836393	Chr5D	9987000	9989449	-	9988224	1.0	1.0
gene:TraesCS5D03G0037700	Chr5D	9839250	9844749	-	9841999	Chr5D	9991080	9996340	-	9993710	1.0	1.0
gene:TraesCS5D03G0037800	Chr5D	10011395	10018127	-	10014761	Chr5D	10162982	10169708	-	10166345	1.0	1.0
gene:TraesCS5D03G0038000	Chr5D	10056183	10057176	+	10056679	Chr5D	10207788	10208781	+	10208284	1.0	1.0
gene:TraesCS5D03G0038100	Chr5D	10058326	10066268	-	10062297	Chr5D	10209936	10217878	-	10213907	1.0	1.0
gene:TraesCS5D03G0038300	Chr5D	10149912	10152613	+	10151262	Chr5D	10300229	10302930	+	10301579	1.0	1.0
gene:TraesCS5D03G0038400	Chr5D	10173441	10177390	+	10175415	Chr5D	10323758	10327729	+	10325743	0.999	0.996
gene:TraesCS5D03G0038600	Chr5D	10573532	10577805	+	10575668	Chr5D	10723454	10727727	+	10725590	1.0	1.0
gene:TraesCS5D03G0038700	Chr5D	10576248	10576604	-	10576426	Chr5D	10726170	10726526	-	10726348	1.0	1.0
gene:TraesCS5D03G0038900	Chr5D	10600401	10601132	-	10600766	Chr5D	10750326	10751057	-	10750691	1.0	1.0
gene:TraesCS5D03G0039000	Chr5D	10627124	10633383	+	10630253	Chr5D	10777126	10783385	+	10780255	1.0	0.998
gene:TraesCS5D03G0039300	Chr5D	10642695	10648565	+	10645630	Chr5D	10792697	10798568	+	10795632	1.0	1.0
gene:TraesCS5D03G0039400	Chr5D	10730194	10730646	+	10730420	Chr5D	10880201	10880653	+	10880427	1.0	1.0
gene:TraesCS5D03G0039500	Chr5D	10783165	10783956	+	10783560	Chr5D	10933174	10933965	+	10933569	1.0	1.0
gene:TraesCS5D03G0039900	Chr5D	10878352	10881339	+	10879845	Chr5D	11027339	11030326	+	11028832	1.0	1.0
gene:TraesCS5D03G0040000	Chr5D	11002028	11005811	+	11003919	Chr5D	11149899	11153682	+	11151790	1.0	1.0
gene:TraesCS5D03G0040100	Chr5D	11112799	11113703	-	11113251	Chr5D	11259373	11260277	-	11259825	1.0	1.0
gene:TraesCS5D03G0040700	Chr5D	11400698	11403390	-	11402044	Chr5D	11547503	11550195	-	11548849	1.0	1.0
gene:TraesCS5D03G0040800	Chr5D	11406258	11408192	-	11407225	Chr5D	11553063	11554997	-	11554030	1.0	1.0
gene:TraesCS5D03G0041100	Chr5D	11463934	11465058	+	11464496	Chr5D	11610736	11611860	+	11611298	1.0	0.989
gene:TraesCS5D03G0041200	Chr5D	11529869	11533644	+	11531756	Chr5D	11676738	11680513	+	11678625	1.0	1.0
gene:TraesCS5D03G0041400	Chr5D	11671444	11672550	-	11671997	Chr5D	11818247	11819353	-	11818800	1.0	1.0
gene:TraesCS5D03G0041500	Chr5D	11708289	11709407	-	11708848	Chr5D	11855110	11856228	-	11855669	1.0	0.999
gene:TraesCS5D03G0041900	Chr5D	12041353	12044397	-	12042875	Chr5D	12186293	12189337	-	12187815	1.0	1.0
gene:TraesCS5D03G0042200	Chr5D	12251169	12252599	-	12251884	Chr5D	12396287	12397717	-	12397002	1.0	1.0
gene:TraesCS5D03G0042500	Chr5D	12306016	12313508	-	12309762	Chr5D	12451135	12458627	-	12454881	1.0	0.999
gene:TraesCS5D03G0043100	Chr5D	12674557	12678922	+	12676739	Chr5D	12817346	12821711	+	12819528	1.0	0.999
gene:TraesCS5D03G0043200	Chr5D	12679145	12684151	+	12681648	Chr5D	12821934	12826657	+	12824295	1.0	1.0
gene:TraesCS5D03G0043300	Chr5D	12685547	12686545	+	12686046	Chr5D	12828053	12829051	+	12828552	1.0	1.0
gene:TraesCS5D03G0043400	Chr5D	12688531	12689491	-	12689011	Chr5D	12831037	12831997	-	12831517	1.0	1.0
gene:TraesCS5D03G0044100	Chr5D	13005661	13010693	+	13008177	Chr5D	13146444	13151480	+	13148962	0.998	0.993
gene:TraesCS5D03G0044400	Chr5D	13018386	13018541	-	13018463	Chr5D	13159171	13159326	-	13159248	1.0	1.0
gene:TraesCS5D03G0044600	Chr5D	13049822	13051510	+	13050666	Chr5D	13190611	13192299	+	13191455	1.0	1.0
gene:TraesCS5D03G0044700	Chr5D	13059576	13075331	-	13067453	Chr5D	13200365	13216120	-	13208242	1.0	1.0
gene:TraesCS5D03G0044800	Chr5D	13252970	13254069	-	13253519	Chr5D	13392688	13393787	-	13393237	1.0	1.0
gene:TraesCS5D03G0045200	Chr5D	13394161	13398365	-	13396263	Chr5D	13533125	13537331	-	13535228	1.0	1.0
gene:TraesCS5D03G0045700	Chr5D	13791828	13794523	+	13793175	Chr5D	13935042	13937737	+	13936389	1.0	1.0
gene:TraesCS5D03G0045900	Chr5D	13794740	13795992	-	13795366	Chr5D	13937954	13939206	-	13938580	1.0	1.0
gene:TraesCS5D03G0046000	Chr5D	13803203	13808278	+	13805740	Chr5D	13946416	13951491	+	13948953	1.0	1.0
gene:TraesCS5D03G0046500	Chr5D	13865255	13866905	-	13866080	Chr5D	14008467	14010117	-	14009292	1.0	1.0
gene:TraesCS5D03G0047000	Chr5D	13967581	13976852	-	13972216	Chr5D	14109096	14117985	-	14113540	1.0	1.0
gene:TraesCS5D03G0047300	Chr5D	13998301	14002102	+	14000201	Chr5D	14139132	14142933	+	14141032	1.0	1.0
gene:TraesCS5D03G0047500	Chr5D	14004186	14005504	-	14004845	Chr5D	14145017	14146335	-	14145676	1.0	1.0
gene:TraesCS5D03G0047800	Chr5D	14105647	14106929	+	14106288	Chr5D	14246314	14247596	+	14246955	1.0	1.0
gene:TraesCS5D03G0047900	Chr5D	14191472	14200433	-	14195952	Chr5D	14331995	14340956	-	14336475	1.0	1.0
gene:TraesCS5D03G0048200	Chr5D	14462958	14469410	-	14466184	Chr5D	14603512	14609964	-	14606738	1.0	1.0
gene:TraesCS5D03G0048500	Chr5D	14606373	14607878	-	14607125	Chr5D	14746962	14748467	-	14747714	1.0	1.0
gene:TraesCS5D03G0048800	Chr5D	14809040	14809618	+	14809329	Chr5D	14948505	14949083	+	14948794	1.0	1.0
gene:TraesCS5D03G0049100	Chr5D	15033130	15036689	+	15034909	Chr5D	15177956	15181515	+	15179735	1.0	1.0
gene:TraesCS5D03G0049300	Chr5D	15037005	15040200	-	15038602	Chr5D	15181831	15185026	-	15183428	1.0	1.0
