gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	Renan_v2_tgt_strand	Renan_v2_tgt_midpoint	Renan_v2_coverage	Renan_v2_identity
gene:TraesCS4D03G0002700	Chr4D	1224901	1226574	+	1225737	Chr4D	1151046	1152722	+	1151884	0.997	0.977
gene:TraesCS4D03G0002800	Chr4D	1233656	1234699	+	1234177	Chr4D	1159821	1160852	+	1160336	0.987	0.987
gene:TraesCS4D03G0002900	Chr4D	1235849	1238078	+	1236963	Chr4D	1162002	1164231	+	1163116	1.0	1.0
gene:TraesCS4D03G0003000	Chr4D	1239892	1242834	+	1241363	Chr4D	1166045	1168988	+	1167516	1.0	1.0
gene:TraesCS4D03G0003100	Chr4D	1245411	1245824	-	1245617	Chr4D	1171561	1171974	-	1171767	1.0	1.0
gene:TraesCS4D03G0003500	Chr4D	1279798	1281379	+	1280588	Chr4D	1205944	1207525	+	1206734	1.0	1.0
gene:TraesCS4D03G0003700	Chr4D	1281940	1284304	+	1283122	Chr4D	1208086	1210450	+	1209268	1.0	1.0
gene:TraesCS4D03G0003800	Chr4D	1291459	1294621	+	1293040	Chr4D	1217604	1220766	+	1219185	1.0	1.0
gene:TraesCS4D03G0004000	Chr4D	1304418	1305152	-	1304785	Chr4D	1230563	1231297	-	1230930	1.0	0.941
gene:TraesCS4D03G0004100	Chr4D	1318992	1323052	+	1321022	Chr4D	1245085	1249145	+	1247115	1.0	1.0
gene:TraesCS4D03G0004300	Chr4D	1341017	1345302	-	1343159	Chr4D	1267111	1271400	-	1269255	1.0	1.0
gene:TraesCS4D03G0004400	Chr4D	1357145	1360998	-	1359071	Chr4D	1283231	1287084	-	1285157	1.0	1.0
gene:TraesCS4D03G0004500	Chr4D	1362318	1367013	-	1364665	Chr4D	1288404	1293090	-	1290747	0.994	0.985
gene:TraesCS4D03G0004600	Chr4D	1368870	1373554	-	1371212	Chr4D	1294944	1299628	-	1297286	1.0	1.0
gene:TraesCS4D03G0004700	Chr4D	1374679	1379306	-	1376992	Chr4D	1300753	1305049	-	1302901	0.988	0.982
gene:TraesCS4D03G0004800	Chr4D	1390139	1393851	+	1391995	Chr4D	1315728	1319440	+	1317584	1.0	0.992
gene:TraesCS4D03G0004900	Chr4D	1397353	1399554	-	1398453	Chr4D	1322942	1325143	-	1324042	1.0	1.0
gene:TraesCS4D03G0005000	Chr4D	1400675	1404459	-	1402567	Chr4D	1326264	1330048	-	1328156	1.0	1.0
gene:TraesCS4D03G0005100	Chr4D	1406011	1408464	+	1407237	Chr4D	1331600	1334053	+	1332826	1.0	0.999
gene:TraesCS4D03G0005800	Chr4D	1630996	1636148	-	1633572	Chr4D	1656326	1661480	-	1658903	1.0	0.989
gene:TraesCS4D03G0006100	Chr4D	1655892	1658459	+	1657175	Chr4D	1681514	1684081	+	1682797	1.0	0.997
gene:TraesCS4D03G0006500	Chr4D	1693854	1698641	-	1696247	Chr4D	1719383	1724170	-	1721776	1.0	1.0
gene:TraesCS4D03G0006900	Chr4D	1857162	1864002	+	1860582	Chr4D	1836023	1842863	+	1839443	1.0	0.998
gene:TraesCS4D03G0007200	Chr4D	2118829	2121262	-	2120045	Chr4D	2736385	2738818	+	2737601	1.0	0.999
gene:TraesCS4D03G0007300	Chr4D	2157319	2157750	+	2157534	Chr4D	2704355	2704786	-	2704570	1.0	1.0
gene:TraesCS4D03G0007400	Chr4D	2159778	2160428	-	2160103	Chr4D	2701683	2702333	+	2702008	1.0	1.0
gene:TraesCS4D03G0007500	Chr4D	2210061	2211185	+	2210623	Chr4D	2653079	2654203	-	2653641	1.0	0.987
gene:TraesCS4D03G0007600	Chr4D	2233090	2237239	-	2235164	Chr4D	2627631	2631784	+	2629707	0.999	0.976
gene:TraesCS4D03G0007700	Chr4D	2275324	2285972	-	2280648	Chr4D	2579198	2590047	+	2584622	1.0	0.977
gene:TraesCS4D03G0008000	Chr4D	2317575	2321028	-	2319301	Chr4D	2544631	2548084	+	2546357	1.0	1.0
gene:TraesCS4D03G0008300	Chr4D	2468842	2469594	-	2469218	Chr4D	2356584	2357336	+	2356960	1.0	0.954
gene:TraesCS4D03G0008500	Chr4D	2503854	2504613	+	2504233	Chr4D	2321568	2322327	-	2321947	1.0	1.0
gene:TraesCS4D03G0008800	Chr4D	3210895	3212125	-	3211510	Chr4D	3086958	3088187	-	3087572	1.0	0.984
gene:TraesCS4D03G0008900	Chr4D	3228396	3230243	+	3229319	Chr4D	3104469	3106316	+	3105392	1.0	1.0
gene:TraesCS4D03G0009000	Chr4D	3236033	3237648	-	3236840	Chr4D	3111814	3113429	-	3112621	1.0	1.0
gene:TraesCS4D03G0009100	Chr4D	3238133	3240692	+	3239412	Chr4D	3113914	3116473	+	3115193	1.0	1.0
gene:TraesCS4D03G0009200	Chr4D	3243144	3247724	-	3245434	Chr4D	3118933	3123513	-	3121223	1.0	0.999
gene:TraesCS4D03G0009500	Chr4D	3271809	3274267	-	3273038	Chr4D	3235128	3237584	-	3236356	0.998	0.998
gene:TraesCS4D03G0010200	Chr4D	3319664	3323787	+	3321725	Chr4D	3292548	3296671	+	3294609	1.0	0.996
gene:TraesCS4D03G0010300	Chr4D	3327946	3335748	-	3331847	Chr4D	3300830	3308639	-	3304734	0.999	0.979
gene:TraesCS4D03G0010800	Chr4D	3382908	3386957	-	3384932	Chr4D	3349481	3353483	-	3351482	1.0	0.991
gene:TraesCS4D03G0011000	Chr4D	3390244	3391395	-	3390819	Chr4D	3356499	3357650	-	3357074	1.0	0.998
gene:TraesCS4D03G0011200	Chr4D	3405419	3408689	-	3407054	Chr4D	3368105	3371519	-	3369812	1.0	0.947
gene:TraesCS4D03G0011300	Chr4D	3413225	3414072	-	3413648	Chr4D	3375397	3376244	-	3375820	1.0	0.989
gene:TraesCS4D03G0011500	Chr4D	3416613	3417647	-	3417130	Chr4D	3384096	3385130	-	3384613	1.0	0.989
gene:TraesCS4D03G0011700	Chr4D	3421045	3424717	-	3422881	Chr4D	3388558	3392394	-	3390476	0.98	0.977
gene:TraesCS4D03G0011900	Chr4D	3667854	3673399	-	3670626	Chr4D	3607817	3613362	-	3610589	1.0	1.0
gene:TraesCS4D03G0012000	Chr4D	3685507	3688331	-	3686919	Chr4D	3625490	3628314	-	3626902	1.0	0.99
gene:TraesCS4D03G0012200	Chr4D	3695617	3698195	+	3696906	Chr4D	3635600	3638178	+	3636889	1.0	0.994
gene:TraesCS4D03G0012300	Chr4D	3698965	3700563	-	3699764	Chr4D	3638948	3640546	-	3639747	1.0	1.0
gene:TraesCS4D03G0012400	Chr4D	3708608	3712645	-	3710626	Chr4D	3648594	3652632	-	3650613	1.0	0.972
gene:TraesCS4D03G0012500	Chr4D	3790975	3794205	+	3792590	Chr4D	3730949	3734164	+	3732556	0.995	0.995
gene:TraesCS4D03G0012600	Chr4D	3811236	3815371	+	3813303	Chr4D	3751186	3755321	+	3753253	1.0	0.995
gene:TraesCS4D03G0012700	Chr4D	3819990	3822163	-	3821076	Chr4D	3759724	3761897	-	3760810	1.0	1.0
gene:TraesCS4D03G0012800	Chr4D	3823587	3827946	-	3825766	Chr4D	3763321	3767680	-	3765500	1.0	0.999
gene:TraesCS4D03G0012900	Chr4D	3851419	3851796	-	3851607	Chr4D	3791151	3791528	-	3791339	1.0	1.0
gene:TraesCS4D03G0013200	Chr4D	3889549	3889926	-	3889737	Chr4D	3829308	3829685	-	3829496	1.0	1.0
gene:TraesCS4D03G0013400	Chr4D	3935959	3939231	-	3937595	Chr4D	3876189	3879461	-	3877825	1.0	1.0
gene:TraesCS4D03G0013500	Chr4D	3953221	3956936	+	3955078	Chr4D	3893452	3897167	+	3895309	1.0	1.0
gene:TraesCS4D03G0013600	Chr4D	3973325	3974731	-	3974028	Chr4D	3913537	3914943	-	3914240	1.0	1.0
gene:TraesCS4D03G0013700	Chr4D	4018713	4020514	+	4019613	Chr4D	3958926	3960727	+	3959826	1.0	0.999
gene:TraesCS4D03G0014500	Chr4D	4204342	4208997	+	4206669	Chr4D	4139575	4144230	+	4141902	1.0	1.0
gene:TraesCS4D03G0014600	Chr4D	4229119	4240333	+	4234726	Chr4D	4164255	4174874	+	4169564	1.0	0.991
gene:TraesCS4D03G0014800	Chr4D	4234832	4239056	-	4236944	Chr4D	4169964	4173597	-	4171780	1.0	0.992
gene:TraesCS4D03G0014900	Chr4D	4357845	4360735	+	4359290	Chr4D	4283759	4286644	+	4285201	0.988	0.976
gene:TraesCS4D03G0015000	Chr4D	4383334	4385938	-	4384636	Chr4D	4299520	4302124	-	4300822	1.0	1.0
gene:TraesCS4D03G0015100	Chr4D	4395627	4397891	-	4396759	Chr4D	4311813	4314077	-	4312945	1.0	1.0
gene:TraesCS4D03G0015200	Chr4D	4454427	4458854	-	4456640	Chr4D	4370387	4374523	-	4372455	1.0	1.0
gene:TraesCS4D03G0015300	Chr4D	4459320	4462959	-	4461139	Chr4D	4374989	4378628	-	4376808	1.0	0.999
gene:TraesCS4D03G0015400	Chr4D	4464204	4468925	-	4466564	Chr4D	4379772	4384493	-	4382132	1.0	0.999
gene:TraesCS4D03G0015700	Chr4D	4468944	4472922	-	4470933	Chr4D	4384512	4388490	-	4386501	1.0	1.0
gene:TraesCS4D03G0015800	Chr4D	4527953	4530990	+	4529471	Chr4D	4442730	4445771	+	4444250	0.998	0.98
gene:TraesCS4D03G0015900	Chr4D	4569887	4572528	+	4571207	Chr4D	4484670	4487297	+	4485983	0.997	0.976
gene:TraesCS4D03G0016000	Chr4D	4582540	4589681	+	4586110	Chr4D	4497314	4504441	+	4500877	1.0	1.0
gene:TraesCS4D03G0016200	Chr4D	4599361	4602079	+	4600720	Chr4D	4514098	4516816	+	4515457	1.0	1.0
gene:TraesCS4D03G0016300	Chr4D	4627229	4630042	+	4628635	Chr4D	4541989	4544802	+	4543395	1.0	1.0
gene:TraesCS4D03G0016400	Chr4D	4634161	4637142	+	4635651	Chr4D	4548930	4551911	+	4550420	1.0	1.0
gene:TraesCS4D03G0016500	Chr4D	4750051	4759673	+	4754862	Chr4D	4663844	4673478	+	4668661	1.0	0.986
gene:TraesCS4D03G0016600	Chr4D	4770250	4773081	+	4771665	Chr4D	4684008	4686816	+	4685412	0.99	0.948
gene:TraesCS4D03G0016900	Chr4D	4866670	4872598	-	4869634	Chr4D	4784589	4790502	-	4787545	0.993	0.974
gene:TraesCS4D03G0017000	Chr4D	4874008	4881088	-	4877548	Chr4D	4791894	4798990	-	4795442	0.999	0.985
gene:TraesCS4D03G0017100	Chr4D	4906191	4907505	-	4906848	Chr4D	4824094	4825408	-	4824751	1.0	1.0
gene:TraesCS4D03G0017200	Chr4D	5059902	5063233	-	5061567	Chr4D	4977049	4980380	-	4978714	1.0	0.963
gene:TraesCS4D03G0017300	Chr4D	5079330	5084686	+	5082008	Chr4D	4996459	5001805	+	4999132	1.0	0.995
gene:TraesCS4D03G0017700	Chr4D	5203108	5205734	-	5204421	Chr4D	5126941	5129553	-	5128247	0.993	0.978
gene:TraesCS4D03G0018000	Chr4D	5378301	5379090	+	5378695	Chr4D	5301986	5302775	+	5302380	1.0	0.993
gene:TraesCS4D03G0018100	Chr4D	5390562	5392779	-	5391670	Chr4D	5314240	5316457	-	5315348	1.0	0.992
gene:TraesCS4D03G0018200	Chr4D	5422036	5422742	-	5422389	Chr4D	5345697	5346403	-	5346050	1.0	1.0
gene:TraesCS4D03G0018500	Chr4D	5618981	5619583	-	5619282	Chr4D	5570779	5571381	-	5571080	1.0	0.986
gene:TraesCS4D03G0018600	Chr4D	5624811	5628448	+	5626629	Chr4D	5576645	5580277	+	5578461	0.998	0.988
gene:TraesCS4D03G0018700	Chr4D	5651294	5659832	+	5655563	Chr4D	5603119	5611560	+	5607339	1.0	0.989
gene:TraesCS4D03G0018800	Chr4D	5667996	5669441	+	5668718	Chr4D	5619681	5621126	+	5620403	1.0	0.975
gene:TraesCS4D03G0018900	Chr4D	5672974	5675865	+	5674419	Chr4D	5624662	5627553	+	5626107	1.0	1.0
gene:TraesCS4D03G0019000	Chr4D	5680128	5682514	+	5681321	Chr4D	5631816	5634202	+	5633009	1.0	1.0
gene:TraesCS4D03G0019100	Chr4D	5683617	5687922	-	5685769	Chr4D	5635305	5639625	-	5637465	1.0	0.995
gene:TraesCS4D03G0019200	Chr4D	5693258	5698277	-	5695767	Chr4D	5644948	5649968	-	5647458	1.0	0.991
gene:TraesCS4D03G0019300	Chr4D	5760412	5761926	-	5761169	Chr4D	5712091	5713605	-	5712848	1.0	1.0
gene:TraesCS4D03G0019700	Chr4D	5784138	5784836	+	5784487	Chr4D	5735777	5736473	+	5736125	1.0	0.99
gene:TraesCS4D03G0019800	Chr4D	5785336	5788751	-	5787043	Chr4D	5736969	5740396	-	5738682	1.0	0.999
gene:TraesCS4D03G0019900	Chr4D	5790433	5795460	+	5792946	Chr4D	5742078	5747100	+	5744589	1.0	0.99
gene:TraesCS4D03G0020000	Chr4D	5882534	5883494	+	5883014	Chr4D	5833650	5834610	+	5834130	1.0	1.0
gene:TraesCS4D03G0020200	Chr4D	5909110	5911403	+	5910256	Chr4D	5860251	5862545	+	5861398	1.0	0.976
gene:TraesCS4D03G0020400	Chr4D	6015915	6017015	+	6016465	Chr4D	5967075	5968175	+	5967625	1.0	0.984
gene:TraesCS4D03G0020600	Chr4D	6127652	6133581	+	6130616	Chr4D	6078759	6084674	+	6081716	0.99	0.972
gene:TraesCS4D03G0020700	Chr4D	6132872	6134485	-	6133678	Chr4D	6083977	6085577	-	6084777	0.98	0.955
gene:TraesCS4D03G0020800	Chr4D	6137793	6139135	-	6138464	Chr4D	6088885	6090227	-	6089556	1.0	0.998
gene:TraesCS4D03G0020900	Chr4D	6139851	6142712	-	6141281	Chr4D	6090943	6093797	-	6092370	0.994	0.979
gene:TraesCS4D03G0021500	Chr4D	6362454	6363136	-	6362795	Chr4D	6313603	6314285	-	6313944	1.0	1.0
gene:TraesCS4D03G0021700	Chr4D	6376655	6378868	+	6377761	Chr4D	6327285	6329498	+	6328391	1.0	0.999
gene:TraesCS4D03G0021800	Chr4D	6384970	6387127	-	6386048	Chr4D	6335176	6337334	-	6336255	1.0	0.986
gene:TraesCS4D03G0022200	Chr4D	6512322	6515724	+	6514023	Chr4D	6458738	6462136	+	6460437	0.997	0.993
gene:TraesCS4D03G0022300	Chr4D	6548123	6549184	+	6548653	Chr4D	6494368	6495429	+	6494898	1.0	1.0
gene:TraesCS4D03G0022400	Chr4D	6551224	6552613	-	6551918	Chr4D	6497469	6498858	-	6498163	1.0	1.0
gene:TraesCS4D03G0022600	Chr4D	6582071	6585584	+	6583827	Chr4D	6528219	6531737	+	6529978	0.998	0.982
gene:TraesCS4D03G0022700	Chr4D	6605223	6609870	+	6607546	Chr4D	6551373	6556016	+	6553694	1.0	0.99
gene:TraesCS4D03G0022800	Chr4D	6610919	6612424	-	6611671	Chr4D	6557065	6558570	-	6557817	1.0	1.0
gene:TraesCS4D03G0022900	Chr4D	6662176	6662885	+	6662530	Chr4D	6607584	6608300	+	6607942	0.997	0.973
gene:TraesCS4D03G0023000	Chr4D	6662959	6665472	-	6664215	Chr4D	6608374	6610855	-	6609614	0.963	0.952
gene:TraesCS4D03G0023200	Chr4D	6673666	6678625	-	6676145	Chr4D	6619050	6624013	-	6621531	1.0	0.986
gene:TraesCS4D03G0023300	Chr4D	6682704	6686531	+	6684617	Chr4D	6628091	6631734	+	6629912	1.0	1.0
gene:TraesCS4D03G0023700	Chr4D	6751752	6753962	+	6752857	Chr4D	6700304	6702542	+	6701423	0.998	0.968
gene:TraesCS4D03G0023800	Chr4D	6754162	6756914	-	6755538	Chr4D	6702742	6705494	-	6704118	1.0	0.999
gene:TraesCS4D03G0023900	Chr4D	6757710	6765113	-	6761411	Chr4D	6706291	6713698	-	6709994	1.0	0.986
gene:TraesCS4D03G0024000	Chr4D	6773765	6774076	-	6773920	Chr4D	6722178	6722489	-	6722333	1.0	1.0
gene:TraesCS4D03G0024100	Chr4D	6792263	6792547	+	6792405	Chr4D	6740665	6740949	+	6740807	1.0	1.0
gene:TraesCS4D03G0024200	Chr4D	6808984	6809403	+	6809193	Chr4D	6757074	6757493	+	6757283	1.0	1.0
gene:TraesCS4D03G0024300	Chr4D	6813191	6813454	+	6813322	Chr4D	6761280	6761540	+	6761410	0.988	0.981
gene:TraesCS4D03G0024400	Chr4D	6886953	6888327	-	6887640	Chr4D	6833377	6834736	-	6834056	0.973	0.93
gene:TraesCS4D03G0024600	Chr4D	7003467	7007031	+	7005249	Chr4D	6949745	6953310	+	6951527	1.0	0.998
gene:TraesCS4D03G0025200	Chr4D	7074947	7076642	+	7075794	Chr4D	7021182	7022874	+	7022028	0.996	0.995
gene:TraesCS4D03G0025300	Chr4D	7087262	7088384	+	7087823	Chr4D	7033491	7034613	+	7034052	1.0	1.0
gene:TraesCS4D03G0025500	Chr4D	7140877	7142114	+	7141495	Chr4D	7087096	7088437	+	7087766	1.0	0.922
gene:TraesCS4D03G0026100	Chr4D	7223439	7228080	+	7225759	Chr4D	7157622	7162263	+	7159942	1.0	1.0
gene:TraesCS4D03G0026400	Chr4D	7296580	7318269	-	7307424	Chr4D	7230769	7252542	-	7241655	0.997	0.971
gene:TraesCS4D03G0026600	Chr4D	7318003	7320546	+	7319274	Chr4D	7252276	7254811	+	7253543	1.0	0.989
gene:TraesCS4D03G0026900	Chr4D	7522432	7523379	+	7522905	Chr4D	7454821	7455769	+	7455295	0.988	0.94
gene:TraesCS4D03G0027000	Chr4D	7524704	7525912	+	7525308	Chr4D	7457094	7458302	+	7457698	1.0	1.0
gene:TraesCS4D03G0027100	Chr4D	7525825	7530711	-	7528268	Chr4D	7458215	7463102	-	7460658	1.0	1.0
gene:TraesCS4D03G0027200	Chr4D	7532797	7534463	+	7533630	Chr4D	7465066	7466732	+	7465899	1.0	1.0
gene:TraesCS4D03G0027400	Chr4D	7572934	7575966	-	7574450	Chr4D	7504344	7507376	-	7505860	1.0	0.995
gene:TraesCS4D03G0027600	Chr4D	7700318	7704016	+	7702167	Chr4D	7630889	7634638	+	7632763	1.0	0.998
gene:TraesCS4D03G0027700	Chr4D	7751430	7757589	+	7754509	Chr4D	7681978	7688142	+	7685060	1.0	0.997
gene:TraesCS4D03G0027800	Chr4D	7757899	7762408	-	7760153	Chr4D	7688452	7692912	-	7690682	1.0	0.989
gene:TraesCS4D03G0027900	Chr4D	7763791	7764666	+	7764228	Chr4D	7694289	7695164	+	7694726	1.0	1.0
gene:TraesCS4D03G0028100	Chr4D	7843492	7845337	+	7844414	Chr4D	7771186	7773031	+	7772108	1.0	1.0
gene:TraesCS4D03G0028200	Chr4D	7860654	7865816	+	7863235	Chr4D	7788352	7793543	+	7790947	0.99	0.985
gene:TraesCS4D03G0028300	Chr4D	7865955	7869386	-	7867670	Chr4D	7793682	7797114	-	7795398	1.0	0.994
gene:TraesCS4D03G0028400	Chr4D	7876861	7881040	-	7878950	Chr4D	7804591	7808770	-	7806680	1.0	0.999
gene:TraesCS4D03G0028600	Chr4D	7904711	7907129	+	7905920	Chr4D	7832435	7834844	+	7833639	0.992	0.991
gene:TraesCS4D03G0028700	Chr4D	7934423	7942634	+	7938528	Chr4D	7862126	7870338	+	7866232	1.0	0.993
gene:TraesCS4D03G0028800	Chr4D	7944253	7949845	+	7947049	Chr4D	7871957	7877487	+	7874722	0.99	0.968
gene:TraesCS4D03G0028900	Chr4D	7949938	7951125	-	7950531	Chr4D	7877580	7878770	-	7878175	0.998	0.984
gene:TraesCS4D03G0029100	Chr4D	7980535	7981952	-	7981243	Chr4D	7906896	7908313	-	7907604	1.0	1.0
gene:TraesCS4D03G0029200	Chr4D	7997648	8000858	-	7999253	Chr4D	7924019	7927222	-	7925620	0.998	0.963
gene:TraesCS4D03G0029300	Chr4D	8004461	8007164	-	8005812	Chr4D	7930479	7933147	-	7931813	0.974	0.973
gene:TraesCS4D03G0029500	Chr4D	8018616	8019601	+	8019108	Chr4D	7944221	7945206	+	7944713	1.0	1.0
gene:TraesCS4D03G0029600	Chr4D	8019783	8026442	-	8023112	Chr4D	7945388	7951988	-	7948688	1.0	1.0
gene:TraesCS4D03G0029900	Chr4D	8105859	8109218	+	8107538	Chr4D	8066166	8069524	+	8067845	1.0	1.0
gene:TraesCS4D03G0030000	Chr4D	8121719	8125469	+	8123594	Chr4D	8082006	8085756	+	8083881	1.0	1.0
gene:TraesCS4D03G0030100	Chr4D	8190069	8193539	-	8191804	Chr4D	8150885	8154324	-	8152604	0.979	0.972
gene:TraesCS4D03G0030200	Chr4D	8195302	8198712	-	8197007	Chr4D	8156112	8159522	-	8157817	1.0	1.0
gene:TraesCS4D03G0030300	Chr4D	8247677	8249481	-	8248579	Chr4D	8207549	8209353	-	8208451	1.0	1.0
gene:TraesCS4D03G0030400	Chr4D	8260928	8263697	-	8262312	Chr4D	8220830	8223547	-	8222188	0.979	0.925
gene:TraesCS4D03G0030800	Chr4D	8305388	8306149	-	8305768	Chr4D	8265172	8265933	-	8265552	1.0	0.99
gene:TraesCS4D03G0030900	Chr4D	8315374	8315959	-	8315666	Chr4D	8275155	8275740	-	8275447	1.0	1.0
gene:TraesCS4D03G0031000	Chr4D	8364633	8367872	+	8366252	Chr4D	8324395	8327638	+	8326016	0.999	0.976
gene:TraesCS4D03G0031100	Chr4D	8507394	8517301	+	8512347	Chr4D	8467096	8476944	+	8472020	0.998	0.987
gene:TraesCS4D03G0031200	Chr4D	8540256	8541570	-	8540913	Chr4D	8499884	8501196	-	8500540	0.991	0.972
gene:TraesCS4D03G0031300	Chr4D	8697103	8702372	-	8699737	Chr4D	8656765	8662033	-	8659399	1.0	0.984
gene:TraesCS4D03G0031400	Chr4D	8726287	8731703	-	8728995	Chr4D	8685941	8691331	-	8688636	1.0	0.994
gene:TraesCS4D03G0031500	Chr4D	8767417	8767620	+	8767518	Chr4D	8727008	8727211	+	8727109	1.0	1.0
gene:TraesCS4D03G0031600	Chr4D	8767968	8778546	-	8773257	Chr4D	8727559	8738114	-	8732836	1.0	0.982
gene:TraesCS4D03G0031700	Chr4D	8785788	8791144	+	8788466	Chr4D	8745356	8750717	+	8748036	1.0	1.0
gene:TraesCS4D03G0032000	Chr4D	8891558	8894047	+	8892802	Chr4D	8851771	8854261	+	8853016	1.0	1.0
gene:TraesCS4D03G0032400	Chr4D	8931351	8931818	+	8931584	Chr4D	8890122	8890589	+	8890355	1.0	0.974
gene:TraesCS4D03G0032800	Chr4D	9004036	9005514	-	9004775	Chr4D	8962809	8964276	-	8963542	0.986	0.974
gene:TraesCS4D03G0032900	Chr4D	9043418	9043909	-	9043663	Chr4D	9002189	9002680	-	9002434	1.0	0.932
gene:TraesCS4D03G0033000	Chr4D	9053007	9053692	-	9053349	Chr4D	9011758	9012443	-	9012100	1.0	1.0
gene:TraesCS4D03G0033500	Chr4D	9099426	9100172	+	9099799	Chr4D	9058154	9058900	+	9058527	1.0	1.0
gene:TraesCS4D03G0033600	Chr4D	9106009	9106941	+	9106475	Chr4D	9064198	9065130	+	9064664	1.0	1.0
gene:TraesCS4D03G0033700	Chr4D	9111309	9111903	-	9111606	Chr4D	9069635	9070229	-	9069932	1.0	1.0
gene:TraesCS4D03G0034300	Chr4D	9183062	9185082	+	9184072	Chr4D	9125928	9127948	+	9126938	1.0	1.0
gene:TraesCS4D03G0034400	Chr4D	9296508	9298967	+	9297737	Chr4D	9238597	9241056	+	9239826	1.0	1.0
gene:TraesCS4D03G0034500	Chr4D	9319856	9321206	+	9320531	Chr4D	9261945	9263298	+	9262621	1.0	0.971
gene:TraesCS4D03G0034600	Chr4D	9325373	9332249	+	9328811	Chr4D	9267464	9274344	+	9270904	1.0	0.992
gene:TraesCS4D03G0034900	Chr4D	9336770	9341811	+	9339290	Chr4D	9278861	9283912	+	9281386	1.0	0.985
gene:TraesCS4D03G0035000	Chr4D	9353005	9359976	+	9356490	Chr4D	9295096	9302071	+	9298583	0.998	0.994
gene:TraesCS4D03G0035100	Chr4D	9361140	9366085	+	9363612	Chr4D	9303235	9308197	+	9305716	0.999	0.986
gene:TraesCS4D03G0035200	Chr4D	9368056	9377784	+	9372920	Chr4D	9310168	9319839	+	9315003	1.0	0.988
gene:TraesCS4D03G0035300	Chr4D	9411820	9421344	+	9416582	Chr4D	9353866	9363383	+	9358624	1.0	0.998
gene:TraesCS4D03G0035400	Chr4D	9428312	9432204	-	9430258	Chr4D	9370354	9374247	-	9372300	1.0	0.993
gene:TraesCS4D03G0035500	Chr4D	9432336	9437968	+	9435152	Chr4D	9374379	9380032	+	9377205	1.0	0.987
gene:TraesCS4D03G0035800	Chr4D	9450100	9450420	-	9450260	Chr4D	9387554	9387874	-	9387714	1.0	1.0
gene:TraesCS4D03G0035900	Chr4D	9502597	9504389	-	9503493	Chr4D	9440044	9441836	-	9440940	1.0	1.0
gene:TraesCS4D03G0036000	Chr4D	9544674	9547061	+	9545867	Chr4D	9482026	9484409	+	9483217	1.0	0.997
gene:TraesCS4D03G0036200	Chr4D	9554547	9556608	-	9555577	Chr4D	9491880	9493938	-	9492909	0.997	0.984
gene:TraesCS4D03G0036300	Chr4D	9606812	9611740	-	9609276	Chr4D	9544131	9549085	-	9546608	1.0	0.992
gene:TraesCS4D03G0036500	Chr4D	9672352	9675548	+	9673950	Chr4D	9609698	9612894	+	9611296	1.0	0.993
gene:TraesCS4D03G0036600	Chr4D	9677617	9696408	+	9687012	Chr4D	9614961	9633692	+	9624326	0.997	0.987
gene:TraesCS4D03G0036700	Chr4D	9701313	9703202	+	9702257	Chr4D	9998803	10000692	+	9999747	1.0	0.996
