gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	Lancer_tgt_strand	Lancer_tgt_midpoint	Lancer_coverage	Lancer_identity
gene:TraesCS6B03G0025300	Chr6B	7684532	7685381	-	7684956	Chr6B	1733096	1733948	+	1733522	1.0	0.99
gene:TraesCS6B03G0025400	Chr6B	7696523	7697623	-	7697073	Chr6B	1721614	1722714	+	1722164	1.0	0.996
gene:TraesCS6B03G0025500	Chr6B	7709642	7711029	-	7710335	Chr6B	1690660	1692047	+	1691353	1.0	1.0
gene:TraesCS6B03G0025700	Chr6B	7728916	7729548	-	7729232	Chr6B	1624978	1625625	+	1625301	1.0	0.927
gene:TraesCS6B03G0026300	Chr6B	8097787	8103181	-	8100484	Chr6B	1557755	1563167	-	1560461	0.988	0.951
gene:TraesCS6B03G0026800	Chr6B	8499736	8501849	-	8500792	Chr6B	929010	931210	+	930110	0.969	0.909
gene:TraesCS6B03G0028000	Chr6B	9849485	9853509	-	9851497	Chr6B	3514348	3518374	+	3516361	0.981	0.938
gene:TraesCS6B03G0028500	Chr6B	10037046	10039187	+	10038116	Chr6B	48170	50162	+	49166	0.943	0.907
gene:TraesCS6B03G0029200	Chr6B	10240300	10250359	+	10245329	Chr6B	293532	304826	+	299179	0.999	0.985
gene:TraesCS6B03G0029400	Chr6B	10251988	10252587	-	10252287	Chr6B	306579	307181	-	306880	0.988	0.937
gene:TraesCS6B03G0032400	Chr6B	10680346	10680846	-	10680596	Chr6B	3897471	3897968	-	3897719	0.994	0.976
gene:TraesCS6B03G0032500	Chr6B	10687959	10689500	-	10688729	Chr6B	3860106	3861637	-	3860871	1.0	0.976
gene:TraesCS6B03G0032900	Chr6B	10807269	10808929	-	10808099	Chr6B	4304643	4306346	+	4305494	1.0	0.945
gene:TraesCS6B03G0033300	Chr6B	10901175	10901981	+	10901578	Chr6B	4285084	4285905	-	4285494	1.0	0.922
gene:TraesCS6B03G0033400	Chr6B	10905821	10908096	+	10906958	Chr6B	4279696	4281986	-	4280841	0.994	0.976
gene:TraesCS6B03G0033500	Chr6B	10938435	10940673	+	10939554	Chr6B	4204762	4206989	-	4205875	0.999	0.97
gene:TraesCS6B03G0033600	Chr6B	10962075	10964296	+	10963185	Chr6B	4189725	4191886	-	4190805	0.999	0.947
gene:TraesCS6B03G0033700	Chr6B	10982922	10985033	+	10983977	Chr6B	4166949	4169113	-	4168031	0.976	0.925
gene:TraesCS6B03G0033800	Chr6B	10998475	11001018	-	10999746	Chr6B	4089095	4091640	+	4090367	0.972	0.934
gene:TraesCS6B03G0034000	Chr6B	11046893	11049024	-	11047958	Chr6B	4011962	4014046	+	4013004	0.992	0.926
gene:TraesCS6B03G0034700	Chr6B	11183815	11188148	-	11185981	Chr6B	4396527	4400829	-	4398678	0.995	0.938
gene:TraesCS6B03G0039400	Chr6B	13077700	13079362	-	13078531	Chr6B	4975789	4977451	-	4976620	1.0	0.998
gene:TraesCS6B03G0039500	Chr6B	13080243	13084757	-	13082500	Chr6B	4978332	4982846	-	4980589	1.0	1.0
gene:TraesCS6B03G0040000	Chr6B	13256822	13258912	+	13257867	Chr6B	5140914	5142871	+	5141892	0.929	0.92
gene:TraesCS6B03G0041000	Chr6B	13502812	13504261	+	13503536	Chr6B	5720390	5721839	+	5721114	1.0	0.991
gene:TraesCS6B03G0041100	Chr6B	13732403	13734287	-	13733345	Chr6B	5922089	5923924	-	5923006	0.974	0.948
gene:TraesCS6B03G0041300	Chr6B	13745451	13748564	-	13747007	Chr6B	5930007	5932854	-	5931430	0.997	0.928
gene:TraesCS6B03G0041500	Chr6B	13773673	13777225	-	13775449	Chr6B	5984941	5988739	-	5986840	0.992	0.943
gene:TraesCS6B03G0041700	Chr6B	13786184	13786858	-	13786521	Chr6B	5993848	5994522	-	5994185	1.0	0.994
gene:TraesCS6B03G0041900	Chr6B	13805020	13813648	-	13809334	Chr6B	6021612	6029886	-	6025749	0.984	0.958
gene:TraesCS6B03G0042000	Chr6B	13896154	13896780	-	13896467	Chr6B	6063243	6063893	-	6063568	1.0	0.909
gene:TraesCS6B03G0042100	Chr6B	13915421	13916323	-	13915872	Chr6B	6084116	6084998	-	6084557	0.989	0.917
gene:TraesCS6B03G0042300	Chr6B	13957233	13958006	-	13957619	Chr6B	6113137	6113911	-	6113524	1.0	0.966
gene:TraesCS6B03G0042400	Chr6B	14001416	14002066	-	14001741	Chr6B	6128952	6129602	-	6129277	1.0	0.976
gene:TraesCS6B03G0042500	Chr6B	14007864	14013433	-	14010648	Chr6B	6135222	6141009	-	6138115	1.0	0.981
gene:TraesCS6B03G0042600	Chr6B	14025460	14027670	+	14026565	Chr6B	6155254	6157466	+	6156360	1.0	0.995
gene:TraesCS6B03G0042800	Chr6B	14027886	14029565	-	14028725	Chr6B	6157682	6159373	-	6158527	1.0	0.983
gene:TraesCS6B03G0043100	Chr6B	14059612	14061041	-	14060326	Chr6B	6184615	6186048	-	6185331	0.99	0.977
gene:TraesCS6B03G0043200	Chr6B	14062257	14065736	+	14063996	Chr6B	6187264	6190776	+	6189020	1.0	0.995
gene:TraesCS6B03G0043300	Chr6B	14072311	14073899	-	14073105	Chr6B	6197188	6198776	-	6197982	1.0	0.995
gene:TraesCS6B03G0043400	Chr6B	14080412	14081158	+	14080785	Chr6B	6204650	6205369	+	6205009	0.963	0.962
gene:TraesCS6B03G0043900	Chr6B	14087824	14088411	+	14088117	Chr6B	6207139	6207726	+	6207432	1.0	1.0
gene:TraesCS6B03G0046400	Chr6B	14531892	14532704	-	14532298	Chr6B	6447579	6448396	-	6447987	1.0	0.977
gene:TraesCS6B03G0046600	Chr6B	14601611	14605189	-	14603400	Chr6B	6562852	6566443	-	6564647	0.996	0.983
gene:TraesCS6B03G0047600	Chr6B	15529834	15532751	-	15531292	Chr6B	7076208	7079129	+	7077668	0.999	0.979
gene:TraesCS6B03G0047700	Chr6B	15539564	15541528	+	15540546	Chr6B	7057068	7058956	-	7058012	0.973	0.956
gene:TraesCS6B03G0047900	Chr6B	15544116	15545611	+	15544863	Chr6B	7054758	7056234	-	7055496	0.985	0.952
gene:TraesCS6B03G0048100	Chr6B	15557607	15561532	+	15559569	Chr6B	7147812	7151751	+	7149781	0.991	0.967
gene:TraesCS6B03G0048200	Chr6B	15564426	15571930	+	15568178	Chr6B	7154635	7162150	+	7158392	1.0	0.993
gene:TraesCS6B03G0048300	Chr6B	15574436	15574798	-	15574617	Chr6B	7164572	7164961	-	7164766	1.0	0.907
gene:TraesCS6B03G0048600	Chr6B	15650823	15653319	-	15652071	Chr6B	7222642	7225137	-	7223889	0.994	0.95
gene:TraesCS6B03G0050000	Chr6B	16841462	16844532	+	16842997	Chr6B	7538983	7542050	+	7540516	1.0	0.99
gene:TraesCS6B03G0050100	Chr6B	16848009	16850210	-	16849109	Chr6B	7551363	7553566	-	7552464	0.988	0.973
gene:TraesCS6B03G0050800	Chr6B	16959158	16962952	-	16961055	Chr6B	7662448	7666242	-	7664345	1.0	0.994
gene:TraesCS6B03G0051000	Chr6B	16978023	16980204	-	16979113	Chr6B	7681774	7683955	-	7682864	1.0	0.985
gene:TraesCS6B03G0051100	Chr6B	16988444	16989999	+	16989221	Chr6B	7864471	7866032	-	7865251	1.0	0.974
gene:TraesCS6B03G0051600	Chr6B	17119363	17121035	-	17120199	Chr6B	7772577	7774252	-	7773414	1.0	0.995
gene:TraesCS6B03G0051700	Chr6B	17151794	17153507	+	17152650	Chr6B	7805506	7807219	+	7806362	1.0	0.995
gene:TraesCS6B03G0051800	Chr6B	17189455	17190896	+	17190175	Chr6B	7844548	7846004	+	7845276	1.0	0.978
gene:TraesCS6B03G0052200	Chr6B	17316306	17322278	+	17319292	Chr6B	7905787	7911721	+	7908754	0.99	0.987
gene:TraesCS6B03G0052300	Chr6B	17324936	17329772	+	17327354	Chr6B	7914479	7919309	+	7916894	0.998	0.998
gene:TraesCS6B03G0052500	Chr6B	17332621	17333787	+	17333204	Chr6B	7922158	7923324	+	7922741	1.0	1.0
gene:TraesCS6B03G0052700	Chr6B	17344959	17346496	+	17345727	Chr6B	7934409	7935946	+	7935177	1.0	1.0
gene:TraesCS6B03G0052900	Chr6B	17351890	17353378	+	17352634	Chr6B	7941056	7942544	+	7941800	1.0	1.0
gene:TraesCS6B03G0053000	Chr6B	17354873	17356299	+	17355586	Chr6B	7945507	7946933	+	7946220	1.0	1.0
gene:TraesCS6B03G0053100	Chr6B	17361952	17363378	+	17362665	Chr6B	7952599	7954025	+	7953312	1.0	1.0
gene:TraesCS6B03G0053200	Chr6B	17420210	17420749	-	17420479	Chr6B	8009459	8009998	-	8009728	1.0	1.0
gene:TraesCS6B03G0053500	Chr6B	17474757	17476173	-	17475465	Chr6B	8064007	8065420	-	8064713	0.997	0.997
gene:TraesCS6B03G0053600	Chr6B	17477571	17477953	-	17477762	Chr6B	8066814	8067196	-	8067005	1.0	1.0
gene:TraesCS6B03G0053700	Chr6B	17482169	17482761	-	17482465	Chr6B	8071409	8072001	-	8071705	1.0	1.0
gene:TraesCS6B03G0053900	Chr6B	17542927	17548034	-	17545480	Chr6B	8130519	8135560	-	8133039	0.93	0.93
gene:TraesCS6B03G0054000	Chr6B	17563311	17571287	-	17567299	Chr6B	8151095	8159072	-	8155083	1.0	1.0
gene:TraesCS6B03G0054200	Chr6B	17570064	17570525	-	17570294	Chr6B	8157849	8158310	-	8158079	1.0	1.0
gene:TraesCS6B03G0054700	Chr6B	17642075	17642536	-	17642305	Chr6B	8230058	8230519	-	8230288	1.0	1.0
gene:TraesCS6B03G0054800	Chr6B	17642646	17643236	-	17642941	Chr6B	8230629	8231219	-	8230924	1.0	1.0
gene:TraesCS6B03G0054900	Chr6B	17647600	17649827	-	17648713	Chr6B	8235738	8237965	-	8236851	1.0	1.0
gene:TraesCS6B03G0055700	Chr6B	17883132	17883398	-	17883265	Chr6B	8471344	8471610	-	8471477	1.0	0.996
gene:TraesCS6B03G0055800	Chr6B	17894796	17895062	+	17894929	Chr6B	8483010	8483276	+	8483143	1.0	1.0
gene:TraesCS6B03G0055900	Chr6B	18118663	18120067	+	18119365	Chr6B	8706731	8708135	+	8707433	1.0	0.998
gene:TraesCS6B03G0056000	Chr6B	18123160	18128009	-	18125584	Chr6B	8711228	8716077	-	8713652	1.0	1.0
gene:TraesCS6B03G0056200	Chr6B	18140661	18146770	+	18143715	Chr6B	8727953	8736770	+	8732361	1.0	1.0
gene:TraesCS6B03G0056800	Chr6B	18230819	18231280	-	18231049	Chr6B	9269816	9270277	-	9270046	1.0	1.0
gene:TraesCS6B03G0057000	Chr6B	18245649	18247177	-	18246413	Chr6B	9284646	9286174	-	9285410	1.0	1.0
gene:TraesCS6B03G0057100	Chr6B	18258902	18261863	-	18260382	Chr6B	9297896	9300858	-	9299377	1.0	0.994
gene:TraesCS6B03G0057200	Chr6B	18275248	18275709	-	18275478	Chr6B	9326107	9326568	-	9326337	1.0	0.995
gene:TraesCS6B03G0057400	Chr6B	18286152	18289433	-	18287792	Chr6B	9337042	9340323	-	9338682	1.0	0.992
gene:TraesCS6B03G0057800	Chr6B	18391461	18392135	-	18391798	Chr6B	9395041	9395715	-	9395378	1.0	0.995
gene:TraesCS6B03G0058300	Chr6B	18406857	18408844	-	18407850	Chr6B	9410234	9412221	-	9411227	1.0	0.998
gene:TraesCS6B03G0058400	Chr6B	18722780	18723913	-	18723346	Chr6B	9669964	9671097	-	9670530	1.0	0.998
gene:TraesCS6B03G0058600	Chr6B	18751634	18752794	-	18752214	Chr6B	9711514	9712674	-	9712094	1.0	0.997
gene:TraesCS6B03G0058700	Chr6B	18758565	18759719	-	18759142	Chr6B	9718543	9719697	-	9719120	1.0	0.997
gene:TraesCS6B03G0059200	Chr6B	18789158	18796933	-	18793045	Chr6B	9771489	9779271	-	9775380	0.998	0.993
gene:TraesCS6B03G0059300	Chr6B	18798866	18802124	-	18800495	Chr6B	9781208	9784410	-	9782809	0.998	0.993
gene:TraesCS6B03G0059700	Chr6B	18911966	18912713	-	18912339	Chr6B	9886600	9887347	-	9886973	1.0	0.987
gene:TraesCS6B03G0059800	Chr6B	18921169	18921738	-	18921453	Chr6B	9896229	9896798	-	9896513	1.0	0.968
gene:TraesCS6B03G0059900	Chr6B	18925907	18926449	-	18926178	Chr6B	9900940	9901482	-	9901211	1.0	0.988
gene:TraesCS6B03G0060000	Chr6B	18940858	18941596	-	18941227	Chr6B	9910036	9910774	-	9910405	1.0	0.979
gene:TraesCS6B03G0060100	Chr6B	18945645	18946303	-	18945974	Chr6B	9914828	9915486	-	9915157	1.0	0.983
gene:TraesCS6B03G0060200	Chr6B	18950001	18950570	-	18950285	Chr6B	9919233	9919802	-	9919517	1.0	0.987
gene:TraesCS6B03G0060300	Chr6B	18951652	18955977	-	18953814	Chr6B	9920837	9925095	-	9922966	0.962	0.95
gene:TraesCS6B03G0060400	Chr6B	18959381	18964102	+	18961741	Chr6B	9928474	9933182	+	9930828	0.986	0.974
gene:TraesCS6B03G0060600	Chr6B	19269168	19269908	+	19269538	Chr6B	9150467	9151206	-	9150836	0.998	0.99
gene:TraesCS6B03G0061100	Chr6B	19342776	19343237	+	19343006	Chr6B	10323665	10324126	+	10323895	1.0	0.995
gene:TraesCS6B03G0061500	Chr6B	19449611	19450915	+	19450263	Chr6B	10865792	10867097	+	10866444	1.0	0.995
gene:TraesCS6B03G0061900	Chr6B	19453760	19455056	+	19454408	Chr6B	10869947	10871245	+	10870596	1.0	0.997
gene:TraesCS6B03G0062000	Chr6B	19461239	19464989	+	19463114	Chr6B	10877395	10881144	+	10879269	0.998	0.996
gene:TraesCS6B03G0062600	Chr6B	19566807	19567490	-	19567148	Chr6B	10983313	10983996	-	10983654	1.0	0.992
gene:TraesCS6B03G0062900	Chr6B	19701508	19702074	+	19701791	Chr6B	11057469	11058035	+	11057752	1.0	0.938
gene:TraesCS6B03G0063300	Chr6B	19984085	19984573	+	19984329	Chr6B	11094912	11095400	+	11095156	1.0	0.991
gene:TraesCS6B03G0063400	Chr6B	20009684	20010319	+	20010001	Chr6B	11111978	11112613	+	11112295	1.0	0.993
gene:TraesCS6B03G0063600	Chr6B	20050119	20050455	-	20050287	Chr6B	11161314	11161650	-	11161482	1.0	0.997
gene:TraesCS6B03G0064100	Chr6B	20104089	20104859	-	20104474	Chr6B	11226395	11227165	-	11226780	1.0	0.992
gene:TraesCS6B03G0064400	Chr6B	20239279	20244945	-	20242112	Chr6B	11369568	11375611	-	11372589	1.0	0.997
gene:TraesCS6B03G0064500	Chr6B	20389866	20392134	+	20391000	Chr6B	11500587	11502854	+	11501720	1.0	0.998
gene:TraesCS6B03G0064700	Chr6B	20408534	20418327	+	20413430	Chr6B	11518380	11528122	+	11523251	0.999	0.998
gene:TraesCS6B03G0064800	Chr6B	20427149	20429657	+	20428403	Chr6B	11633302	11635829	+	11634565	1.0	1.0
gene:TraesCS6B03G0065000	Chr6B	20430039	20433975	-	20432007	Chr6B	11636211	11640152	-	11638181	0.999	0.992
gene:TraesCS6B03G0065100	Chr6B	20512314	20513471	-	20512892	Chr6B	11727768	11728925	-	11728346	1.0	0.999
gene:TraesCS6B03G0065400	Chr6B	20546501	20547743	+	20547122	Chr6B	11810072	11811315	+	11810693	1.0	0.997
gene:TraesCS6B03G0065700	Chr6B	20715922	20716830	-	20716376	Chr6B	11990060	11990968	-	11990514	1.0	0.974
gene:TraesCS6B03G0067000	Chr6B	21014532	21018710	+	21016621	Chr6B	12047630	12051796	-	12049713	0.995	0.974
gene:TraesCS6B03G0067300	Chr6B	21031108	21035779	+	21033443	Chr6B	12038389	12043177	-	12040783	0.998	0.928
gene:TraesCS6B03G0067900	Chr6B	21153256	21153654	-	21153455	Chr6B	12193271	12193669	-	12193470	1.0	0.997
gene:TraesCS6B03G0068100	Chr6B	21163414	21165123	-	21164268	Chr6B	12203360	12205069	-	12204214	1.0	0.998
gene:TraesCS6B03G0068200	Chr6B	21179445	21184616	+	21182030	Chr6B	12219235	12224406	+	12221820	1.0	0.999
gene:TraesCS6B03G0068400	Chr6B	21238179	21244392	+	21241285	Chr6B	12319853	12326066	+	12322959	1.0	1.0
gene:TraesCS6B03G0068600	Chr6B	21256700	21256930	+	21256815	Chr6B	12338429	12338659	+	12338544	1.0	1.0
gene:TraesCS6B03G0069000	Chr6B	21278007	21281519	+	21279763	Chr6B	12358942	12362454	+	12360698	1.0	1.0
gene:TraesCS6B03G0069200	Chr6B	21312367	21314110	-	21313238	Chr6B	12393402	12395145	-	12394273	1.0	0.999
gene:TraesCS6B03G0069400	Chr6B	21394834	21398210	+	21396522	Chr6B	12483183	12486559	+	12484871	1.0	1.0
gene:TraesCS6B03G0069500	Chr6B	21412753	21412983	-	21412868	Chr6B	12500399	12500629	-	12500514	1.0	1.0
gene:TraesCS6B03G0070000	Chr6B	21466796	21467449	-	21467122	Chr6B	12548626	12549279	-	12548952	1.0	1.0
gene:TraesCS6B03G0071000	Chr6B	21604832	21608131	+	21606481	Chr6B	12687739	12691038	+	12689388	1.0	1.0
gene:TraesCS6B03G0071100	Chr6B	21610925	21611248	-	21611086	Chr6B	12693832	12694155	-	12693993	1.0	1.0
gene:TraesCS6B03G0071500	Chr6B	21656907	21660426	-	21658666	Chr6B	12739790	12743309	-	12741549	1.0	1.0
gene:TraesCS6B03G0071700	Chr6B	21667195	21670449	-	21668822	Chr6B	12749902	12753156	-	12751529	1.0	0.999
gene:TraesCS6B03G0071900	Chr6B	21740810	21745413	-	21743111	Chr6B	12823766	12828369	-	12826067	1.0	1.0
gene:TraesCS6B03G0072100	Chr6B	21751421	21751849	-	21751635	Chr6B	12834377	12834805	-	12834591	1.0	0.997
gene:TraesCS6B03G0073000	Chr6B	21759336	21759559	+	21759447	Chr6B	12842292	12842515	+	12842403	1.0	1.0
gene:TraesCS6B03G0073600	Chr6B	21823252	21828355	+	21825803	Chr6B	12906460	12911563	+	12909011	1.0	1.0
gene:TraesCS6B03G0073700	Chr6B	21847324	21849373	+	21848348	Chr6B	12930581	12932630	+	12931605	1.0	0.999
gene:TraesCS6B03G0073800	Chr6B	21855324	21861184	-	21858254	Chr6B	12938616	12944476	-	12941546	1.0	0.999
gene:TraesCS6B03G0073900	Chr6B	21863357	21867570	-	21865463	Chr6B	12946649	12950862	-	12948755	1.0	1.0
gene:TraesCS6B03G0074200	Chr6B	21945621	21946493	-	21946057	Chr6B	13028897	13029769	-	13029333	1.0	1.0
gene:TraesCS6B03G0074300	Chr6B	21951489	21953984	-	21952736	Chr6B	13034765	13037260	-	13036012	1.0	1.0
gene:TraesCS6B03G0074600	Chr6B	22127034	22129273	+	22128153	Chr6B	13232929	13235168	+	13234048	1.0	1.0
gene:TraesCS6B03G0074700	Chr6B	22132664	22135617	+	22134140	Chr6B	13238747	13241700	+	13240223	1.0	1.0
gene:TraesCS6B03G0074900	Chr6B	22203342	22205615	+	22204478	Chr6B	13309544	13311817	+	13310680	1.0	1.0
gene:TraesCS6B03G0075100	Chr6B	22246170	22246991	+	22246580	Chr6B	13352379	13353200	+	13352789	1.0	1.0
gene:TraesCS6B03G0075200	Chr6B	22324878	22327546	+	22326212	Chr6B	13430574	13433242	+	13431908	1.0	1.0
gene:TraesCS6B03G0075400	Chr6B	22453661	22454078	-	22453869	Chr6B	13559788	13560205	-	13559996	1.0	1.0
gene:TraesCS6B03G0075600	Chr6B	22638178	22638525	+	22638351	Chr6B	15752666	15753013	-	15752839	1.0	1.0
gene:TraesCS6B03G0076200	Chr6B	22866404	22868603	-	22867503	Chr6B	15526449	15528648	+	15527548	1.0	1.0
gene:TraesCS6B03G0076300	Chr6B	22882107	22882735	-	22882421	Chr6B	15512053	15512681	+	15512367	1.0	1.0
gene:TraesCS6B03G0076600	Chr6B	23039049	23040816	+	23039932	Chr6B	15396324	15398091	-	15397207	1.0	1.0
gene:TraesCS6B03G0076800	Chr6B	23128707	23130731	-	23129719	Chr6B	15256786	15258810	+	15257798	1.0	0.999
gene:TraesCS6B03G0077300	Chr6B	23256215	23259209	+	23257712	Chr6B	15129637	15132631	-	15131134	1.0	1.0
gene:TraesCS6B03G0077400	Chr6B	23259392	23262078	-	23260735	Chr6B	15126768	15129454	+	15128111	1.0	1.0
gene:TraesCS6B03G0078100	Chr6B	23374216	23413680	-	23393948	Chr6B	15006168	15045636	+	15025902	1.0	1.0
gene:TraesCS6B03G0078400	Chr6B	23599251	23601013	+	23600132	Chr6B	14819707	14821469	-	14820588	1.0	1.0
gene:TraesCS6B03G0078500	Chr6B	23648242	23657429	+	23652835	Chr6B	14758817	14772860	-	14765838	1.0	0.999
gene:TraesCS6B03G0078900	Chr6B	23839603	23847710	+	23843656	Chr6B	14568253	14576360	-	14572306	1.0	1.0
gene:TraesCS6B03G0079000	Chr6B	23848992	23856522	+	23852757	Chr6B	14559442	14566971	-	14563206	1.0	1.0
gene:TraesCS6B03G0079100	Chr6B	23858490	23865830	-	23862160	Chr6B	14550122	14557462	+	14553792	1.0	0.999
gene:TraesCS6B03G0079300	Chr6B	23870380	23876145	+	23873262	Chr6B	14539807	14545572	-	14542689	1.0	1.0
gene:TraesCS6B03G0079600	Chr6B	23916038	23918318	+	23917178	Chr6B	14497694	14499974	-	14498834	1.0	1.0
gene:TraesCS6B03G0079700	Chr6B	23921136	23922530	+	23921833	Chr6B	14493482	14494876	-	14494179	1.0	1.0
gene:TraesCS6B03G0079900	Chr6B	23937224	23945527	+	23941375	Chr6B	14471412	14479775	-	14475593	1.0	1.0
gene:TraesCS6B03G0080300	Chr6B	23992980	23995344	-	23994162	Chr6B	14423064	14425428	+	14424246	1.0	1.0
gene:TraesCS6B03G0080600	Chr6B	24034209	24034653	-	24034431	Chr6B	14383843	14384287	+	14384065	1.0	1.0
gene:TraesCS6B03G0080700	Chr6B	24036297	24041424	-	24038860	Chr6B	14376899	14382199	+	14379549	1.0	0.999
gene:TraesCS6B03G0081300	Chr6B	24107534	24114722	+	24111128	Chr6B	14344982	14352212	-	14348597	1.0	0.999
gene:TraesCS6B03G0081400	Chr6B	24116631	24120137	-	24118384	Chr6B	14339567	14343073	+	14341320	1.0	1.0
gene:TraesCS6B03G0081700	Chr6B	24127722	24135494	+	24131608	Chr6B	14324209	14331981	-	14328095	1.0	1.0
gene:TraesCS6B03G0081900	Chr6B	24154494	24162704	+	24158599	Chr6B	14296987	14305199	-	14301093	1.0	1.0
gene:TraesCS6B03G0082100	Chr6B	24195469	24202009	+	24198739	Chr6B	14257645	14264185	-	14260915	1.0	1.0
gene:TraesCS6B03G0082200	Chr6B	24219944	24227068	+	24223506	Chr6B	14232557	14239681	-	14236119	1.0	1.0
gene:TraesCS6B03G0082300	Chr6B	24247129	24248595	-	24247862	Chr6B	14210931	14212397	+	14211664	1.0	1.0
gene:TraesCS6B03G0082900	Chr6B	24284754	24290767	+	24287760	Chr6B	14172633	14178645	-	14175639	0.999	0.999
gene:TraesCS6B03G0084100	Chr6B	24360393	24362262	-	24361327	Chr6B	14088104	14089973	+	14089038	1.0	1.0
gene:TraesCS6B03G0084200	Chr6B	24434837	24436743	-	24435790	Chr6B	14013460	14015366	+	14014413	1.0	1.0
gene:TraesCS6B03G0084300	Chr6B	24438237	24438527	+	24438382	Chr6B	14011676	14011966	-	14011821	1.0	1.0
gene:TraesCS6B03G0085200	Chr6B	24524777	24552773	+	24538775	Chr6B	13889282	13943789	-	13916535	1.0	0.99
gene:TraesCS6B03G0085300	Chr6B	24565248	24574123	+	24569685	Chr6B	13875816	13885071	-	13880443	0.996	0.981
gene:TraesCS6B03G0085600	Chr6B	24581208	24586191	-	24583699	Chr6B	13869553	13874559	+	13872056	0.996	0.975
gene:TraesCS6B03G0085700	Chr6B	24609538	24612025	+	24610781	Chr6B	13775831	13778319	-	13777075	1.0	0.988
gene:TraesCS6B03G0091500	Chr6B	26727972	26735445	-	26731708	Chr6B	24783371	24790844	+	24787107	1.0	1.0
gene:TraesCS6B03G0092000	Chr6B	26817138	26818133	-	26817635	Chr6B	24700644	24701639	+	24701141	1.0	1.0
gene:TraesCS6B03G0092100	Chr6B	26893705	26895058	-	26894381	Chr6B	24624277	24625630	+	24624953	1.0	1.0
gene:TraesCS6B03G0092300	Chr6B	26927480	26931716	+	26929598	Chr6B	24587458	24591694	-	24589576	1.0	1.0
gene:TraesCS6B03G0092400	Chr6B	26933427	26935680	-	26934553	Chr6B	24583451	24585747	+	24584599	1.0	1.0
