gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	Sumai3_tgt_strand	Sumai3_tgt_midpoint	Sumai3_coverage	Sumai3_identity
gene:TraesCS5A03G0013900	Chr5A	4955513	4957493	+	4956503	Chr5A	6662626	6664606	+	6663616	1.0	1.0
gene:TraesCS5A03G0014100	Chr5A	4985496	4986139	-	4985817	Chr5A	6676251	6676894	-	6676572	1.0	0.981
gene:TraesCS5A03G0015400	Chr5A	5201460	5203706	+	5202583	Chr5A	6881293	6883539	+	6882416	1.0	0.999
gene:TraesCS5A03G0015700	Chr5A	5513746	5517685	+	5515715	Chr5A	7194997	7199095	+	7197046	1.0	0.999
gene:TraesCS5A03G0017300	Chr5A	5963526	5964147	-	5963836	Chr5A	7409670	7410290	-	7409980	0.998	0.996
gene:TraesCS5A03G0017400	Chr5A	5969124	5969789	-	5969456	Chr5A	7415275	7415940	-	7415607	1.0	0.996
gene:TraesCS5A03G0017500	Chr5A	6014157	6019058	-	6016607	Chr5A	7460331	7465232	-	7462781	1.0	1.0
gene:TraesCS5A03G0017800	Chr5A	6121420	6125041	-	6123230	Chr5A	7567611	7571232	-	7569421	1.0	1.0
gene:TraesCS5A03G0018600	Chr5A	6449947	6462537	+	6456242	Chr5A	7923683	7936300	+	7929991	1.0	0.997
gene:TraesCS5A03G0018900	Chr5A	6859842	6878845	+	6869343	Chr5A	8316509	8335512	+	8326010	1.0	1.0
gene:TraesCS5A03G0019200	Chr5A	7127244	7130490	-	7128867	Chr5A	8583863	8587109	-	8585486	1.0	1.0
gene:TraesCS5A03G0019300	Chr5A	7146913	7157001	+	7151957	Chr5A	8603533	8613621	+	8608577	1.0	1.0
gene:TraesCS5A03G0019500	Chr5A	7302024	7303817	+	7302920	Chr5A	8756069	8757862	+	8756965	1.0	1.0
gene:TraesCS5A03G0019600	Chr5A	7304442	7323297	+	7313869	Chr5A	8758487	8777343	+	8767915	1.0	1.0
gene:TraesCS5A03G0020600	Chr5A	7409534	7412849	+	7411191	Chr5A	8863579	8866894	+	8865236	1.0	1.0
gene:TraesCS5A03G0020700	Chr5A	7443708	7446821	-	7445264	Chr5A	8897066	8900179	-	8898622	1.0	1.0
gene:TraesCS5A03G0020800	Chr5A	7567427	7569538	+	7568482	Chr5A	9020154	9022265	+	9021209	1.0	1.0
gene:TraesCS5A03G0020900	Chr5A	7578368	7580621	+	7579494	Chr5A	9031095	9033348	+	9032221	1.0	1.0
gene:TraesCS5A03G0021000	Chr5A	7595016	7596460	-	7595738	Chr5A	9047743	9049187	-	9048465	1.0	1.0
gene:TraesCS5A03G0021100	Chr5A	7601280	7605921	-	7603600	Chr5A	9054007	9058648	-	9056327	1.0	1.0
gene:TraesCS5A03G0021500	Chr5A	7650808	7656539	-	7653673	Chr5A	9136622	9142088	-	9139355	1.0	1.0
gene:TraesCS5A03G0021600	Chr5A	7658120	7662278	-	7660199	Chr5A	9143669	9147827	-	9145748	1.0	1.0
gene:TraesCS5A03G0021800	Chr5A	7691295	7692095	+	7691695	Chr5A	9175427	9176227	+	9175827	1.0	1.0
gene:TraesCS5A03G0022100	Chr5A	7735086	7738589	+	7736837	Chr5A	9218121	9221624	+	9219872	1.0	0.999
gene:TraesCS5A03G0022200	Chr5A	7767606	7779699	+	7773652	Chr5A	9250642	9262735	+	9256688	1.0	1.0
gene:TraesCS5A03G0022300	Chr5A	7782872	7788336	+	7785604	Chr5A	9265908	9271247	+	9268577	0.969	0.969
gene:TraesCS5A03G0022400	Chr5A	7789487	7796081	-	7792784	Chr5A	9272398	9278946	-	9275672	1.0	0.981
gene:TraesCS5A03G0023300	Chr5A	7870862	7882905	-	7876883	Chr5A	9321946	9333971	-	9327958	0.995	0.994
gene:TraesCS5A03G0023800	Chr5A	7940806	7941798	-	7941302	Chr5A	9385442	9386434	-	9385938	1.0	0.988
gene:TraesCS5A03G0023900	Chr5A	7965573	7966784	-	7966178	Chr5A	9555212	9556423	-	9555817	1.0	0.999
gene:TraesCS5A03G0024600	Chr5A	8147370	8148388	+	8147879	Chr5A	9717083	9718101	+	9717592	1.0	0.991
gene:TraesCS5A03G0024900	Chr5A	8268730	8270961	-	8269845	Chr5A	9837682	9839913	-	9838797	1.0	0.995
gene:TraesCS5A03G0025000	Chr5A	8330560	8331320	+	8330940	Chr5A	9887718	9888480	+	9888099	1.0	0.993
gene:TraesCS5A03G0025200	Chr5A	8352960	8358898	+	8355929	Chr5A	9916976	9922913	+	9919944	1.0	0.996
gene:TraesCS5A03G0025300	Chr5A	8522478	8524641	+	8523559	Chr5A	10058494	10060658	+	10059576	1.0	0.999
gene:TraesCS5A03G0025400	Chr5A	8524711	8528863	-	8526787	Chr5A	10060728	10064880	-	10062804	1.0	0.998
gene:TraesCS5A03G0025800	Chr5A	8648473	8649403	+	8648938	Chr5A	10115721	10116651	+	10116186	1.0	0.997
gene:TraesCS5A03G0026000	Chr5A	8656475	8657504	+	8656989	Chr5A	10123299	10124328	+	10123813	1.0	0.997
gene:TraesCS5A03G0026200	Chr5A	8665908	8667736	-	8666822	Chr5A	10133062	10134890	-	10133976	1.0	0.997
gene:TraesCS5A03G0026600	Chr5A	8730184	8733043	+	8731613	Chr5A	10197056	10199904	+	10198480	0.994	0.992
gene:TraesCS5A03G0026700	Chr5A	8778276	8780216	+	8779246	Chr5A	10236598	10238538	+	10237568	1.0	0.998
gene:TraesCS5A03G0026900	Chr5A	8814105	8814896	-	8814500	Chr5A	10272273	10273064	-	10272668	1.0	0.996
gene:TraesCS5A03G0027000	Chr5A	8838964	8840127	+	8839545	Chr5A	10297140	10298303	+	10297721	1.0	0.994
gene:TraesCS5A03G0027900	Chr5A	9677168	9677338	+	9677253	Chr5A	11026666	11026836	+	11026751	1.0	1.0
gene:TraesCS5A03G0028000	Chr5A	9680260	9688090	+	9684175	Chr5A	11029727	11037625	+	11033676	1.0	0.992
gene:TraesCS5A03G0028100	Chr5A	9690224	9692901	+	9691562	Chr5A	11039800	11042477	+	11041138	1.0	0.995
gene:TraesCS5A03G0028700	Chr5A	9851187	9857576	+	9854381	Chr5A	11198392	11204778	+	11201585	0.999	0.996
gene:TraesCS5A03G0028800	Chr5A	9858552	9864529	+	9861540	Chr5A	11205768	11211750	+	11208759	1.0	0.996
gene:TraesCS5A03G0029100	Chr5A	10114295	10114744	+	10114519	Chr5A	11412295	11412744	+	11412519	1.0	0.995
gene:TraesCS5A03G0029300	Chr5A	10262014	10262538	+	10262276	Chr5A	11580884	11581408	+	11581146	1.0	1.0
gene:TraesCS5A03G0029400	Chr5A	10265922	10267417	+	10266669	Chr5A	11584759	11586255	+	11585507	1.0	0.996
gene:TraesCS5A03G0029500	Chr5A	10317335	10318175	+	10317755	Chr5A	11634947	11635769	+	11635358	0.976	0.974
gene:TraesCS5A03G0030000	Chr5A	10511368	10514727	-	10513047	Chr5A	11837169	11840528	-	11838848	1.0	0.998
gene:TraesCS5A03G0030200	Chr5A	10524836	10525171	-	10525003	Chr5A	11850654	11850989	-	11850821	1.0	0.991
gene:TraesCS5A03G0030600	Chr5A	10930049	10933487	+	10931768	Chr5A	12244608	12248046	+	12246327	1.0	0.997
gene:TraesCS5A03G0030900	Chr5A	10943282	10944054	-	10943668	Chr5A	12257909	12258681	-	12258295	1.0	0.985
gene:TraesCS5A03G0031000	Chr5A	10991585	10992190	-	10991887	Chr5A	12305937	12306542	-	12306239	1.0	0.993
gene:TraesCS5A03G0031400	Chr5A	11215869	11216129	+	11215999	Chr5A	12537229	12537489	+	12537359	1.0	0.996
gene:TraesCS5A03G0031500	Chr5A	11231581	11233719	+	11232650	Chr5A	12551750	12553888	+	12552819	1.0	0.993
gene:TraesCS5A03G0031700	Chr5A	11298923	11300029	-	11299476	Chr5A	12671897	12673003	-	12672450	1.0	0.993
gene:TraesCS5A03G0031800	Chr5A	11321692	11323002	-	11322347	Chr5A	12694372	12695682	-	12695027	1.0	0.996
gene:TraesCS5A03G0031900	Chr5A	11441009	11444083	-	11442546	Chr5A	12807592	12810666	-	12809129	1.0	0.996
gene:TraesCS5A03G0032100	Chr5A	11514200	11515345	-	11514772	Chr5A	12899269	12900414	-	12899841	1.0	0.997
gene:TraesCS5A03G0032200	Chr5A	11537699	11539038	-	11538368	Chr5A	12922549	12923894	-	12923221	1.0	0.998
gene:TraesCS5A03G0032300	Chr5A	11553471	11554906	-	11554188	Chr5A	12938331	12939766	-	12939048	1.0	0.999
gene:TraesCS5A03G0032700	Chr5A	11654193	11660814	-	11657503	Chr5A	13059581	13066200	-	13062890	1.0	0.998
gene:TraesCS5A03G0033000	Chr5A	11694348	11698751	+	11696549	Chr5A	13109800	13114300	+	13112050	0.985	0.98
gene:TraesCS5A03G0033100	Chr5A	11699005	11703374	+	11701189	Chr5A	13114608	13118964	+	13116786	0.984	0.98
gene:TraesCS5A03G0034100	Chr5A	11885871	11890851	+	11888361	Chr5A	13352569	13357544	+	13355056	1.0	0.997
gene:TraesCS5A03G0034200	Chr5A	11895860	11910107	-	11902983	Chr5A	13362341	13376607	-	13369474	1.0	0.997
gene:TraesCS5A03G0034700	Chr5A	12251749	12256420	-	12254084	Chr5A	13773757	13778978	-	13776367	1.0	0.995
gene:TraesCS5A03G0035500	Chr5A	12533757	12534928	-	12534342	Chr5A	14080562	14081756	-	14081159	1.0	0.972
gene:TraesCS5A03G0035600	Chr5A	12594684	12599889	+	12597286	Chr5A	14101647	14106871	+	14104259	1.0	0.997
gene:TraesCS5A03G0036100	Chr5A	12887867	12889818	-	12888842	Chr5A	14450026	14451977	-	14451001	1.0	1.0
gene:TraesCS5A03G0036600	Chr5A	12978984	12986405	-	12982694	Chr5A	14541162	14548580	-	14544871	1.0	1.0
gene:TraesCS5A03G0036700	Chr5A	13070935	13074950	+	13072942	Chr5A	14633170	14637185	+	14635177	1.0	1.0
gene:TraesCS5A03G0036800	Chr5A	13077346	13078411	-	13077878	Chr5A	14639581	14640646	-	14640113	1.0	1.0
gene:TraesCS5A03G0037100	Chr5A	13103154	13118433	-	13110793	Chr5A	14664104	14679385	-	14671744	0.995	0.993
gene:TraesCS5A03G0037600	Chr5A	13181189	13183029	-	13182109	Chr5A	14715094	14716930	-	14716012	0.997	0.994
gene:TraesCS5A03G0037900	Chr5A	13554097	13557049	+	13555573	Chr5A	15113741	15116693	+	15115217	1.0	0.997
gene:TraesCS5A03G0038100	Chr5A	13557667	13559988	-	13558827	Chr5A	15117311	15119632	-	15118471	1.0	0.997
gene:TraesCS5A03G0038900	Chr5A	13945951	13947357	-	13946654	Chr5A	15497151	15498557	-	15497854	1.0	1.0
gene:TraesCS5A03G0039100	Chr5A	13973695	13981306	+	13977500	Chr5A	15524899	15532510	+	15528704	1.0	1.0
gene:TraesCS5A03G0039300	Chr5A	14003438	14007677	+	14005557	Chr5A	15554644	15558883	+	15556763	1.0	1.0
gene:TraesCS5A03G0039700	Chr5A	14169905	14170834	-	14170369	Chr5A	15786285	15787214	-	15786749	1.0	1.0
gene:TraesCS5A03G0039800	Chr5A	14170921	14172486	-	14171703	Chr5A	15787301	15788866	-	15788083	1.0	1.0
gene:TraesCS5A03G0040500	Chr5A	14533373	14537750	+	14535561	Chr5A	16149294	16153670	+	16151482	1.0	0.998
gene:TraesCS5A03G0041100	Chr5A	14654769	14654966	-	14654867	Chr5A	16270304	16270501	-	16270402	1.0	0.994
gene:TraesCS5A03G0041300	Chr5A	14794669	14797167	-	14795918	Chr5A	16408617	16411115	-	16409866	1.0	1.0
gene:TraesCS5A03G0042000	Chr5A	15061413	15062058	-	15061735	Chr5A	16675743	16676388	-	16676065	1.0	0.998
gene:TraesCS5A03G0042100	Chr5A	15065943	15066625	-	15066284	Chr5A	16680273	16680955	-	16680614	1.0	1.0
gene:TraesCS5A03G0042400	Chr5A	15111999	15112510	-	15112254	Chr5A	16726315	16726826	-	16726570	1.0	1.0
gene:TraesCS5A03G0042800	Chr5A	15369639	15373889	-	15371764	Chr5A	16983934	16988188	-	16986061	1.0	0.999
gene:TraesCS5A03G0042900	Chr5A	15376024	15377704	-	15376864	Chr5A	16990323	16992003	-	16991163	1.0	1.0
gene:TraesCS5A03G0043300	Chr5A	16082731	16086382	+	16084556	Chr5A	17693219	17696870	+	17695044	1.0	1.0
gene:TraesCS5A03G0043600	Chr5A	16133993	16134541	-	16134267	Chr5A	17744461	17745009	-	17744735	1.0	1.0
gene:TraesCS5A03G0043700	Chr5A	16141514	16142455	-	16141984	Chr5A	17751996	17752937	-	17752466	1.0	1.0
gene:TraesCS5A03G0043900	Chr5A	16174078	16175132	-	16174605	Chr5A	17784567	17785621	-	17785094	1.0	1.0
gene:TraesCS5A03G0044100	Chr5A	16201077	16201881	-	16201479	Chr5A	17811568	17812372	-	17811970	1.0	1.0
gene:TraesCS5A03G0044200	Chr5A	16212920	16213650	-	16213285	Chr5A	17823409	17824139	-	17823774	1.0	1.0
gene:TraesCS5A03G0044400	Chr5A	16245555	16246254	+	16245904	Chr5A	17856048	17856747	+	17856397	1.0	1.0
gene:TraesCS5A03G0044500	Chr5A	16362866	16363541	+	16363203	Chr5A	17968662	17969337	+	17968999	1.0	0.998
gene:TraesCS5A03G0044600	Chr5A	16432509	16433288	+	16432898	Chr5A	18038249	18039028	+	18038638	1.0	1.0
gene:TraesCS5A03G0044700	Chr5A	16437331	16438102	+	16437716	Chr5A	18043071	18043842	+	18043456	1.0	1.0
gene:TraesCS5A03G0044800	Chr5A	16442984	16443526	+	16443255	Chr5A	18048724	18049266	+	18048995	1.0	1.0
gene:TraesCS5A03G0044900	Chr5A	16448547	16449328	+	16448937	Chr5A	18054286	18055067	+	18054676	1.0	0.998
gene:TraesCS5A03G0045000	Chr5A	16454101	16454687	+	16454394	Chr5A	18059840	18060426	+	18060133	1.0	1.0
gene:TraesCS5A03G0045100	Chr5A	16459724	16460266	+	16459995	Chr5A	18065463	18066005	+	18065734	1.0	1.0
gene:TraesCS5A03G0045200	Chr5A	16465254	16466071	+	16465662	Chr5A	18070993	18071811	+	18071402	1.0	0.998
gene:TraesCS5A03G0045500	Chr5A	16789187	16791889	-	16790538	Chr5A	18393208	18395910	-	18394559	1.0	0.999
gene:TraesCS5A03G0045900	Chr5A	16866872	16868390	-	16867631	Chr5A	18455858	18457376	-	18456617	1.0	0.999
gene:TraesCS5A03G0046200	Chr5A	16983697	16984251	-	16983974	Chr5A	18563127	18563681	-	18563404	1.0	1.0
gene:TraesCS5A03G0046800	Chr5A	17790269	17795607	+	17792938	Chr5A	19356965	19362307	+	19359636	1.0	1.0
gene:TraesCS5A03G0046900	Chr5A	17809557	17813693	-	17811625	Chr5A	19376261	19380397	-	19378329	1.0	1.0
gene:TraesCS5A03G0047100	Chr5A	18352947	18355076	-	18354011	Chr5A	19902051	19904180	-	19903115	1.0	1.0
gene:TraesCS5A03G0050500	Chr5A	18910099	18913086	+	18911592	Chr5A	20456932	20459919	+	20458425	1.0	1.0
gene:TraesCS5A03G0050700	Chr5A	18916182	18923705	-	18919943	Chr5A	20463015	20470539	-	20466777	1.0	1.0
gene:TraesCS5A03G0051400	Chr5A	19168016	19170950	-	19169483	Chr5A	20700728	20703662	-	20702195	1.0	1.0
gene:TraesCS5A03G0051900	Chr5A	19226402	19228090	+	19227246	Chr5A	20755525	20757213	+	20756369	1.0	1.0
gene:TraesCS5A03G0053100	Chr5A	19462990	19464886	-	19463938	Chr5A	20994576	20996472	-	20995524	1.0	1.0
gene:TraesCS5A03G0053200	Chr5A	19472218	19473316	+	19472767	Chr5A	21003805	21004903	+	21004354	1.0	1.0
gene:TraesCS5A03G0053400	Chr5A	19513811	19514992	+	19514401	Chr5A	21045413	21046594	+	21046003	1.0	1.0
gene:TraesCS5A03G0053700	Chr5A	19568441	19570112	+	19569276	Chr5A	21115564	21117235	+	21116399	1.0	0.997
gene:TraesCS5A03G0053800	Chr5A	19571726	19572774	+	19572250	Chr5A	21118849	21119897	+	21119373	1.0	1.0
gene:TraesCS5A03G0054100	Chr5A	19617367	19622081	-	19619724	Chr5A	21164488	21169202	-	21166845	1.0	1.0
gene:TraesCS5A03G0054500	Chr5A	19766788	19770491	+	19768639	Chr5A	21313658	21317361	+	21315509	1.0	1.0
gene:TraesCS5A03G0054600	Chr5A	19772527	19775655	+	19774091	Chr5A	21319396	21322524	+	21320960	1.0	1.0
gene:TraesCS5A03G0054700	Chr5A	19778401	19782788	-	19780594	Chr5A	21325270	21329657	-	21327463	1.0	1.0
gene:TraesCS5A03G0055000	Chr5A	20328995	20329780	-	20329387	Chr5A	21875914	21876699	-	21876306	1.0	1.0
gene:TraesCS5A03G0055100	Chr5A	20334747	20336643	+	20335695	Chr5A	21881668	21883561	+	21882614	1.0	1.0
gene:TraesCS5A03G0055200	Chr5A	20508046	20510726	-	20509386	Chr5A	22054935	22057613	-	22056274	0.992	0.986
gene:TraesCS5A03G0055300	Chr5A	20514042	20515965	+	20515003	Chr5A	22060959	22062882	+	22061920	1.0	1.0
gene:TraesCS5A03G0055400	Chr5A	20575354	20577091	-	20576222	Chr5A	22122214	22123951	-	22123082	1.0	1.0
gene:TraesCS5A03G0055500	Chr5A	20599716	20601776	-	20600746	Chr5A	22146576	22148636	-	22147606	1.0	1.0
gene:TraesCS5A03G0055600	Chr5A	20606418	20609919	+	20608168	Chr5A	22153278	22156779	+	22155028	1.0	1.0
gene:TraesCS5A03G0055700	Chr5A	20611015	20614386	-	20612700	Chr5A	22157875	22161246	-	22159560	1.0	1.0
gene:TraesCS5A03G0055800	Chr5A	20616397	20619451	+	20617924	Chr5A	22163258	22166312	+	22164785	1.0	1.0
gene:TraesCS5A03G0056600	Chr5A	20700291	20701685	+	20700988	Chr5A	22246845	22248239	+	22247542	1.0	1.0
gene:TraesCS5A03G0056700	Chr5A	20702351	20704621	+	20703486	Chr5A	22248905	22251175	+	22250040	1.0	1.0
gene:TraesCS5A03G0057000	Chr5A	20710659	20715240	-	20712949	Chr5A	22257213	22261629	-	22259421	1.0	1.0
gene:TraesCS5A03G0057100	Chr5A	20727287	20729485	+	20728386	Chr5A	22273678	22275876	+	22274777	1.0	1.0
gene:TraesCS5A03G0057300	Chr5A	20732882	20735140	+	20734011	Chr5A	22279273	22281531	+	22280402	1.0	1.0
gene:TraesCS5A03G0057500	Chr5A	20750309	20754701	-	20752505	Chr5A	22296702	22301094	-	22298898	1.0	1.0
gene:TraesCS5A03G0057600	Chr5A	20794666	20796281	+	20795473	Chr5A	22340993	22342608	+	22341800	1.0	1.0
gene:TraesCS5A03G0058100	Chr5A	20841287	20851033	-	20846160	Chr5A	22387613	22397359	-	22392486	1.0	1.0
gene:TraesCS5A03G0058200	Chr5A	20856434	20857896	-	20857165	Chr5A	22402760	22404222	-	22403491	1.0	1.0
gene:TraesCS5A03G0058300	Chr5A	20885980	20887325	-	20886652	Chr5A	22432312	22433657	-	22432984	1.0	1.0
gene:TraesCS5A03G0058400	Chr5A	20887907	20888664	+	20888285	Chr5A	22434239	22434996	+	22434617	1.0	1.0
gene:TraesCS5A03G0058500	Chr5A	21002079	21004310	+	21003194	Chr5A	22548401	22550632	+	22549516	1.0	1.0
gene:TraesCS5A03G0058900	Chr5A	21040081	21043244	+	21041662	Chr5A	22586408	22589571	+	22587989	1.0	1.0
gene:TraesCS5A03G0059600	Chr5A	21156613	21161181	+	21158897	Chr5A	22702844	22707412	+	22705128	1.0	1.0
gene:TraesCS5A03G0059700	Chr5A	21162743	21166518	+	21164630	Chr5A	22708974	22712749	+	22710861	1.0	1.0
gene:TraesCS5A03G0059800	Chr5A	21168150	21168749	-	21168449	Chr5A	22714381	22714980	-	22714680	1.0	1.0
gene:TraesCS5A03G0060600	Chr5A	21187379	21188974	+	21188176	Chr5A	22733612	22735207	+	22734409	1.0	1.0
