gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	Attraktion_tgt_strand	Attraktion_tgt_midpoint	Attraktion_coverage	Attraktion_identity
gene:TraesCS2B03G0013100	Chr2B	3855432	3862083	+	3858757	Chr2B	8334906	8341555	-	8338230	1.0	0.997
gene:TraesCS2B03G0013300	Chr2B	3877680	3878447	+	3878063	Chr2B	8318376	8319143	-	8318759	1.0	0.993
gene:TraesCS2B03G0013400	Chr2B	3880027	3880452	+	3880239	Chr2B	8316393	8316818	-	8316605	1.0	0.997
gene:TraesCS2B03G0013700	Chr2B	3956480	3957106	-	3956793	Chr2B	8240026	8240652	+	8240339	1.0	1.0
gene:TraesCS2B03G0013900	Chr2B	3959709	3961547	-	3960628	Chr2B	8235585	8237423	+	8236504	1.0	1.0
gene:TraesCS2B03G0014300	Chr2B	4031007	4035278	-	4033142	Chr2B	8161749	8166020	+	8163884	1.0	1.0
gene:TraesCS2B03G0014500	Chr2B	4057416	4065064	-	4061240	Chr2B	8131970	8139617	+	8135793	1.0	1.0
gene:TraesCS2B03G0015000	Chr2B	4111148	4113262	-	4112205	Chr2B	8077032	8079146	+	8078089	1.0	1.0
gene:TraesCS2B03G0015100	Chr2B	4116808	4124611	-	4120709	Chr2B	8065678	8073486	+	8069582	1.0	1.0
gene:TraesCS2B03G0015300	Chr2B	4921039	4922226	-	4921632	Chr2B	7121810	7122997	+	7122403	1.0	0.998
gene:TraesCS2B03G0015400	Chr2B	4921039	4925322	-	4923180	Chr2B	7118714	7122997	+	7120855	1.0	0.999
gene:TraesCS2B03G0016000	Chr2B	5016726	5020169	+	5018447	Chr2B	6881690	6885133	-	6883411	1.0	1.0
gene:TraesCS2B03G0016200	Chr2B	5031749	5033515	-	5032632	Chr2B	6814751	6816517	+	6815634	1.0	1.0
gene:TraesCS2B03G0016300	Chr2B	5034478	5034879	-	5034678	Chr2B	6813387	6813788	+	6813587	1.0	1.0
gene:TraesCS2B03G0016400	Chr2B	5035649	5037309	-	5036479	Chr2B	6809597	6811257	+	6810427	1.0	0.998
gene:TraesCS2B03G0016700	Chr2B	5058158	5060304	+	5059231	Chr2B	6786571	6788716	-	6787643	0.999	0.998
gene:TraesCS2B03G0016900	Chr2B	5071624	5076306	+	5073965	Chr2B	6770569	6775251	-	6772910	1.0	1.0
gene:TraesCS2B03G0017200	Chr2B	5133457	5135141	-	5134299	Chr2B	6711772	6713456	+	6712614	1.0	1.0
gene:TraesCS2B03G0017300	Chr2B	5224896	5229545	+	5227220	Chr2B	6617367	6622022	-	6619694	1.0	0.998
gene:TraesCS2B03G0017500	Chr2B	5236031	5237507	+	5236769	Chr2B	6609393	6610869	-	6610131	1.0	1.0
gene:TraesCS2B03G0017600	Chr2B	5295192	5296900	-	5296046	Chr2B	6550516	6552224	+	6551370	1.0	1.0
gene:TraesCS2B03G0017700	Chr2B	5393429	5393683	+	5393556	Chr2B	6453732	6453986	-	6453859	1.0	1.0
gene:TraesCS2B03G0018100	Chr2B	5448721	5450259	+	5449490	Chr2B	6397144	6398682	-	6397913	1.0	1.0
gene:TraesCS2B03G0018300	Chr2B	5465459	5467015	-	5466237	Chr2B	6380385	6381941	+	6381163	1.0	0.999
gene:TraesCS2B03G0018400	Chr2B	5488231	5490367	+	5489299	Chr2B	6357032	6359168	-	6358100	1.0	0.998
gene:TraesCS2B03G0018500	Chr2B	5500410	5504869	+	5502639	Chr2B	6342526	6346985	-	6344755	1.0	0.998
gene:TraesCS2B03G0018600	Chr2B	5525526	5527171	-	5526348	Chr2B	6320225	6321870	+	6321047	1.0	1.0
gene:TraesCS2B03G0018700	Chr2B	5530391	5532332	+	5531361	Chr2B	6315063	6317004	-	6316033	1.0	0.999
gene:TraesCS2B03G0018800	Chr2B	5613315	5614067	-	5613691	Chr2B	6233307	6234059	+	6233683	1.0	1.0
gene:TraesCS2B03G0018900	Chr2B	5619058	5620657	+	5619857	Chr2B	6226717	6228316	-	6227516	1.0	1.0
gene:TraesCS2B03G0019000	Chr2B	5640833	5641228	+	5641030	Chr2B	6206194	6206589	-	6206391	1.0	1.0
gene:TraesCS2B03G0019100	Chr2B	5644403	5648377	-	5646390	Chr2B	6199046	6203019	+	6201032	0.999	0.999
gene:TraesCS2B03G0019200	Chr2B	5654103	5657492	+	5655797	Chr2B	6189925	6193314	-	6191619	1.0	1.0
gene:TraesCS2B03G0019300	Chr2B	5657715	5659851	-	5658783	Chr2B	6187566	6189702	+	6188634	1.0	0.999
gene:TraesCS2B03G0019800	Chr2B	5722565	5736933	-	5729749	Chr2B	6117348	6131714	+	6124531	1.0	1.0
gene:TraesCS2B03G0019900	Chr2B	5841563	5854226	+	5847894	Chr2B	6000501	6013164	-	6006832	1.0	1.0
gene:TraesCS2B03G0020000	Chr2B	5857938	5873315	-	5865626	Chr2B	5981480	5996785	+	5989132	1.0	1.0
gene:TraesCS2B03G0022100	Chr2B	6245944	6247230	+	6246587	Chr2B	5436022	5437308	-	5436665	1.0	1.0
gene:TraesCS2B03G0022200	Chr2B	6269901	6271154	+	6270527	Chr2B	5412298	5413551	-	5412924	1.0	0.999
gene:TraesCS2B03G0022400	Chr2B	6456104	6457096	-	6456600	Chr2B	5514991	5515983	+	5515487	1.0	1.0
gene:TraesCS2B03G0022500	Chr2B	6468597	6470870	+	6469733	Chr2B	5501222	5503495	-	5502358	1.0	0.998
gene:TraesCS2B03G0022800	Chr2B	6498923	6502372	+	6500647	Chr2B	5469688	5473147	-	5471417	1.0	1.0
gene:TraesCS2B03G0022900	Chr2B	6504862	6505866	-	6505364	Chr2B	5466194	5467198	+	5466696	1.0	1.0
gene:TraesCS2B03G0023000	Chr2B	6532801	6533683	+	6533242	Chr2B	5756142	5757025	-	5756583	1.0	0.992
gene:TraesCS2B03G0023200	Chr2B	6545063	6548072	-	6546567	Chr2B	5177047	5180026	+	5178536	0.983	0.98
gene:TraesCS2B03G0023700	Chr2B	6627192	6628976	+	6628084	Chr2B	5137605	5139389	-	5138497	1.0	1.0
gene:TraesCS2B03G0023900	Chr2B	6655874	6658393	+	6657133	Chr2B	5108508	5111027	-	5109767	1.0	1.0
gene:TraesCS2B03G0024000	Chr2B	6699896	6701597	+	6700746	Chr2B	5065386	5067087	-	5066236	1.0	1.0
gene:TraesCS2B03G0024200	Chr2B	6713306	6714708	+	6714007	Chr2B	5052275	5053677	-	5052976	1.0	1.0
gene:TraesCS2B03G0024500	Chr2B	6787357	6789121	+	6788239	Chr2B	4987608	4989372	-	4988490	1.0	1.0
gene:TraesCS2B03G0024700	Chr2B	6821447	6822965	-	6822206	Chr2B	4906937	4908455	+	4907696	1.0	1.0
gene:TraesCS2B03G0024800	Chr2B	6835359	6837114	+	6836236	Chr2B	4935112	4936867	-	4935989	1.0	1.0
gene:TraesCS2B03G0025100	Chr2B	6863809	6865292	-	6864550	Chr2B	4949340	4950823	+	4950081	1.0	0.998
gene:TraesCS2B03G0025300	Chr2B	6882347	6883870	+	6883108	Chr2B	4888398	4889921	-	4889159	1.0	1.0
gene:TraesCS2B03G0025500	Chr2B	6886209	6888033	+	6887121	Chr2B	4884494	4886319	-	4885406	1.0	0.999
gene:TraesCS2B03G0025600	Chr2B	6894552	6896489	-	6895520	Chr2B	4876037	4877974	+	4877005	1.0	0.998
gene:TraesCS2B03G0025700	Chr2B	6898563	6903761	-	6901162	Chr2B	4868765	4873963	+	4871364	1.0	1.0
gene:TraesCS2B03G0026100	Chr2B	7188185	7188382	-	7188283	Chr2B	4585629	4585826	+	4585727	1.0	1.0
gene:TraesCS2B03G0026200	Chr2B	7202008	7208867	-	7205437	Chr2B	4565143	4572002	+	4568572	1.0	0.999
gene:TraesCS2B03G0026300	Chr2B	7231414	7238036	-	7234725	Chr2B	4536449	4543071	+	4539760	1.0	1.0
gene:TraesCS2B03G0026600	Chr2B	7342466	7343956	+	7343211	Chr2B	4479708	4481198	-	4480453	1.0	1.0
gene:TraesCS2B03G0026500	Chr2B	7342428	7347675	-	7345051	Chr2B	4475989	4481236	+	4478612	1.0	0.999
gene:TraesCS2B03G0026800	Chr2B	7368058	7373714	+	7370886	Chr2B	4449718	4455374	-	4452546	1.0	1.0
gene:TraesCS2B03G0026900	Chr2B	7374744	7376852	-	7375798	Chr2B	4446580	4448688	+	4447634	1.0	1.0
gene:TraesCS2B03G0027000	Chr2B	7384257	7389466	+	7386861	Chr2B	4433966	4439175	-	4436570	1.0	1.0
gene:TraesCS2B03G0027200	Chr2B	7418327	7421421	+	7419874	Chr2B	4402001	4405095	-	4403548	1.0	1.0
gene:TraesCS2B03G0027300	Chr2B	7423234	7427119	-	7425176	Chr2B	4396301	4400186	+	4398243	1.0	1.0
gene:TraesCS2B03G0027400	Chr2B	7430644	7430993	-	7430818	Chr2B	4392427	4392776	+	4392601	1.0	1.0
gene:TraesCS2B03G0027500	Chr2B	7457794	7474452	+	7466123	Chr2B	4348964	4365613	-	4357288	1.0	0.999
gene:TraesCS2B03G0027600	Chr2B	7480197	7485085	+	7482641	Chr2B	4338328	4343216	-	4340772	1.0	1.0
gene:TraesCS2B03G0027700	Chr2B	7488542	7503846	+	7496194	Chr2B	4319565	4334871	-	4327218	1.0	1.0
gene:TraesCS2B03G0027800	Chr2B	7503853	7505322	-	7504587	Chr2B	4318089	4319558	+	4318823	1.0	1.0
gene:TraesCS2B03G0027900	Chr2B	7523936	7527616	+	7525776	Chr2B	4210514	4214194	-	4212354	1.0	1.0
gene:TraesCS2B03G0028000	Chr2B	7543649	7547126	+	7545387	Chr2B	4190997	4194474	-	4192735	1.0	0.998
gene:TraesCS2B03G0028100	Chr2B	7550450	7550846	-	7550648	Chr2B	4187277	4187673	+	4187475	1.0	1.0
gene:TraesCS2B03G0028300	Chr2B	7608181	7613666	+	7610923	Chr2B	4124393	4129878	-	4127135	1.0	1.0
gene:TraesCS2B03G0028400	Chr2B	7623099	7624529	+	7623814	Chr2B	4109138	4110545	-	4109841	0.983	0.983
gene:TraesCS2B03G0028700	Chr2B	7643082	7646942	+	7645012	Chr2B	4086717	4090577	-	4088647	1.0	1.0
gene:TraesCS2B03G0028900	Chr2B	7658092	7659718	-	7658905	Chr2B	4073947	4075573	+	4074760	1.0	0.995
gene:TraesCS2B03G0029000	Chr2B	7693007	7694798	-	7693902	Chr2B	4058317	4060108	+	4059212	1.0	1.0
gene:TraesCS2B03G0029100	Chr2B	7701267	7705799	-	7703533	Chr2B	4038275	4042791	+	4040533	0.949	0.949
gene:TraesCS2B03G0029200	Chr2B	7868819	7869526	+	7869172	Chr2B	3874443	3875150	-	3874796	1.0	1.0
gene:TraesCS2B03G0029300	Chr2B	7872274	7875518	-	7873896	Chr2B	3868451	3871695	+	3870073	1.0	1.0
gene:TraesCS2B03G0029600	Chr2B	7890473	7900384	-	7895428	Chr2B	3843537	3853452	+	3848494	1.0	0.999
gene:TraesCS2B03G0029700	Chr2B	7911010	7912109	+	7911559	Chr2B	3831805	3832904	-	3832354	1.0	1.0
gene:TraesCS2B03G0030200	Chr2B	7977648	7979453	+	7978550	Chr2B	3771422	3773227	-	3772324	1.0	1.0
gene:TraesCS2B03G0030300	Chr2B	8006235	8010811	+	8008523	Chr2B	3740049	3744623	-	3742336	1.0	1.0
gene:TraesCS2B03G0030400	Chr2B	8013387	8018171	-	8015779	Chr2B	3732738	3737473	+	3735105	0.971	0.971
gene:TraesCS2B03G0030500	Chr2B	8021978	8025987	+	8023982	Chr2B	3724776	3728785	-	3726780	1.0	1.0
gene:TraesCS2B03G0030600	Chr2B	8028120	8034668	-	8031394	Chr2B	3716096	3722643	+	3719369	1.0	1.0
gene:TraesCS2B03G0030700	Chr2B	8065103	8066982	-	8066042	Chr2B	3683789	3685659	+	3684724	0.991	0.983
gene:TraesCS2B03G0031000	Chr2B	8098223	8098723	+	8098473	Chr2B	3600076	3600576	-	3600326	1.0	0.975
gene:TraesCS2B03G0031100	Chr2B	8101793	8102553	+	8102173	Chr2B	3576187	3576945	-	3576566	1.0	0.965
gene:TraesCS2B03G0033000	Chr2B	8645459	8647142	+	8646300	Chr2B	3257123	3258685	-	3257904	1.0	0.975
gene:TraesCS2B03G0033300	Chr2B	8677011	8677322	+	8677166	Chr2B	3190020	3190331	-	3190175	1.0	0.971
gene:TraesCS2B03G0033400	Chr2B	8696627	8703483	-	8700055	Chr2B	3132088	3139357	+	3135722	1.0	0.983
gene:TraesCS2B03G0034000	Chr2B	9042175	9042552	+	9042363	Chr2B	2959670	2960047	-	2959858	1.0	0.994
gene:TraesCS2B03G0034200	Chr2B	9153032	9155753	+	9154392	Chr2B	2851342	2854063	-	2852702	0.999	0.964
gene:TraesCS2B03G0034400	Chr2B	9162506	9163054	+	9162780	Chr2B	2843958	2844506	-	2844232	1.0	0.987
gene:TraesCS2B03G0034800	Chr2B	9231046	9234494	+	9232770	Chr2B	2792207	2795661	-	2793934	1.0	0.981
gene:TraesCS2B03G0036800	Chr2B	9689277	9694655	+	9691966	Chr2B	2645582	2650854	-	2648218	0.985	0.968
gene:TraesCS2B03G0037000	Chr2B	9708622	9713131	-	9710876	Chr2B	2628034	2632554	+	2630294	0.999	0.978
gene:TraesCS2B03G0037600	Chr2B	10352360	10355723	+	10354041	Chr2B	2033852	2037217	-	2035534	1.0	0.995
gene:TraesCS2B03G0037900	Chr2B	10428959	10429546	+	10429252	Chr2B	1985122	1985708	-	1985415	0.998	0.952
gene:TraesCS2B03G0038000	Chr2B	10466399	10469668	+	10468033	Chr2B	1854123	1857361	-	1855742	0.986	0.975
gene:TraesCS2B03G0038200	Chr2B	10588029	10591331	+	10589680	Chr2B	1827643	1830958	-	1829300	1.0	0.999
gene:TraesCS2B03G0038400	Chr2B	10647577	10651198	+	10649387	Chr2B	1769704	1773325	-	1771514	1.0	1.0
gene:TraesCS2B03G0038500	Chr2B	10659178	10659779	-	10659478	Chr2B	1761123	1761724	+	1761423	1.0	1.0
gene:TraesCS2B03G0038600	Chr2B	10757228	10760110	-	10758669	Chr2B	1662389	1665270	+	1663829	0.996	0.992
gene:TraesCS2B03G0039900	Chr2B	10878933	10879520	-	10879226	Chr2B	1542698	1543285	+	1542991	1.0	1.0
gene:TraesCS2B03G0040000	Chr2B	10882178	10886156	+	10884167	Chr2B	1536061	1540039	-	1538050	1.0	1.0
gene:TraesCS2B03G0040100	Chr2B	10886848	10888396	-	10887622	Chr2B	1533821	1535369	+	1534595	1.0	1.0
gene:TraesCS2B03G0040200	Chr2B	10903928	10905735	-	10904831	Chr2B	1516476	1518283	+	1517379	1.0	1.0
gene:TraesCS2B03G0040300	Chr2B	10906588	10908620	-	10907604	Chr2B	1513591	1515623	+	1514607	1.0	1.0
gene:TraesCS2B03G0041400	Chr2B	11227892	11229787	-	11228839	Chr2B	1194893	1196788	+	1195840	1.0	1.0
gene:TraesCS2B03G0041600	Chr2B	11261441	11263050	+	11262245	Chr2B	1153981	1155590	-	1154785	1.0	0.999
gene:TraesCS2B03G0041700	Chr2B	11266726	11269064	-	11267895	Chr2B	1147968	1150306	+	1149137	1.0	1.0
gene:TraesCS2B03G0041900	Chr2B	11286708	11288360	+	11287534	Chr2B	1129112	1130764	-	1129938	1.0	1.0
gene:TraesCS2B03G0042000	Chr2B	11291128	11293476	-	11292302	Chr2B	1124014	1126363	+	1125188	1.0	0.998
gene:TraesCS2B03G0042100	Chr2B	11295799	11296835	-	11296317	Chr2B	1120870	1121906	+	1121388	1.0	1.0
gene:TraesCS2B03G0042200	Chr2B	11302011	11303624	+	11302817	Chr2B	1114082	1115695	-	1114888	1.0	0.997
gene:TraesCS2B03G0042300	Chr2B	11306412	11308716	-	11307564	Chr2B	1093957	1096261	+	1095109	1.0	1.0
gene:TraesCS2B03G0042400	Chr2B	11310962	11311999	-	11311480	Chr2B	1090769	1091806	+	1091287	1.0	0.998
gene:TraesCS2B03G0042500	Chr2B	11354501	11355306	-	11354903	Chr2B	1047948	1048753	+	1048350	1.0	0.998
gene:TraesCS2B03G0042700	Chr2B	11421745	11422468	+	11422106	Chr2B	981204	981927	-	981565	1.0	1.0
gene:TraesCS2B03G0043200	Chr2B	11539698	11543017	-	11541357	Chr2B	863794	867113	+	865453	1.0	1.0
gene:TraesCS2B03G0043300	Chr2B	11562536	11562888	+	11562712	Chr2B	843920	844274	-	844097	1.0	0.992
gene:TraesCS2B03G0043800	Chr2B	11608498	11608872	+	11608685	Chr2B	797945	798319	-	798132	1.0	0.997
gene:TraesCS2B03G0044000	Chr2B	11664482	11675152	+	11669817	Chr2B	731654	742333	-	736993	1.0	0.999
gene:TraesCS2B03G0044200	Chr2B	11698264	11711290	-	11704777	Chr2B	695501	708527	+	702014	1.0	1.0
gene:TraesCS2B03G0044500	Chr2B	11728100	11729813	-	11728956	Chr2B	605086	606799	+	605942	1.0	1.0
gene:TraesCS2B03G0044900	Chr2B	11886292	11888004	-	11887148	Chr2B	519065	520777	+	519921	1.0	1.0
gene:TraesCS2B03G0045000	Chr2B	11901573	11904269	+	11902921	Chr2B	503159	505855	-	504507	1.0	1.0
gene:TraesCS2B03G0045200	Chr2B	11908629	11909914	-	11909271	Chr2B	497446	498731	+	498088	1.0	1.0
gene:TraesCS2B03G0045500	Chr2B	11953152	11954641	+	11953896	Chr2B	448501	449990	-	449245	1.0	0.999
gene:TraesCS2B03G0045900	Chr2B	12020844	12022072	+	12021458	Chr2B	381721	382949	-	382335	1.0	1.0
gene:TraesCS2B03G0046000	Chr2B	12127147	12129575	+	12128361	Chr2B	274113	276541	-	275327	1.0	1.0
gene:TraesCS2B03G0046100	Chr2B	12230579	12231627	-	12231103	Chr2B	174434	175482	+	174958	1.0	0.998
gene:TraesCS2B03G0046400	Chr2B	12245084	12246319	+	12245701	Chr2B	159741	160976	-	160358	1.0	1.0
gene:TraesCS2B03G0046300	Chr2B	12245024	12246636	+	12245830	Chr2B	159424	161036	-	160230	1.0	1.0
gene:TraesCS2B03G0046600	Chr2B	12298712	12301127	+	12299919	Chr2B	104934	107349	-	106141	1.0	1.0
gene:TraesCS2B03G0050700	Chr2B	13182204	13189613	-	13185908	Chr2B	11827713	11834897	-	11831305	1.0	0.996
gene:TraesCS2B03G0051000	Chr2B	13253976	13259260	-	13256618	Chr2B	11915654	11921180	-	11918417	1.0	0.999
gene:TraesCS2B03G0051100	Chr2B	13285094	13286551	+	13285822	Chr2B	11944700	11946161	+	11945430	1.0	0.945
gene:TraesCS2B03G0051300	Chr2B	13296175	13297080	+	13296627	Chr2B	11961814	11962718	+	11962266	1.0	0.992
gene:TraesCS2B03G0051600	Chr2B	13340976	13341932	+	13341454	Chr2B	13733699	13734656	-	13734177	1.0	0.988
gene:TraesCS2B03G0051800	Chr2B	13348269	13349759	-	13349014	Chr2B	13763937	13765427	+	13764682	1.0	0.994
gene:TraesCS2B03G0051900	Chr2B	13354219	13358897	-	13356558	Chr2B	13754885	13759438	+	13757161	1.0	0.997
gene:TraesCS2B03G0052500	Chr2B	13433734	13435191	-	13434462	Chr2B	13748640	13750097	+	13749368	1.0	0.929
gene:TraesCS2B03G0053200	Chr2B	13732514	13733128	-	13732821	Chr2B	12257159	12257773	+	12257466	1.0	0.998
gene:TraesCS2B03G0053300	Chr2B	13909547	13910761	-	13910154	Chr2B	12149169	12150383	+	12149776	1.0	0.994
gene:TraesCS2B03G0053400	Chr2B	13912472	13913471	+	13912971	Chr2B	12146564	12147563	-	12147063	1.0	0.998
gene:TraesCS2B03G0054400	Chr2B	14028498	14030981	-	14029739	Chr2B	12913576	12916055	-	12914815	1.0	0.997
gene:TraesCS2B03G0054500	Chr2B	14079067	14081658	-	14080362	Chr2B	12943824	12946415	-	12945119	1.0	0.999
gene:TraesCS2B03G0055700	Chr2B	14423940	14425421	+	14424680	Chr2B	13295585	13297066	+	13296325	1.0	0.997
gene:TraesCS2B03G0056000	Chr2B	14842559	14851874	+	14847216	Chr2B	13610148	13619462	+	13614805	1.0	0.996
gene:TraesCS2B03G0056200	Chr2B	14851905	14854208	+	14853056	Chr2B	13619493	13621796	+	13620644	1.0	0.995
gene:TraesCS2B03G0056300	Chr2B	14878192	14884749	+	14881470	Chr2B	13644473	13651030	+	13647751	1.0	0.998
gene:TraesCS2B03G0056500	Chr2B	14916612	14918380	+	14917496	Chr2B	13682924	13684692	+	13683808	1.0	0.988
gene:TraesCS2B03G0056800	Chr2B	14931634	14946100	+	14938867	Chr2B	13697951	13712453	+	13705202	1.0	0.997
gene:TraesCS2B03G0057800	Chr2B	14995711	14997185	-	14996448	Chr2B	13770821	13772293	-	13771557	0.998	0.96
gene:TraesCS2B03G0058100	Chr2B	15056953	15058428	-	15057690	Chr2B	13792546	13794012	-	13793279	0.993	0.958
gene:TraesCS2B03G0058200	Chr2B	15066509	15067231	-	15066870	Chr2B	13801866	13802588	-	13802227	1.0	0.984
gene:TraesCS2B03G0058900	Chr2B	15164970	15165835	-	15165402	Chr2B	13892131	13892988	-	13892559	0.978	0.935
gene:TraesCS2B03G0059100	Chr2B	15181002	15185195	+	15183098	Chr2B	13910833	13915039	+	13912936	1.0	0.985
gene:TraesCS2B03G0059200	Chr2B	15183375	15183677	+	15183526	Chr2B	13913219	13913521	+	13913370	1.0	0.99
gene:TraesCS2B03G0059400	Chr2B	15202297	15203277	+	15202787	Chr2B	13926716	13927696	+	13927206	1.0	0.988
gene:TraesCS2B03G0059500	Chr2B	15206589	15220051	+	15213320	Chr2B	13931020	13943422	+	13937221	1.0	0.986
gene:TraesCS2B03G0059700	Chr2B	15236750	15237704	-	15237227	Chr2B	13964216	13965166	-	13964691	0.995	0.989
gene:TraesCS2B03G0059800	Chr2B	15312884	15314326	-	15313605	Chr2B	14400869	14402295	-	14401582	0.987	0.979
gene:TraesCS2B03G0060000	Chr2B	15336749	15339104	+	15337926	Chr2B	14421265	14423452	+	14422358	0.924	0.913
gene:TraesCS2B03G0060600	Chr2B	15388048	15390077	+	15389062	Chr2B	14449513	14451361	+	14450437	0.942	0.935
gene:TraesCS2B03G0060700	Chr2B	15391038	15392507	+	15391772	Chr2B	14480232	14481701	+	14480966	1.0	0.991
gene:TraesCS2B03G0060800	Chr2B	15400720	15402557	+	15401638	Chr2B	14506787	14508624	+	14507705	1.0	0.998
gene:TraesCS2B03G0061600	Chr2B	15691603	15693102	+	15692352	Chr2B	14547218	14548717	+	14547967	1.0	0.962
gene:TraesCS2B03G0062900	Chr2B	15885181	15888466	-	15886823	Chr2B	14923289	14926703	+	14924996	0.97	0.923
