gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	Attraktion_tgt_strand	Attraktion_tgt_midpoint	Attraktion_coverage	Attraktion_identity
gene:TraesCS1D03G0015600	Chr1D	4031888	4032790	-	4032339	Chr1D	4693946	4694848	+	4694397	1.0	1.0
gene:TraesCS1D03G0015900	Chr1D	4161332	4165555	+	4163443	Chr1D	4561902	4566125	-	4564013	1.0	1.0
gene:TraesCS1D03G0016000	Chr1D	4168175	4172160	+	4170167	Chr1D	4555297	4559282	-	4557289	1.0	1.0
gene:TraesCS1D03G0016100	Chr1D	4172892	4176565	+	4174728	Chr1D	4550892	4554565	-	4552728	1.0	1.0
gene:TraesCS1D03G0016200	Chr1D	4177197	4182517	-	4179857	Chr1D	4544940	4550260	+	4547600	1.0	0.99
gene:TraesCS1D03G0016600	Chr1D	4286412	4287695	-	4287053	Chr1D	4439738	4441021	+	4440379	1.0	1.0
gene:TraesCS1D03G0016700	Chr1D	4386351	4395126	-	4390738	Chr1D	4334945	4343742	+	4339343	1.0	1.0
gene:TraesCS1D03G0016800	Chr1D	4395798	4401534	+	4398666	Chr1D	4328541	4334273	-	4331407	1.0	1.0
gene:TraesCS1D03G0017100	Chr1D	4441316	4442197	-	4441756	Chr1D	4287991	4288872	+	4288431	1.0	1.0
gene:TraesCS1D03G0017400	Chr1D	4485187	4486277	-	4485732	Chr1D	4243867	4244957	+	4244412	1.0	1.0
gene:TraesCS1D03G0017500	Chr1D	4511639	4512641	-	4512140	Chr1D	4217504	4218506	+	4218005	1.0	0.998
gene:TraesCS1D03G0017600	Chr1D	4546440	4547558	+	4546999	Chr1D	4182599	4183702	-	4183150	0.986	0.986
gene:TraesCS1D03G0018300	Chr1D	4940040	4941015	-	4940527	Chr1D	3795176	3796151	+	3795663	1.0	1.0
gene:TraesCS1D03G0018400	Chr1D	4950479	4952240	+	4951359	Chr1D	3756339	3758100	-	3757219	1.0	1.0
gene:TraesCS1D03G0018500	Chr1D	5055567	5056764	-	5056165	Chr1D	3651830	3653027	+	3652428	1.0	1.0
gene:TraesCS1D03G0018700	Chr1D	5085791	5087899	+	5086845	Chr1D	3621395	3623503	-	3622449	1.0	1.0
gene:TraesCS1D03G0018900	Chr1D	5217817	5223338	+	5220577	Chr1D	3485911	3491437	-	3488674	1.0	1.0
gene:TraesCS1D03G0019300	Chr1D	5269306	5276316	+	5272811	Chr1D	3432823	3439833	-	3436328	1.0	0.998
gene:TraesCS1D03G0019400	Chr1D	5314169	5316891	-	5315530	Chr1D	3392240	3394962	+	3393601	1.0	1.0
gene:TraesCS1D03G0019700	Chr1D	5321435	5327699	-	5324567	Chr1D	3381432	3387696	+	3384564	1.0	1.0
gene:TraesCS1D03G0020000	Chr1D	5416602	5418218	-	5417410	Chr1D	3291744	3293360	+	3292552	1.0	1.0
gene:TraesCS1D03G0020600	Chr1D	5575968	5580858	-	5578413	Chr1D	4932938	4937828	-	4935383	1.0	0.999
gene:TraesCS1D03G0020700	Chr1D	5584625	5585680	+	5585152	Chr1D	4941595	4942650	+	4942122	1.0	1.0
gene:TraesCS1D03G0020900	Chr1D	5619330	5620109	-	5619719	Chr1D	4975804	4976583	-	4976193	1.0	0.997
gene:TraesCS1D03G0021000	Chr1D	5687938	5689538	+	5688738	Chr1D	5044412	5046012	+	5045212	1.0	1.0
gene:TraesCS1D03G0021100	Chr1D	5695036	5696676	+	5695856	Chr1D	5051510	5053150	+	5052330	1.0	1.0
gene:TraesCS1D03G0021200	Chr1D	5734745	5736216	+	5735480	Chr1D	5091233	5092704	+	5091968	1.0	1.0
gene:TraesCS1D03G0021300	Chr1D	5787123	5792364	-	5789743	Chr1D	5143619	5148861	-	5146240	1.0	1.0
gene:TraesCS1D03G0021400	Chr1D	5800416	5801330	+	5800873	Chr1D	5156913	5157827	+	5157370	1.0	1.0
gene:TraesCS1D03G0021500	Chr1D	5850271	5855556	-	5852913	Chr1D	5201357	5206648	-	5204002	1.0	1.0
gene:TraesCS1D03G0021700	Chr1D	5866018	5869520	+	5867769	Chr1D	5217110	5220612	+	5218861	1.0	1.0
gene:TraesCS1D03G0021800	Chr1D	5870381	5874515	-	5872448	Chr1D	5221473	5225607	-	5223540	1.0	1.0
gene:TraesCS1D03G0021900	Chr1D	5887607	5888518	+	5888062	Chr1D	5239507	5240418	+	5239962	1.0	1.0
gene:TraesCS1D03G0022000	Chr1D	5889906	5894463	+	5892184	Chr1D	5241806	5246363	+	5244084	1.0	0.999
gene:TraesCS1D03G0022100	Chr1D	5895435	5897468	+	5896451	Chr1D	5247335	5249368	+	5248351	1.0	1.0
gene:TraesCS1D03G0022200	Chr1D	5899194	5901390	+	5900292	Chr1D	5251094	5253290	+	5252192	1.0	1.0
gene:TraesCS1D03G0022700	Chr1D	5955107	5961830	+	5958468	Chr1D	5307010	5313733	+	5310371	1.0	1.0
gene:TraesCS1D03G0022800	Chr1D	5962133	5963519	+	5962826	Chr1D	5314036	5315422	+	5314729	1.0	1.0
gene:TraesCS1D03G0022900	Chr1D	5965029	5967804	-	5966416	Chr1D	5316945	5319720	-	5318332	1.0	1.0
gene:TraesCS1D03G0023500	Chr1D	6574304	6577432	+	6575868	Chr1D	5925872	5929000	+	5927436	1.0	1.0
gene:TraesCS1D03G0023700	Chr1D	6607032	6641306	+	6624169	Chr1D	5958664	5992949	+	5975806	1.0	0.999
gene:TraesCS1D03G0023900	Chr1D	6664438	6678885	+	6671661	Chr1D	6016075	6030531	+	6023303	1.0	1.0
gene:TraesCS1D03G0024100	Chr1D	6702026	6705310	-	6703668	Chr1D	6053703	6056987	-	6055345	1.0	0.999
gene:TraesCS1D03G0024300	Chr1D	6717424	6717978	-	6717701	Chr1D	6069102	6069656	-	6069379	1.0	1.0
gene:TraesCS1D03G0024400	Chr1D	6734472	6735112	-	6734792	Chr1D	6086156	6086796	-	6086476	1.0	1.0
gene:TraesCS1D03G0024500	Chr1D	6762398	6765377	-	6763887	Chr1D	6114083	6117062	-	6115572	1.0	1.0
gene:TraesCS1D03G0024600	Chr1D	6768889	6782560	-	6775724	Chr1D	6120574	6134245	-	6127409	1.0	1.0
gene:TraesCS1D03G0024700	Chr1D	6788386	6789994	-	6789190	Chr1D	6140072	6141680	-	6140876	1.0	1.0
gene:TraesCS1D03G0024800	Chr1D	6803517	6804251	-	6803884	Chr1D	6155202	6155936	-	6155569	1.0	1.0
gene:TraesCS1D03G0025100	Chr1D	6836115	6836863	-	6836489	Chr1D	6187802	6188550	-	6188176	1.0	0.998
gene:TraesCS1D03G0025200	Chr1D	6847588	6847915	-	6847751	Chr1D	6199273	6199600	-	6199436	1.0	1.0
gene:TraesCS1D03G0025400	Chr1D	6896537	6898345	-	6897441	Chr1D	6248251	6250059	-	6249155	1.0	1.0
gene:TraesCS1D03G0025500	Chr1D	6910143	6911975	+	6911059	Chr1D	6261879	6263711	+	6262795	1.0	1.0
gene:TraesCS1D03G0026000	Chr1D	6974090	6976661	-	6975375	Chr1D	6318863	6321434	-	6320148	1.0	1.0
gene:TraesCS1D03G0026200	Chr1D	6981796	6982558	-	6982177	Chr1D	6326568	6327330	-	6326949	1.0	1.0
gene:TraesCS1D03G0026400	Chr1D	7025015	7028044	-	7026529	Chr1D	6369292	6372321	-	6370806	1.0	1.0
gene:TraesCS1D03G0026800	Chr1D	7142988	7145861	-	7144424	Chr1D	6485536	6488409	-	6486972	1.0	0.999
gene:TraesCS1D03G0026900	Chr1D	7150081	7152861	-	7151471	Chr1D	6492633	6495413	-	6494023	1.0	1.0
gene:TraesCS1D03G0027100	Chr1D	7162457	7164005	-	7163231	Chr1D	6505016	6506564	-	6505790	1.0	1.0
gene:TraesCS1D03G0027500	Chr1D	7198014	7203075	-	7200544	Chr1D	6617967	6623028	-	6620497	1.0	1.0
gene:TraesCS1D03G0027600	Chr1D	7205594	7209460	+	7207527	Chr1D	6625547	6629413	+	6627480	1.0	1.0
gene:TraesCS1D03G0027700	Chr1D	7209703	7211493	-	7210598	Chr1D	6629656	6631446	-	6630551	1.0	1.0
gene:TraesCS1D03G0027800	Chr1D	7217568	7219054	-	7218311	Chr1D	6637259	6638745	-	6638002	1.0	1.0
gene:TraesCS1D03G0027900	Chr1D	7220638	7226063	+	7223350	Chr1D	6640329	6645754	+	6643041	1.0	1.0
gene:TraesCS1D03G0028000	Chr1D	7248635	7250357	+	7249496	Chr1D	6666704	6668426	+	6667565	1.0	1.0
gene:TraesCS1D03G0028400	Chr1D	7295347	7297250	+	7296298	Chr1D	6713411	6715314	+	6714362	1.0	1.0
gene:TraesCS1D03G0028500	Chr1D	7329510	7332180	+	7330845	Chr1D	6747270	6749940	+	6748605	1.0	1.0
gene:TraesCS1D03G0028600	Chr1D	7344236	7345795	+	7345015	Chr1D	6763149	6764708	+	6763928	1.0	1.0
gene:TraesCS1D03G0028700	Chr1D	7346429	7346764	+	7346596	Chr1D	6765342	6765677	+	6765509	1.0	1.0
gene:TraesCS1D03G0029000	Chr1D	7444347	7445118	-	7444732	Chr1D	6860406	6861177	-	6860791	1.0	1.0
gene:TraesCS1D03G0029100	Chr1D	7448772	7453083	+	7450927	Chr1D	6864831	6869154	+	6866992	1.0	1.0
gene:TraesCS1D03G0029300	Chr1D	7458483	7460471	+	7459477	Chr1D	6874554	6876542	+	6875548	1.0	1.0
gene:TraesCS1D03G0029400	Chr1D	7461845	7465604	-	7463724	Chr1D	6877916	6881675	-	6879795	1.0	1.0
gene:TraesCS1D03G0029500	Chr1D	7469380	7470382	-	7469881	Chr1D	6885441	6886443	-	6885942	1.0	0.998
gene:TraesCS1D03G0029700	Chr1D	7485862	7490452	-	7488157	Chr1D	6901923	6906513	-	6904218	1.0	1.0
gene:TraesCS1D03G0029900	Chr1D	7495928	7498713	-	7497320	Chr1D	6911989	6914774	-	6913381	1.0	1.0
gene:TraesCS1D03G0030000	Chr1D	7504293	7508717	+	7506505	Chr1D	6920358	6924778	+	6922568	1.0	1.0
gene:TraesCS1D03G0030400	Chr1D	7557933	7558861	-	7558397	Chr1D	6974825	6975753	-	6975289	1.0	1.0
gene:TraesCS1D03G0030700	Chr1D	7584288	7585388	-	7584838	Chr1D	7001180	7002280	-	7001730	1.0	1.0
gene:TraesCS1D03G0030800	Chr1D	7609089	7610266	+	7609677	Chr1D	7025975	7027152	+	7026563	1.0	1.0
gene:TraesCS1D03G0030900	Chr1D	7632197	7635495	-	7633846	Chr1D	7049085	7052383	-	7050734	1.0	0.967
gene:TraesCS1D03G0031000	Chr1D	7636833	7639437	+	7638135	Chr1D	7053730	7056334	+	7055032	1.0	1.0
gene:TraesCS1D03G0031100	Chr1D	7640389	7642599	-	7641494	Chr1D	7057286	7059496	-	7058391	1.0	1.0
gene:TraesCS1D03G0031300	Chr1D	7703824	7706918	-	7705371	Chr1D	7120746	7123840	-	7122293	1.0	1.0
gene:TraesCS1D03G0031400	Chr1D	7742263	7744697	+	7743480	Chr1D	7159187	7161621	+	7160404	1.0	1.0
gene:TraesCS1D03G0031500	Chr1D	7766021	7767467	-	7766744	Chr1D	7182932	7184378	-	7183655	1.0	1.0
gene:TraesCS1D03G0031800	Chr1D	7772412	7776370	-	7774391	Chr1D	7189323	7193281	-	7191302	1.0	0.999
gene:TraesCS1D03G0031700	Chr1D	7771995	7779704	+	7775849	Chr1D	7188906	7196615	+	7192760	1.0	0.999
gene:TraesCS1D03G0031900	Chr1D	7797379	7799716	+	7798547	Chr1D	7214289	7216626	+	7215457	1.0	0.999
gene:TraesCS1D03G0032000	Chr1D	7806662	7810184	-	7808423	Chr1D	7223614	7227136	-	7225375	1.0	1.0
gene:TraesCS1D03G0032300	Chr1D	7843644	7847436	-	7845540	Chr1D	7260694	7264486	-	7262590	1.0	1.0
gene:TraesCS1D03G0032400	Chr1D	7854309	7869098	+	7861703	Chr1D	7271359	7285973	+	7278666	1.0	1.0
gene:TraesCS1D03G0032500	Chr1D	7890500	7891777	-	7891138	Chr1D	7307367	7308644	-	7308005	1.0	1.0
gene:TraesCS1D03G0032700	Chr1D	7896242	7902109	-	7899175	Chr1D	7313109	7318976	-	7316042	1.0	1.0
gene:TraesCS1D03G0032900	Chr1D	7925981	7929834	+	7927907	Chr1D	7342874	7346728	+	7344801	1.0	1.0
gene:TraesCS1D03G0033000	Chr1D	7933872	7935232	+	7934552	Chr1D	7350766	7352126	+	7351446	1.0	1.0
gene:TraesCS1D03G0033100	Chr1D	8006183	8010570	-	8008376	Chr1D	7423171	7427558	-	7425364	1.0	1.0
gene:TraesCS1D03G0033200	Chr1D	8015283	8031795	+	8023539	Chr1D	7432271	7448782	+	7440526	1.0	1.0
gene:TraesCS1D03G0033800	Chr1D	8093813	8098708	+	8096260	Chr1D	7510818	7515713	+	7513265	1.0	0.999
gene:TraesCS1D03G0033900	Chr1D	8101658	8103140	+	8102399	Chr1D	7518666	7520148	+	7519407	1.0	0.999
gene:TraesCS1D03G0034100	Chr1D	8116295	8117076	+	8116685	Chr1D	7533303	7534084	+	7533693	1.0	1.0
gene:TraesCS1D03G0034200	Chr1D	8137290	8139047	+	8138168	Chr1D	7554317	7556074	+	7555195	1.0	1.0
gene:TraesCS1D03G0034400	Chr1D	8166280	8177789	+	8172034	Chr1D	7583323	7594851	+	7589087	1.0	1.0
gene:TraesCS1D03G0035000	Chr1D	8189624	8191287	+	8190455	Chr1D	7606650	7608313	+	7607481	1.0	1.0
gene:TraesCS1D03G0035100	Chr1D	8241841	8244372	+	8243106	Chr1D	7658870	7661401	+	7660135	1.0	1.0
gene:TraesCS1D03G0035200	Chr1D	8254180	8255126	+	8254653	Chr1D	7671214	7672161	+	7671687	1.0	0.984
gene:TraesCS1D03G0035300	Chr1D	8287580	8291578	+	8289579	Chr1D	7733803	7737644	+	7735723	0.956	0.931
gene:TraesCS1D03G0035400	Chr1D	8293631	8295994	-	8294812	Chr1D	7739697	7742060	-	7740878	1.0	1.0
gene:TraesCS1D03G0035500	Chr1D	8296531	8299442	+	8297986	Chr1D	7742597	7745508	+	7744052	1.0	1.0
gene:TraesCS1D03G0035600	Chr1D	8315967	8318268	-	8317117	Chr1D	7762033	7764334	-	7763183	1.0	1.0
gene:TraesCS1D03G0035700	Chr1D	8318805	8321664	+	8320234	Chr1D	7764871	7767730	+	7766300	1.0	1.0
gene:TraesCS1D03G0035800	Chr1D	8324667	8326267	-	8325467	Chr1D	7770733	7772333	-	7771533	1.0	1.0
gene:TraesCS1D03G0035900	Chr1D	8332217	8336281	-	8334249	Chr1D	7778313	7782377	-	7780345	1.0	1.0
gene:TraesCS1D03G0036000	Chr1D	8337814	8340700	-	8339257	Chr1D	7783910	7786796	-	7785353	1.0	1.0
gene:TraesCS1D03G0036100	Chr1D	8363677	8369101	-	8366389	Chr1D	7809796	7815220	-	7812508	1.0	1.0
gene:TraesCS1D03G0036200	Chr1D	8425686	8428027	+	8426856	Chr1D	7871807	7874162	+	7872984	1.0	1.0
gene:TraesCS1D03G0036400	Chr1D	8513539	8514237	-	8513888	Chr1D	7959884	7960582	-	7960233	1.0	1.0
gene:TraesCS1D03G0036500	Chr1D	8591248	8594687	-	8592967	Chr1D	8037519	8040958	-	8039238	1.0	0.999
gene:TraesCS1D03G0036700	Chr1D	8633821	8637432	-	8635626	Chr1D	8080005	8083616	-	8081810	1.0	1.0
gene:TraesCS1D03G0036800	Chr1D	8667203	8668447	+	8667825	Chr1D	8113408	8114652	+	8114030	1.0	1.0
gene:TraesCS1D03G0036900	Chr1D	8676817	8678607	+	8677712	Chr1D	8123021	8124811	+	8123916	1.0	1.0
gene:TraesCS1D03G0037000	Chr1D	8686742	8689043	-	8687892	Chr1D	8132951	8135252	-	8134101	1.0	1.0
gene:TraesCS1D03G0037300	Chr1D	8727511	8729922	+	8728716	Chr1D	8173716	8176127	+	8174921	1.0	1.0
gene:TraesCS1D03G0037400	Chr1D	8799437	8803408	+	8801422	Chr1D	8245679	8249650	+	8247664	1.0	1.0
gene:TraesCS1D03G0037900	Chr1D	8922917	8923896	+	8923406	Chr1D	8366263	8367242	+	8366752	1.0	1.0
gene:TraesCS1D03G0038300	Chr1D	9016302	9021501	-	9018901	Chr1D	8426163	8431362	-	8428762	1.0	1.0
gene:TraesCS1D03G0038400	Chr1D	9022044	9027361	+	9024702	Chr1D	8431905	8437223	+	8434564	1.0	1.0
gene:TraesCS1D03G0038500	Chr1D	9029515	9030704	-	9030109	Chr1D	8439377	8440566	-	8439971	1.0	1.0
gene:TraesCS1D03G0038600	Chr1D	9033681	9040126	-	9036903	Chr1D	8443543	8449988	-	8446765	1.0	1.0
gene:TraesCS1D03G0038800	Chr1D	9121342	9124455	+	9122898	Chr1D	8531006	8534119	+	8532562	1.0	1.0
gene:TraesCS1D03G0038900	Chr1D	9124737	9127417	-	9126077	Chr1D	8534401	8537081	-	8535741	1.0	1.0
gene:TraesCS1D03G0039000	Chr1D	9129416	9137638	+	9133527	Chr1D	8539081	8547303	+	8543192	1.0	1.0
gene:TraesCS1D03G0039100	Chr1D	9154545	9157552	+	9156048	Chr1D	8564211	8567218	+	8565714	1.0	1.0
gene:TraesCS1D03G0039200	Chr1D	9206067	9207887	+	9206977	Chr1D	8615739	8617559	+	8616649	1.0	1.0
gene:TraesCS1D03G0039300	Chr1D	9227821	9228352	+	9228086	Chr1D	8637497	8638028	+	8637762	1.0	1.0
gene:TraesCS1D03G0039400	Chr1D	9245157	9246124	+	9245640	Chr1D	8654843	8655810	+	8655326	1.0	1.0
gene:TraesCS1D03G0039500	Chr1D	9247527	9249158	-	9248342	Chr1D	8657212	8658843	-	8658027	1.0	1.0
gene:TraesCS1D03G0039600	Chr1D	9262555	9264156	+	9263355	Chr1D	8672249	8673850	+	8673049	1.0	1.0
gene:TraesCS1D03G0039700	Chr1D	9327845	9334250	-	9331047	Chr1D	8737548	8743953	-	8740750	1.0	1.0
gene:TraesCS1D03G0040100	Chr1D	9396284	9405243	-	9400763	Chr1D	8806004	8814963	-	8810483	1.0	1.0
gene:TraesCS1D03G0040200	Chr1D	9435351	9444224	-	9439787	Chr1D	8844807	8853680	-	8849243	1.0	1.0
gene:TraesCS1D03G0040300	Chr1D	9461479	9465994	+	9463736	Chr1D	8870935	8875451	+	8873193	1.0	1.0
gene:TraesCS1D03G0040400	Chr1D	9493072	9498717	-	9495894	Chr1D	8902530	8908176	-	8905353	1.0	0.999
gene:TraesCS1D03G0040500	Chr1D	9623480	9623999	-	9623739	Chr1D	9032944	9033463	-	9033203	1.0	1.0
gene:TraesCS1D03G0040800	Chr1D	9677228	9681756	+	9679492	Chr1D	9086711	9091246	+	9088978	1.0	0.999
gene:TraesCS1D03G0041100	Chr1D	9688210	9693529	+	9690869	Chr1D	9097703	9103022	+	9100362	1.0	1.0
gene:TraesCS1D03G0041300	Chr1D	9722460	9732333	-	9727396	Chr1D	9131964	9141837	-	9136900	1.0	1.0
gene:TraesCS1D03G0041600	Chr1D	9742405	9753140	-	9747772	Chr1D	9151885	9162620	-	9157252	1.0	1.0
gene:TraesCS1D03G0041800	Chr1D	9768946	9769323	-	9769134	Chr1D	9178438	9178815	-	9178626	1.0	1.0
gene:TraesCS1D03G0042100	Chr1D	9802988	9804033	-	9803510	Chr1D	9212494	9213539	-	9213016	1.0	1.0
gene:TraesCS1D03G0042200	Chr1D	9823512	9823727	-	9823619	Chr1D	9233013	9233228	-	9233120	1.0	1.0
gene:TraesCS1D03G0042300	Chr1D	9829325	9829540	+	9829432	Chr1D	9238826	9239041	+	9238933	1.0	1.0
gene:TraesCS1D03G0042500	Chr1D	9843831	9846538	+	9845184	Chr1D	9253331	9256038	+	9254684	1.0	1.0
gene:TraesCS1D03G0042700	Chr1D	9884257	9887556	-	9885906	Chr1D	9293735	9297034	-	9295384	1.0	1.0
gene:TraesCS1D03G0042800	Chr1D	9977550	9995153	+	9986351	Chr1D	9387038	9404641	+	9395839	1.0	1.0
gene:TraesCS1D03G0043200	Chr1D	10126307	10126930	-	10126618	Chr1D	9680893	9681516	-	9681204	1.0	1.0
gene:TraesCS1D03G0043300	Chr1D	10135325	10137987	-	10136656	Chr1D	9689910	9692572	-	9691241	1.0	1.0
gene:TraesCS1D03G0043400	Chr1D	10144230	10145801	+	10145015	Chr1D	9698815	9700386	+	9699600	1.0	1.0
gene:TraesCS1D03G0043500	Chr1D	10157489	10165721	+	10161605	Chr1D	9712075	9720307	+	9716191	1.0	1.0
gene:TraesCS1D03G0043600	Chr1D	10173955	10179362	+	10176658	Chr1D	9729021	9734428	+	9731724	1.0	1.0
