gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	Julius_tgt_strand	Julius_tgt_midpoint	Julius_coverage	Julius_identity
gene:TraesCS7A03G0043500	Chr7A	9183618	9187813	+	9185715	Chr7A	6010594	6014906	+	6012750	0.995	0.951
gene:TraesCS7A03G0044700	Chr7A	9314587	9315742	-	9315164	Chr7A	6094626	6095781	-	6095203	1.0	0.993
gene:TraesCS7A03G0045000	Chr7A	9334923	9336269	+	9335596	Chr7A	6159437	6160636	+	6160036	0.957	0.91
gene:TraesCS7A03G0045500	Chr7A	9406277	9410400	-	9408338	Chr7A	6460567	6464665	-	6462616	0.994	0.983
gene:TraesCS7A03G0045600	Chr7A	9425387	9428390	+	9426888	Chr7A	6479999	6482999	+	6481499	1.0	0.995
gene:TraesCS7A03G0045900	Chr7A	9442572	9449639	-	9446105	Chr7A	6496905	6502073	-	6499489	0.997	0.921
gene:TraesCS7A03G0046100	Chr7A	9520738	9524766	+	9522752	Chr7A	6552520	6555327	+	6553923	0.981	0.976
gene:TraesCS7A03G0046600	Chr7A	9620795	9622824	-	9621809	Chr7A	6635607	6637637	-	6636622	1.0	0.996
gene:TraesCS7A03G0046900	Chr7A	9773436	9774540	-	9773988	Chr7A	3836163	3837267	-	3836715	1.0	0.99
gene:TraesCS7A03G0047000	Chr7A	9828187	9828844	-	9828515	Chr7A	3858039	3858696	-	3858367	1.0	0.972
gene:TraesCS7A03G0047100	Chr7A	9837698	9845560	+	9841629	Chr7A	3867311	3875162	+	3871236	0.997	0.991
gene:TraesCS7A03G0047300	Chr7A	9873692	9874324	+	9874008	Chr7A	3899414	3900046	+	3899730	1.0	0.99
gene:TraesCS7A03G0047500	Chr7A	9891363	9893043	+	9892203	Chr7A	3926067	3927747	+	3926907	0.987	0.969
gene:TraesCS7A03G0047600	Chr7A	9920525	9922493	+	9921509	Chr7A	3948693	3950550	+	3949621	0.936	0.926
gene:TraesCS7A03G0049900	Chr7A	10195282	10201051	-	10198166	Chr7A	3441711	3447475	+	3444593	1.0	0.997
gene:TraesCS7A03G0050000	Chr7A	10223940	10225376	-	10224658	Chr7A	3423190	3424573	+	3423881	0.952	0.931
gene:TraesCS7A03G0050300	Chr7A	10256757	10258745	+	10257751	Chr7A	3388487	3390472	-	3389479	1.0	0.997
gene:TraesCS7A03G0050400	Chr7A	10259322	10261592	+	10260457	Chr7A	3385649	3387910	-	3386779	0.997	0.992
gene:TraesCS7A03G0050500	Chr7A	10261761	10262519	+	10262140	Chr7A	3384722	3385480	-	3385101	1.0	0.994
gene:TraesCS7A03G0051100	Chr7A	10501878	10503003	+	10502440	Chr7A	3176178	3177279	-	3176728	0.978	0.96
gene:TraesCS7A03G0051500	Chr7A	10588165	10588653	+	10588409	Chr7A	3090426	3090912	-	3090669	0.997	0.983
gene:TraesCS7A03G0051600	Chr7A	10595601	10596839	-	10596220	Chr7A	3068147	3069385	+	3068766	1.0	0.993
gene:TraesCS7A03G0068000	Chr7A	14299093	14299583	-	14299338	Chr7A	13945308	13945798	-	13945553	1.0	1.0
gene:TraesCS7A03G0068100	Chr7A	14462840	14463800	-	14463320	Chr7A	14106797	14107757	-	14107277	1.0	1.0
gene:TraesCS7A03G0068200	Chr7A	14470383	14474121	-	14472252	Chr7A	14114458	14118364	-	14116411	1.0	1.0
gene:TraesCS7A03G0068300	Chr7A	14500043	14502820	+	14501431	Chr7A	14143105	14145882	+	14144493	1.0	1.0
gene:TraesCS7A03G0068400	Chr7A	14504479	14506724	+	14505601	Chr7A	14147541	14149786	+	14148663	1.0	0.999
gene:TraesCS7A03G0070100	Chr7A	14877971	14883248	-	14880609	Chr7A	14463665	14468904	-	14466284	0.99	0.985
gene:TraesCS7A03G0070800	Chr7A	15130801	15133613	-	15132207	Chr7A	14707862	14710681	-	14709271	0.999	0.996
gene:TraesCS7A03G0071200	Chr7A	15304593	15306470	+	15305531	Chr7A	14907436	14909314	+	14908375	1.0	0.998
gene:TraesCS7A03G0071300	Chr7A	15307162	15308867	-	15308014	Chr7A	14910006	14911711	-	14910858	1.0	0.998
gene:TraesCS7A03G0071400	Chr7A	15416541	15421598	+	15419069	Chr7A	15020284	15025324	+	15022804	0.995	0.994
gene:TraesCS7A03G0071700	Chr7A	15481455	15483012	+	15482233	Chr7A	15083623	15085180	+	15084401	1.0	1.0
gene:TraesCS7A03G0071800	Chr7A	15497252	15505831	+	15501541	Chr7A	15099420	15107999	+	15103709	1.0	1.0
gene:TraesCS7A03G0071900	Chr7A	15506826	15507974	-	15507400	Chr7A	15108994	15110142	-	15109568	1.0	1.0
gene:TraesCS7A03G0072100	Chr7A	15534564	15535097	-	15534830	Chr7A	15136092	15136625	-	15136358	1.0	1.0
gene:TraesCS7A03G0072200	Chr7A	15580843	15583046	-	15581944	Chr7A	15180683	15182886	-	15181784	1.0	1.0
gene:TraesCS7A03G0072500	Chr7A	15604834	15606875	-	15605854	Chr7A	15204134	15206175	-	15205154	1.0	1.0
gene:TraesCS7A03G0072600	Chr7A	15618337	15619481	+	15618909	Chr7A	15217637	15218781	+	15218209	1.0	1.0
gene:TraesCS7A03G0072700	Chr7A	15691872	15693601	+	15692736	Chr7A	15291173	15292902	+	15292037	1.0	1.0
gene:TraesCS7A03G0072800	Chr7A	15722397	15726530	+	15724463	Chr7A	15321402	15325535	+	15323468	1.0	1.0
gene:TraesCS7A03G0072900	Chr7A	15768328	15769413	+	15768870	Chr7A	15366857	15367942	+	15367399	1.0	1.0
gene:TraesCS7A03G0073000	Chr7A	15771716	15777122	+	15774419	Chr7A	15370245	15375651	+	15372948	1.0	1.0
gene:TraesCS7A03G0073100	Chr7A	15785851	15788765	+	15787308	Chr7A	15383914	15386828	+	15385371	1.0	1.0
gene:TraesCS7A03G0073400	Chr7A	16035402	16037174	-	16036288	Chr7A	15559265	15561037	-	15560151	1.0	1.0
gene:TraesCS7A03G0073500	Chr7A	16044286	16045383	-	16044834	Chr7A	15567996	15569093	-	15568544	1.0	1.0
gene:TraesCS7A03G0074100	Chr7A	16284624	16286740	-	16285682	Chr7A	15807091	15809207	-	15808149	1.0	1.0
gene:TraesCS7A03G0074600	Chr7A	16361313	16362588	-	16361950	Chr7A	15883116	15884391	-	15883753	1.0	1.0
gene:TraesCS7A03G0074700	Chr7A	16374628	16377243	+	16375935	Chr7A	15896138	15898883	+	15897510	0.996	0.996
gene:TraesCS7A03G0074800	Chr7A	16399872	16400723	-	16400297	Chr7A	15923570	15924421	-	15923995	1.0	1.0
gene:TraesCS7A03G0075100	Chr7A	16449599	16450441	-	16450020	Chr7A	15975028	15975870	-	15975449	1.0	1.0
gene:TraesCS7A03G0075200	Chr7A	16454940	16457666	+	16456303	Chr7A	15980289	15983015	+	15981652	1.0	1.0
gene:TraesCS7A03G0075400	Chr7A	16458362	16458889	-	16458625	Chr7A	15983711	15984238	-	15983974	1.0	1.0
gene:TraesCS7A03G0075500	Chr7A	16462566	16463087	-	16462826	Chr7A	15987915	15988436	-	15988175	1.0	1.0
gene:TraesCS7A03G0075800	Chr7A	16548483	16549655	+	16549069	Chr7A	16072999	16074171	+	16073585	1.0	1.0
gene:TraesCS7A03G0075900	Chr7A	16552885	16563085	-	16557985	Chr7A	16077401	16085546	-	16081473	0.906	0.906
gene:TraesCS7A03G0076100	Chr7A	16576366	16577538	+	16576952	Chr7A	16100569	16101741	+	16101155	1.0	1.0
gene:TraesCS7A03G0076800	Chr7A	16718082	16718320	-	16718201	Chr7A	16239397	16239635	-	16239516	1.0	1.0
gene:TraesCS7A03G0077100	Chr7A	16766882	16767521	+	16767201	Chr7A	16288023	16288662	+	16288342	1.0	1.0
gene:TraesCS7A03G0077300	Chr7A	16777220	16784261	-	16780740	Chr7A	16298361	16305402	-	16301881	1.0	1.0
gene:TraesCS7A03G0077800	Chr7A	16924346	16925578	-	16924962	Chr7A	16446946	16448178	-	16447562	1.0	1.0
gene:TraesCS7A03G0078100	Chr7A	17058996	17064283	-	17061639	Chr7A	16580623	16585910	-	16583266	1.0	1.0
gene:TraesCS7A03G0078200	Chr7A	17076693	17077817	+	17077255	Chr7A	16598233	16599357	+	16598795	1.0	1.0
gene:TraesCS7A03G0078900	Chr7A	17139468	17154479	+	17146973	Chr7A	16660431	16676133	+	16668282	1.0	1.0
gene:TraesCS7A03G0079000	Chr7A	17184678	17190232	+	17187455	Chr7A	16706139	16711693	+	16708916	1.0	1.0
gene:TraesCS7A03G0079100	Chr7A	17190915	17193088	-	17192001	Chr7A	16712376	16714549	-	16713462	1.0	1.0
gene:TraesCS7A03G0079200	Chr7A	17193818	17197118	-	17195468	Chr7A	16715279	16718579	-	16716929	1.0	1.0
gene:TraesCS7A03G0079500	Chr7A	17364461	17364934	+	17364697	Chr7A	16898585	16899058	+	16898821	1.0	1.0
gene:TraesCS7A03G0079600	Chr7A	17397774	17397989	-	17397881	Chr7A	16931685	16931900	-	16931792	1.0	1.0
gene:TraesCS7A03G0079700	Chr7A	17403474	17406256	-	17404865	Chr7A	16937385	16940165	-	16938775	0.999	0.999
gene:TraesCS7A03G0079800	Chr7A	17410795	17413512	+	17412153	Chr7A	16944704	16947421	+	16946062	1.0	1.0
gene:TraesCS7A03G0079900	Chr7A	17429993	17456945	+	17443469	Chr7A	16963369	16990008	+	16976688	0.993	0.993
gene:TraesCS7A03G0080300	Chr7A	17479889	17482381	-	17481135	Chr7A	17012140	17014632	-	17013386	1.0	0.999
gene:TraesCS7A03G0080400	Chr7A	17490226	17492299	+	17491262	Chr7A	17021436	17023509	+	17022472	1.0	1.0
gene:TraesCS7A03G0080700	Chr7A	17512061	17514425	+	17513243	Chr7A	17042730	17045094	+	17043912	1.0	1.0
gene:TraesCS7A03G0081100	Chr7A	17676893	17677780	+	17677336	Chr7A	17099838	17100725	+	17100281	1.0	1.0
gene:TraesCS7A03G0081200	Chr7A	17715396	17716681	-	17716038	Chr7A	17138834	17140130	-	17139482	1.0	0.994
gene:TraesCS7A03G0081400	Chr7A	17756468	17756770	-	17756619	Chr7A	17180418	17180720	-	17180569	1.0	0.996
gene:TraesCS7A03G0083500	Chr7A	18219357	18223145	+	18221251	Chr7A	17338416	17342204	+	17340310	1.0	0.999
gene:TraesCS7A03G0083800	Chr7A	18241826	18249713	-	18245769	Chr7A	17360948	17367934	-	17364441	0.939	0.934
gene:TraesCS7A03G0084200	Chr7A	18305593	18309230	-	18307411	Chr7A	17407331	17410968	-	17409149	1.0	0.998
gene:TraesCS7A03G0084400	Chr7A	18323112	18327871	-	18325491	Chr7A	17423853	17428612	-	17426232	1.0	0.999
gene:TraesCS7A03G0084700	Chr7A	18349647	18350955	-	18350301	Chr7A	17450363	17451671	-	17451017	1.0	1.0
gene:TraesCS7A03G0084900	Chr7A	18574190	18577597	-	18575893	Chr7A	17673757	17677165	-	17675461	1.0	0.989
gene:TraesCS7A03G0089500	Chr7A	19693342	19694953	+	19694147	Chr7A	17932486	17934062	+	17933274	0.954	0.923
gene:TraesCS7A03G0090000	Chr7A	19745790	19749056	-	19747423	Chr7A	18041719	18044967	-	18043343	0.99	0.947
gene:TraesCS7A03G0090800	Chr7A	19829374	19835632	-	19832503	Chr7A	18108177	18114441	-	18111309	1.0	0.997
gene:TraesCS7A03G0091500	Chr7A	19954544	19960142	+	19957343	Chr7A	18188172	18193746	+	18190959	0.991	0.944
gene:TraesCS7A03G0092300	Chr7A	20034137	20035520	+	20034828	Chr7A	18826651	18828073	+	18827362	1.0	0.932
gene:TraesCS7A03G0092900	Chr7A	20124934	20129628	-	20127281	Chr7A	18841227	18846782	-	18844004	0.996	0.963
gene:TraesCS7A03G0093400	Chr7A	20202211	20202976	-	20202593	Chr7A	18945855	18946618	-	18946236	1.0	0.952
gene:TraesCS7A03G0093500	Chr7A	20204402	20210250	-	20207326	Chr7A	18948432	18951652	-	18950042	1.0	0.986
gene:TraesCS7A03G0094600	Chr7A	20371001	20371883	-	20371442	Chr7A	19162341	19163223	-	19162782	1.0	0.99
gene:TraesCS7A03G0095100	Chr7A	20465434	20469386	+	20467410	Chr7A	19190824	19194620	+	19192722	0.958	0.922
gene:TraesCS7A03G0095500	Chr7A	20495821	20497634	-	20496727	Chr7A	19205059	19206872	-	19205965	1.0	0.982
gene:TraesCS7A03G0095700	Chr7A	20652453	20654178	-	20653315	Chr7A	19284018	19285735	-	19284876	0.994	0.983
gene:TraesCS7A03G0096100	Chr7A	20762824	20763607	+	20763215	Chr7A	19342490	19343268	+	19342879	0.985	0.956
gene:TraesCS7A03G0096500	Chr7A	20845078	20852051	-	20848564	Chr7A	19370726	19377544	-	19374135	1.0	0.953
gene:TraesCS7A03G0096600	Chr7A	20876619	20880305	+	20878462	Chr7A	19396994	19400552	+	19398773	0.996	0.925
gene:TraesCS7A03G0096700	Chr7A	20897753	20902124	+	20899938	Chr7A	19570905	19575225	+	19573065	0.997	0.979
gene:TraesCS7A03G0097000	Chr7A	20902340	20903533	-	20902936	Chr7A	19575440	19576643	-	19576041	0.992	0.943
gene:TraesCS7A03G0097100	Chr7A	20907170	20908551	+	20907860	Chr7A	19578106	19579492	+	19578799	0.989	0.962
gene:TraesCS7A03G0097300	Chr7A	20912698	20915655	-	20914176	Chr7A	19583497	19586694	-	19585095	1.0	0.996
gene:TraesCS7A03G0099200	Chr7A	21121569	21131721	-	21126645	Chr7A	19747512	19757651	-	19752581	1.0	0.99
gene:TraesCS7A03G0100100	Chr7A	21240050	21243426	+	21241738	Chr7A	19894667	19898086	+	19896376	0.999	0.983
gene:TraesCS7A03G0100500	Chr7A	21382603	21393267	+	21387935	Chr7A	19926054	19940519	+	19933286	1.0	0.98
gene:TraesCS7A03G0104100	Chr7A	22017968	22019228	-	22018598	Chr7A	20357941	20359201	-	20358571	1.0	0.976
gene:TraesCS7A03G0104200	Chr7A	22116375	22122694	-	22119534	Chr7A	20451253	20457388	-	20454320	0.949	0.941
gene:TraesCS7A03G0104300	Chr7A	22135383	22137545	-	22136464	Chr7A	20464035	20466191	-	20465113	0.994	0.977
gene:TraesCS7A03G0104600	Chr7A	22193263	22197433	-	22195348	Chr7A	20547342	20551611	-	20549476	1.0	0.988
gene:TraesCS7A03G0104700	Chr7A	22282168	22284328	+	22283248	Chr7A	20591234	20593490	+	20592362	0.976	0.926
gene:TraesCS7A03G0105700	Chr7A	22539724	22540395	+	22540059	Chr7A	21026439	21027105	+	21026772	0.991	0.973
gene:TraesCS7A03G0106100	Chr7A	22813061	22814278	-	22813669	Chr7A	20957189	20958357	-	20957773	0.954	0.926
gene:TraesCS7A03G0106200	Chr7A	22887559	22888512	-	22888035	Chr7A	21015371	21016324	-	21015847	1.0	0.984
gene:TraesCS7A03G0107100	Chr7A	23123957	23125751	+	23124854	Chr7A	21707982	21709778	-	21708880	0.995	0.971
gene:TraesCS7A03G0107500	Chr7A	23306210	23309296	-	23307753	Chr7A	21469252	21472448	+	21470850	0.996	0.959
gene:TraesCS7A03G0108100	Chr7A	23785189	23787836	+	23786512	Chr7A	22174346	22176993	+	22175669	1.0	0.984
gene:TraesCS7A03G0108500	Chr7A	23811438	23814937	+	23813187	Chr7A	22258546	22262054	+	22260300	1.0	0.979
gene:TraesCS7A03G0108600	Chr7A	23815831	23817000	-	23816415	Chr7A	22262948	22264121	-	22263534	0.998	0.981
gene:TraesCS7A03G0108700	Chr7A	23836407	23839652	-	23838029	Chr7A	22331296	22334561	-	22332928	0.996	0.958
gene:TraesCS7A03G0108800	Chr7A	23849116	23854987	+	23852051	Chr7A	22356558	22362683	+	22359620	0.997	0.974
gene:TraesCS7A03G0108900	Chr7A	23856342	23862558	-	23859450	Chr7A	22366247	22372969	-	22369608	0.995	0.982
gene:TraesCS7A03G0109700	Chr7A	23894161	23895254	-	23894707	Chr7A	22388996	22390084	-	22389540	0.974	0.921
gene:TraesCS7A03G0109800	Chr7A	23899610	23900905	-	23900257	Chr7A	22410813	22412126	-	22411469	1.0	0.964
gene:TraesCS7A03G0110300	Chr7A	24026152	24026829	+	24026490	Chr7A	22458553	22459230	+	22458891	1.0	0.982
gene:TraesCS7A03G0110800	Chr7A	24116443	24118193	+	24117318	Chr7A	22502630	22504337	+	22503483	0.971	0.959
gene:TraesCS7A03G0111000	Chr7A	24154983	24157180	-	24156081	Chr7A	22540308	22542530	-	22541419	0.999	0.99
gene:TraesCS7A03G0111700	Chr7A	24238291	24246224	+	24242257	Chr7A	22715020	22722958	+	22718989	0.989	0.961
gene:TraesCS7A03G0111800	Chr7A	24246669	24250241	-	24248455	Chr7A	22723387	22726901	-	22725144	0.993	0.975
gene:TraesCS7A03G0112400	Chr7A	24302378	24304865	+	24303621	Chr7A	22762752	22765217	+	22763984	1.0	0.994
gene:TraesCS7A03G0112700	Chr7A	24437173	24439775	-	24438474	Chr7A	22914231	22916839	-	22915535	1.0	0.971
gene:TraesCS7A03G0113000	Chr7A	24606038	24606729	-	24606383	Chr7A	23109431	23110122	-	23109776	1.0	0.997
gene:TraesCS7A03G0114300	Chr7A	25190846	25193659	+	25192252	Chr7A	23377711	23380527	+	23379119	0.999	0.991
gene:TraesCS7A03G0115500	Chr7A	25457524	25459131	+	25458327	Chr7A	23633017	23634624	+	23633820	1.0	0.995
gene:TraesCS7A03G0115600	Chr7A	25459994	25461537	-	25460765	Chr7A	23635485	23637027	-	23636256	1.0	0.993
gene:TraesCS7A03G0115700	Chr7A	25506309	25511797	+	25509053	Chr7A	23691720	23697194	+	23694457	0.993	0.991
gene:TraesCS7A03G0115800	Chr7A	25512096	25513364	+	25512730	Chr7A	23697493	23698761	+	23698127	1.0	1.0
gene:TraesCS7A03G0115900	Chr7A	25547564	25549431	+	25548497	Chr7A	23709858	23711731	+	23710794	0.975	0.968
gene:TraesCS7A03G0116500	Chr7A	25778188	25780056	-	25779122	Chr7A	23938995	23940862	-	23939928	0.999	0.997
gene:TraesCS7A03G0116600	Chr7A	25844347	25845369	-	25844858	Chr7A	23990979	23992001	-	23991490	1.0	0.996
gene:TraesCS7A03G0116700	Chr7A	25847181	25847935	+	25847558	Chr7A	24003438	24004192	+	24003815	1.0	0.996
gene:TraesCS7A03G0117100	Chr7A	25912234	25914039	+	25913136	Chr7A	24065525	24067330	+	24066427	1.0	0.998
gene:TraesCS7A03G0117200	Chr7A	25925388	25926985	+	25926186	Chr7A	24083210	24084807	+	24084008	1.0	0.996
gene:TraesCS7A03G0117500	Chr7A	26019823	26023224	+	26021523	Chr7A	24155561	24158851	+	24157206	1.0	0.988
gene:TraesCS7A03G0117600	Chr7A	26030471	26033560	-	26032015	Chr7A	24175688	24178782	-	24177235	1.0	0.996
gene:TraesCS7A03G0118100	Chr7A	26255607	26256035	+	26255821	Chr7A	24313846	24314274	+	24314060	1.0	0.987
gene:TraesCS7A03G0118400	Chr7A	26275131	26277715	-	26276423	Chr7A	24575248	24577832	-	24576540	1.0	0.996
gene:TraesCS7A03G0118500	Chr7A	26283929	26284731	-	26284330	Chr7A	24584097	24584899	-	24584498	1.0	0.998
gene:TraesCS7A03G0118900	Chr7A	26387915	26390034	+	26388974	Chr7A	24668231	24670350	-	24669290	1.0	0.999
gene:TraesCS7A03G0119600	Chr7A	26625068	26627537	+	26626302	Chr7A	25002583	25005070	+	25003826	1.0	0.996
gene:TraesCS7A03G0119700	Chr7A	26663483	26665144	+	26664313	Chr7A	25732718	25734379	+	25733548	1.0	0.999
gene:TraesCS7A03G0119900	Chr7A	26666813	26667304	+	26667058	Chr7A	25736048	25736539	+	25736293	1.0	0.995
gene:TraesCS7A03G0120000	Chr7A	26667567	26672813	-	26670190	Chr7A	25736802	25742090	-	25739446	0.999	0.994
gene:TraesCS7A03G0120300	Chr7A	26810558	26812066	+	26811312	Chr7A	25789061	25790569	+	25789815	1.0	0.993
gene:TraesCS7A03G0120500	Chr7A	26824828	26826272	+	26825550	Chr7A	25805318	25806762	+	25806040	1.0	0.997
gene:TraesCS7A03G0120700	Chr7A	26872974	26876618	-	26874796	Chr7A	25866011	25869656	-	25867833	1.0	0.995
gene:TraesCS7A03G0120800	Chr7A	26907530	26908642	+	26908086	Chr7A	25916601	25917713	+	25917157	1.0	0.996
gene:TraesCS7A03G0120900	Chr7A	26975463	26977949	+	26976706	Chr7A	25974396	25976883	+	25975639	1.0	0.995
gene:TraesCS7A03G0121000	Chr7A	26979222	26982410	+	26980816	Chr7A	25978267	25981453	+	25979860	0.999	0.996
gene:TraesCS7A03G0121100	Chr7A	26988182	26994742	+	26991462	Chr7A	25986911	25991048	+	25988979	1.0	0.996
gene:TraesCS7A03G0121200	Chr7A	26998357	26998906	+	26998631	Chr7A	25994660	25995209	+	25994934	1.0	0.994
gene:TraesCS7A03G0121500	Chr7A	27050109	27053948	-	27052028	Chr7A	26018179	26022019	-	26020099	1.0	0.993
gene:TraesCS7A03G0121700	Chr7A	27186308	27190105	-	27188206	Chr7A	26155329	26159299	-	26157314	0.999	0.992
gene:TraesCS7A03G0121800	Chr7A	27246760	27247380	-	27247070	Chr7A	26199787	26200407	-	26200097	1.0	0.996
gene:TraesCS7A03G0121900	Chr7A	27249253	27249732	-	27249492	Chr7A	26202282	26202761	-	26202521	1.0	0.991
gene:TraesCS7A03G0122000	Chr7A	27264087	27264569	-	27264328	Chr7A	26226002	26226484	-	26226243	1.0	0.997
gene:TraesCS7A03G0122200	Chr7A	27270259	27272866	-	27271562	Chr7A	26232182	26234794	-	26233488	1.0	0.995
gene:TraesCS7A03G0122300	Chr7A	27292023	27292559	-	27292291	Chr7A	26239543	26240079	-	26239811	1.0	0.99
gene:TraesCS7A03G0123000	Chr7A	27361597	27363605	+	27362601	Chr7A	26276643	26278652	+	26277647	1.0	0.996
gene:TraesCS7A03G0123100	Chr7A	27363974	27367107	-	27365540	Chr7A	26279021	26281970	-	26280495	1.0	0.997
gene:TraesCS7A03G0123300	Chr7A	27368405	27376696	-	27372550	Chr7A	26283294	26291591	-	26287442	1.0	0.992
gene:TraesCS7A03G0123500	Chr7A	27393321	27396255	-	27394788	Chr7A	26308067	26311001	-	26309534	1.0	0.999
gene:TraesCS7A03G0124000	Chr7A	27517921	27519495	-	27518708	Chr7A	26431873	26433447	-	26432660	1.0	1.0
gene:TraesCS7A03G0124400	Chr7A	27609470	27610116	-	27609793	Chr7A	26522716	26523362	-	26523039	1.0	1.0
