gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	CS_CAU_tgt_strand	CS_CAU_tgt_midpoint	CS_CAU_coverage	CS_CAU_identity
gene:TraesCS3B03G0028300	Chr3B	6423173	6427989	+	6425581	Chr3B	8287074	8291890	+	8289482	1.0	1.0
gene:TraesCS3B03G0028500	Chr3B	6432085	6434317	-	6433201	Chr3B	8295986	8298218	-	8297102	1.0	1.0
gene:TraesCS3B03G0028600	Chr3B	6461524	6462461	+	6461992	Chr3B	8325427	8326364	+	8325895	1.0	1.0
gene:TraesCS3B03G0029000	Chr3B	6503456	6505642	-	6504549	Chr3B	8367359	8369545	-	8368452	1.0	1.0
gene:TraesCS3B03G0029200	Chr3B	6514905	6517931	-	6516418	Chr3B	8380767	8383793	-	8382280	1.0	1.0
gene:TraesCS3B03G0029100	Chr3B	6514300	6520754	+	6517527	Chr3B	8380162	8386616	+	8383389	1.0	1.0
gene:TraesCS3B03G0029300	Chr3B	6530621	6531791	+	6531206	Chr3B	8396597	8397767	+	8397182	1.0	1.0
gene:TraesCS3B03G0029700	Chr3B	6593184	6594729	+	6593956	Chr3B	8464018	8465563	+	8464790	1.0	1.0
gene:TraesCS3B03G0029800	Chr3B	6659713	6660813	+	6660263	Chr3B	8530739	8531839	+	8531289	1.0	1.0
gene:TraesCS3B03G0029900	Chr3B	6671564	6673567	+	6672565	Chr3B	8542594	8544597	+	8543595	1.0	1.0
gene:TraesCS3B03G0030000	Chr3B	6681490	6685614	+	6683552	Chr3B	8552520	8556644	+	8554582	1.0	1.0
gene:TraesCS3B03G0030300	Chr3B	6764757	6776638	-	6770697	Chr3B	8635448	8647329	-	8641388	1.0	1.0
gene:TraesCS3B03G0030900	Chr3B	6792313	6794111	-	6793212	Chr3B	8663004	8664802	-	8663903	1.0	1.0
gene:TraesCS3B03G0031100	Chr3B	6796809	6799701	-	6798255	Chr3B	8667500	8670392	-	8668946	1.0	1.0
gene:TraesCS3B03G0031200	Chr3B	6803638	6807916	+	6805777	Chr3B	8674329	8678607	+	8676468	1.0	1.0
gene:TraesCS3B03G0031400	Chr3B	10011961	10013468	-	10012714	Chr3B	11871986	11873493	-	11872739	1.0	1.0
gene:TraesCS3B03G0031700	Chr3B	10462654	10466557	+	10464605	Chr3B	12322854	12326759	+	12324806	1.0	1.0
gene:TraesCS3B03G0031800	Chr3B	10972258	10977458	-	10974858	Chr3B	12829780	12834980	-	12832380	1.0	1.0
gene:TraesCS3B03G0037900	Chr3B	11947904	11950970	+	11949437	Chr3B	12972789	12975854	+	12974321	1.0	1.0
gene:TraesCS3B03G0038000	Chr3B	11951308	11954850	-	11953079	Chr3B	12976192	12979734	-	12977963	1.0	1.0
gene:TraesCS3B03G0038200	Chr3B	11956531	11958854	-	11957692	Chr3B	12981415	12983738	-	12982576	1.0	1.0
gene:TraesCS3B03G0038500	Chr3B	11961737	11963712	-	11962724	Chr3B	12986621	12988596	-	12987608	1.0	1.0
gene:TraesCS3B03G0038600	Chr3B	11965423	11968168	+	11966795	Chr3B	12990307	12993052	+	12991679	1.0	1.0
gene:TraesCS3B03G0038800	Chr3B	12071707	12079854	+	12075780	Chr3B	13096599	13104746	+	13100672	1.0	1.0
gene:TraesCS3B03G0038900	Chr3B	12176373	12178583	+	12177478	Chr3B	13201271	13203481	+	13202376	1.0	1.0
gene:TraesCS3B03G0039100	Chr3B	12184132	12185097	+	12184614	Chr3B	13209030	13209995	+	13209512	1.0	1.0
gene:TraesCS3B03G0039200	Chr3B	12185415	12189726	-	12187570	Chr3B	13210313	13214624	-	13212468	1.0	1.0
gene:TraesCS3B03G0039400	Chr3B	12225935	12226465	-	12226200	Chr3B	13250840	13251370	-	13251105	1.0	1.0
gene:TraesCS3B03G0040300	Chr3B	12365034	12368968	+	12367001	Chr3B	13389997	13393931	+	13391964	1.0	1.0
gene:TraesCS3B03G0040400	Chr3B	12369257	12370173	+	12369715	Chr3B	13394220	13395136	+	13394678	1.0	1.0
gene:TraesCS3B03G0040500	Chr3B	12371609	12375309	-	12373459	Chr3B	13396572	13400272	-	13398422	1.0	1.0
gene:TraesCS3B03G0041000	Chr3B	12477307	12481295	-	12479301	Chr3B	13502280	13506268	-	13504274	1.0	1.0
gene:TraesCS3B03G0041100	Chr3B	12485475	12491384	+	12488429	Chr3B	13510448	13516388	+	13513418	1.0	1.0
gene:TraesCS3B03G0041200	Chr3B	12585694	12587050	-	12586372	Chr3B	13610702	13612058	-	13611380	1.0	1.0
gene:TraesCS3B03G0041300	Chr3B	12590773	12592281	+	12591527	Chr3B	13615781	13617289	+	13616535	1.0	1.0
gene:TraesCS3B03G0041400	Chr3B	12595610	12597051	-	12596330	Chr3B	13620618	13622059	-	13621338	1.0	1.0
gene:TraesCS3B03G0041500	Chr3B	12601924	12602601	-	12602262	Chr3B	13626932	13627609	-	13627270	1.0	1.0
gene:TraesCS3B03G0041600	Chr3B	12608171	12608647	-	12608409	Chr3B	13633179	13633655	-	13633417	1.0	1.0
gene:TraesCS3B03G0041800	Chr3B	13120457	13120807	-	13120632	Chr3B	14145008	14145358	-	14145183	1.0	1.0
gene:TraesCS3B03G0042000	Chr3B	13140448	13146598	+	13143523	Chr3B	14164724	14170874	+	14167799	1.0	1.0
gene:TraesCS3B03G0042100	Chr3B	13150614	13151953	+	13151283	Chr3B	14174890	14176229	+	14175559	1.0	1.0
gene:TraesCS3B03G0042200	Chr3B	13155850	13159257	+	13157553	Chr3B	14180126	14183533	+	14181829	1.0	1.0
gene:TraesCS3B03G0042400	Chr3B	13188801	13190896	+	13189848	Chr3B	14212875	14214970	+	14213922	1.0	1.0
gene:TraesCS3B03G0042500	Chr3B	13244270	13247808	+	13246039	Chr3B	14268333	14271871	+	14270102	1.0	1.0
gene:TraesCS3B03G0042700	Chr3B	13247846	13251928	-	13249887	Chr3B	14271909	14275991	-	14273950	1.0	1.0
gene:TraesCS3B03G0043500	Chr3B	13267715	13268552	-	13268133	Chr3B	14291778	14292615	-	14292196	1.0	1.0
gene:TraesCS3B03G0044100	Chr3B	13452540	13459855	+	13456197	Chr3B	14476604	14483919	+	14480261	1.0	1.0
gene:TraesCS3B03G0044300	Chr3B	13602908	13607618	+	13605263	Chr3B	14626979	14631689	+	14629334	1.0	1.0
gene:TraesCS3B03G0044500	Chr3B	13617584	13618512	+	13618048	Chr3B	14641655	14642583	+	14642119	1.0	1.0
gene:TraesCS3B03G0044600	Chr3B	13624135	13625145	+	13624640	Chr3B	14648206	14649216	+	14648711	1.0	1.0
gene:TraesCS3B03G0045000	Chr3B	13638687	13641490	+	13640088	Chr3B	14662758	14665561	+	14664159	1.0	1.0
gene:TraesCS3B03G0045200	Chr3B	13651284	13654171	-	13652727	Chr3B	14675355	14678242	-	14676798	1.0	1.0
gene:TraesCS3B03G0045900	Chr3B	13743583	13744821	-	13744202	Chr3B	14767662	14768900	-	14768281	1.0	1.0
gene:TraesCS3B03G0046100	Chr3B	13753742	13756833	-	13755287	Chr3B	14777819	14780910	-	14779364	1.0	1.0
gene:TraesCS3B03G0046200	Chr3B	13794541	13796737	-	13795639	Chr3B	14818619	14820815	-	14819717	1.0	1.0
gene:TraesCS3B03G0046600	Chr3B	13842867	13847314	+	13845090	Chr3B	14866933	14871380	+	14869156	1.0	1.0
gene:TraesCS3B03G0046900	Chr3B	13889123	13890558	+	13889840	Chr3B	14913196	14914632	+	14913914	1.0	0.999
gene:TraesCS3B03G0047100	Chr3B	13894018	13894831	+	13894424	Chr3B	14918092	14918905	+	14918498	1.0	1.0
gene:TraesCS3B03G0047200	Chr3B	13900782	13902099	+	13901440	Chr3B	14924856	14926173	+	14925514	1.0	1.0
gene:TraesCS3B03G0047300	Chr3B	13904992	13908357	+	13906674	Chr3B	14929066	14932431	+	14930748	1.0	1.0
gene:TraesCS3B03G0047500	Chr3B	13908853	13909704	-	13909278	Chr3B	14932927	14933778	-	14933352	1.0	0.998
gene:TraesCS3B03G0047600	Chr3B	13912323	13919989	+	13916156	Chr3B	14936397	14944063	+	14940230	1.0	1.0
gene:TraesCS3B03G0047700	Chr3B	13920909	13922384	+	13921646	Chr3B	14944983	14946458	+	14945720	1.0	1.0
gene:TraesCS3B03G0047800	Chr3B	13924243	13934714	-	13929478	Chr3B	14948317	14958788	-	14953552	1.0	1.0
gene:TraesCS3B03G0048000	Chr3B	13954460	13967646	-	13961053	Chr3B	14978534	14991718	-	14985126	1.0	1.0
gene:TraesCS3B03G0049200	Chr3B	14197012	14200919	+	14198965	Chr3B	15221120	15225027	+	15223073	1.0	1.0
gene:TraesCS3B03G0049300	Chr3B	14204526	14205980	-	14205253	Chr3B	15228634	15230088	-	15229361	1.0	1.0
gene:TraesCS3B03G0049400	Chr3B	14272431	14284305	-	14278368	Chr3B	15303732	15315438	-	15309585	1.0	1.0
gene:TraesCS3B03G0049500	Chr3B	14294561	14297938	-	14296249	Chr3B	15325405	15328782	-	15327093	1.0	1.0
gene:TraesCS3B03G0050500	Chr3B	14456299	14456661	-	14456480	Chr3B	15486171	15486533	-	15486352	1.0	1.0
gene:TraesCS3B03G0050900	Chr3B	14518868	14523037	+	14520952	Chr3B	15548731	15552900	+	15550815	1.0	1.0
gene:TraesCS3B03G0051000	Chr3B	14526596	14531005	+	14528800	Chr3B	15556459	15560868	+	15558663	1.0	1.0
gene:TraesCS3B03G0051100	Chr3B	14539683	14542511	-	14541097	Chr3B	15569546	15572374	-	15570960	1.0	1.0
gene:TraesCS3B03G0051200	Chr3B	14549103	14549399	-	14549251	Chr3B	15578966	15579262	-	15579114	1.0	1.0
gene:TraesCS3B03G0051500	Chr3B	14560796	14563932	+	14562364	Chr3B	15590660	15593796	+	15592228	1.0	1.0
gene:TraesCS3B03G0051600	Chr3B	14690068	14694638	-	14692353	Chr3B	15718410	15722980	-	15720695	1.0	1.0
gene:TraesCS3B03G0052000	Chr3B	14897747	14904386	+	14901066	Chr3B	15925921	15932560	+	15929240	1.0	1.0
gene:TraesCS3B03G0052100	Chr3B	15000580	15002150	+	15001365	Chr3B	16028640	16030210	+	16029425	1.0	1.0
gene:TraesCS3B03G0052200	Chr3B	15007722	15009140	-	15008431	Chr3B	16035783	16037235	-	16036509	1.0	0.995
gene:TraesCS3B03G0052300	Chr3B	15027310	15027876	-	15027593	Chr3B	16055405	16055971	-	16055688	1.0	1.0
